,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_mean_5,latent_mean_6,latent_mean_7,latent_mean_8,latent_mean_9,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,latent_logvar_5,latent_logvar_6,latent_logvar_7,latent_logvar_8,latent_logvar_9,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-0.0029858076,1.6436498,0.010741813,0.049601104,-0.0131842,-0.32132584,0.8294526,0.032112654,-0.08107735,-0.010577964,0.0067789033,-0.9969161,-0.010831063,-0.0322214,-0.040550575,-2.3679996,-0.6091039,-0.003706485,-1.0194979,-0.022701964,-0.5768497,2.5754988,0.13242297,-0.77190614,0.47502917,-0.4076502,1.3164622,-0.9252702,-1.3209144,-0.16610546
1,0.0034536794,1.5234499,0.13256909,0.093884744,-0.030615378,-3.6855824,3.8454735,0.04061094,-2.5367045,-0.06589907,0.03630404,0.82178056,-0.030630328,0.01773371,-0.0950566,-0.36674523,0.028021157,0.028369512,-0.21276619,-0.009603749,0.04197759,2.935528,-1.0253116,0.4145751,-1.0171053,-2.712715,2.2510548,0.749599,-0.93653786,-2.159584
2,-0.03931692,-6.2351823,0.11704129,0.1427575,-0.04589828,-2.710587,0.061707795,-0.001454453,-0.38615993,-0.075962335,0.020913064,0.079740524,-0.082913525,0.048741467,-0.071121596,-1.4266903,-0.6332531,-0.0634503,1.348083,-0.17428076,1.303414,-6.9646983,-0.16642353,0.9373045,-0.4382226,-1.9547259,0.17506398,-0.92404056,-1.4236544,2.3029075
3,0.0063513853,-1.9841758,0.018811978,0.0434326,-0.01955745,-1.011595,1.7193525,0.017064422,3.231814,-0.05361404,0.0060333535,-1.242842,-0.024017688,0.038160942,-0.04479196,-2.1028824,-0.75113124,-0.009517595,-0.5586688,-0.061621763,-0.066557065,-1.8941967,-0.5485981,-0.22738692,0.34661737,-1.2881824,3.3940797,0.86115766,3.2642555,-0.5456161
4,0.015950482,1.1179581,0.077089146,0.034038715,-0.048761517,-2.1961362,-1.2124665,0.032753225,-1.1211299,0.0038314592,0.012240581,-0.41440737,-0.041157745,-0.06152937,-0.058806613,-1.2875016,0.09109092,-0.009346634,-0.51727146,-0.019217148,-0.19210196,0.4237014,0.9440057,-0.106384836,-1.770772,-1.4177533,-1.8148766,-1.6963872,-2.0085309,-0.81661075
5,0.014432242,1.7330818,0.06772117,0.044509474,-0.03555679,-1.9624641,-0.36771935,0.034104366,-1.5578125,-0.0065983254,0.0081508085,-0.3194834,-0.02292896,-0.05543466,-0.057404272,-1.4120121,-0.004572928,-0.014910841,-0.61655414,-0.023752298,-1.3328401,1.3396972,-0.3923052,0.060482778,0.6562801,-2.3927007,1.2295108,1.7261364,-1.7617003,-0.26610225
6,0.07455101,-2.2745447,0.24785636,0.18074316,-0.10134627,-6.1117334,0.59302634,-0.09258522,-0.36174053,-0.07188257,0.069387875,1.7851609,-0.136934,0.028956238,-0.115624614,0.8169637,1.0140879,0.08028956,1.6284268,-0.022024157,0.41988674,-1.7969197,-0.812567,0.39414895,0.3766424,-7.4996424,-1.5020688,1.377303,-1.8777647,-0.08889168
7,0.012200477,-0.9936925,-0.011000798,0.012511805,-0.051850956,0.07172978,-1.2156086,0.015254527,2.4466043,-0.01662811,-0.020503439,-1.804628,-0.02235207,-0.008357715,-0.04482626,-2.8269398,-0.9107726,-0.014446102,-1.1808307,-0.03806539,-1.0845653,-1.2147334,0.41631788,0.47910511,-0.41040742,0.19460168,-1.6313663,0.73868823,2.6864557,0.10884247
8,0.0075591556,0.68845206,0.03842232,0.0333225,-0.04836272,-1.3396559,-1.8144629,0.031727627,-0.048264593,0.010840013,0.017538171,-0.905982,-0.034852147,-0.058656722,-0.053566292,-1.7836801,-0.17129856,-0.016352328,-0.7386016,-0.02344371,1.4996426,0.29685995,0.88969666,1.1838782,-1.8346605,-0.15307868,-3.3265622,-0.46747923,-1.4069124,-0.61353016
9,0.024848165,1.0223716,0.032148555,0.036000084,-0.04999992,-0.72976226,-3.2678251,0.02678076,-1.0092114,0.027646426,0.010902502,-1.1280146,-0.01859451,-0.07675455,-0.058480985,-2.2280622,-0.3805989,-0.026052363,-1.1829402,-0.049784936,0.9538502,1.7124972,1.1538255,-0.047782477,-0.34761733,-1.4640956,-3.8910809,1.873223,-1.3246298,-0.87297153
10,0.04059102,3.7084873,0.14159715,0.036839597,-0.07962396,-3.8549588,-0.27893895,0.045819968,-1.4580795,-0.0071423147,0.03631666,0.7449707,-0.059421383,-0.062503025,-0.077838756,-0.36201978,0.93524057,0.028016947,-0.441774,0.03613735,-0.9855449,3.074513,-0.119789064,0.07787603,0.50467116,-4.0129976,-1.2391562,-0.8482113,-1.5262213,1.7896824
11,-0.014545519,-2.3208797,0.023269761,0.06200809,-0.023601498,-1.1114211,0.25353414,0.015094863,0.7347543,-0.029422775,0.0074539706,-1.0379431,-0.037855335,0.004803761,-0.050090954,-2.0751777,-0.7128897,-0.037623845,-0.12481779,-0.07377212,-1.225707,-1.8633906,-0.28507036,-0.21296784,0.4357527,-1.0350493,-0.30278498,1.4643836,-0.72821915,0.79699296
12,0.028683133,3.2913404,0.11551219,0.013721583,-0.12714054,-2.924842,-3.35749,0.05156492,1.8667233,0.0306376,0.06910695,-0.014706969,-0.08776765,-0.07737726,-0.074817814,-0.9899597,0.94361025,0.03553722,-1.1125484,0.047374286,1.1372381,3.3382368,-0.22588867,0.83813894,0.3528664,-2.6318603,-1.9583428,0.82492787,1.6722298,1.282885
13,0.0044878647,-0.0015445873,0.071917966,0.045874577,-0.034931805,-2.3906193,2.440363,0.028948782,1.6511238,-0.058952276,0.02921727,-0.25798166,-0.042325735,0.021506365,-0.06460232,-1.2014322,-0.13347131,0.018686794,-0.37392205,-0.0128193665,-0.61898214,-1.4001602,-1.2179129,-0.50361437,1.063852,-3.1907442,2.889777,-0.20635507,1.9670128,0.016824406
14,0.0009556338,-0.6760091,0.12458126,0.06496297,-0.06783186,-3.314362,-1.0935979,0.022118881,-1.3336123,-0.023206724,0.023494996,0.22159326,-0.08177581,-0.034543484,-0.07021608,-0.7745395,0.3028069,0.00219604,0.46076113,-0.04087603,-1.2406641,0.36917812,-0.17895253,-0.14038894,0.42213297,-3.246508,-1.5959842,0.05918282,-0.27295697,-1.1234592
15,0.023266802,1.765533,0.14026508,0.042778574,-0.07790895,-4.116447,1.133431,0.03472676,0.4020623,-0.049174584,0.047850147,0.7513827,-0.0795911,-0.009227598,-0.079267874,-0.1915052,0.8486387,0.056517772,0.024815083,0.03939288,-1.4260985,0.83135396,-0.60648394,0.02657101,-0.46471083,-2.8316503,0.008901,-0.9676354,0.71417904,0.15770847
16,0.007751449,0.28842387,0.06931259,0.037994765,-0.05183542,-2.3116019,-0.5351042,0.029002877,0.08053126,-0.0152286505,0.021218024,-0.3761711,-0.05279795,-0.033435717,-0.057965867,-1.2660339,0.05331379,0.0009191595,-0.2557854,-0.015020156,0.22655664,1.3436458,-0.42456508,-0.1728876,0.8218726,-2.364232,-0.66177994,0.13772884,-0.15951261,0.08008277
17,0.09729137,-1.7241806,0.08259183,0.14116299,-0.043767508,-2.6028981,1.039703,-0.11728337,3.402439,-0.029856697,0.04297315,-0.42861295,-0.05005195,0.025842488,-0.07419826,-1.0542157,-0.26992708,0.040008835,-0.32404083,-0.013730061,0.6657102,-2.5644834,-0.6326889,-0.5377694,-1.0710284,-2.0755553,0.31809133,-1.0663962,2.8791604,-0.22622664
18,-0.0017623054,-0.40169615,0.12413578,0.07445336,-0.04783566,-3.4792793,1.071144,0.024007605,-1.2617042,-0.049289472,0.021720778,0.42831075,-0.06886945,-0.007390296,-0.0724696,-0.620744,0.19617552,0.015464477,0.4346034,-0.029978458,-0.6298293,-1.0522916,0.21170087,0.534685,-0.34869578,-2.3328433,-0.9566518,-1.1088942,-0.44847912,-0.014156848
19,-0.013501776,-2.688983,0.09817037,0.086877786,-0.040461786,-2.8271224,0.8672633,0.0117156,-0.46455285,-0.0614191,0.02280607,-0.015442133,-0.065641016,0.021358494,-0.069564484,-1.1213033,-0.3069507,-0.008511225,0.6509683,-0.07934059,-1.4312131,-1.8300768,0.5299375,-0.95567745,-1.5568806,-2.5354102,1.2536348,-0.16755895,0.5653014,-0.9063511
20,0.028892267,0.63054585,0.14771098,0.0354468,-0.11335664,-3.7216995,-3.5294657,0.03162865,-0.21923006,0.015104017,0.051063124,0.2302388,-0.10915395,-0.06901456,-0.08277784,-0.5077789,0.90558106,0.028211653,-0.016070127,0.0021157842,0.10851033,-0.98251367,1.659734,0.56176585,-0.82942456,-3.7245128,-5.298378,2.428291,-0.9650844,-0.048823
21,-0.027203334,-5.1876755,0.06769808,0.11152357,-0.047300294,-2.1110578,0.44690365,0.002240441,1.8374346,-0.08260387,0.021269498,-0.3569702,-0.06407858,0.059307024,-0.066842504,-1.7276807,-0.6661414,-0.049446207,0.70151997,-0.13025388,0.30964598,-5.4335856,-0.7900267,-0.7989479,0.43066394,-1.8212366,0.82762736,-0.23035036,3.4050407,-0.22712411
22,0.024892407,-1.7690971,0.33676928,0.13088089,-0.16247001,-7.6236954,-2.504777,-0.0052528586,-2.8494256,-0.058242537,0.076227315,2.639812,-0.20086795,-0.022136616,-0.12912486,1.5237794,1.9626765,0.07595776,2.3361042,-0.03508205,-0.6780029,-1.2356908,-0.82812303,0.20337193,-1.1368121,-8.857263,-4.8392057,-1.2029817,-6.1249266,1.8680943
23,-0.0022726837,-0.33143827,0.003858108,0.041012958,-0.004647448,-0.5792548,1.5975072,0.02556806,0.17244914,-0.0195112,0.012492087,-1.2406514,-0.017691875,-0.0021210387,-0.051937558,-2.1544547,-0.8825101,-0.0040963134,-0.7341383,-0.03287245,-0.03692179,-0.49761575,0.74616015,1.2279667,0.028358959,-1.0999513,2.012103,-0.4303396,-0.14429253,0.28658473
24,0.005870051,0.9736177,0.07521467,0.051188864,-0.021904273,-2.2618349,1.0744243,0.033523984,-1.8003474,-0.021651043,0.004818566,-0.23598754,-0.026839983,-0.03489598,-0.060498737,-1.1817749,-0.15642363,-0.00870277,-0.370177,-0.025189793,0.32924607,2.1904306,-0.29630017,-1.961687,0.78485197,-2.7535017,2.242764,-0.92705685,-1.3969574,0.7571232
25,0.004694744,-0.7713154,0.1572142,0.07527309,-0.076679304,-4.1914086,0.18783963,0.019724295,-0.7246642,-0.05605146,0.03592672,0.7628101,-0.096047975,-0.0038966518,-0.0816878,-0.2909758,0.5702308,0.029212523,0.7653026,-0.026870923,0.30460203,0.22821695,-0.03533055,-0.11205893,0.25106657,-4.428244,-1.2852005,0.43314725,-1.2639272,0.6336213
26,-0.02047546,-3.0210395,0.13536733,0.10362924,-0.048715476,-3.3823907,-0.4472379,0.0085924,-2.4202745,-0.04757952,0.0077302493,0.31124783,-0.08553739,-0.010625895,-0.072485305,-0.82946324,-0.10922718,-0.018212663,1.1400158,-0.1006513,0.053600423,-2.1373823,0.53995115,0.18046123,-1.2763569,-2.7750852,-0.8951907,0.12641628,-2.6753073,0.66007674
27,0.010277912,0.18923447,0.05668803,0.02128911,-0.057989676,-1.9321575,-0.6709768,0.029586362,1.7187179,-0.017039632,0.022072908,-0.69004786,-0.052421473,-0.02676036,-0.05396077,-1.5058558,0.0031083226,0.0004933225,-0.5603402,-0.013076361,-1.0710883,0.7524183,2.0294676,-0.42554778,0.22900091,-1.9314117,-0.72772473,0.021238044,0.6494342,1.7290651
