,latent_mean_0,latent_logvar_0,Gaussian_latent_var_feature_{i}
0,0.005123465,-0.012240512,-1.7256601
1,0.005163,-0.01223957,-1.0286957
2,0.005163,-0.01223957,-0.6301728
3,0.0050867107,-0.01224139,-0.39978626
4,0.005163,-0.01223957,-1.0094233
5,0.0051328726,-0.012240288,0.668762
6,0.005163,-0.01223957,-1.2360022
7,0.0050960486,-0.012226292,-0.33102882
8,0.005163,-0.01223957,0.3211394
9,0.0051377853,-0.012234485,0.7398347
10,0.005163,-0.01223957,-0.45421237
11,0.0049125687,-0.01226348,-0.36866906
12,0.0051127323,-0.012234059,0.24626
13,0.005163,-0.01223957,-0.5934071
14,0.0050757523,-0.012221976,-1.7072635
15,0.005144892,-0.012240002,1.800415
16,0.00510431,-0.012227735,-0.8737511
17,0.0051041967,-0.012240972,-0.019024253
18,0.005160892,-0.01223962,-1.4191661
19,0.005163,-0.01223957,0.19953318
20,0.005163,-0.01223957,0.122586325
21,0.0051435507,-0.012238822,0.7977045
22,0.005111839,-0.012229253,0.41287026
23,0.0050804503,-0.012222923,-0.13421479
24,0.005163,-0.01223957,-0.23996659
25,0.0051570367,-0.012239341,-0.6241875
26,0.005011825,-0.012209085,-0.28462243
27,0.005163,-0.01223957,0.58993393
28,0.005163,-0.01223957,-0.3914305
29,0.005163,-0.01223957,-0.52171665
30,0.0050158035,-0.012209887,0.13962269
31,0.005163,-0.01223957,1.0994452
32,0.005163,-0.01223957,-0.59916955
33,0.005163,-0.01223957,-0.35973787
34,0.005163,-0.01223957,1.4132129
35,0.0050063133,-0.012207973,-1.2141466
36,0.0050398726,-0.012239606,-0.37478045
37,0.0050437343,-0.012218383,-1.8762116
38,0.005163,-0.01223957,1.1917139
39,0.005163,-0.01223957,2.0988843
40,0.0049814195,-0.012241558,0.044646077
41,0.004938291,-0.012205776,0.17186563
42,0.005054223,-0.012217634,-0.6074582
43,0.005163,-0.01223957,0.40253916
44,0.0051297843,-0.012232872,0.45605215
45,0.005163,-0.01223957,1.0079949
46,0.005163,-0.01223957,0.0014814017
47,0.005163,-0.01223957,0.02572203
48,0.005068477,-0.0122246565,-0.63158095
49,0.005163,-0.01223957,2.7509387
50,0.005163,-0.01223957,0.36741143
51,0.0051594805,-0.01223886,-0.9056764
52,0.005091867,-0.012241267,-1.5448589
53,0.0050490317,-0.012223069,-1.7833188
54,0.005163,-0.01223957,-1.1185135
55,0.005163,-0.01223957,-0.78771234
56,0.0051403386,-0.012235,0.98942614
57,0.005163,-0.01223957,-0.6300389
58,0.005163,-0.01223957,-0.042561084
59,0.0050038025,-0.0122131165,0.2415398
60,0.0050850036,-0.01224143,2.9136026
61,0.005163,-0.01223957,2.0308282
62,0.005024657,-0.012250021,1.8222259
63,0.005163,-0.01223957,-0.12178469
64,0.005121993,-0.012231301,0.6537779
65,0.005154951,-0.0122379465,0.51089185
66,0.0051494753,-0.012239343,-0.5741176
67,0.0049674623,-0.012223595,-0.6786922
68,0.004878533,-0.012190202,0.34310117
69,0.005129893,-0.01224036,0.17236885
70,0.0049611907,-0.012198874,0.854401
71,0.005163,-0.01223957,-1.839837
72,0.005163,-0.01223957,0.09962994
73,0.0050795875,-0.012222749,0.8230972
74,0.005142677,-0.012235472,-1.4912738
75,0.005163,-0.01223957,0.72678375
76,0.0050676763,-0.012241843,0.054367
77,0.0051319804,-0.012238582,-1.8356239
78,0.005163,-0.01223957,1.0043766
79,0.004986296,-0.012203936,-0.39970306
80,0.0049834666,-0.012203366,0.4368133
81,0.005163,-0.01223957,-0.7900661
82,0.005163,-0.01223957,-2.9326332
83,0.005163,-0.01223957,-0.3670815
84,0.005076986,-0.012222225,2.177666
85,0.005163,-0.01223957,-0.48494035
86,0.0050375867,-0.01221428,-2.3661063
87,0.005163,-0.01223957,-1.295024
88,0.0050902185,-0.012241306,-2.7237654
89,0.0051050824,-0.012240951,-0.22637394
90,0.005163,-0.01223957,-0.36378947
91,0.0050616777,-0.012241987,0.56294703
92,0.005163,-0.01223957,1.679716
93,0.005163,-0.01223957,1.6696545
94,0.0050902823,-0.012224906,-0.7339133
95,0.005163,-0.01223957,-1.019809
96,0.005054874,-0.012217766,-0.72470176
97,0.005163,-0.01223957,0.95278573
98,0.005163,-0.01223957,1.306875
99,0.0050925706,-0.012240166,-1.3978502
100,0.005163,-0.01223957,-1.74428
101,0.005163,-0.01223957,2.0911233
102,0.005163,-0.01223957,0.78329194
103,0.0051099313,-0.012240835,-0.22685826
104,0.005051734,-0.012219692,-0.08297943
105,0.0051418603,-0.012235307,-1.1321174
106,0.005163,-0.01223957,-0.88793635
107,0.0050932146,-0.0122254975,0.49785748
108,0.004944113,-0.01219543,1.4898096
109,0.0051529272,-0.01223979,-0.44207758
110,0.005059272,-0.012233554,0.39070156
111,0.0050326423,-0.012242679,0.93179184
112,0.005073176,-0.0122214565,0.14474003
113,0.005163,-0.01223957,0.19539747
114,0.005163,-0.01223957,0.6400687
115,0.005163,-0.01223957,-0.8528275
116,0.005162075,-0.012239592,0.24918999
117,0.005113138,-0.012240759,0.4951993
118,0.005163,-0.01223957,0.6297075
119,0.005163,-0.01223957,0.70375764
120,0.005163,-0.01223957,0.84417236
121,0.0049615162,-0.012244375,-0.55418926
122,0.005060701,-0.012224597,-1.9984713
123,0.0051591014,-0.012239663,-1.2754368
124,0.005163,-0.01223957,1.4752183
125,0.0051463647,-0.012236215,0.021852907
126,0.005163,-0.01223957,0.78565603
127,0.005163,-0.01223957,-1.1030626
128,0.005151284,-0.012239849,0.79346436
129,0.005083618,-0.012223562,1.415549
130,0.005163,-0.01223957,0.9495325
131,0.0046814997,-0.012142472,-0.6814378
132,0.005163,-0.01223957,-0.110976055
133,0.005034587,-0.012242632,-0.25986588
134,0.0048275595,-0.012212732,1.5819898
135,0.005163,-0.01223957,0.21506134
136,0.005163,-0.01223957,-0.62677777
137,0.005163,-0.01223957,-0.46796694
138,0.005050821,-0.012246774,-0.27986634
139,0.005065197,-0.012219847,0.25236076
140,0.005163,-0.01223957,0.52214146
141,0.005163,-0.01223957,-1.3198655
142,0.005163,-0.01223957,-1.0762678
143,0.005163,-0.01223957,0.43190277
144,0.005163,-0.01223957,1.0516082
145,0.005163,-0.01223957,-0.21483615
146,0.005163,-0.01223957,0.72653985
147,0.005163,-0.01223957,0.27497414
148,0.0051200204,-0.012240595,-0.8319546
149,0.005151763,-0.012239138,-0.29561225
150,0.005163,-0.01223957,-0.4245388
151,0.004797803,-0.012165925,-1.212299
152,0.0050342153,-0.012242641,0.9422902
153,0.005013021,-0.012209326,-0.38977337
154,0.005017578,-0.012210244,-1.7645255
155,0.005163,-0.01223957,-0.22687687
156,0.005100969,-0.012227061,-1.3029033
157,0.005163,-0.01223957,0.43000868
158,0.0049986662,-0.012206431,-0.21583314
159,0.0050671045,-0.012220232,-0.3727277
160,0.005163,-0.01223957,0.12459369
161,0.0049087047,-0.012225235,0.4757718
162,0.005163,-0.01223957,2.2649386
163,0.005163,-0.01223957,0.19001152
164,0.0049224086,-0.012192976,1.6718066
