,latent_mean_0,latent_mean_1,latent_mean_2,latent_logvar_0,latent_logvar_1,latent_logvar_2,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-0.3353598,1.336268,1.1147563,-0.600825,-0.91679156,-1.6995707,-0.43154377,0.51878864,0.41324526
1,0.06645606,-0.04809208,-0.21883976,-1.6380277,-1.8253849,-2.8212686,-0.41099602,-0.20518327,0.21807045
2,0.6921668,0.16786559,1.0665447,-1.1907809,-1.0914748,-1.9231186,1.5090637,-1.4323089,1.097683
3,-1.1606872,0.18136884,0.51378864,-1.8796792,-1.0253052,-2.431118,-1.8932228,1.0642387,0.621611
4,0.6793958,0.3913575,0.22637737,-1.6651902,-1.6992016,-2.4875882,0.47441363,1.2107437,0.77742404
5,0.8004933,-1.0267692,0.08441365,-0.8683108,-1.5420597,-2.6157155,1.6333048,-0.7393626,-0.09979245
6,-1.2372291,-0.6788434,0.3357207,-1.3549922,-1.4761953,-2.3258705,-1.8842471,-1.6208615,0.28815672
7,-0.57359284,-0.44620356,0.67634195,-0.6350777,-1.2276199,-2.0104017,-0.041511178,-0.69559467,1.0224518
8,-0.7565101,-0.6829489,1.1712588,-0.9903561,-0.85267574,-1.8726028,-0.8235237,0.22875619,0.85466456
9,0.20478165,-0.5437431,0.386193,0.18077826,-1.4896216,-2.2810683,-0.7900294,-0.45044956,0.39838278
10,1.9895451,-0.48097488,-0.028326208,-1.6939025,-1.5407472,-2.7552712,2.0077572,-0.5402008,-0.26705283
11,-0.20460951,1.2147413,0.23426344,-1.646364,-1.5438652,-2.622912,-0.488826,1.3220805,0.6298175
12,-1.0331748,1.225568,0.679158,-1.3716679,-1.0295043,-2.1236773,-0.8918439,1.5372251,0.8718194
13,1.0177519,0.6679477,0.018053262,-1.966857,-2.0457,-2.8099163,1.1118721,0.60495675,-0.1837158
14,1.6547645,-1.1999942,0.7023287,-1.6640898,-0.9798983,-2.2180698,1.5678289,-0.28854144,-0.023562908
15,0.29869342,0.9280574,0.94371235,-0.9235172,-1.1539296,-1.8606412,0.10905014,1.2971823,1.395457
16,-1.6120199,0.036892433,0.7138243,-1.3132364,-1.071001,-2.1651864,-1.163606,-0.5340675,0.21117336
17,-0.47518468,0.35733816,1.2227046,-0.8055515,-0.8100042,-1.7662477,-1.0211259,0.038309336,1.716857
18,-0.29713863,0.88871706,0.8720741,-0.33453155,-1.13405,-1.8112427,-1.2809353,0.818831,0.88817924
19,-0.049853913,0.11057104,0.2076937,-2.1308713,-1.462595,-2.6796238,-0.15792349,0.9906681,0.08776173
20,0.83165103,0.094937816,-0.58056074,-1.6126562,-2.0935655,-3.1501467,0.6470082,-0.18572776,-0.3056384
21,0.2277079,-0.7959259,0.2828247,-1.7821563,-1.1263332,-2.4572155,0.41178185,-2.048271,0.0021204948
22,-0.9730347,0.8220321,-0.27409363,-1.8212658,-1.7795198,-2.7597387,-0.60290796,0.633282,-0.4647383
23,0.116491355,-0.60457325,0.2508445,-1.758443,-1.1991776,-2.466797,0.54745686,-0.9661374,0.65102303
24,-0.21859345,-1.3201262,0.5338279,-1.5443243,-1.0273538,-2.2570264,0.44778898,-1.6550786,0.32329634
25,-0.48299587,0.80883634,-1.0325813,-2.287981,-2.2128174,-3.2132952,-0.31451136,1.0438505,-1.201219
26,1.7218938,-0.029704552,0.3118844,-1.2008574,-1.5262637,-2.4859056,1.5989015,-0.6879252,0.004476458
27,0.35409653,1.5064404,1.4517889,-0.56953907,-0.8386455,-1.6262826,0.90538824,0.39572918,1.5137458
28,-1.4197488,2.4018037,-0.044736654,-1.5464023,-1.4427195,-2.566043,-2.232982,1.8228385,0.06855852
29,-1.3426197,0.0784141,-0.009433033,-2.23564,-1.6178668,-3.029194,-1.6024305,-0.01612541,-0.15067478
30,0.7138948,-0.8092407,-0.6723221,-1.5166043,-1.9834838,-3.3930604,0.28948456,-1.2842013,-0.60620487
31,-0.41397798,1.3633302,1.3128631,-0.2181803,-0.77151424,-1.6387259,0.43107867,0.83694565,1.4854608
32,-0.4442067,1.1552677,0.3725221,-2.0629706,-1.3590286,-2.6796932,0.099883854,1.3860214,0.3616455
33,-0.024288349,0.7968709,-0.41308245,-0.894584,-2.0446227,-2.8864138,0.43091226,1.313964,-0.13533199
34,-0.86575955,0.2677578,0.79368263,-1.2823467,-0.969984,-2.0592496,-1.3724906,1.4442136,0.52064174
35,-0.3541457,-1.2772204,-0.20917103,-1.0817115,-2.2384121,-3.0373862,0.16313279,-1.5015185,-0.5523305
36,-0.35995945,0.26231176,-0.4669141,-1.4921762,-1.9125164,-2.9251046,-0.47383434,0.706236,-0.61012805
37,-0.18019241,-0.8660083,0.5462516,-0.9158032,-1.1996964,-2.1485658,-0.19282201,-1.0442314,1.1397961
38,0.07105244,-0.3415085,-0.7270262,-1.4062252,-1.9532259,-3.160184,-0.47442758,-0.9891883,-0.54909426
39,-0.43778598,-0.07203798,1.7448939,-0.24028563,-0.59547484,-1.5646524,-0.42090428,0.2515934,2.1749291
40,1.0241958,-0.089136824,0.7514162,-1.2690163,-1.2454885,-2.074458,0.3747844,0.8796523,0.33170405
41,-0.9551104,0.49958786,0.74934286,-1.3180562,-0.9992799,-2.085958,-0.5371054,-0.5404923,0.9125341
42,-0.6183312,1.0235617,0.03346415,-2.3667302,-1.6536477,-2.7878077,-0.4178409,0.8489649,-0.47393185
43,-0.8494061,-0.81040394,-0.18981647,-1.170045,-1.7737267,-2.825744,0.033461392,-1.1654345,-0.13375391
44,-1.0244346,0.040834147,1.0960628,-1.2297943,-0.76377165,-1.9917884,-1.6375206,-0.19894625,1.7143981
45,-1.61197,-0.57237434,0.17721134,0.003671199,-1.3876348,-2.5592563,-4.0709944,-0.78848267,-0.078483164
46,0.40173766,-0.239884,-0.5272115,-1.3403372,-1.8915689,-3.0377028,1.209096,0.6596873,-0.6201054
47,-2.3519945,0.75088274,0.8125822,-1.8840251,-1.202502,-2.5451262,-2.60881,1.1324029,1.4051111
48,1.4417001,0.86779976,0.15829393,-0.69287115,-1.5778048,-2.4716444,1.9223429,0.7780255,-0.039583683
49,-0.14845335,-0.44168755,1.5627242,-0.13537729,-0.84106314,-1.6870897,-0.26928928,-1.1334666,1.2228818
50,-2.087937,-0.13391007,0.18113115,-0.39676666,-1.5140862,-2.4241219,-2.4005606,-0.24844028,0.149515
51,0.30855566,1.3728567,0.50019974,-0.017812073,-1.3998029,-2.0711808,1.6115613,0.65821826,0.49097207
52,1.7659347,-0.09110819,0.31175685,-0.6549965,-1.4191709,-2.4523125,2.1851587,-1.0570974,0.53198284
53,-0.34897932,-0.5466179,0.412533,-1.7513506,-0.95212084,-2.5321279,0.66625273,-0.56400585,0.18534555
54,-2.3405774,0.76411057,0.5813521,-1.6690382,-1.2451143,-2.4771366,-2.3067565,-0.008566856,0.4413727
55,-2.0320308,0.87954324,0.71764207,-1.3937013,-1.1830776,-2.2477882,-2.3137455,1.1020324,0.5199906
56,-1.3171926,0.92725855,1.0239123,-0.8236307,-0.9765249,-1.806351,-1.5653994,0.92170525,0.96922016
57,0.5735112,-0.05601446,1.0634725,-0.974466,-1.0425375,-1.8560624,0.87363416,0.8815869,0.44649512
58,-1.1554722,0.6695019,0.9948237,-0.8778185,-0.98718745,-1.841788,-0.27505255,1.1776323,0.5920312
59,0.75467616,1.4320344,0.7256621,-1.4941642,-1.5360005,-2.193282,0.81161577,1.0206552,0.3658028
60,0.72144085,1.0793914,0.601812,-1.6199452,-1.5839062,-2.265767,0.797057,1.9839673,0.61963445
61,-0.9563342,-0.18212555,1.0704719,-1.0703654,-0.81797504,-1.9432621,-1.7349663,0.7546178,0.5268956
62,-0.7130982,0.9799335,0.013295202,-2.7406473,-1.8248143,-2.970915,-0.67044204,0.9490561,-0.31249624
63,-0.8051426,0.3755479,-0.11191219,-1.0641856,-1.7154326,-2.7092924,-0.9647947,0.13506718,-0.11896207
64,1.4800813,-1.1034417,0.46853837,-0.9345384,-1.1719784,-2.3478067,1.3954861,-0.32711756,0.3447815
65,-2.243592,1.1812736,1.2363641,-1.4488167,-0.9853404,-2.0476036,-1.6366675,1.3364121,1.0366398
