,latent_mean_0,latent_mean_1,latent_mean_2,latent_logvar_0,latent_logvar_1,latent_logvar_2,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-0.6628509,-0.784166,-0.0317114,-1.3360732,-1.987832,-2.7212439,0.3207314,-0.5584927,-0.12748732
1,0.19006783,0.15371811,-0.64842045,-1.2730817,-1.244984,-2.196614,0.20306434,0.4992347,-0.054616928
2,0.35146385,0.8497768,0.21581447,-1.7850491,-0.3395956,-2.8117907,0.62172437,0.6300671,0.24395543
3,1.9611721,0.24534404,-0.55347157,-1.3095456,-0.7584281,-2.2227092,2.3333476,0.6243702,-1.22523
4,-0.28122026,-2.4893475,-0.09892222,-1.5606341,-1.8499942,-2.7898033,0.02791074,-3.1712193,0.027565882
5,0.9054175,-0.34650138,0.023611695,-1.5809872,-1.8120058,-2.6829262,1.5639951,-0.82884157,-0.20520954
6,-0.08497846,-0.040700972,-0.48342386,-1.2580079,-1.4267082,-2.3139586,-0.8809093,0.52597904,-0.81221724
7,-0.36451083,1.4399309,-0.9145814,-1.1535015,-0.90426755,-1.9582894,-0.40982503,2.1636674,-0.80345833
8,0.82211214,-0.30521724,0.096823335,-1.6981452,-0.8567122,-2.6501286,0.9858217,0.2692434,-0.106822506
9,-0.07599789,0.7728711,-0.036667556,-1.6360171,-1.3076227,-2.6046267,-0.35130084,1.5389459,-0.71049345
10,-1.0642449,0.40781343,0.49049073,-1.6165435,-2.0018113,-3.244514,-0.95101583,0.2720345,0.65445435
11,-1.9669137,-0.4249179,0.2297996,-1.729928,-1.7585764,-3.0053973,-2.180678,-0.609232,-0.003428921
12,0.6074788,0.044843256,-0.76682067,-1.2714658,-1.2045475,-2.1719189,2.047347,-0.27881163,-0.870477
13,-0.8658241,0.7160266,-1.325582,-0.9399816,-0.76036704,-1.7703055,-1.2611985,1.168763,-1.6426495
14,1.185343,-0.23211867,-0.46810582,-1.3556265,-1.5848478,-2.3846645,2.3095906,0.24380079,-0.77400136
15,0.27970964,-0.35816056,0.47950995,-1.7274227,-1.6720294,-2.89337,0.6337907,-0.35316887,0.41734317
16,0.6355962,-1.3697124,-0.6952964,-1.2937652,-0.23886347,-2.1346848,-0.10928643,-1.6333668,-0.5499553
17,0.45672113,-1.5530899,0.26081154,-1.4856545,-1.8515061,-2.806302,0.36538124,-0.6384104,0.35594267
18,-0.53308475,0.69588464,-0.004943162,-1.5038841,-1.1417837,-2.5965652,-0.3768592,1.1348495,-0.33295423
19,1.605412,-0.6723144,-0.5325278,-1.2252178,-1.4742453,-2.2611046,1.3977741,-0.4495167,-0.54018116
20,1.0092454,-1.5842698,-0.379052,-1.0074787,-1.8639327,-2.3891013,0.6226914,-1.8876654,-0.28355485
21,0.39336437,0.63110954,-0.8586279,-1.3257393,-1.270008,-2.1404731,1.2588322,0.35576522,-0.9053222
22,-0.736186,-0.0031203628,0.18079004,-1.5239545,-1.7539756,-2.8905253,-1.630749,-0.22314586,0.43500578
23,-0.52278465,-0.8157469,-1.0124688,-1.1806782,-0.36808038,-1.9195244,-0.8076895,-0.5901415,-1.3415687
24,1.6206658,0.6467944,-0.9434725,-1.2839184,-1.4042845,-2.097174,1.4557933,0.43378493,-1.2411382
25,-0.88445985,-0.8397553,-0.32128534,-1.4586096,-0.75908256,-2.3718567,-1.5371007,-0.25743103,-0.64285123
26,-0.46297634,-0.82153165,-0.4369597,-1.2243488,-1.4266433,-2.267899,-0.9045868,-0.67996204,-1.4484209
27,0.36478275,-0.81602234,-0.9941499,-0.96324205,-0.9491854,-1.9415132,-0.9563945,-0.7679775,-0.7303965
28,-0.42312455,0.88201743,-0.49581078,-1.3409647,-1.3278368,-2.291384,-0.43831447,1.0490714,-0.81971407
29,1.6470628,-0.6588409,-0.8286699,-1.1076027,-0.5871651,-2.0360565,1.3644698,-0.9779197,-0.88362247
30,0.021397173,-0.66723055,-1.6259929,-0.5819739,-0.8744569,-1.641027,-0.8701076,-1.0173607,-1.9150532
31,0.5926767,-0.15016377,0.33209,-1.7255505,-1.4707295,-2.8183753,0.7522354,-0.28781533,0.62443507
32,-0.6948382,-0.50561506,-0.32638445,-0.9954552,-1.7197509,-2.4264488,-1.9477656,0.026334763,-0.31578472
33,1.4471378,-0.35670316,0.15485033,-1.7930818,-2.152944,-2.7766712,1.7465491,-0.021874696,-0.05786927
