,latent_mean_0,latent_mean_1,latent_mean_2,latent_logvar_0,latent_logvar_1,latent_logvar_2,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,0.85999817,-2.3044536,0.42913058,-1.6454275,-1.9148651,-2.97606,0.87244594,-1.7585218,0.1386519
1,-0.3331341,-0.19419065,-1.8135105,-0.6827438,-0.1057148,-1.4661626,1.3638711,-0.47002798,-2.6632273
2,-0.7055738,-1.1555097,-0.032970697,-1.462177,-1.8251624,-2.6981425,-0.9481841,-1.0419387,0.12834296
3,1.5590379,0.78746635,-0.49710533,-1.4991492,-1.1981384,-2.2874527,1.8580832,0.37024233,-0.1323142
4,-0.7199672,0.27168924,0.64855814,-1.6853814,-1.2993579,-3.139062,-0.39362907,-0.36210233,0.912611
5,0.94447464,0.8225842,0.080841064,-1.8038691,-1.314103,-2.6859193,1.4532425,0.92218417,0.11312623
6,-0.004023969,0.1700911,-0.4226487,-1.3751788,-1.5899614,-2.4078145,0.5982034,0.065139696,-0.44432306
7,0.10325807,-1.6949112,0.7052181,-1.793921,-1.1544251,-3.2785587,-0.5297856,-1.5119473,0.5536226
8,1.1868744,-1.3277783,0.56252104,-1.8358163,-1.4146242,-2.9762003,1.3205255,-2.1711195,0.97091085
9,-0.65290844,-0.42340344,-1.1938242,-0.76568234,-0.88240075,-1.8310629,-1.2959707,-1.3430713,-1.1066989
10,0.4248069,-1.3614941,-1.3970984,-0.86506927,-0.46006227,-1.6888875,-0.46628296,-1.4635655,-1.8629527
11,1.2431998,-0.33894798,-0.34817812,-1.4932917,-0.3185987,-2.3238893,1.2792213,-0.81200147,-0.61747044
12,0.44502658,-0.30987227,0.23776427,-1.8435704,-0.16522956,-2.819074,0.34354755,-0.026052296,0.26129696
13,-0.50461537,-1.4811575,0.5695893,-1.7450043,-1.5603389,-3.0937948,-1.1191478,-1.8254154,0.20217234
14,0.29114443,-1.0392439,1.0054222,-1.9207034,-1.0996431,-3.194572,-0.0041433275,-1.9186761,0.7706304
15,1.7376392,0.33040398,0.4594887,-2.1948557,-1.3873584,-3.0608644,1.4095259,-0.5185253,0.08455837
16,-0.46263576,-2.4019432,0.2368645,-1.7794777,-1.4245303,-3.0425785,-0.616525,-2.8492877,-0.10423151
17,0.24822837,1.2156696,-0.31500825,-1.6171107,-1.2380689,-2.405463,0.49958256,1.134834,-0.8032948
18,-1.0916829,-0.9965001,0.17574385,-1.4905686,-2.0610256,-2.8749413,-0.79686254,-1.1859883,-0.017698541
19,0.16180366,-0.47653723,0.37937018,-1.6222928,-1.7191223,-2.836534,-0.25778526,-0.7976178,0.57698405
20,1.5791686,-1.9136024,0.8422486,-1.7276053,-2.0901968,-3.0619512,1.5367934,-1.796163,0.9570095
21,0.26209384,-2.5051727,-0.2841005,-1.3226609,-2.2103724,-2.6252062,0.7243457,-2.3974316,0.05436769
22,-0.69841707,-1.0474987,0.88099927,-1.9657683,-2.3533196,-3.3784394,-1.0487589,-1.4771297,0.8480359
23,-0.4407348,0.48485643,0.5158603,-1.7538018,-1.7499635,-3.1331468,-0.7918322,0.5201958,0.070337355
24,-0.9269253,0.2628793,-0.70904064,-1.1426286,-1.0491669,-2.102464,-1.022675,0.6444323,-0.9868126
25,0.018062055,-0.48067772,-0.6330906,-1.051019,-1.7214612,-2.304075,-0.5221291,-0.928066,-0.37011167
26,0.8689216,1.9465997,0.8906729,-2.7487326,-3.071703,-3.3275588,0.74922997,1.9759774,1.096616
27,-2.0953038,0.19809848,1.6062056,-4.5247145,-2.5178452,-4.182885,-1.9696927,-0.10858613,1.6827502
28,-0.8809312,0.5052596,0.41548264,-1.6569079,-1.6351271,-3.0647955,-1.291786,1.1578109,0.06874713
29,0.07182765,-1.5551848,0.2943458,-1.5283909,-1.8986162,-2.8678906,-0.71097654,-1.2739534,0.42862424
30,-0.004972279,1.4279733,0.13769466,-1.592108,-0.40798151,-2.8337142,-0.12823921,0.8520944,-0.109065756
31,0.80250555,-2.8828068,-0.0062863827,-1.420216,-2.1096244,-2.7681925,0.9605071,-2.6714258,0.3514998
32,1.5956461,0.397399,0.69661593,-2.410649,-2.001371,-3.2200375,1.5365298,-0.06878662,0.5795599
33,-0.4994638,1.3766422,-1.5830959,-0.85976374,-0.58961546,-1.620254,-0.6494372,0.7584635,-1.2006581
34,1.8340206,0.60524374,0.21496108,-2.0331924,-1.7106212,-2.8858,2.4402142,1.0687804,0.5112026
35,-0.11921126,-0.7634876,-0.94406164,-0.94706154,-1.4978298,-2.068711,-0.3067801,-1.5784507,-0.895136
36,-1.4399816,0.25980085,0.32752874,-1.4830661,-1.7120783,-3.007424,-0.9862552,0.3842039,0.50462466
37,-0.35229093,-0.76065385,0.22767462,-1.4289724,-2.0029538,-2.836522,-0.0019350946,-0.6282355,0.17904547
38,-0.823943,-1.9896021,0.19943018,-1.6823522,-2.1612763,-2.9425144,-0.8683162,-2.008197,0.085050076
39,0.97953826,-1.375732,0.88517904,-1.8956292,-1.6968066,-3.1063077,0.49187714,-1.7257358,1.1884401
40,2.2592824,-1.1465216,0.75804704,-1.8357546,-2.010065,-3.064344,1.6616993,-1.4956164,0.8319984
41,0.13955122,-1.1992879,-0.4894717,-1.1822956,-1.9327283,-2.357928,0.20303154,-0.86655915,-0.89812016
42,-0.16307372,-0.17590332,0.07311627,-1.6343929,-2.0605025,-2.8485594,0.5261847,0.15267944,0.14478251
43,2.7021074,-2.4632206,1.1056331,-4.1412373,-1.5517172,-3.130643,2.707471,-2.1291087,0.9865378
44,0.4023282,-1.9256163,-0.67310655,-0.953655,-1.845877,-2.223722,1.653544,-1.7302437,-1.3872681
45,0.5920157,-0.2364746,1.1315645,-2.2356787,-1.779839,-3.324607,0.11884695,-0.03268148,0.91238236
46,-0.025112212,-0.8688024,-1.0745443,-0.90978765,-1.4562016,-1.9989043,-1.3600557,-1.1064417,-1.5219486
47,-2.1231604,-1.7539451,-0.2706302,-2.6634765,-2.0059295,-2.5048323,-1.7712544,-2.8164382,-0.23687713
48,-0.33252972,-1.1695104,-0.61667573,-1.2550327,-1.0938163,-2.1438956,-0.15917985,-1.3613082,-0.9932073
49,-1.5750087,0.7967468,-0.19978604,-1.6344597,-1.1689732,-2.535252,-1.0215287,0.51780975,-0.37482768
50,-1.3278055,-0.10872245,0.9756328,-1.7831182,-1.1874261,-3.3919997,-0.8631646,0.14982527,0.8289732
51,1.1759613,-1.5259485,-0.16075161,-1.3677053,-1.1574366,-2.5434797,0.4459933,-1.2344494,-0.45583758
52,0.91535646,-0.4485847,0.31058976,-1.7457955,-1.5923665,-2.7689478,0.7897717,0.3635219,0.14069363
53,-0.17309743,-1.1336329,0.28839225,-1.5256118,-1.8324201,-2.824857,0.0080604255,-1.5481976,-0.3016492
54,-2.2265959,-1.4075164,-0.2865115,-2.5971715,-2.0782504,-2.6264849,-2.6210856,-2.0897024,-0.25645834
55,1.3321376,-1.1961854,-1.189246,-0.79382133,-0.8030206,-1.807482,1.0152197,-1.1871653,-1.7051461
56,0.6619796,-1.3726779,0.033176273,-1.3192247,-1.8072563,-2.6388295,0.33623943,-1.0625095,-0.03221686
57,1.530148,1.076288,-0.13696977,-1.9323976,-1.6756433,-2.6179261,1.9094034,0.9449361,0.19439343
58,-0.5041548,1.9214525,0.5118706,-1.9312494,-1.4649925,-3.1806047,-0.9931219,2.006845,0.52262014
59,0.9233087,-1.2577219,0.32503954,-1.8964074,-0.6699693,-2.9790125,1.1109637,-1.2105973,0.49277395
60,0.41920537,-2.245357,0.98819554,-1.9701222,-1.4386444,-3.3312688,0.74413157,-2.4387672,1.0450817
61,0.70276314,0.91591054,-0.48700282,-1.5508271,-1.3124145,-2.2991488,0.9481659,0.8842951,-0.66864735
62,0.10177928,-1.1494253,-0.55225945,-1.1367873,-2.2188864,-2.4115968,-0.3393046,-0.7611089,-0.5905958
63,0.36742717,-0.5140521,-0.6639489,-1.0857086,-1.690989,-2.2688878,0.214081,-0.5349721,-0.6785661
64,-0.96114874,-0.3474262,-1.539606,-0.45254248,-0.78814733,-1.672129,-0.8528183,-0.1264816,-0.8657781
65,-0.15863317,-2.0011294,0.91602385,-2.0048132,-1.8589035,-3.3096454,0.6804224,-1.3322983,0.7933009
66,-1.0826261,2.7735987,0.6533403,-1.9998405,-1.5968435,-3.3577375,-0.18863916,2.2292879,0.35211864
67,2.7538085,-2.3200593,0.78869426,-3.4366868,-1.4960104,-2.9142,2.4057162,-2.542242,0.6408066
68,-0.31372947,0.58029824,-0.77375996,-1.2174698,-1.1849437,-2.0976336,-0.33418146,1.2991817,-1.0993192
69,0.20337003,1.7305253,-0.6039337,-1.3903397,-0.3185621,-2.1579463,-0.535608,1.4466891,-0.36635035
