,latent_mean_0,latent_mean_1,latent_mean_2,latent_logvar_0,latent_logvar_1,latent_logvar_2,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,0.28231847,0.5211729,-0.0014623306,-2.923463,-1.6273575,0.0007542656,-0.10580379,0.7471678,0.9621173
1,-1.2123667,-0.36517566,0.05188542,-1.9001102,-0.9151318,-0.06224726,-1.8648882,-1.1278927,1.3633907
2,-0.81166565,0.061034083,0.02723302,-2.1369545,-1.1351801,-0.035318386,-1.3222115,-0.1627843,-0.1771564
3,0.06837396,1.2121272,0.013115113,-2.7356548,-1.4790412,0.011834772,-0.029778928,1.3980324,-0.0042092158
4,-0.06931734,0.18597323,-0.0015542707,-2.6251118,-1.4752461,-0.012007484,-0.020306453,0.43413186,-0.69156945
5,0.6307056,-1.2236195,-0.0404443,-3.1855276,-2.1032119,-0.0037305332,0.6811039,-1.0217972,0.51090825
6,-0.80338097,0.5237642,0.024941336,-2.0652673,-1.0991356,-0.0291348,-0.4208659,0.3571757,-1.747848
7,-1.5222845,-0.06900722,0.05911734,-1.721263,-0.8328067,-0.06524433,-1.7901347,0.2657219,-1.2056284
8,-0.7438147,-1.5146573,0.038277943,-2.315801,-1.2033011,-0.07630804,-0.26124895,-1.414716,0.85455817
9,0.017497748,-0.6143382,-0.012979616,-2.7804823,-1.7022628,-0.031092083,-0.102964856,-0.43535626,-0.5016916
10,-0.08507761,-0.95254725,-0.006319522,-2.7705517,-1.6689395,-0.03709181,-0.26954955,-0.8384946,-0.8049242
11,-1.3199084,-1.1639681,0.07857548,-1.8677434,-0.84300166,-0.098799095,-1.484767,-0.42285144,0.9536382
12,-0.14368546,-0.15387362,-0.005092143,-2.584816,-1.4989637,-0.021596791,-0.38843787,-0.41167232,-1.1551774
13,0.31485572,-1.3472719,-0.027433503,-3.0369368,-2.0249774,-0.018456772,0.36467156,-0.8363384,0.6860636
14,0.60178065,1.2612004,0.008691156,-3.137041,-1.9516078,0.014762336,0.9185065,1.3908216,-1.8325968
15,0.031236589,-0.5021642,-0.0117093595,-2.7814333,-1.6868415,-0.028240388,0.18777739,-0.76561743,1.2685825
16,-0.7358611,-0.8749946,0.028551348,-2.2776713,-1.2040609,-0.05176823,-0.26193246,-0.92089164,0.5730111
17,0.6156325,-0.13334602,-0.022348978,-3.1754806,-1.8504182,0.0048572826,0.6160928,0.00048942864,0.049353488
18,-0.005634606,-1.7145534,-0.0045208503,-2.9526153,-1.8920827,-0.04245914,-0.24214685,-1.6898677,0.14334565
19,-0.22012621,-0.16770029,-0.0038403803,-2.5139148,-1.4491639,-0.022943463,0.05610189,-0.81923246,1.3373909
20,-1.023465,-0.71118516,0.045267943,-2.04285,-1.0048996,-0.06283519,-1.1000174,-0.60923034,-0.48306102
21,-1.1600991,-0.091538966,0.04731168,-1.9226627,-0.9460359,-0.052522898,-1.3580691,-0.07210574,-0.5348431
22,-0.57043076,-1.0050015,0.019506838,-2.4154582,-1.3191473,-0.046840504,-1.0165355,-2.0615702,0.23772363
23,0.019839391,0.106251895,-0.003653978,-2.7166483,-1.5502417,-0.012905423,0.16673912,-0.45086813,0.94886106
24,-0.020462275,0.4994308,0.0019439985,-2.64358,-1.4405142,-0.0034130295,-0.3056069,0.5229334,-1.9058465
25,0.29546133,-0.5240707,-0.017672196,-3.0013592,-1.8285539,-0.019982671,0.37742254,-0.7590284,-0.039619703
26,-0.11903158,-1.553329,-0.001593939,-2.870802,-1.7299421,-0.047268823,-0.19543938,-2.0243027,-1.0015813
27,-0.03135568,0.8209772,0.0071030986,-2.62819,-1.4047176,0.0038645887,0.35605875,0.5073452,0.88898927
28,-0.3841455,-0.65745205,0.0068332595,-2.4839597,-1.4006712,-0.034227196,-0.5470301,-1.0161177,-0.40601143
29,0.40287352,0.29595655,-0.005979019,-3.049764,-1.7447515,-0.0038024778,0.67325866,0.44300625,1.0059885
30,0.6462222,-0.6542879,-0.034942076,-3.1977315,-1.9284854,0.0053990367,0.33078232,-0.9410452,-0.26201764
31,-0.9096596,0.16045418,0.032168612,-2.0681527,-1.0799655,-0.03641231,-1.0332556,0.9149344,0.40431678
32,0.066297695,-1.0820127,-0.013537209,-2.910478,-1.8017474,-0.037324898,-0.17844786,-1.144586,0.41351244
33,0.15646937,-1.1635695,-0.021166157,-2.9529681,-1.833709,-0.029855693,0.041571587,-0.9459797,-0.89775825
34,0.1534929,-0.83680505,-0.018840179,-2.9188442,-1.8236208,-0.03190719,0.6298696,-1.6292522,0.3264557
35,0.52365494,-0.33410245,-0.023246698,-3.1325903,-1.8630645,-0.00074627204,0.716563,-1.0697647,-0.8915943
36,-0.46270108,0.80332327,0.013661315,-2.2528734,-1.2164397,-0.014542393,-0.30043823,1.3019238,-1.6073047
37,-0.6285964,-0.20043147,0.018313799,-2.2779462,-1.2448744,-0.03425384,-0.77737516,0.47214103,2.1319077
38,-1.055063,0.85532427,0.03670366,-1.8780551,-0.95502305,-0.030764634,-1.3118482,1.5756471,-0.27806652
39,0.6402962,0.41442567,-0.010178694,-3.1648679,-1.7623051,0.0017768699,0.53929245,0.02041024,-0.19159915
40,0.24827686,1.1689563,0.009726301,-2.8680825,-1.5598454,0.010851774,0.3051288,1.4091176,0.32955617
41,0.11975211,0.3460231,-0.0017230446,-2.7900243,-1.5644095,-0.0055384,-0.119053274,0.009293556,1.5339938
42,-0.8305743,0.056402206,0.028280128,-2.1275964,-1.1265839,-0.03583736,-0.3513202,0.8623032,-0.45081145
43,-0.051607996,0.33599287,0.00018755766,-2.6285768,-1.4549289,-0.007966127,-0.4231173,-0.109561116,1.1804404
44,0.5109321,0.15119714,-0.011606297,-3.1228724,-1.7994938,-0.0019756653,0.7029537,0.22527105,-0.15222058
45,-0.050002426,-0.5538611,-0.01005659,-2.7139983,-1.6386262,-0.030297557,0.09208119,-1.1634194,-0.022777576
46,-0.69213665,-0.9539525,0.02670791,-2.3167796,-1.2343645,-0.051989652,-0.86536694,-0.152286,0.32450262
47,-0.9899533,-0.54409903,0.041850314,-2.0624285,-1.0324156,-0.056512624,-1.1743903,0.4876824,-1.0425392
48,0.18302453,0.23036039,-0.003982273,-2.8602285,-1.6301771,-0.0076789423,0.2407802,0.12115559,0.7815337
