,latent_mean_0,latent_mean_1,latent_mean_2,latent_logvar_0,latent_logvar_1,latent_logvar_2,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-2.2805028,0.48223412,0.10076974,-1.2642618,-0.32019603,-0.06728397,-2.4044983,-0.9211849,-1.0644785
1,-2.8712435,-0.413642,0.19806853,-1.0392448,-0.03769803,-0.13795991,-3.038729,-0.011259884,-1.411801
2,-1.8418069,-1.3329587,0.13718164,-1.5848083,-0.6561804,-0.14142334,-1.4648734,-2.3031762,2.5465822
3,-1.084281,0.7510394,0.03820536,-1.8845184,-0.9602098,-0.032744393,-0.68627894,0.3994163,0.07357563
4,-1.8912144,1.0295265,0.05704105,-1.478222,-0.5629757,-0.03163875,-2.3834057,1.1857833,-1.320852
5,-1.0087203,0.73239726,0.035282306,-1.9210486,-0.98341227,-0.031423192,-0.648191,0.95671,-0.124732845
6,-2.6201034,-0.100719035,0.16450506,-1.0758554,-0.08624947,-0.114884205,-2.37503,-0.25557336,0.14382538
7,-1.6535742,1.2760854,0.04658752,-1.573072,-0.6666817,-0.022258189,-2.4214482,2.08841,-1.6926168
8,-2.6626778,-0.8755937,0.19499628,-1.188532,-0.22154427,-0.15243302,-1.6964514,0.3527096,-0.526244
9,-0.89341486,-1.6761296,0.068290554,-2.5643144,-1.55955,-0.085162744,-0.85775566,-1.6003768,0.64787
10,-0.8971629,-1.0474925,0.0414629,-2.1631546,-1.0930554,-0.06748722,-0.6332686,-1.3666856,0.10987628
11,-0.39331263,-2.1367009,0.03806001,-3.1634426,-2.2848654,-0.081995964,-0.54352653,-2.416889,0.96863323
12,-2.978478,-0.53513163,0.2120112,-1.021689,-0.014840841,-0.14726181,-3.811191,-0.5882427,0.31788135
13,-1.6334016,1.2920573,0.04588082,-1.5763935,-0.6708374,-0.022105353,-1.8005813,0.8102464,0.039896365
14,-2.6850064,-0.18391907,0.1732673,-1.0670464,-0.07432437,-0.12094256,-3.5902934,1.1396456,2.5237463
15,-1.1653512,2.3088477,0.036211032,-2.0754795,-0.9458898,-0.1064078,-1.3749185,2.0598419,-1.4054241
