,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-0.4032812,-1.3071109,0.25116855,1.2149774,-2.9700367,-0.79174566,-1.1231754,-1.8500941,-0.79511267,-1.173175,-0.39874893,1.361791
1,-0.14703542,0.89253944,-1.2503369,1.5801687,-2.7808943,-0.78551495,-1.104521,-1.8136141,-0.43665344,0.6453002,-0.777007,1.206909
2,0.4278472,-1.9826678,0.867891,-1.0902218,-2.3839715,-0.7484249,-0.5889928,-1.0361807,0.33732882,-1.0048255,0.5486541,-0.6388962
3,-0.84209794,-0.6374963,-1.8769255,2.9454303,-3.1280243,-0.61592066,-1.3676121,-2.215335,-0.8127419,-0.038891077,-1.3047416,3.0872207
4,0.08708322,-1.57138,0.035762846,-0.5533147,-2.5922525,-0.72965443,-0.82506555,-1.2972039,-0.091232955,-2.351278,-0.13125376,0.6301284
5,0.08225733,1.1443429,-0.6789692,-1.3553108,-2.5378644,-1.2146003,-0.7582083,-1.1908913,-0.04031124,1.4486464,-1.7215288,-0.76967263
6,0.56445926,-0.5541201,-0.6961008,1.3498665,-2.2791662,-0.44408256,-0.9465179,-1.3290608,0.7728713,-1.4316516,-1.4405377,1.2075335
7,0.5124493,-1.0994684,-1.5268738,-0.0037256107,-2.2460654,-0.7607753,-0.9004386,-1.1964202,0.39073333,-1.3399827,-1.6033968,-0.65523213
8,0.25132614,-0.22502474,-2.1551595,0.035235927,-2.4542656,-0.8504373,-1.1153061,-1.3333437,0.24388386,-0.0720316,-1.6109154,0.22539257
9,1.2629261,0.23961787,-1.1681678,0.24606496,-1.7804025,-0.49743852,-0.586903,-0.94508654,1.18917,0.4449116,-0.659762,1.2203298
10,-1.0726306,-1.6559235,-2.0704107,-0.34630775,-3.3026445,-0.6043538,-1.4771569,-1.8484969,-1.2350461,-3.612525,-1.9518183,-0.592945
11,1.1464074,-1.2384744,-0.59469956,-0.20526083,-1.8022889,-0.56283313,-0.5923763,-0.9204138,1.3205662,-1.7010044,-1.2725356,0.13101102
12,-0.7493253,0.08487199,-1.343843,0.9489767,-3.0158997,-0.750991,-1.1240591,-1.9397153,-0.8021789,0.95331645,-0.5944926,0.89132607
13,0.067185104,-0.40975183,-0.9868937,-0.625483,-2.5505662,-0.8613836,-0.8503078,-1.2989168,0.48924205,-0.8589563,-1.1012051,-1.3133523
14,1.1554613,-0.21341194,0.54872614,0.02392508,-1.8200821,-0.5290571,-0.43725756,-0.98909736,1.0466871,0.83619773,0.5471752,-1.1529921
15,-0.069395125,-2.357459,-0.45057088,-0.5804099,-2.7434301,-0.6823132,-0.97731173,-1.3293754,-0.14432743,-1.7448093,-0.83517754,-0.38179815
16,-1.0837487,0.45598942,-0.60949785,1.1863598,-3.2175653,-0.82141674,-1.1503433,-2.04746,-1.0364195,0.5974717,-0.07727414,1.0599046
17,0.6308822,1.7178397,0.21581942,0.11142029,-2.2826378,-0.9285336,-0.59324545,-1.2237736,0.77094626,1.39904,0.07638274,0.5342171
18,0.603779,-0.9088926,1.166599,0.038059473,-2.2368267,-0.65272117,-0.6269518,-1.2313113,1.273168,-0.7352444,1.1265565,-0.17704202
19,0.40271038,1.9967868,-1.8912172,-0.3463831,-2.4147158,-1.1871498,-0.94809777,-1.20242,0.33794808,1.7554752,-1.946107,-0.46901408
