,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-0.35887772,2.7908454,0.01843247,-0.29129872,-2.03366,-1.9073275,-0.03546693,-2.9427986,-0.5761729,2.7304273,2.4498777,-0.40458578
1,1.599478,2.7678828,0.050548173,0.71076834,-1.860782,-1.4900423,0.0564869,-2.572669,1.0040747,3.3630981,1.7417037,0.74214655
2,-0.38104266,1.820504,0.03275454,-0.26335245,-2.061155,-1.3270745,-0.025248049,-2.9713845,-0.40873298,2.4174595,0.36179098,-0.3902677
3,0.18549311,-0.903813,0.0062468858,0.56251574,-1.3517592,-0.60427564,0.021001631,-2.2662032,-0.4582662,-2.5248199,-0.26418182,0.28455245
4,-0.8952981,2.798377,0.02141914,-0.49989432,-1.9696903,-2.1427536,-0.04197246,-3.1371107,-0.4868468,2.7729688,0.11656104,-0.33050147
5,0.61200905,0.8545314,0.019328456,0.34496832,-1.4227455,-0.8658721,-0.00091548264,-2.300277,1.1738384,1.233889,0.42261958,-0.26512057
6,0.56563437,-0.75491214,0.0071158037,0.74070346,-1.2956518,-0.8214114,0.02352661,-2.1648755,0.010131478,-0.06613207,-0.8236842,0.5286398
7,0.15829271,-0.6678674,0.012493347,0.7643899,-1.2162833,-0.9311205,0.014677678,-2.1539202,0.071290776,-0.36398962,0.99872017,1.0448298
8,-0.7872429,-0.92976844,0.0133842155,0.13971698,-1.4183697,-0.26508778,0.010312248,-2.5313296,-0.7574244,-0.22912544,-0.47705966,-0.02642779
9,0.453443,0.8890035,0.014928504,1.0136899,-1.1140492,-0.41091138,0.044953413,-1.8809662,0.41167167,2.0730493,-0.4902226,1.2852368
10,-1.8341879,1.5780599,0.029666364,-0.0721502,-1.6151527,-1.9199332,-0.05496525,-2.8445559,-1.3344495,1.521039,-0.8950294,-0.03093253
11,-1.8605169,2.3924828,0.021415971,0.25414425,-1.9504905,-2.0454516,-0.06880317,-2.735547,-2.5081043,2.47187,-1.3880243,0.3772146
12,0.6701397,0.50867766,0.02018161,0.4396299,-1.3925202,-1.2290792,-0.00049338304,-2.3347251,-0.49991894,-0.051920235,-0.6316424,0.40552786
13,-1.583305,2.142096,0.03476814,-0.91934013,-1.8981109,-2.386026,-0.06109058,-3.3712544,-1.5628095,1.6831301,-1.8249339,-0.6306434
14,-1.7606901,-2.4592652,0.067734465,-1.2286263,-1.9276214,-0.72091013,-0.033783443,-3.554061,-1.4898566,-2.9115136,-0.8863119,-1.0113864
15,-0.24237561,1.822364,0.031374454,-0.25407892,-2.038331,-1.3242822,-0.023472475,-2.9535084,-0.31280273,2.0362291,-0.47188514,-0.5001769
16,1.1909478,-0.30428302,0.015100811,1.1926227,-1.130854,-0.58772576,0.065304644,-1.9367989,1.5507984,-1.0003879,0.7797949,1.6382885
17,0.6624626,1.145081,0.028274968,-0.7137468,-1.9401093,-1.0714283,-0.040099673,-3.0686207,1.4067206,0.47747678,-0.30316293,-0.6903212
18,1.2133404,0.29910654,0.01802547,0.9163916,-1.2467722,-0.47923076,0.054159798,-2.045422,1.8801848,-0.5796289,0.083260365,1.3409114
19,1.4228269,-1.0521331,0.03192565,0.081176996,-1.5616298,-1.0405805,-0.010043154,-2.6053455,2.1185038,-1.0480545,-0.21421286,-0.04535675
20,0.936109,0.79813,0.023450116,-0.10396582,-1.6653645,-0.80710906,-0.016405182,-2.5991626,1.6436318,0.46867797,-0.2283776,0.046601683
21,-0.2977904,0.22690383,0.031924613,-0.031466514,-1.4994242,-1.5759116,-0.023233058,-2.754208,-0.27067804,0.28897965,0.38893938,0.032789312
22,-0.5681391,0.044584274,0.02367665,0.6581391,-1.1335738,-1.0161439,-0.00516147,-2.1706681,-0.8128225,1.0572556,-0.15435202,0.60833067
23,0.7989771,0.82298243,0.018290956,1.0266945,-1.1243399,-0.72496057,0.035505567,-1.9033697,0.5020056,1.0319352,-0.82521856,1.576078
24,-0.99172544,-1.0825227,0.03321909,-0.44370726,-1.656069,-0.25669616,-0.01077049,-3.0176444,0.047148347,-0.8253169,-0.35929534,-0.1531021
25,1.4803348,-0.24210685,0.034476385,-0.6172479,-1.9103153,-1.150695,-0.031889193,-3.0204456,1.125804,0.1740371,0.22057484,-0.12609756
26,-0.5710491,2.6932578,0.021151356,-0.3027023,-2.0058908,-1.900536,-0.033981375,-2.9787686,-1.0377083,2.2471755,0.5470368,-0.20185062
27,-0.69719803,0.050661802,0.008048704,1.3672544,-0.8281814,-0.74782693,0.007869912,-1.6397302,-1.0298566,0.5346192,0.43110222,2.3607612
28,1.0508713,1.607759,0.025214635,-0.60659623,-2.1874652,-1.192507,-0.039710052,-3.0482855,0.7660693,1.134865,1.1176722,-1.0640504
29,-0.5464077,-0.9810325,0.011720788,0.14044029,-1.4536414,-0.2754693,0.010615073,-2.5299923,0.075742185,0.6157851,0.5137788,-0.5657568
30,-0.8916495,0.10944605,0.023623642,0.6121739,-1.122511,-0.90948343,-0.00642447,-2.180596,-0.7090674,-1.0814708,-0.74226904,0.21233195
31,-1.422043,-0.83752716,0.038573362,-0.11789015,-1.3655102,-0.8969972,-0.015781755,-2.803254,-2.1381607,-1.0329561,-0.09747843,-0.31650704
32,-0.29447198,-0.5936911,0.04025404,-0.2263355,-1.5396602,-1.1894977,-0.027061561,-2.8620436,-0.99248797,-0.45726544,2.0017579,-0.37824765
33,1.0960621,0.8285536,0.019567776,-0.035069346,-1.6569114,-0.5837354,-0.010374742,-2.5068264,1.033122,0.92078954,1.1039926,0.5440464
34,0.951872,0.031256616,0.01877314,1.7434503,-0.82570773,-0.44039214,0.08007521,-1.5810695,1.1384623,1.6782067,-2.3515575,1.7042068
35,-0.021820664,2.5341458,0.015772544,0.22108507,-1.8047324,-1.5315682,-0.009010406,-2.5696604,0.25836745,2.8426042,0.46698225,0.05050814
36,0.6259478,2.9627805,0.032298014,0.13999546,-1.9947999,-1.8009889,0.003594907,-2.7747943,-0.0216043,2.8561904,-0.12720942,-0.13179228
37,0.8273034,0.4101762,0.014380611,0.17820942,-1.5523722,-0.5550542,0.0007272251,-2.3980308,0.5419206,0.6058885,-0.73825073,-0.29706725
38,-1.4297422,-0.04757744,0.023618106,0.3555057,-1.1938097,-0.6407318,-0.0028775614,-2.3468208,-0.93929476,0.06689195,1.0373279,0.48262343
39,0.44104916,-1.0094792,0.03175732,-0.2402179,-1.6637738,-1.0083163,-0.02092568,-2.8619275,0.5431361,-1.2795292,-0.065947056,-0.4356786
40,0.832586,0.9141563,0.029100895,-0.6345545,-1.9231831,-1.0290108,-0.036550924,-3.0074136,1.0952414,1.5420176,-0.7549591,-0.3958137
41,-3.8178053,3.077548,0.028728655,0.56818724,-2.6928098,-2.786499,-0.1427228,-2.9004822,-3.9049294,3.3063586,0.580719,0.95955414
42,-1.082504,-1.54348,0.0010513561,0.91545,-1.0750477,-0.4242834,0.024027575,-2.0512002,-1.0978031,-1.4676499,1.1624715,1.0461628
43,0.5100716,1.9800817,0.034044094,0.6566402,-1.5477751,-0.95848703,0.03163337,-2.298576,0.7298374,2.3735783,-0.25538805,0.49365628
44,0.7626178,-0.7581836,0.03933902,-0.37162453,-1.6877015,-1.0815438,-0.028619403,-2.902602,0.56534666,-1.2272261,0.48810458,-0.7223022
45,1.8314422,-0.31057197,0.022580585,0.15391713,-1.626718,-0.9806802,-0.005706569,-2.5172434,2.1371577,0.17759663,1.6925684,0.64026093
46,-1.496955,1.0657636,0.0566943,-1.0838525,-2.130395,-1.5869144,-0.055673234,-3.5391824,-1.1163839,1.2824212,0.22255087,-1.0373086
47,-0.08025181,1.8970665,0.024176924,-0.06100422,-1.8453226,-1.2464736,-0.017450655,-2.7175345,-0.43804103,3.0096235,1.8489544,-0.8333873
48,-0.14985406,1.891947,0.017468195,-0.002668023,-1.566315,-1.27845,-0.016736003,-2.5840237,-0.20862094,2.8548915,0.22534035,0.07824595
49,-0.72702205,0.0745576,0.0334535,0.21212322,-1.3080324,-1.2851262,-0.018296136,-2.526616,-0.041392744,0.45877275,0.6539973,0.39785513
50,-1.2677493,0.9522443,0.022479098,1.0570613,-1.2466911,-1.3690552,-0.03376343,-2.0118802,-0.70935357,0.94905317,-1.2475984,0.40687764
51,1.324691,-0.50610065,0.014969977,0.37775207,-1.5158231,-0.94501925,0.0059017595,-2.4001505,2.0491061,1.1455675,-0.6618054,0.58710754
52,-0.4005525,0.19919714,0.017882373,0.38184,-1.3145566,-0.68319106,0.0049660113,-2.3043723,-0.43519437,0.9233879,-0.28500783,0.32750514
53,1.1953992,1.3413556,0.020941367,0.15155458,-1.6154758,-0.68760943,0.0004054457,-2.4155793,0.8742174,2.1750035,-0.51247066,0.34512872
54,0.15941629,1.6517907,0.02610784,0.009206474,-1.858721,-1.0172317,-0.012551213,-2.6497767,-0.2081044,1.466287,0.25727642,0.0040935553
55,1.2512304,-1.1414716,0.013522789,0.42241466,-1.5025046,-0.9976865,0.009657899,-2.4337556,0.80175984,-1.5016805,0.16566022,-0.08173078
56,0.44492316,2.2666311,0.026989454,-0.104857236,-2.0325909,-1.3814323,-0.014676349,-2.813519,0.5756113,2.7209747,-0.5587476,0.24703798
57,-0.22590107,-0.18416595,0.021096881,-0.10641387,-1.5562372,-0.40409595,-0.005951749,-2.642476,0.85798603,-0.28277487,-0.41836333,-0.45710924
58,-0.1103161,1.8709854,0.020130657,-0.02309984,-1.6698244,-1.2490704,-0.016833292,-2.6302876,-0.40889704,2.227912,2.0533557,0.2979986
59,-0.9979776,1.3967351,0.016769078,1.1951665,-1.4987957,-1.4638337,-0.03823235,-1.9924225,-0.87793064,1.8570766,0.059983928,0.9432974
