,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_mean_5,latent_mean_6,latent_mean_7,latent_mean_8,latent_mean_9,latent_mean_10,latent_mean_11,latent_mean_12,latent_mean_13,latent_mean_14,latent_mean_15,latent_mean_16,latent_mean_17,latent_mean_18,latent_mean_19,latent_mean_20,latent_mean_21,latent_mean_22,latent_mean_23,latent_mean_24,latent_mean_25,latent_mean_26,latent_mean_27,latent_mean_28,latent_mean_29,latent_mean_30,latent_mean_31,latent_mean_32,latent_mean_33,latent_mean_34,latent_mean_35,latent_mean_36,latent_mean_37,latent_mean_38,latent_mean_39,latent_mean_40,latent_mean_41,latent_mean_42,latent_mean_43,latent_mean_44,latent_mean_45,latent_mean_46,latent_mean_47,latent_mean_48,latent_mean_49,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,latent_logvar_5,latent_logvar_6,latent_logvar_7,latent_logvar_8,latent_logvar_9,latent_logvar_10,latent_logvar_11,latent_logvar_12,latent_logvar_13,latent_logvar_14,latent_logvar_15,latent_logvar_16,latent_logvar_17,latent_logvar_18,latent_logvar_19,latent_logvar_20,latent_logvar_21,latent_logvar_22,latent_logvar_23,latent_logvar_24,latent_logvar_25,latent_logvar_26,latent_logvar_27,latent_logvar_28,latent_logvar_29,latent_logvar_30,latent_logvar_31,latent_logvar_32,latent_logvar_33,latent_logvar_34,latent_logvar_35,latent_logvar_36,latent_logvar_37,latent_logvar_38,latent_logvar_39,latent_logvar_40,latent_logvar_41,latent_logvar_42,latent_logvar_43,latent_logvar_44,latent_logvar_45,latent_logvar_46,latent_logvar_47,latent_logvar_48,latent_logvar_49,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-6.91643,-0.043404117,0.028110918,0.03301155,0.078247055,-0.16120976,-0.05051724,-0.04294342,-0.18979974,-0.1625429,-0.050539,0.0043788766,-0.022908675,0.022845736,-0.020868275,-0.023328012,-0.008430281,-0.21086133,-0.1416224,-0.07253896,-0.11863413,0.21195355,-0.14251061,-0.07643049,0.030047618,-0.19004798,0.08236957,-0.21657681,-0.11226303,-0.18557286,0.017998569,-0.17114621,0.018787066,-0.004280081,-0.07533549,0.07202718,0.033735257,0.033725284,-0.14523257,0.14056736,-0.005752186,0.7061987,1.2250925,0.109979145,-0.01406629,-0.008494858,-0.0004342813,0.03134666,-0.056921706,0.10164721,1.1300235,-0.13412493,0.13686007,-0.09585438,7.006107e-06,-0.06881358,0.019018667,-0.08971913,0.09379745,-0.109687656,0.08331685,-0.011994183,-0.14144845,0.07152784,-0.00028321892,-0.111287035,0.08572079,0.13120414,-0.07452014,-0.03077494,0.1357376,-0.24016462,0.1579872,-0.026880436,-0.052429397,-0.011173899,-0.01457642,-0.06091567,0.113052584,-0.026625037,0.056432914,-0.08402669,-0.017577108,-0.073835,0.058158398,-0.11762146,-0.0047648335,0.063251615,0.024705375,-0.058582745,-0.29632384,-0.28576797,1.654203,-0.13580246,-0.034035046,0.3043889,0.06325578,0.06749953,0.054902002,-0.18475872,-5.6799154,-0.5287849,-0.9398844,-0.86027324,1.0891985,-0.4384443,0.28498065,1.4673111,0.8492697,-0.6700416,0.4590938,-1.0107421,1.6940097,0.58299714,-0.15872318,0.014198048,0.49184003,0.5683006,-0.43579426,-0.33014852,1.8168775,2.1090088,1.66407,-1.0803058,1.674785,-0.37289104,0.04994889,0.76559067,0.1387595,-0.24124143,-0.97315407,0.06879096,1.3982202,0.8277214,-2.135328,-0.07002798,0.5001806,-2.3730342,1.3061357,1.0090747,0.46398398,0.42249104,1.6855729,0.3197659,-1.844192,0.3562517,-0.8566484,-0.6321661,0.42436296,-0.12834507
1,-0.78333974,-0.0043026316,0.020704737,0.035927378,-0.030973129,0.01639129,0.05361762,0.012290947,-0.004287054,-0.02613115,-0.028772278,0.01922943,-0.011155927,-0.0512122,-0.027054027,0.013381768,-0.04686271,0.010581724,-0.0027472824,-0.03585901,0.0073853508,-0.02629137,0.008701539,-0.020235762,0.029163115,-0.0084838495,-0.027000453,-0.024661446,-0.027542032,-0.03719985,-0.01503941,-0.0067613693,-0.0034799986,-0.012079814,0.024705587,0.0035649773,0.022818506,0.03588021,-0.01350952,0.05070149,-0.021720055,0.65177655,0.36113253,0.018497927,0.018794015,0.0055586346,-0.000644614,0.0064542736,0.003517311,0.034613624,-2.2391977,-0.0035305638,-0.010696409,-0.022112535,0.035907775,0.036957234,-0.007844648,-0.03173867,-0.019868594,-0.04172845,0.0018092655,-0.004280093,-0.029316753,0.0115926545,0.026937898,-0.025956225,0.027902316,-0.0034062471,-0.032095406,-0.034863934,0.016655628,-0.022163104,-0.005774932,0.0009811386,0.045231715,0.02072578,0.003765367,-0.0031667314,0.023702256,-0.019642845,-0.0022847988,0.019704875,0.013210005,0.019208446,0.03297005,-0.019585544,-0.012633384,0.017561415,0.01771114,0.03879653,-0.028570672,-1.8886007,-1.248088,-0.017326718,0.0022568875,0.040355176,-0.01609173,0.026838176,-0.013976376,-0.011056492,-0.21356678,-1.2778769,-0.28006527,-0.17106533,-1.2346576,0.9549099,-0.075450934,-0.9250027,-0.3849379,-0.9862443,0.57658905,-0.051054303,-0.18318965,2.9254022,-0.62028044,-0.15165319,-0.74933875,0.3165667,-0.75578463,0.07804058,-1.0006694,-0.13528591,-0.7359086,-0.38149065,-1.5136864,1.6914046,-0.36717933,-0.8545916,-0.10062781,-0.008333443,1.7979194,0.90147465,0.7699467,1.3036684,0.36145514,-0.89633954,-0.017347619,-0.66091996,0.2907697,1.5508528,-1.4163917,1.0665094,0.3303514,-0.8680287,-0.17542441,0.5701848,0.21956466,0.5772329,-1.3418356,0.4333313
2,0.100219175,-0.002256028,0.016635403,0.03568046,-0.03744767,0.020870337,0.041045986,0.0044485917,0.0057619717,-0.02095,-0.02472644,0.03347564,-0.014281764,-0.050603405,-0.01774168,0.019224767,-0.03692487,0.003720976,1.7620623e-05,-0.03455752,-0.0044562332,-0.01658599,0.0050480627,-0.0125067765,0.02667522,-0.0033054147,-0.024711914,-0.008054879,-0.024429634,-0.012570564,-0.019256685,-0.0022512283,-0.00830293,-0.021372676,0.013544558,0.023580896,0.028944645,0.025354777,-0.020473886,0.03192611,-0.013476834,0.7393091,-0.8211292,0.01217493,0.015205437,-0.004537803,-0.0033541778,0.0017427802,0.014599908,0.020419981,-2.7553046,0.008335465,-0.021801973,-0.0057559907,0.03126667,0.023504566,-0.023204822,-0.015568664,-0.019384826,-0.03681884,0.000848053,-0.0044770525,-0.019245204,0.016061738,0.013595557,-0.025296848,0.037004333,-0.005003657,-0.031257495,-0.03860365,0.027850036,-0.022688286,-0.0008694669,0.009019604,0.047035493,0.004160286,0.005986171,-0.0021117097,0.029166704,0.0014041094,-0.013734369,0.020097498,0.006560811,0.028252417,0.030823179,0.013510025,0.0011276873,0.022098884,0.020943543,0.049430713,-0.002832638,-1.7516471,-1.5232489,-0.022653084,-0.0074634184,0.035720304,0.0026318382,0.026423965,-0.027313437,0.00073810853,0.2427856,0.5875163,1.4583247,-0.23845251,-0.4998567,-0.34591743,0.08883993,1.0196856,-0.7363466,-0.51740354,-0.72675484,-0.47725224,1.2804759,1.296235,0.6810266,1.0435742,-0.94177806,2.0335922,0.50890523,-1.1185846,-1.4333345,1.3491491,-0.15914375,-1.4253452,-0.81783557,0.844609,-0.03855174,0.3192548,0.122151405,0.98028105,-0.06216199,-0.98243815,-0.08623488,-0.74560803,0.0277754,-1.1100138,2.073669,2.2784832,1.3045621,-0.30298752,0.71386415,0.8968856,-0.690701,1.2883841,-0.77491796,0.15886417,2.302848,-0.8914438,2.2312381,-1.3607321
3,-1.9954882,-0.020101167,0.022646673,0.0067050923,0.017721448,-0.059122004,-0.033637185,-0.019631665,-0.050107405,-0.024747085,-0.017180564,-4.4548884e-05,-0.05701733,-0.012505975,-0.0012245858,0.0059614973,-0.01582703,-0.06881212,-0.010813037,-0.003855546,-0.0047679897,0.0357838,-0.039964728,-0.04227341,0.025576051,-0.077775285,0.0001910273,-0.082049415,-0.026155535,-0.04144555,0.02168932,-0.024270914,-0.0070306202,0.027128438,0.003515711,0.024584219,0.02174897,-0.0151164085,-0.009937186,0.057241768,-0.052068286,-3.0161972,1.56759,0.014791806,-0.020603565,-0.009970136,0.031102207,0.033172444,-0.047117475,0.031145861,-1.2333509,-0.05606192,0.039693452,-0.027742,0.032172874,-0.05673993,0.026239365,-0.025369689,-0.008887769,-0.10064128,0.0663438,-0.026232688,-0.023007745,0.0043721553,0.016758671,-0.084883414,0.03934703,0.023795381,-0.034325194,-0.047061995,0.043679133,-0.08953649,0.049803354,-0.035021458,-0.017869819,0.00780313,0.0010411637,-0.023441602,0.06469289,-0.04943311,0.02753026,-0.016499903,0.012003728,-0.026508538,-0.03450057,-0.06684735,0.00082124956,0.027051715,-0.0077027795,0.008982819,-0.10550199,-1.3603442,-0.45038193,-0.0039124354,-0.022446997,0.085124046,-0.016911542,0.061430056,0.03593841,-0.06067431,-2.353345,-0.25944927,-0.26315618,0.59283024,-1.0855055,0.0032291375,-0.9749206,0.08317149,-0.060940098,1.7650535,0.39054495,0.031072814,-0.18911952,-0.80183,-0.41410288,-0.097234614,1.3971182,0.62921697,-1.0710028,-0.22628124,-0.04325653,-0.92427784,1.0385027,0.40664026,0.70614535,0.7691845,0.37000585,1.1131338,-0.8857841,0.6985331,0.62849116,0.42956772,0.5637422,-1.4871831,1.7794545,-0.56988364,-1.1480311,1.2626417,0.21462175,1.184221,1.499194,-3.7128296,0.1329056,3.1656938,0.022931287,-0.76087874,1.7190063,-1.0878427,0.26998472,0.9323303
4,-2.1476412,0.00023023225,0.05262823,0.03921095,0.036834955,-0.06258914,-0.021096341,0.055183653,-0.050011814,-0.031377837,-0.027282648,0.0060817255,-0.062555216,-0.0050878134,-0.009737303,-0.020274075,-0.03712529,-0.09856462,0.013526954,-0.05136695,0.03713894,0.028742898,-0.07968274,-0.02375212,0.011292398,-0.059383485,0.010899538,-0.13531408,-0.016138205,-0.053074114,0.030434275,-0.050285973,0.04003796,0.0052180896,-0.004690457,0.037757214,0.0326399,0.022593789,-0.061923515,0.08138757,-0.027322762,-1.0563265,3.8182855,0.036643717,-0.03667281,-0.020763405,0.041277792,-0.02806249,-0.08187531,0.04723697,-1.43179,-0.044705443,0.034089454,-0.07081942,0.043206133,-0.049496014,0.06941358,-0.058808584,0.013759945,-0.08383222,0.04127036,0.01648621,-0.05273897,0.039196268,0.00853602,-0.093973674,0.017090969,0.012818469,-0.057270847,-0.026493732,0.041227475,-0.08030332,0.03994654,0.0012207374,0.01987854,0.0595823,0.0050873235,-0.01906697,0.11911669,-0.0627369,0.021964356,-0.02615184,0.018909128,0.040950812,-0.08054256,-0.037435032,0.0008378811,0.027702209,-0.004038365,0.041435722,-0.12479859,-0.9548598,-0.07573545,-0.0136748515,-0.0058921804,0.09470089,-0.032169916,0.08081819,0.06680749,-0.111538164,-2.3526883,0.839297,-0.9600175,-0.43556452,0.09066232,-0.81387067,-0.13885517,1.3367616,1.7615755,0.23103489,0.20564759,0.011170794,1.5002537,0.9837512,1.208679,-0.9749019,0.058518007,0.53692853,-0.61583585,-0.74120975,0.9166998,0.5654763,0.7095189,-0.81313854,1.2219644,-0.45022473,0.056927375,-2.9068594,1.3655205,0.8429861,0.29677087,-0.6719751,1.1494637,0.16390024,-0.5367397,1.984087,-0.17090634,1.4356761,-1.4369066,-0.5206049,0.11503599,-1.4018855,1.5432534,0.91282827,-0.341955,0.4090889,0.8514819,0.447803,-1.118452,-0.39922506
5,-1.1852683,-0.012053306,0.02597307,0.04807168,-0.036805954,0.02711008,0.053893264,0.0038810167,-0.000784792,-0.03310438,-0.02893546,0.025539951,-0.010315575,-0.05726891,-0.0347962,0.027417079,-0.04667656,0.011868242,-0.013604883,-0.03452059,-0.012242619,-0.024902036,0.013570666,-0.035787534,0.031734932,-0.012716695,-0.018057514,-0.024508739,-0.035087883,-0.021484157,-0.02198567,-0.008084916,-0.008074104,-0.013825393,0.02690903,0.026547438,0.016057346,0.033794843,-0.0093854675,0.058197577,-0.01944469,0.4450785,-1.1257799,0.019418411,0.0093123345,0.012832351,-0.010782356,0.0031767753,0.014921682,0.04119076,-1.8806779,-0.0028561908,-0.028211633,0.00046215765,0.035863772,0.038786203,-0.02590677,-0.04570535,-0.020849623,-0.057098217,-0.0096466,-0.0016408358,-0.019051697,0.011633625,0.019430405,-0.018150873,0.04351253,-0.0040821,-0.03624823,-0.051075406,0.034740046,-0.037864733,-0.002491816,-0.0034001484,0.04828027,0.016256716,0.00018425658,-0.005373206,0.0026256703,-0.010343411,0.0030145077,0.008387314,0.0013863277,0.017685518,0.054823257,-0.0053502917,-0.011920678,0.029143164,0.038293242,0.045245785,-0.015822452,-2.059537,-1.1827557,-0.03249626,0.0025434447,0.046388984,-0.0027376187,0.025840754,-0.029028162,0.009707103,-0.87139726,0.51416403,1.7360693,-1.7384543,2.0540001,-1.4277142,0.15266483,2.3257318,-1.0936624,-0.7430438,0.8043416,-1.5360245,-0.4896444,0.3386491,-0.08477953,-0.44690025,-0.690305,1.3036282,-0.541645,-0.24877709,0.19455053,-0.20995277,-1.7426734,0.13953622,-0.16781513,-0.7759216,0.033274908,-1.0743327,-2.4852939,0.30327594,-0.116784476,0.5843545,-0.5879696,0.1327094,-1.2850289,1.1124369,-0.97687775,-0.73573005,-3.7828398,-0.80976206,-1.2558703,0.417654,-1.006937,-0.6226172,1.7729869,-0.59001017,-0.6791707,0.21098448,-1.1711137,0.6824852
6,-1.2190491,0.00076218415,0.028021276,0.036987867,0.0031367894,-0.01796338,0.02354061,0.03173025,-0.023922391,-0.029997513,-0.027491959,0.0039511584,-0.030276071,-0.032743923,-0.018638821,-0.009722274,-0.045161314,-0.02941631,0.0026389249,-0.03852268,0.022080503,0.0030352557,-0.010524549,-0.015522323,0.017744085,-0.026232447,-0.009498293,-0.06747331,-0.017221007,-0.047194716,0.005814218,-0.020058323,0.018050786,-0.006680101,0.010437192,-0.0010387807,0.018191623,0.022772565,-0.026847852,0.05311139,-0.019534007,0.46492124,1.778871,0.030394124,-0.00060237874,-0.0006330651,0.020477798,-0.0014264551,-0.031973246,0.043394335,-1.9591968,-0.019635217,0.018343944,-0.05329761,0.034412663,0.0069881026,0.02725809,-0.040138807,-0.004418214,-0.045436174,0.022802474,-0.0020132083,-0.03572283,0.024580112,0.023069827,-0.049548768,0.015725534,0.005372735,-0.035039365,-0.028550142,0.014505471,-0.03216558,0.012843524,-0.004941936,0.03603201,0.038929295,-0.0017757295,-0.008358831,0.06277595,-0.031051284,0.0024447246,0.0059395544,0.014188262,0.029763676,-0.022185132,-0.03794937,-0.0018720361,0.010889399,0.0042290725,0.033174902,-0.06187676,-0.81922615,-0.8335028,-0.0013881237,-0.00057816925,0.053476803,-0.025890695,0.04590546,0.018549222,-0.058042865,-0.4601283,-0.96524554,-0.23846799,-0.8107881,-0.32461733,1.3070759,-0.683194,-0.66691697,0.2563899,-1.1330457,-0.9454726,-2.740067,0.67573345,1.1309345,-1.1330535,0.6905631,-0.48832905,-1.1887407,-2.1654658,-0.95003146,-1.2637341,-0.58186215,0.10175878,0.8607361,1.3448113,-0.5337096,1.0925907,-0.44650668,0.9549025,-1.4860641,0.79376024,-0.80501616,-0.64144933,1.0521617,1.2674222,-1.5487185,0.028345875,-0.072477475,-1.1960294,-0.014880605,2.9560668,0.49531,2.736884,-0.37937364,1.2905153,-1.9786309,0.88770604,-1.1717333,1.3011479,0.18052429
7,-0.7086603,-0.0054024393,0.0020104274,0.04893156,-0.03327081,0.023697848,0.07858829,0.007372408,-0.0076905685,-0.043584302,-0.034273073,0.036012724,-0.00091264676,-0.060975842,-0.012456125,0.011562028,-0.04921961,0.015980303,-0.012212044,-0.059146583,-0.015193729,-0.012949996,0.017077593,-0.028783068,0.04032026,-0.010818805,-0.035359874,-0.023879096,-0.035605296,-0.050031114,-0.02279139,0.01145327,0.001916212,-0.03176018,0.0010804413,0.009673962,0.025758095,0.050514784,-0.023763081,0.05504994,-0.015169941,1.5915145,-0.34771279,0.043726757,0.029662833,0.00032209605,-0.015964191,0.008531646,0.038359158,0.04461869,-2.2668319,0.018412285,-0.008606909,-0.01228097,0.04650514,0.054667823,-0.02395161,-0.021135451,0.00064982846,-0.028160702,-0.010334291,-0.008754281,-0.03943631,0.031136978,0.014368653,-0.02293701,0.04582809,0.008226062,-0.02217421,-0.03288459,0.022196762,-0.017357461,0.00069437735,0.0149040725,0.043982413,0.012100295,0.013714096,-0.009553578,0.022647941,-0.021431457,0.0061944006,0.011880112,-0.00378686,0.01852759,0.07576349,-0.016505983,-0.009131819,0.036353163,0.031651963,0.047961555,-0.04617676,-1.788108,-1.3179923,-0.04331696,-0.0073009566,0.04885231,0.015911909,0.022254854,-0.03901253,-0.0032345336,-0.62809706,0.014313442,0.10287834,-0.70198226,-0.0036804043,-2.2118194,-0.41565675,0.57826513,0.5564736,-2.0275838,-1.0478102,-1.1831895,-0.64802253,0.59897,1.9300451,-0.95092505,1.0749092,-0.30415434,0.39373964,0.96430844,-0.7610772,-0.2665136,2.1708343,0.58463573,2.3361738,-0.61574656,0.40445596,-0.8146922,0.10925482,-0.7328504,0.07715796,0.28221017,0.16874814,0.2934067,-0.20118748,1.5985843,-1.5833043,0.080916256,-1.7416611,-1.9408964,1.253958,1.5923146,0.41902414,-1.3247247,-1.0958977,1.3575022,0.5105649,-0.5818474,0.4459107,-0.026606277
8,-5.415793,-0.011966536,0.012888966,0.06458402,0.044971768,-0.10865752,0.032861248,0.012156445,-0.1438865,-0.14521967,-0.056465562,0.026462592,0.0027623428,-0.010543522,-0.017582295,-0.03812764,-0.03649175,-0.15188865,-0.08995323,-0.12701952,-0.07789086,0.14893904,-0.11678192,-0.060937066,0.034362998,-0.11946025,0.042253055,-0.18813315,-0.086887956,-0.17903975,0.005577878,-0.11124152,0.061071657,-0.05571346,-0.07632284,0.06558783,0.04835444,0.08017721,-0.14945339,0.13493133,0.011527082,2.6268067,2.1118557,0.13001443,0.001199479,-0.01602529,-0.012364146,-0.009124763,-0.018991906,0.10050355,0.08417797,-0.063786566,0.088321604,-0.08149706,0.032973774,-0.001724924,0.009680947,-0.072986074,0.105630465,-0.05665268,0.03242477,0.004433739,-0.14644419,0.09571693,-0.002765976,-0.1009651,0.072787106,0.106465146,-0.06719564,-0.0024518054,0.09879897,-0.1511591,0.11286757,0.02034243,-0.020149168,0.02126484,0.009292465,-0.047181167,0.12573943,-0.048381813,0.05241831,-0.07193093,-0.01529045,-0.0016686972,0.0727072,-0.08647962,-0.007409906,0.0815378,0.036537398,-0.013331544,-0.27367947,-0.51006615,1.1339737,-0.14501736,-0.01819627,0.24460167,0.07380304,0.052327264,0.0241756,-0.16068295,-4.392308,0.86383575,-2.4544015,-0.8891461,0.16038507,-0.39164987,-1.6281779,0.13936792,1.82936,-0.09747947,0.6845734,1.8022842,-0.42367244,-2.1324346,-0.24154837,1.1516924,-1.3356416,0.62662476,-1.8934712,-0.4069886,1.0730668,0.17108187,-0.13149945,-0.5150281,-1.8261795,-1.0854656,0.36661062,-2.205348,-1.9430732,-0.054097958,-0.14722456,0.6548798,-0.04724729,-0.16478148,0.9010437,1.2898455,1.3549964,3.1744554,-0.6814436,0.8196238,-0.98779273,2.609495,0.5212884,-1.3384888,-0.45228773,-0.6847902,-2.6696687,-1.8617557,0.26894876,-0.60319567
9,-4.695778,-0.02635004,0.07589738,0.06472484,0.04569034,-0.0783196,0.012550745,0.060885817,-0.10097275,-0.12432745,-0.04147391,0.034472678,-0.020938076,-0.013114588,-0.03501383,-0.008173544,-0.044438895,-0.12782235,-0.0704771,-0.10060246,-0.017053276,0.064816184,-0.12183456,-0.07818077,0.028427072,-0.099075496,0.04050418,-0.18277046,-0.06398923,-0.12493219,0.0040538823,-0.09787252,0.035605613,-0.02394608,-0.016094029,0.07389253,0.041735075,0.07491145,-0.12177389,0.14189187,-0.0021785386,1.1773256,2.3081176,0.097384274,-0.012812914,-0.0048689744,0.006619297,-0.036127273,-0.03424656,0.09231336,-0.27376413,-0.05346771,0.052438058,-0.07741164,0.036044486,-0.011956453,0.05038434,-0.101886354,0.07640918,-0.092864916,0.0230648,0.019190872,-0.13164973,0.08040401,0.012509476,-0.09250505,0.05894109,0.049570244,-0.091348246,-0.03587587,0.105921656,-0.12709463,0.07961187,0.026112817,0.022426454,0.05686593,-0.0019972455,-0.016902415,0.08325288,-0.06455298,0.063601814,-0.09738542,-0.021271862,-0.00043343566,0.046573803,-0.060974218,-0.024275277,0.0529588,0.047093965,0.04416909,-0.2118806,-1.26836,0.4698317,-0.12093872,-0.009297693,0.184961,0.027044782,0.072239146,0.038030837,-0.107225075,-5.03045,-0.3949375,-1.5332943,-1.4722625,-0.39829814,-1.4159983,-1.2386478,0.4599752,1.7626212,-0.6198601,-0.71457535,-0.93767387,-0.21719101,-2.0441213,-1.7162579,1.5995772,-0.36918443,0.4872235,-1.1375545,-0.30463916,0.34116936,0.70583165,2.5190594,-2.3853402,1.4567671,1.0401604,-1.1238958,-1.7011269,-0.14947543,-0.79789597,0.18792829,-0.38742998,1.0920471,-0.26579943,1.9068155,-0.20407802,-0.676582,-0.56391895,-1.6622778,0.31852514,-0.44444427,0.7025211,5.451022,2.0312445,0.7384193,-0.132188,1.0448667,0.004131444,1.2091446,-0.36900395
