,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_mean_5,latent_mean_6,latent_mean_7,latent_mean_8,latent_mean_9,latent_mean_10,latent_mean_11,latent_mean_12,latent_mean_13,latent_mean_14,latent_mean_15,latent_mean_16,latent_mean_17,latent_mean_18,latent_mean_19,latent_mean_20,latent_mean_21,latent_mean_22,latent_mean_23,latent_mean_24,latent_mean_25,latent_mean_26,latent_mean_27,latent_mean_28,latent_mean_29,latent_mean_30,latent_mean_31,latent_mean_32,latent_mean_33,latent_mean_34,latent_mean_35,latent_mean_36,latent_mean_37,latent_mean_38,latent_mean_39,latent_mean_40,latent_mean_41,latent_mean_42,latent_mean_43,latent_mean_44,latent_mean_45,latent_mean_46,latent_mean_47,latent_mean_48,latent_mean_49,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,latent_logvar_5,latent_logvar_6,latent_logvar_7,latent_logvar_8,latent_logvar_9,latent_logvar_10,latent_logvar_11,latent_logvar_12,latent_logvar_13,latent_logvar_14,latent_logvar_15,latent_logvar_16,latent_logvar_17,latent_logvar_18,latent_logvar_19,latent_logvar_20,latent_logvar_21,latent_logvar_22,latent_logvar_23,latent_logvar_24,latent_logvar_25,latent_logvar_26,latent_logvar_27,latent_logvar_28,latent_logvar_29,latent_logvar_30,latent_logvar_31,latent_logvar_32,latent_logvar_33,latent_logvar_34,latent_logvar_35,latent_logvar_36,latent_logvar_37,latent_logvar_38,latent_logvar_39,latent_logvar_40,latent_logvar_41,latent_logvar_42,latent_logvar_43,latent_logvar_44,latent_logvar_45,latent_logvar_46,latent_logvar_47,latent_logvar_48,latent_logvar_49,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,0.054231424,0.043399382,-0.025951607,-0.05561883,0.0071429405,0.048038635,-0.021600416,-0.056299,-0.016063731,0.031008549,-0.044119786,0.091646925,0.021443728,0.007649931,0.00689522,0.044626065,0.0072463555,0.045820963,0.014889676,-0.0014229398,-0.038102098,0.08179038,-0.080825925,0.03433084,-0.052469708,0.05326049,-0.039901353,-0.006956693,-0.0065452345,-0.0049494393,-0.03236376,-0.020493492,0.015241602,-0.033065837,0.02640599,-0.05382832,0.045913212,0.017086439,0.059546333,0.034032438,0.06633034,0.038176976,-0.027882991,0.03201202,0.055569127,-0.032049403,-0.02055299,-1.473469,2.6133993,0.09375833,0.050955765,-0.066611186,-0.0008626976,0.014391184,-0.056318417,-0.053764094,-0.010749483,-0.05267787,0.0130454125,0.0040706447,-0.061440337,0.086431384,0.08826171,-0.022624461,-0.010541244,0.022326402,0.025001574,-0.037606142,-0.047098495,0.04150009,-0.014344906,0.016048992,-0.008452219,-0.06977913,-0.004492428,0.011036683,0.011169194,0.09852,-0.025039181,0.0055289874,-0.050401647,-0.025795722,-0.038684964,-0.0064996504,0.012380802,-0.034625184,-0.0458138,-0.06598959,0.025166819,-0.035934232,-0.098864004,1.6926555e-05,0.056175128,-0.029718844,-3.3271477,0.04004471,-0.008530531,-2.8035455,-2.8253279,-0.048835643,-1.4485742,-2.1995964,0.38953027,-0.3085444,0.23253304,-1.6408213,-2.6194339,-1.3039343,1.8622876,-0.6588459,-0.4314223,1.4480517,-0.27126557,0.27926564,0.66136897,0.685996,-0.42866546,-1.1083685,0.7980855,-0.20383704,-1.5295686,-0.4450879,0.8534224,1.4063333,-0.31384492,-0.3568725,0.65677303,1.7340034,0.38896587,-2.6253462,0.53536457,-0.076131165,-0.9965782,1.1820391,-0.76345754,0.84097236,-1.0887722,-0.08753205,1.6743344,-0.11483623,0.54352057,-0.5826382,0.9460368,-0.14248097,0.16475844,0.7216919,-1.4204588,-1.634858,2.6311076,0.22455181
1,0.028691642,-0.012330738,0.0056870347,0.022143845,0.02165163,0.0058327373,0.034580696,-0.023168689,0.006762558,0.045525275,-0.0050455937,0.032301232,-0.03216081,0.00189099,0.042008325,0.07904978,-0.0032990463,-0.017594136,0.013297489,0.026391791,-0.0036113914,0.05839002,0.019893048,0.018707039,-0.018765334,0.025725449,-0.027602019,0.07574957,0.02784567,-0.03138723,0.022407599,0.046003096,-0.021347424,-0.00020408709,-0.029678091,-0.023623284,-0.009107761,0.013957476,-0.034295227,-0.008921441,0.062441587,-0.0051064664,0.009797713,-0.02332873,-0.39765018,0.0034474437,0.02457097,1.9495463,-0.6946315,-0.008051765,0.01562916,-0.06500463,-0.0007475219,-0.0150584215,-0.03151779,-0.028359868,0.0033021527,0.016252786,0.026965126,0.009651786,-0.03682529,-0.0015330184,0.01228256,0.0035722181,0.0023085703,0.035033897,-0.001475818,-0.008703827,0.046617273,0.0262621,0.0027307943,0.060255732,0.022078125,-0.03208016,0.030483533,0.0011063153,-0.0119913835,-0.008260884,0.0010597007,0.022453029,-0.036082428,0.018728457,-0.00014687603,-0.0314065,-0.005146498,0.025387943,-0.070956215,0.02621108,-0.0022503268,-0.013973691,-0.032502457,0.0063592605,0.0374668,0.023093322,-2.9839458,0.015628766,0.04823056,-1.4938725,-1.685272,-0.03490206,-0.07733938,0.0048686815,0.64912957,0.120839566,0.87714934,-1.3940711,1.1733079,0.13391034,-0.44070014,-1.715746,1.645628,0.72903955,-1.1301814,-0.9094494,0.47494572,-0.8475212,0.65067077,-1.4896958,-0.24662887,-0.07661051,0.9540814,-0.38781193,1.3265193,-0.06470188,0.4036685,-1.3536657,-2.2879233,0.31694075,0.9338199,-1.4174497,0.9612775,0.7933289,-2.0931091,-1.2831677,1.6153591,0.6722071,0.4702798,-1.5488579,1.6487241,0.80868393,-0.1297772,-0.13595858,-1.1381214,-1.2831097,-0.30434537,-2.113482,1.0257813,2.0627139,-0.9072728,0.32745796
2,0.019954246,0.009553162,0.009433702,-0.011617192,0.0135030085,0.032454073,0.021161668,0.0007271394,-0.004937309,0.027755383,-0.0031061817,0.048189245,-0.004267091,7.440895e-05,0.032299176,0.033467058,-0.010257337,-0.018137537,0.015990395,0.017386336,0.01843371,0.03409174,-0.033443585,0.042231567,-0.02228906,0.022878299,-0.01643464,0.007736272,0.0086538475,0.0047226073,0.01807788,0.024990592,-0.035364475,-0.0074031083,0.001648414,0.008271342,-0.008930135,0.021189772,-0.0088806,0.011186227,0.037477646,0.014148435,-0.023001827,-0.001197332,-0.89077294,-0.010220589,0.012165877,-0.47513592,-0.2773196,-0.0057891505,0.032683525,-0.044260293,-0.0047873063,0.021634214,-0.014532762,0.0016913414,-0.024767175,0.01595243,0.022368224,0.022968907,-0.026590444,0.012977727,0.013765793,0.0054205325,0.012654455,-0.0130532645,-0.017116748,-0.0631946,0.010351477,0.021359015,0.029227432,0.0036283098,0.02213032,-0.037592273,-0.036772493,0.0027761606,-0.044515766,0.014679991,-0.01805691,0.0077922656,0.012372762,0.00270049,0.0194091,-0.024462476,0.0070524,0.006369087,-0.039342716,-0.018580072,0.028159391,-0.0477018,-0.025428714,-0.038457517,0.038318895,-0.008056669,-3.1961198,-0.00938144,0.014933458,-2.484149,-2.0605247,0.0036468068,-0.21568768,0.4051267,-1.5086079,1.0061918,-0.43859413,0.043201428,0.88886863,0.5806734,1.0657463,1.6001012,1.2351959,-0.7916801,0.5037285,0.040696215,0.34486777,0.12249826,0.98416996,0.30954364,0.3096126,-0.34554845,-0.5943899,0.55548453,0.61072034,0.8054487,0.14340112,2.2051663,0.49003425,1.1319268,-1.1457893,2.5474973,-0.37296653,2.7306259,2.2416184,0.49540237,0.41834852,0.015539991,-0.2910837,0.37834522,0.65177876,-0.31334633,0.04491903,1.084093,1.6179266,0.4594341,-0.89272964,-1.059907,-1.8918598,-0.059666872,0.016419113,0.6090899
3,0.027192153,-0.010975025,0.012605799,-0.016844817,0.03411775,-0.013475119,0.05931892,-0.03227597,0.0064226766,0.06239782,-0.026920712,0.026329432,-0.017121077,-0.042257942,0.04162478,0.086702146,-0.036996424,-0.08229713,0.0004879404,-0.027378604,0.00069837226,0.030585945,0.0038080383,0.01151458,-0.11848278,-0.05317714,0.011212903,0.13800173,0.03515277,-0.020299245,-0.009937972,0.02382714,-0.008971796,-0.033954855,-0.05627018,-0.037826486,-0.031575218,0.054786716,-0.062218398,-0.031042073,0.09172993,0.041074827,0.0480498,-0.0116171045,-0.46891707,-0.045831274,0.017752506,-2.2481403,-1.1996567,0.00082090683,0.015570512,-0.095994025,-0.024067085,0.01767534,-0.014920803,-0.076865695,0.052781276,0.037485547,0.018898752,0.027560323,-0.086753026,-0.048915785,0.04309474,-0.039505616,0.004994331,0.09806673,0.05601003,-0.020162519,0.09406019,-0.030835992,0.027193628,0.049256884,-0.015048726,-0.0009071417,0.06150074,-0.0769859,-0.015026273,-0.02838027,-0.004790988,-0.018711593,-0.047365747,0.044167027,0.064486794,-0.019691633,-0.05241272,0.05342711,-0.07584147,0.061007157,-0.04979861,-0.00028891116,0.01828028,-0.047428124,0.06919738,0.13685071,-3.0754128,0.07236865,0.12942517,-1.7906816,-2.0961409,-0.024372162,0.48657018,-0.5705102,-0.32500517,0.78320587,-0.17607638,1.5135691,0.011781123,0.029659811,-0.743305,-1.5033507,-0.31690675,-1.045753,-0.7083095,1.0843797,0.96762604,-1.7235837,-0.6097296,-1.2012372,-1.9301329,-0.6250014,-0.8648447,-1.4243343,1.1906815,-0.5842838,0.520883,-1.0913274,1.410106,-1.3977734,-0.7941375,-1.2438908,-0.0010102019,1.1033595,-0.35324132,-1.7281519,0.9982764,0.064351484,1.1133604,0.8322296,-0.787691,-0.5180848,-0.17566511,-0.07105548,0.0745587,0.9993045,-0.54636073,0.1709118,-0.47495562,-2.223923,-1.1275675,-0.12634814
4,0.03241361,0.002970363,0.030588869,-0.005506821,0.030842282,0.03129759,-0.008879715,0.0005725981,0.015965074,0.026124232,-0.015248554,0.022545997,-0.04543128,-0.0036087264,0.042464085,0.039806794,-0.031570323,0.006306908,0.02786554,0.013458505,-0.0063369004,0.0104925595,-0.026143383,0.009364227,-0.027454745,-0.0023903307,-0.014702847,0.027864425,0.029042957,-0.0017850213,-0.0209685,0.033646956,-0.034624346,-0.00981661,-0.011710425,0.008566742,0.0015468168,0.021873051,0.0028834138,0.029427225,0.023568219,-0.006040458,-0.012139478,-4.227244e-05,0.4378305,-0.015705165,0.032814525,-0.87555164,-0.6280909,-0.021032624,0.015586921,-0.021273,0.00863762,-0.010973536,0.008157888,-0.018838778,-0.006898555,0.009539912,0.0011322577,0.0232016,-0.0051846597,0.0061893836,-0.005600118,0.012589218,0.0017147446,0.020954235,-0.022077302,-0.04726142,-0.022589434,0.02781103,0.033470344,0.020757973,-0.0094630895,-0.019084007,-0.019562155,-0.004130883,0.02504619,0.006283299,-0.022895252,-0.013475424,0.014404189,0.0019947588,-0.028720772,0.019227844,0.0008618641,0.0034659533,-0.023421897,0.00835881,-0.00096891075,-0.026899226,0.0050508305,-0.038809586,0.023276914,0.0207525,-2.2579465,0.012009998,0.025959454,-0.56628835,-1.3893342,0.0066089905,0.41634193,1.0689758,0.14772159,-0.5394104,0.21328717,0.694682,-0.099002056,1.1100532,-0.24502715,0.61288726,-2.5085588,1.4281318,-0.5715149,-0.04047936,-0.0039954223,1.0534871,1.2064928,-1.3099183,-2.2621615,-0.5465021,-0.30863798,-0.7423068,-2.0190763,0.01377237,-0.10147393,-1.0105293,0.6360034,0.8747899,0.67615396,-0.8212135,-0.009921394,-0.32312495,-0.31505007,0.090980954,0.32819805,1.4476776,-0.37191045,0.7246606,-0.11258347,-0.2910769,0.4010458,0.8228335,0.3663433,0.0685946,0.15755501,-1.5817994,-1.3019373,-1.8972981,-0.3416764,0.5304153
5,0.0316917,-0.009181925,0.031901147,-0.014261543,0.030146848,0.015087049,0.014494581,-0.0014758499,0.01055512,0.033281952,-0.027114997,0.019420104,-0.0363825,-0.0032192017,0.046695266,0.064657316,-0.053405166,-0.024996217,0.0020836443,0.0005054213,-0.0043517966,0.010058286,-0.022185907,0.013449423,-0.07714951,-0.023032458,-0.0032246262,0.06687435,0.031602144,-0.01684932,-0.0073390836,0.040371053,-0.02521146,-0.0056565385,-0.034103274,-0.019936413,-0.0055696317,0.04140625,-0.03338381,0.010956099,0.06164086,0.011754883,0.01373899,0.0037106727,-0.060569108,-0.019984195,0.03811668,-1.8249984,-1.4476898,-0.029263249,0.017743615,-0.039829455,-0.013599863,-0.00154965,-0.007639723,-0.029149372,-0.0018502353,0.02870021,0.003022029,0.029119316,-0.04771831,-0.0070483442,0.023008702,-0.0034018047,-0.011443499,0.031392753,0.0019489457,-0.030835873,0.014925385,0.008023625,0.035247806,0.040431224,-0.009284209,-0.010514891,-0.0030278377,-0.019722208,0.0070258137,0.013418032,-0.008052399,-0.029901909,-0.022260766,0.013840705,0.005207321,0.012753133,-0.035557337,0.021422882,-0.042104237,0.013264747,-0.03451431,-0.027025873,-0.0015517945,-0.047491975,0.05485443,0.063093275,-2.6986792,0.030599063,0.05515392,-1.4886336,-1.6471324,0.0020280099,-0.38965154,-1.2491975,-0.2745911,0.4120469,-0.41049522,1.3521732,-0.65261334,-0.8409676,-1.2633009,1.4805114,0.013231559,0.4507722,0.3449504,-0.24981232,1.3057775,3.1084628,0.985968,1.2634721,-0.6122241,-0.12572522,0.62450266,0.04588712,0.01420562,0.14973459,-0.19925824,-1.2444224,1.6500362,-2.009366,-0.12527971,0.21750629,1.2427986,0.2435672,0.19659486,1.1653727,1.7903802,0.349116,0.43764842,1.2118688,2.3154585,1.64749,-0.5042736,-0.39709094,-0.13318841,-0.8109509,-0.48031124,-1.7945122,-0.69297945,-2.4024034,-1.8325195,0.7086125
6,0.015983313,-0.0032051676,0.015975028,0.0076867593,0.020762466,0.011237008,0.026818331,-0.014879985,0.001001073,0.03058971,-0.00976896,0.02461456,-0.032449014,-0.0040117824,0.027130555,0.04443973,-0.008720679,-0.011742796,0.014655795,0.017397963,0.01009786,0.036672607,-0.0037934342,0.022203103,-0.012092247,0.024097282,-0.029024782,0.029110773,0.016258873,-0.0072450307,0.014028989,0.031582933,-0.02968123,-0.008475781,-0.0075793765,0.005934405,-0.011689045,0.017700542,-0.015399763,0.00019087456,0.033445805,0.0026632554,-0.006605421,-0.022596894,0.01688695,-0.007582849,0.017182223,0.8513272,-0.7074565,-0.012942949,0.026936289,-0.03585624,-0.0011679842,-0.0037741745,-0.020138158,-0.017272983,0.00027834438,0.0059452495,0.02081148,0.017815387,-0.021357846,0.017584233,0.0010635192,0.003346283,0.005909779,0.018235235,-0.006118873,-0.027410224,0.022194853,0.029370502,0.00897516,0.02585518,0.0044154967,-0.04386862,-0.015417701,0.0155355735,-0.010596922,0.00038208067,-0.009716697,0.004139733,0.001387083,0.0057053044,-0.012144958,-0.0128831025,0.009249521,0.018078737,-0.04418312,0.009514317,0.0062198285,-0.030618912,-0.018531444,-0.0048534395,0.034802046,-0.002099316,-2.7263458,-0.009537604,0.018571887,-1.70369,-1.6112593,-0.0066497047,-1.5405802,-0.44376725,-0.011411127,-0.053866185,-0.8981407,1.0935142,1.0816262,-2.1983511,-1.1566508,0.93483734,-0.570243,-0.82861954,1.7202249,0.37555292,-1.2336571,0.5224868,0.049155883,-0.5230509,-1.6444227,-0.33027664,-0.1632715,1.4423131,-0.68556696,0.044701915,-0.9534464,-0.11883795,0.0140279215,-0.1594986,-1.4220251,-0.60158974,0.64621663,0.0504667,-1.1573163,-1.4095516,-0.4167534,-0.23133337,1.487028,2.1567912,-1.5294583,-0.045554213,-0.062468432,-0.2440102,-0.6711164,-1.4157102,-0.19654186,1.5721,1.7347865,1.2802913,-1.1505697,-0.5187068
7,0.030042626,-0.015838236,0.029606992,-0.01518289,0.029151404,0.0015384546,0.029905792,-0.011109078,0.0117872935,0.039033223,-0.032284044,0.013715265,-0.03470529,-0.012284426,0.043946028,0.07621862,-0.056994118,-0.038166765,-0.010015545,-0.011744235,0.00079707196,0.011953192,-0.013228387,0.012463252,-0.09838487,-0.028155854,0.0014344892,0.090679616,0.03520436,-0.022124246,-0.001546006,0.036849756,-0.021935131,-0.012499385,-0.041975405,-0.029361043,-0.0150424605,0.048623867,-0.04595013,-0.0038451497,0.07749674,0.01807548,0.027789699,-0.0064667054,-0.18483151,-0.028175784,0.038705412,-1.8469925,-1.6859915,-0.026967216,0.024333429,-0.052121006,-0.02283896,0.0009724335,-0.0112472605,-0.04526367,0.016079217,0.031136882,0.0044871825,0.029977808,-0.06414132,-0.018098183,0.03194475,-0.015306782,-0.010923598,0.048231337,0.018948844,-0.021917377,0.03907867,-0.0036938265,0.030014057,0.04633767,-0.011583388,-0.00887016,0.009173881,-0.02696162,0.0038785096,0.00360372,-0.0051338384,-0.034718797,-0.036511187,0.019024456,0.020891214,0.00390531,-0.04330353,0.03301861,-0.053555626,0.029054984,-0.0463179,-0.02065754,-0.00020719646,-0.040932942,0.06457713,0.08650278,-2.849383,0.035657585,0.076049834,-1.5891461,-1.760061,-0.0059326235,0.8402718,1.0484093,-0.093887135,0.23270833,1.1765186,-1.392595,-0.9923378,-0.6583633,0.55008787,1.4916513,-1.0806483,1.1382334,-0.58456403,0.096077204,-1.9402847,-1.3400203,-1.4343257,-0.60998785,0.23107696,-0.067151554,1.7275078,0.7829814,0.2406387,0.5021935,-0.692561,-0.028158909,-1.2657459,-0.15318069,-1.8529291,-1.1191766,-0.88384724,-0.2923863,0.37484664,2.3506677,-1.4322183,1.1865793,1.3322282,-1.1418701,-0.281622,-0.6827222,0.38184774,1.0233456,1.5073259,-1.1693481,0.088141635,0.44949305,-1.4267931,-1.4733968,-1.0906554,-0.46023804
8,0.023581505,-0.0040782676,0.02093832,0.00040939776,0.022307325,0.022831067,0.0026788686,-0.0069427844,0.009262804,0.028485635,-0.0045224633,0.019055285,-0.038719986,-0.0033279588,0.03252717,0.03404161,-0.011857433,0.011535152,0.024271173,0.013249352,0.0053258035,0.021699253,-0.015860531,0.008461934,-0.011849164,0.019350905,-0.019162465,0.019439386,0.02144275,-0.003720183,-0.004932685,0.0307716,-0.031423114,-0.01215957,-0.0045398576,0.010424895,-0.004865493,0.010189975,0.005376077,0.014497525,0.021441042,-0.0049474756,-0.012753514,-0.014348781,0.46307582,-0.010084465,0.019050581,0.41382074,-0.13899912,-0.012046363,0.024418224,-0.030653112,0.00022888323,-0.0024993066,-0.00074743386,-0.02182646,0.0069965096,0.0030196328,0.004944008,0.014281473,-0.0071572512,0.01611692,-0.0057950844,0.011749575,0.005919312,0.015103996,-0.012528239,-0.028475834,-0.00046191877,0.027752211,0.018798424,0.020740243,0.00062218355,-0.031215694,-0.023574892,0.013488203,0.010822201,-0.007419739,-0.015755378,0.0037086294,0.012444031,-0.00011572614,-0.017616436,-0.0008615372,0.01402254,0.006623555,-0.026830353,0.010037801,0.011907263,-0.025283344,-0.0056107095,-0.012028696,0.012123981,-0.00021045236,-2.2889223,-0.0025965506,0.02585231,-0.79508525,-1.3616872,-0.00057372823,1.4391632,0.33583668,0.35828492,-1.0208716,1.3974522,-0.022418953,-0.91179323,-0.33093053,0.57115036,0.8475402,-0.549146,-1.0870595,-1.1964376,-0.99386543,-0.0024687722,0.48183313,-0.74676067,-0.8552929,-1.2936239,-1.0448077,-1.0524067,-1.1057539,-0.4905055,-0.68605715,-0.005879398,-1.8415918,-0.6368704,0.8748829,-0.25336072,0.14007305,0.87133884,0.19477865,-1.1422805,-0.4186626,-0.08276515,0.39767125,-0.7469643,-1.3406097,-0.5932743,-0.002698741,-0.6219073,0.71641654,0.08449272,-0.82551986,0.41536987,-1.2350206,-0.9838791,0.40760505,0.1549233,1.9632318
9,0.032270644,-0.0101839015,0.014895477,0.0038932627,0.020654727,0.021494158,0.0043671583,-0.013032068,0.013147747,0.030442867,0.004851741,0.018090904,-0.03664279,0.0006497009,0.03679225,0.041601032,-0.0053076223,0.019058099,0.02018356,0.008635238,-0.0017783721,0.033974923,-0.009819084,0.0038083903,-0.015636444,0.028440347,-0.013930952,0.036708087,0.017794305,-0.008296214,0.0027900296,0.032568596,-0.023171227,-0.013141873,-0.012607835,-0.003763997,-0.010756381,0.007426438,0.007836634,0.0045709107,0.027702853,-0.011103367,-0.0035491348,-0.010872982,0.39978644,-0.00674412,0.013097202,0.95955306,0.7027239,-0.004881301,0.02104786,-0.045665868,0.00023660669,0.0075138863,-0.00050567836,-0.0350408,0.011374757,0.012806784,0.0024174298,-0.00062608067,-0.005477745,0.009137875,-0.0028760117,0.0069369054,0.0070005525,0.016968446,-0.017213011,-0.015337362,0.006575276,0.02382762,0.010652444,0.03598984,0.01576383,-0.026898354,-0.00054052845,0.016234126,0.008082559,-0.010760346,-0.014653468,0.0138619505,-0.007758187,0.0038950006,-0.0040266975,-0.013085011,0.011958575,0.0022315308,-0.03305451,0.01766491,0.01798363,-0.015984427,-0.008424219,-0.0030393894,0.0027204184,0.0066577126,-2.320037,0.008906826,0.05029244,-0.8050824,-1.2984277,-0.011862854,0.2904681,-0.057299767,-0.25373575,-0.5779254,-0.4878068,-1.0135876,-0.5849931,1.2478975,-2.1738296,0.23456784,-1.4555824,0.6460372,0.48978955,0.3389452,1.5273643,0.6282077,-0.20046416,-0.89168876,-1.4489731,0.3861488,-0.17731927,0.61875796,-0.060991716,-0.055285554,0.14041884,-0.13068284,0.19001648,-0.045238808,0.5942215,-0.55810684,0.45662087,-0.6271584,0.4350443,0.3400466,-1.3370321,0.63382035,0.17392123,2.1845262,-0.8223744,-0.1391698,0.15515101,-1.2097378,0.6462423,-1.4017832,0.68895686,0.5846971,-1.2484733,-0.16746539,0.35956457,-0.8024444
