,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,0.7684356,0.084169015,-0.6896244,0.015931388,-0.953374,-2.1429567,-1.117641,-0.63038033,-0.00035250466,-0.68936145,0.3930393,0.6554371,-0.033729255,-0.52581936,-0.6918545
1,0.14919966,-0.16784003,-0.4139179,0.00908421,-0.94150513,-2.501656,-1.3528852,-0.93959314,0.0028685145,-0.94963676,0.5823605,-0.23950985,-1.4309093,-0.66077477,0.36402565
2,-0.18317254,0.22021358,-0.5908462,0.007791739,0.19998679,-2.7560828,-1.7023408,-0.7738528,-0.0023492523,-1.0400615,-0.007861376,-0.42715603,-1.5879948,0.47106096,0.993919
3,0.12236211,1.1827338,-0.29883242,0.0131885335,0.014255327,-2.4667814,-1.546489,-0.5327222,-0.010817122,-1.0584534,-0.6167344,1.5483711,-0.02221167,-1.2787138,0.24416935
4,0.46443462,0.3603725,-1.7175833,0.017028261,-0.40334556,-2.248227,-1.3200911,-0.59067005,-0.009910969,-0.77914983,0.55997044,0.028657317,-2.7476811,-0.60140216,-0.2049426
5,-0.90291303,-0.32751602,-0.31777567,0.010298345,0.27202916,-3.2551007,-1.9418993,-0.6846818,-0.006668144,-1.0408504,-1.0117295,-0.084137455,-0.44386113,0.72469604,1.3222736
6,-0.2515026,-0.47811997,-1.8463707,0.0027007274,1.3673655,-3.1776528,-1.6991558,-0.88039565,-0.0034399037,-0.9606853,-0.13912046,-0.89362574,-1.0395379,-0.6759031,1.2086532
7,0.4350313,0.45004964,-1.4529592,0.017237393,-1.4662046,-2.3478074,-1.3037885,-0.65766674,-0.008986361,-0.89504355,0.5429468,0.8538861,-1.899461,-1.772373,-1.7087189
8,-0.17420633,-0.08369138,-0.363419,0.008159108,-1.2392331,-2.710407,-1.5801761,-0.94908065,0.0014408091,-1.1819261,-0.26983124,0.020930238,0.11888337,-0.5949299,-0.87595856
9,0.29704723,1.155151,1.2999886,0.014649265,-0.11287852,-2.7183373,-1.5857754,-0.654807,-0.0035252757,-1.2348777,0.058489278,1.2740507,1.7156087,1.2677698,-0.34034365
10,-0.3189773,-0.4773553,-0.5743495,0.011941956,-1.3295629,-2.889792,-1.5969832,-0.8819076,0.00037199724,-1.1665444,-0.0049032867,-0.16033858,-0.47091404,-0.8117317,-1.1189649
11,0.9411898,-1.1471672,1.6594542,0.034859136,-0.5693295,-2.22645,-0.8449668,-0.7755969,0.021842547,-0.3930902,0.6040855,-0.5939081,0.5208454,-0.37478465,0.52345335
12,-0.40429255,0.09711205,-0.28959632,0.009391008,-0.08431655,-2.9069912,-1.7799871,-0.81008947,-0.002950423,-1.0922837,-0.5757325,-0.115441315,-0.5767177,-1.1366676,0.71111226
13,-0.00973732,-1.2502588,-0.27511883,0.008186307,-0.7867088,-2.6890357,-1.2925647,-1.0822119,0.012616674,-0.75495946,0.13254082,-1.5020497,-0.6857188,-0.109769925,-0.55930424
14,1.1464211,-0.5802453,-0.71018946,0.019060988,0.29699057,-1.8989644,-0.91499054,-0.5250157,0.004959414,-0.42407078,0.99685687,-1.1172726,-0.37979364,-0.47066283,1.1422238
15,0.9333264,-1.042703,-1.6426401,0.024492718,-0.23687671,-2.0847113,-0.94239366,-0.5904825,0.0021305308,-0.40174097,0.9603417,-1.43138,-1.9404955,-0.27019444,-0.18421105
16,0.72582364,-1.0771408,-0.9782722,0.005017559,0.9645504,-2.178648,-0.9871208,-0.69656956,0.011194638,-0.45930558,0.47866586,-1.0806059,-0.95121497,-0.88247025,1.1872561
17,0.7865045,0.8113191,0.9060191,0.008531418,0.5657246,-2.199303,-1.2651358,-0.37096334,0.0017412966,-0.82803184,1.136148,0.8614278,2.7973094,-1.6101612,-0.33668196
18,0.4817294,1.228904,0.21942833,0.012959668,-1.4252964,-2.4395368,-1.2965958,-0.5560189,-0.006744163,-1.2040782,0.29172456,1.2817109,-0.14375898,-0.4702576,-1.2022799
19,0.26397267,0.21628614,0.64342713,0.014734566,-1.126836,-2.5021536,-1.4024682,-0.8921072,0.00042274315,-1.0294713,0.1848481,0.2516653,0.9399593,-0.17669979,-0.53372
20,1.8958116,-0.13964915,0.5592065,0.024370957,0.26643428,-1.473211,-0.599893,-0.1383224,0.007251353,-0.15210722,1.1947643,0.059069335,3.1614363,-0.12359947,0.07715109
21,0.28231174,-0.3095465,0.4786037,0.01567884,-1.4173234,-2.5328631,-1.3091098,-1.0103568,0.00514464,-0.94867754,0.83502066,-0.5787725,-0.046275407,-0.48231477,-0.9551392
22,0.0351317,1.9764866,0.39981768,0.029335862,1.7031252,-2.8468406,-1.8007431,-0.48952425,-0.027480226,-1.2011247,0.35191748,1.3752198,0.07554227,0.3683828,0.84805965
23,1.3603073,0.42081255,0.42851734,0.015256676,0.7478049,-1.7709141,-0.94226456,-0.25161883,0.0019311504,-0.4374689,1.9674606,0.6359713,-0.1714226,0.40209943,1.4484637
24,-0.6983631,1.1524484,-1.2331157,-0.025758753,1.1412382,-3.3536108,-1.9819713,-0.8258633,0.0025431262,-1.3583655,-0.64039683,1.5433716,-1.4712751,-0.18429887,-0.023641586
25,0.7079898,-0.12562671,-0.8885218,0.0075874403,0.90044326,-2.1657772,-1.2371098,-0.5108769,0.0025729453,-0.6929985,1.3412616,-0.2338981,-1.4641776,1.276376,2.1937318
26,0.54158276,0.69919574,-0.26762354,0.016181419,-1.1587315,-2.2015405,-1.2071345,-0.6058486,-0.0064752367,-0.95986325,0.79814816,1.1840842,0.3313707,-0.22097379,-1.8762171
27,0.69911283,1.2612545,0.4357213,0.017296778,0.42008764,-2.1475697,-1.2793865,-0.26716882,-0.008151337,-0.9087946,0.4585263,1.0208632,1.5367506,0.87394905,-0.20026916
28,1.4687291,-0.9496776,-0.78090477,0.025202403,0.35137942,-1.7722998,-0.7309272,-0.4827761,0.006684956,-0.2444058,0.88326466,0.14516199,-0.7483539,0.2766283,-1.2028159
29,-0.05658878,0.5356135,0.6196486,0.009830709,-0.03238362,-2.683491,-1.6359601,-0.8382517,-0.0022421922,-1.1282125,0.049815256,0.5404629,0.66381764,-1.7732322,0.3274858
30,0.7902951,-0.4907521,-0.6209295,0.007724053,0.503711,-2.070028,-1.0842214,-0.63839656,0.007857607,-0.58515155,0.9376302,-0.55258167,-0.4588315,0.5048792,-0.2658524
31,0.20418298,1.226452,-0.4668892,-0.004488185,1.3699733,-2.7328568,-1.6713226,-0.36292034,-0.0028377627,-1.1157986,-0.17973441,1.6120449,-1.1270643,-0.53582954,0.7873681
32,-0.36818403,-1.8243799,-0.9379858,0.011197949,0.028882546,-3.2353125,-1.5003886,-1.0629334,0.00855196,-0.6218745,-0.39941835,-2.0256953,-1.0206105,0.087517396,0.04852099
33,0.33790132,0.94658107,0.6253576,0.01417625,-0.38542092,-2.4310865,-1.4439387,-0.55894375,-0.0047954665,-1.091919,0.513104,0.23320615,1.9684932,-0.6893917,-0.97775525
34,0.3885405,1.3683784,-0.76200616,0.019367997,-1.4680476,-2.2638505,-1.2428892,-0.5212708,-0.01524844,-1.1712022,0.10436195,2.0443196,-1.0980706,0.13420463,-1.4624599
35,-0.43992808,0.3426029,1.221027,0.018106971,-1.4240055,-3.1958055,-2.0204787,-1.3344455,-0.002150299,-1.5634676,-0.21685408,0.27751067,0.5227083,-1.0972538,-1.4462942
36,0.40000114,-0.5351356,0.89076173,0.01222725,-0.33334202,-2.4171846,-1.146785,-0.9761107,0.009584579,-0.7447875,0.8002434,0.4838997,0.67056835,-0.6686498,-0.3332161
37,1.1895227,-0.71409506,-0.7908287,0.024472674,-0.21936789,-1.9175975,-0.8637552,-0.5225052,0.004318255,-0.36568362,1.1554294,0.06396222,0.2144413,1.4890696,0.62677634
38,1.0254668,1.2002447,-0.16283771,0.018001113,-1.0574988,-2.00171,-0.97686565,-0.3385949,-0.009408089,-0.85913396,1.0222797,0.14263499,-0.45520473,0.5333947,-1.3047676
39,0.9127052,0.8765687,0.4646711,0.022188038,-0.42825097,-2.0468516,-1.1379626,-0.343786,-0.00653112,-0.7956532,1.215841,1.259989,0.5149099,-0.34687188,-0.49015468
40,-0.4332672,1.0982755,-0.676777,0.008670268,-0.366067,-2.7268412,-1.8137555,-0.82629865,-0.011210423,-1.1333601,-0.55547714,1.524758,0.1696462,-1.8341104,0.13125351
41,-0.23297451,-0.5435284,-0.029642908,-0.0061685685,-2.285002,-2.9571128,-1.6265068,-1.040817,0.015082887,-1.4127221,0.1765662,-0.66570365,0.532232,0.55507535,-2.458409
42,-0.41054708,0.21261883,1.7529175,0.005704838,0.64693034,-3.3275156,-2.0419233,-1.6475064,0.0079887,-1.3474141,-0.5604553,0.38024244,1.3157548,-0.6366661,0.80454457
43,0.4757057,0.1425086,0.4314718,0.009450428,0.98682296,-2.2880046,-1.3706508,-0.5922266,0.002444365,-0.7654999,0.4091227,-0.07241544,-0.29283538,-0.6362731,0.5109692
44,0.08331804,-0.08393678,0.6017864,0.014359454,-1.1148984,-2.5949075,-1.4627848,-1.037993,0.002377103,-1.0874654,-0.069719404,0.5474168,0.20304003,-0.6204215,-0.60168177
45,1.3013072,0.9388432,-0.77257,0.02451924,-1.5456227,-1.9332054,-0.83633626,-0.21110645,-0.01042367,-0.75499284,1.5256332,0.8880282,0.29522097,0.2518347,-1.9565847
46,0.95450187,0.444319,-1.1967813,0.029801048,-1.7077817,-2.0817986,-1.0338116,-0.39025384,-0.009476953,-0.81866825,1.428647,-0.6267468,-1.1339891,-0.18070042,-0.89236873
47,1.0159751,-0.47886717,0.5321981,0.023561044,-1.0785544,-2.1969624,-0.95123523,-0.6934666,0.007925832,-0.51781255,0.74484384,-0.048452616,0.26522928,0.44568756,-0.17146266
48,1.2006636,-1.2311565,-1.3808815,0.023135725,0.095549285,-1.9558,-0.8001792,-0.568101,0.006512339,-0.26153916,0.838514,-0.23028243,-2.1596272,-1.9608294,0.7221167
49,0.83198816,0.39986184,0.055960774,0.018940076,-0.72556317,-2.0888422,-1.1063092,-0.5292934,-0.0026590307,-0.7261658,0.84891653,-0.4144601,-0.12053935,-1.2137561,-0.19640988
50,0.7547197,-1.8169888,-1.663823,0.027085658,0.6150128,-2.3009655,-0.864376,-0.9045455,0.008733594,-0.31113553,0.7888004,-1.6929795,-1.5854648,-0.77181715,0.7111325
51,0.73137826,0.4398059,1.0305212,0.019582676,-0.8324013,-2.3493357,-1.164628,-0.56070715,0.00025078095,-0.8470437,0.31389105,-0.0946987,1.012794,0.69914275,-1.1836767
52,0.9998281,-0.5572353,1.5359908,0.02827049,-0.37010378,-2.1468542,-0.882669,-0.56938875,0.0150264995,-0.44652122,0.9354271,0.35762775,1.8724413,-0.660458,0.99087065
53,0.26731998,0.06262897,-1.4635965,0.009362982,-1.2675619,-2.5004168,-1.3550923,-0.79319435,-0.0021120557,-0.89841014,0.021823764,-1.11132,-1.7381204,-0.5630278,-0.3872534
54,0.20444556,-0.21968096,-1.3568002,0.008742748,-1.4331589,-2.5835412,-1.3416473,-0.8644298,0.0009883614,-0.89168525,0.096970156,0.86070997,-0.55981743,0.95674986,-2.546544
55,1.5451416,0.37973255,0.45852295,0.016929498,0.41411647,-1.6492426,-0.77931106,-0.15693538,0.0017324788,-0.33485448,1.3704301,0.47359443,-0.7309536,0.26575878,1.6694833
56,1.3494415,0.12809594,-0.5901215,0.026549626,-0.53489226,-1.852196,-0.8757107,-0.3149256,-0.0029895268,-0.4571185,1.8003179,-0.85691905,0.49983025,-0.22765414,-0.9854355
57,-0.26263067,0.12396241,0.86291814,0.012884829,-1.2695494,-2.953561,-1.8135359,-1.163837,0.0018548323,-1.4146763,-0.42756528,-0.47121096,0.5345552,-0.92430025,-1.1519434
58,0.50277233,1.5352633,-1.161416,0.024133654,-0.96894425,-2.0682743,-1.1384959,-0.4332928,-0.021213086,-0.9755309,0.13192031,2.0273142,-2.631754,0.18534897,-1.1585264
59,0.38115236,-0.09547681,-1.7079451,0.010075692,0.17623617,-2.3708224,-1.371799,-0.6723553,-0.0029766052,-0.8170817,1.2078246,0.32123077,-1.6504208,-1.1729896,-0.04300338
60,0.39668825,-0.012700018,1.6471164,0.018640388,0.11356461,-2.6696663,-1.2999015,-0.8835616,0.011025772,-0.9412481,0.1311521,-0.18759039,1.229412,0.7021661,-0.9894093
61,0.29294583,1.1305097,-0.7058902,0.015922876,0.4273241,-2.3505418,-1.50227,-0.38201135,-0.012829468,-0.9968797,0.35227785,1.7582874,-1.3290756,0.84729636,1.2188668
62,-0.3645138,-2.0275137,0.013221189,0.01291084,-0.49217793,-3.2860465,-1.530855,-1.1261599,0.014080013,-0.67630863,-0.2783726,-2.2911057,-0.32209915,-0.07850922,0.32389346
63,0.8888206,0.1580155,0.5631552,0.01264191,0.7768611,-2.0364962,-1.1514382,-0.4354074,0.004040205,-0.5997054,1.1002614,0.61045355,0.44523343,-1.5476979,1.4429928
64,0.41115382,-0.6971301,1.5012236,0.02473325,0.50130326,-2.637402,-1.2096323,-0.9157323,0.01508339,-0.73880553,0.9308393,-0.530566,2.0863633,-0.08474463,0.13076034
65,-0.1060323,0.5091831,-0.6713506,0.0053926194,-0.19508894,-2.6527245,-1.679723,-0.781487,-0.0025987024,-1.1044979,-0.075507835,0.9894546,-0.44750965,-0.49750382,0.7549886
66,0.85313976,1.1395242,-0.37113586,0.019637393,0.9043112,-1.9459431,-1.2120957,-0.1799248,-0.011543989,-0.77075016,0.5847156,1.7642292,0.39674494,-0.032224797,0.30570763
67,0.16791016,-0.7125986,-2.7230427,0.020981912,-1.2974962,-3.0208547,-1.4017954,-1.0897851,-0.0040192204,-0.91983306,0.015852198,-1.2149335,-3.1031613,0.347244,-1.351194
68,0.32185003,1.040924,-0.52054465,0.015052235,-0.6089947,-2.301025,-1.3970362,-0.5069285,-0.01064454,-1.0502559,-0.25038746,1.1418014,0.30413896,0.37365824,-0.3941139
69,0.77500606,0.11021454,0.11958082,0.01130859,0.81394297,-2.0484912,-1.1946884,-0.475358,0.0029950505,-0.6579239,1.3875759,0.9297007,0.39410996,0.563629,0.57907367
70,-0.019599225,0.34427574,-0.90653026,0.00701222,-1.1908448,-2.6258638,-1.5251572,-0.8842765,-0.0028235703,-1.0939274,-0.014510108,0.13531233,-0.8149873,0.37311164,-0.60640615
71,0.37010112,1.0839505,0.9093981,0.009796284,0.37928167,-2.5559003,-1.5315456,-0.48831743,-0.0030435384,-1.0787592,0.3246921,0.8812237,1.1357149,-0.18541366,-0.5832348
72,0.30722028,0.91755795,-0.60854304,-0.00048093311,1.3612672,-2.604059,-1.6163089,-0.36802182,-0.0022475347,-1.0517727,0.32245624,1.4739504,-1.2556531,-0.5807716,0.9687354
73,-0.17302105,-0.3509793,0.46828416,0.008757556,0.36423224,-2.8416371,-1.6313472,-0.9923823,0.0041044615,-0.9556963,-0.30535996,-0.41707644,1.4352701,-0.59412223,1.9408236
74,0.5668783,-0.15260969,-1.204758,0.00703533,1.1071028,-2.2937465,-1.3202827,-0.53038037,0.00012751296,-0.7346416,0.41230065,-0.63741946,0.31499815,-0.84277683,0.75711656
75,1.3444463,0.75186485,0.08425497,0.01314123,0.901214,-1.7532694,-0.9812206,-0.17638212,-0.002116634,-0.5023863,0.84378153,0.47901732,-1.9061191,-0.14652137,0.71752906
76,0.75326777,0.83474714,0.75838685,0.01931799,-0.55485326,-2.2311146,-1.2278821,-0.45359415,-0.0042789173,-0.8868771,0.9269364,1.0751007,-0.013199031,-0.5700138,-0.76327753
77,0.30732092,0.46396214,-1.1108294,0.0071299756,-0.12902409,-2.3818142,-1.4786661,-0.5848225,-0.0035729068,-0.9675025,0.64089537,0.4138159,-1.0545135,-0.9043665,0.1840576
78,1.3371979,-0.2032246,-1.0842364,0.030828808,-0.23846759,-1.8369024,-0.88098294,-0.30824506,-0.0040296707,-0.41251993,2.0823967,-0.43333423,-2.7369742,-0.49672434,-1.3300654
79,-0.080473185,-0.335081,-1.2944936,0.004852998,0.60994786,-2.7956767,-1.5812361,-0.8141315,-0.00021883473,-0.91842747,0.057038397,-0.2720195,-1.6704974,0.43869478,0.03587097
80,0.35029924,-1.026116,0.12066619,0.00018464774,0.7406206,-2.3623192,-1.1543702,-0.91780716,0.015812732,-0.541402,0.3208396,-0.40169293,0.6151379,-0.20603254,0.8324868
81,0.13261987,-2.0360782,0.50048554,0.017625798,-0.023819204,-2.750633,-1.1141875,-1.2746822,0.0221565,-0.41259515,0.082389385,-1.6665249,1.0616529,-1.1256499,0.03455526
82,1.2847779,-0.20208474,-0.38051105,0.023752946,-0.32244033,-1.8811281,-0.8750136,-0.40686136,0.002259029,-0.40297538,1.1147515,0.7233561,0.04589218,-0.13892065,-0.8602208
83,0.43296823,-0.40902796,-2.1134882,0.014849569,0.12057932,-2.4139829,-1.2859387,-0.714433,-0.004308595,-0.72554,0.74136853,-0.1100007,-1.9338536,-1.0095102,1.2801312
84,-0.2252882,-0.07140173,0.91963995,-0.0030607842,1.1626153,-3.0590367,-1.7941432,-1.0082973,0.008331147,-1.0612456,-0.6025471,-0.58987975,0.57367957,0.5950092,2.19298
85,-0.12312144,-0.87888813,-0.0788894,0.0030383812,1.2596315,-2.878218,-1.5523009,-0.88402104,0.007208082,-0.68085,-0.24911357,-0.6039404,0.004342124,-0.91735667,1.4658635
86,0.85248125,-0.5818662,1.544798,0.029183578,-0.75713354,-2.3196719,-0.9862685,-0.7336272,0.0140534,-0.5772075,1.1889715,-0.19486314,1.7041371,1.1490184,-0.32313946
87,-0.15051544,0.4577981,0.09645103,0.013783771,-1.3433615,-2.7004058,-1.6932571,-0.9202414,-0.0039508287,-1.3335148,0.24996075,0.8486639,-0.0846263,1.3428998,-0.44490373
88,0.024970576,1.396023,0.5238918,0.022138111,-1.2440445,-2.658002,-1.6043458,-0.6400902,-0.014080057,-1.423514,-0.19755611,1.0205003,-0.0058309436,0.20086202,-2.125354
89,0.15780559,1.2538117,-0.039392665,0.012771793,1.5570302,-2.6712341,-1.6950834,-0.45579243,-0.011630746,-1.0426953,0.46344277,0.68080693,-0.07011253,-0.671339,1.530649
90,0.15762939,-0.3929103,1.0499474,0.014441544,-0.46363476,-2.6428883,-1.3588147,-1.0974451,0.0065840473,-0.9427131,0.23530239,-0.8586881,1.0285479,0.62713593,-1.1800665
91,-0.3587919,-0.36972737,-0.70025444,0.009774508,-1.8633978,-2.9932258,-1.64463,-0.85525495,0.00071542244,-1.3142203,-0.5382558,-0.29572403,-0.55359536,0.7119444,-1.7020246
92,0.13292953,0.24330315,-1.7751383,0.002724708,0.48474634,-2.562034,-1.5856957,-0.73443305,-0.0031809136,-0.9216284,-0.026452944,0.64557517,-2.2482398,1.1599226,0.49449447
93,0.75929064,0.8732688,0.12852305,0.015357767,0.7968765,-2.0477557,-1.2377414,-0.2872244,-0.005167676,-0.7884499,0.55260813,0.6363258,-0.8761019,0.039978392,0.4883919
94,-0.32070392,0.38659307,-1.6291112,0.0026212716,-0.84969693,-3.0096617,-1.833503,-0.99125046,-0.0035696598,-1.2068673,-0.5141545,-0.068273515,-1.499233,0.7417083,-1.4226108
95,0.89781636,0.7248551,-0.048929457,0.021295507,-0.983774,-2.070323,-1.0523555,-0.45235884,-0.0060956934,-0.79423887,0.7285116,0.66525066,-0.3940261,-1.3099154,-1.5661762
96,0.5431974,-0.606853,-0.47023135,0.0055824276,-0.29402733,-2.2420204,-1.1334021,-0.8540335,0.010833745,-0.6926859,0.51900005,-1.1166124,-0.9184554,1.1540611,0.44898283
97,0.62114877,-1.2123488,-1.3270394,0.009401504,0.8896578,-2.2668831,-0.9930198,-0.79445815,0.008228024,-0.48002815,1.0087996,-0.7405435,-1.1040425,-0.25148135,-0.8322508
98,0.51475555,1.2803093,0.0052006654,0.018106462,-0.024690215,-2.1917975,-1.3156881,-0.33836347,-0.011023388,-0.9772097,0.17384943,1.4957854,0.6743734,1.5492928,-0.17004845
99,-0.101870894,-0.65147024,0.7446563,0.008160885,-0.38075557,-2.801184,-1.4758368,-1.1895849,0.009308944,-1.0017923,0.09473069,-0.5375017,0.50634056,-0.9812639,1.2072363
100,-0.008174427,-0.99204195,0.027618513,0.0059699323,0.30937546,-2.6432877,-1.3601189,-1.0158491,0.010232518,-0.7078718,0.04779409,-0.40955907,-0.32544184,0.4560767,0.99678546
101,1.0024554,0.9621833,-0.31836227,0.019732563,-0.97332466,-1.9866433,-0.99113005,-0.36426097,-0.008380742,-0.8089154,0.53145075,1.7115216,-0.090902954,0.5329417,-0.9086586
102,0.42176023,1.7591987,0.08312286,0.014336786,1.0955982,-2.2708943,-1.4588773,-0.19468851,-0.015106432,-1.008001,0.3601118,2.1332188,1.0568881,0.1285796,1.1409307
103,0.90070343,-0.0011605299,1.0865972,0.013487735,0.5131174,-2.1746173,-1.1204965,-0.49803346,0.0098161725,-0.62020147,0.9805192,0.3286587,0.5397988,1.2169092,1.1522744
104,-0.18119691,0.48358774,0.75418556,0.015775597,-1.3651857,-2.841915,-1.7899067,-1.0383209,-0.0028299629,-1.4087361,-0.47309422,0.90736043,0.71713185,-0.18542314,-1.3420423
105,0.5917198,0.58588344,-1.2557409,0.017940737,-0.5075852,-2.1723936,-1.2693876,-0.47273564,-0.009993619,-0.82640725,0.472224,1.2602183,-1.1998271,-0.42464933,0.49676436
106,1.190708,0.020503886,-0.80088806,0.022953156,0.20043205,-1.874332,-0.9784495,-0.35406157,-0.002218198,-0.5363233,0.5146803,-0.62050164,-1.5715275,-1.2008265,0.319322
