,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,0.12086266,1.5212538,0.012799967,0.01567026,-0.53244454,-2.4887555,-1.4733391,-0.4937576,-0.0133899655,-1.2002962,0.8168598,2.0430675,1.4822918,0.20001559,-0.06277475
1,0.2550707,1.8654633,-0.1894911,0.024059974,-0.8551706,-2.4089394,-1.3401551,-0.3646286,-0.01901303,-1.269848,0.50482965,2.2649813,-0.7864435,-1.4839929,-0.7722313
2,1.5394856,-0.7798593,0.944643,0.032359917,-0.2209601,-1.7229145,-0.64798427,-0.30406535,0.01208512,-0.14921463,1.8627541,-1.6803006,0.94104964,-1.6708714,-0.93874335
3,0.3259082,1.123687,1.0220675,0.011896182,-0.19445643,-2.6053104,-1.5250313,-0.561826,-0.0032786787,-1.1820934,0.6362918,1.4024935,0.73066187,0.117277786,0.39227894
4,-0.18107435,0.20641305,0.15121067,0.008125412,-0.124775276,-2.7412517,-1.6770225,-0.88006246,8.76179e-05,-1.109618,-0.061933644,0.3656772,0.5689105,-1.4746131,0.5078129
5,0.7406117,-0.3159325,-1.4600472,0.020261332,-1.0329094,-2.2006965,-1.1124802,-0.57425165,-0.00187294,-0.6190047,0.43663564,0.32457578,-1.731308,-0.69182914,-1.6961763
6,0.5591837,1.1920937,-0.078207135,0.018283408,1.1623195,-2.200459,-1.3829365,-0.23473337,-0.011379095,-0.89372873,0.49259895,1.1316522,0.28876647,-0.8075219,-0.012120247
7,-1.2623682,-2.0791576,-0.5404794,0.0046920637,0.43723682,-4.1886063,-2.547999,-0.21018094,-0.0029517468,-1.2973177,-1.2499391,-2.5848765,0.008192897,-0.14191493,0.010751992
8,-1.583299,3.2507336,0.58279264,-0.00800051,1.6437083,-3.7988126,-2.8240592,-0.5648711,-0.02169148,-2.3316727,-1.630525,3.0833337,0.5222756,0.70096856,1.5983399
9,-0.0505067,0.43897802,0.45038304,0.007507149,0.49236158,-2.7121992,-1.654907,-0.83809555,-0.0011512628,-1.073395,0.12229328,0.3515623,-0.8218179,1.1657064,-0.22644845
10,-0.6165704,-2.1610358,1.4536608,0.026858281,0.28609753,-3.9503188,-2.2149816,-1.7675054,0.022680394,-1.4751672,-0.66780734,-1.8705716,1.2191156,0.12620254,0.2495217
11,-0.17277178,-0.13178971,-1.7234966,0.007469166,0.96658087,-2.9129946,-1.6663599,-0.768918,-0.006464725,-0.9468949,0.002963975,0.25630718,-2.40076,-0.11037989,2.100539
12,-0.09110901,-1.4185765,0.15652041,0.01374138,-1.0879912,-2.8945875,-1.3930078,-1.1863834,0.012914275,-0.8416187,-0.11700232,-1.8627987,-0.28636646,1.3557664,-1.6921623
13,0.2064437,0.17905872,-0.8354491,-0.0047314893,1.6551359,-2.7202451,-1.5975149,-0.5778593,0.0032039545,-0.9341344,0.037427366,-0.08716686,-1.5669178,-1.0325631,-0.7510905
14,-0.047325935,-0.5083581,-1.9127492,0.008373629,0.8991541,-2.8441024,-1.5319757,-0.873551,-0.004185195,-0.86462384,-0.1791218,-0.22529376,-0.95888555,-0.16660137,1.6051009
15,0.03757762,0.115115814,-0.49238396,0.0077870814,-0.5500768,-2.5797932,-1.5227892,-0.86966276,0.0010043206,-1.0600915,-0.3672984,0.59925973,-0.68940204,-0.10101433,-0.63668203
16,0.8900479,-1.5335671,-0.35461867,0.014846554,0.2550295,-2.1416612,-0.86078167,-0.8802074,0.019075915,-0.270098,0.6677798,-1.2956455,-0.23784436,-0.38779184,1.9203739
17,0.21483725,0.120255046,0.840129,0.01471265,-0.80837816,-2.525583,-1.4254482,-0.94515556,0.0016252631,-1.0195881,-0.06031102,-0.9755153,1.8715284,1.3129702,-1.1940112
18,0.1695184,-0.41055596,0.8983165,0.017037883,-1.8451587,-2.8388748,-1.4436398,-1.2063276,0.007766762,-1.1475526,-0.077577755,-0.3881124,0.7517333,-0.45594907,-1.4624206
19,-0.017875526,-0.8210479,1.1097101,0.013535936,-1.6441913,-2.9367807,-1.5373716,-1.5864524,0.014859348,-1.1429594,0.35407564,0.030086756,0.5774113,-0.88119024,-1.8521402
20,-0.92987823,0.8041655,-1.4044795,-0.02526289,1.3173109,-3.5248516,-2.1529183,-0.8614357,0.0024196627,-1.3452396,-1.1578531,0.6721844,-1.2806722,-1.4960504,1.473905
21,-0.44833842,1.5687274,-0.20717517,0.006006472,0.08681544,-2.8182328,-1.7650406,-0.7918388,-0.012577409,-1.1922222,-0.611012,1.7571901,0.6152741,1.2103313,-0.56329006
22,0.74036366,-1.3235973,0.26744083,0.013711231,0.5649336,-2.1230445,-0.89095455,-0.83135563,0.018224142,-0.3036138,0.5865493,-2.1495621,0.1625269,-2.2296548,0.017463028
23,0.4723802,-0.08107177,1.5529066,0.012284786,-0.15817817,-2.4914856,-1.213927,-0.82886606,0.011811768,-0.8223347,0.6625831,0.21881565,2.0435534,0.4826749,0.028111547
24,-0.6557163,1.7815951,0.716269,0.009212275,-1.1627126,-2.8353102,-1.9818916,-1.0408871,-0.011110938,-1.4175643,-0.9735558,1.2767029,0.192882,-0.27481565,-1.4593298
25,-0.74232256,0.94745135,-2.3502445,0.0047432203,-0.20077683,-3.3876305,-2.0756702,-1.0619336,-0.016120333,-1.2110621,-0.65525264,0.5059233,-2.5932367,0.4854781,0.35000336
26,-0.48694748,0.547337,-0.89877534,0.007456337,-1.2805754,-2.9378047,-1.8763685,-0.9110395,-0.0065186974,-1.3493483,-0.32413262,0.42333907,-0.6794834,0.34307235,-1.49527
27,-0.11667287,-0.7910948,0.8220961,0.012501978,-1.0181537,-2.8643243,-1.5042481,-1.2825963,0.009930271,-1.1539583,-0.0906647,-1.0827887,0.8988255,-0.10895951,-2.633502
28,-0.09363188,0.9304864,1.0806798,0.005265006,0.7856612,-2.972738,-1.7993228,-0.9101209,-0.0015793946,-1.187468,-0.37793136,1.442641,1.2265973,-1.2515773,0.8473147
29,-0.2802799,-0.16538462,0.80697393,0.010041131,-1.8497643,-3.0801842,-1.800235,-1.3063022,0.0061124256,-1.4935393,-0.25255615,-0.4015683,0.38933283,1.2394539,-2.099459
30,-0.14348082,0.5317242,0.48553166,0.0060107745,0.7358869,-2.8144343,-1.7392409,-0.8707381,-0.002080807,-1.0970161,-0.17514314,0.1925937,0.6423162,-0.23496537,-0.04305309
31,-0.23168911,2.7163944,-0.018703077,0.007966595,0.6487065,-2.860791,-1.6415617,-0.3189538,-0.02657384,-1.3302295,-0.316327,2.7611284,-0.30554962,-0.37571743,-0.008493662
32,0.2752261,-0.72395414,-1.6290953,0.010936799,-1.3876647,-2.6337824,-1.2326027,-0.888476,0.0046048155,-0.7870757,0.26734743,-1.1479962,-1.225521,-1.7980223,-0.606454
33,-0.37291056,-0.3014734,1.7228578,0.020727938,-1.6757795,-3.481592,-2.0035782,-1.9665484,0.007830168,-1.6094862,-0.48313493,-0.46259674,2.0580025,0.33508766,-1.5986634
34,0.86059284,0.19877204,0.47651055,0.024829116,-1.107264,-2.191923,-1.0502224,-0.57849926,-0.001270528,-0.7072711,1.1290847,-0.10289198,1.9142671,1.2277048,-1.7010703
