,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-3.968919,0.047992297,0.04225168,-2.7012002,-0.10373324,-3.4253402,0.041427433,-0.0053302236,-2.7025425,-3.582187,-4.100647,0.6482883,0.15385772,-2.3387043,-0.10842197
1,0.032595538,0.0047641746,-0.0048216153,-0.5841341,0.45735186,-0.99501073,0.022081794,-0.026981981,-1.420691,-2.2595186,0.770173,-0.5133255,1.6072254,-0.22110865,0.95082366
2,1.1875176,-0.0015339535,-0.046736117,-0.8748936,-1.1094946,-1.4659054,0.040136956,0.008330805,-1.6494904,-3.2617085,1.9132631,-0.8826821,-1.3263403,-0.41898516,-0.66509616
3,0.18126109,-0.0015857718,0.0035358062,-1.1350555,0.5761285,-1.0201455,0.024341995,-0.027329573,-1.2558897,-2.2231894,-0.57752275,0.90257776,0.023513503,-0.66077054,0.74243987
4,-1.1259582,0.01628446,-0.0122994445,-0.07171829,-0.6836746,-1.4790816,0.031974956,0.0013748221,-1.961747,-3.0232706,-1.422163,2.6478384,-0.11378458,-0.2586727,-0.98346853
5,-1.2821083,0.01942162,-0.02181582,-1.4370362,0.4769001,-1.8680196,0.07825655,-0.041068517,-1.3629727,-2.5635166,-1.2386523,-0.13987891,-2.3319042,-1.7003397,0.297781
6,-2.7301264,0.019930765,0.026136199,0.6796639,0.25026906,-1.3671424,0.04281102,-0.046724737,-1.819304,-2.4423323,-3.3963733,0.9829407,-0.59441453,1.1624966,-0.07298124
7,-1.1371248,0.020144189,0.0050737606,-2.1042037,-0.022517145,-2.1885576,0.04077366,0.0007976182,-1.7531298,-3.0752878,-1.0164299,0.70556116,2.5679784,-2.8491678,0.40332764
8,-1.0971142,0.0071051237,0.01625486,1.3945333,1.1145931,-0.6099243,0.04376889,-0.058059163,-1.0653942,-1.726962,-1.3728962,-0.40618008,0.25277674,0.47010458,1.6656678
9,1.07789,0.026925452,-0.091728166,2.395014,-0.25174302,-1.3767813,0.05318076,-0.031593025,-1.7813401,-2.7630956,1.312414,-0.29320133,0.5737081,2.5561597,-0.77021354
10,-2.204825,0.0038320816,0.078625634,0.90850186,0.40759116,-0.0081397295,0.007151542,-0.027650325,-1.7162861,-2.1067686,-3.3466046,1.2627662,-0.6346434,1.180301,0.5318286
