Asset1,Asset2,Asset3,Asset4
0.21677957,0.3801615,0.2299226,0.33150077
0.16007335,0.38392812,0.3000887,0.17670283
0.19414218,0.3868315,0.2095928,0.26040792
0.1641391,0.39641058,0.2979292,0.23747799
0.2532385,0.36338285,0.28337902,0.25980496
0.15638664,0.4373607,0.21475844,0.112393975
0.13239679,0.3342711,0.25807637,0.20207354
0.24978554,0.5087803,0.2856862,0.28837425
0.21270187,0.3918799,0.23724078,0.22216755
0.16190991,0.3614753,0.22978728,0.15527612
0.19138233,0.4190368,0.28905493,0.22551918
0.18973865,0.5674554,0.20436019,0.21747755
0.15157977,0.4571895,0.24578643,0.20962352
0.2143998,0.48569065,0.22453618,0.22771782
0.14849515,0.35712212,0.33842757,0.26425424
0.057848282,0.30162132,0.31486586,0.15653822
0.23858328,0.51299286,0.3559529,0.3515569
0.25141025,0.44114023,0.2656931,0.2881939
0.06366937,0.32559615,0.11847174,0.159384
0.08056567,0.4437998,0.18469462,0.16730127
0.16091383,0.43020928,0.26822168,0.124726534
0.10491013,0.47302777,0.1692777,0.14693554
0.15961546,0.41360754,0.22078496,0.14797443
0.18882135,0.5017178,0.2319452,0.23763363
0.28169602,0.5502417,0.25695366,0.29347593
0.1787677,0.45684034,0.2614242,0.16385753
0.101981916,0.40468314,0.16035786,0.18716031
0.22330736,0.45774904,0.36128795,0.36310497
0.17861594,0.47058633,0.35808682,0.18317214
0.20902896,0.48835495,0.28268296,0.1950321
0.09355235,0.44948494,0.21911882,0.19382513
0.21755113,0.3194184,0.27229956,0.17469914
0.26029232,0.47619876,0.38303795,0.2744908
0.13459408,0.3557902,0.19291565,0.1745061
0.16824104,0.26742786,0.25548327,0.14510874
0.17606759,0.4690014,0.28418237,0.27535453
0.08875831,0.35987517,0.1938045,0.12341348
0.09765847,0.3522955,0.23502068,0.13880451
0.174347,0.4535788,0.27281788,0.1603203
0.18080275,0.39427984,0.2675355,0.18703017
0.115635514,0.39498895,0.17336042,0.22791354
0.17165048,0.41056594,0.13524674,0.23027973
0.16497421,0.3420435,0.3150778,0.17506167
0.11957662,0.42544043,0.17270638,0.20880078
0.13400249,0.2807511,0.1400542,0.11712333
0.22390558,0.52247375,0.31557778,0.26219302
0.069903575,0.27121243,0.16948316,0.0900765
0.2212265,0.5524422,0.3237046,0.20873585
0.13725264,0.40269643,0.32781896,0.19230053
0.28112298,0.5092997,0.3056331,0.33993492
0.16587262,0.42434275,0.2415432,0.18481845
0.07274143,0.39266506,0.11906533,0.111581475
0.09765254,0.4146472,0.20662598,0.18106616
0.17047821,0.45776182,0.2539733,0.14327432
0.22263207,0.47877768,0.27341118,0.14869407
0.15411161,0.5111273,0.2104819,0.15122509
0.097273454,0.30261734,0.23730735,0.24966398
0.33698896,0.49852568,0.3506239,0.2734946
0.19133021,0.5055354,0.24833097,0.14489776
0.20603795,0.4153151,0.24033165,0.19651501
0.11486253,0.35878345,0.18047938,0.08293143
0.27702796,0.49104315,0.33604014,0.21592832
0.17913908,0.3543074,0.23757866,0.17268907
0.29969674,0.4903184,0.2772331,0.22161694
0.1613651,0.44234464,0.36252475,0.2902314
