,latent_mean_0,latent_logvar_0,Gaussian_latent_var_feature_{i}
0,-0.031392336,-3.000639,-0.27900773
1,-1.2183003,-1.7219232,-1.0308005
2,0.3277525,-3.6205425,0.19102602
3,0.68946743,-4.728807,0.82688165
4,0.18331593,-3.2594786,0.23092288
5,-0.3274796,-2.2937365,-0.4923777
6,-1.4932142,-1.529385,-1.4225163
7,0.49308535,-4.2132654,0.5500573
8,-0.2702318,-2.996027,-0.2564904
9,-0.5527601,-2.2712698,-0.57658017
10,0.33688992,-3.9209862,0.3835636
11,0.21985018,-3.257288,0.1568977
12,-1.0296106,-1.8562492,-0.869926
13,0.65356135,-4.3098106,0.703977
14,0.4658783,-3.5793695,0.54769593
15,-0.38792562,-2.6184015,-0.59046775
16,-0.85989606,-2.040677,-0.96580017
17,-0.5828043,-1.9758655,-0.461112
18,-0.5851618,-2.0458755,-0.005592704
19,0.48450696,-3.372086,0.5854142
20,0.5088919,-3.9652357,0.519431
21,-0.43433952,-2.3926873,-0.8158276
22,-0.58210903,-2.3105817,-0.6605391
23,-1.0841178,-1.7761787,-1.010156
24,-0.30718446,-2.4561782,-0.060659885
25,0.14676583,-3.267427,-0.165521
26,-0.42249995,-3.043079,-0.18442857
27,-0.9496223,-1.8890725,-0.41117966
28,-0.40327334,-2.0533695,-0.40229452
29,-1.5711051,-1.5573395,-1.2066514
30,-0.054833457,-3.180385,-0.09566864
31,0.39320976,-3.9520426,0.44110382
32,-0.4577881,-2.2565856,-0.4083234
33,0.11565316,-2.7277093,0.121077396
34,-1.4337933,-1.6226925,-1.4630046
35,-0.19907495,-2.2253938,0.0039987713
36,-1.049011,-1.9084586,-1.6819836
37,-0.35418195,-2.2788591,0.02787003
38,-0.0050117522,-2.5624714,-0.47475463
39,0.45727915,-3.7059736,0.28393215
40,-0.6042397,-2.2132602,-0.7317412
41,0.33162943,-3.948608,0.03606519
42,-0.4001403,-2.1673203,-0.7386104
43,0.0100393295,-3.093441,0.16015935
44,0.3720566,-5.231697,0.28508922
45,-0.53657067,-2.0315795,-0.3714134
46,-0.77324486,-1.8936347,-0.2080931
47,-0.040282026,-2.8353982,-0.13153677
48,-1.8529145,-1.4700621,-2.069284
49,0.11721366,-3.4394202,0.044844836
50,0.2948901,-3.374858,0.3181023
51,0.38593715,-4.2404356,0.4464572
52,-0.84365964,-1.9220244,-1.0757374
53,-0.33646095,-2.9907737,-0.13131984
54,0.47302663,-4.1391664,0.4598769
55,-0.48419517,-2.2330556,-0.50426686
56,-0.27445707,-2.3100696,-0.5014092
57,0.1598357,-3.4168887,0.4292927
58,0.34519473,-4.0389814,0.1033254
59,-0.15824515,-2.9483457,-0.17377226
