,latent_mean_0,latent_logvar_0,Gaussian_latent_var_feature_{i}
0,0.22794637,-3.2815995,0.23225266
1,0.7608499,-5.967763,0.7533365
2,1.1157275,-4.9189982,1.1471677
3,-1.0165935,-1.9507984,-0.35988617
4,-0.70679617,-2.1836147,-0.7608968
5,-0.6271062,-1.8949898,-0.14549345
6,0.9283034,-4.5647454,0.92477566
7,-0.2555569,-2.2447133,-0.47469962
8,-0.47452372,-2.168713,-0.57085896
9,-0.051604047,-2.7383442,0.112206504
10,0.37073338,-4.0122166,0.41751093
11,-0.25370705,-2.55167,-0.28117937
12,-0.44717425,-1.9447013,-1.0613201
13,-0.9625503,-1.9502534,-1.196067
14,-1.9110564,-1.3890513,-2.5891643
15,0.003656,-2.657084,-0.35498184
16,-0.025587901,-3.2044091,-0.28195822
17,-0.948969,-2.0049677,-1.1356302
18,-1.049555,-1.8376361,-1.7678051
19,0.37934667,-5.446043,0.42820045
20,0.7313742,-5.5631785,0.6816357
21,0.3573026,-5.9261646,0.31618387
22,-0.051605657,-2.7266903,-0.23591249
23,0.14880306,-4.051144,0.446128
24,-0.4199651,-2.2579007,-0.5416171
25,0.0685527,-2.8072119,0.3284654
26,0.7520859,-4.667055,0.66952974
27,-0.65354705,-2.5228438,-0.72990227
28,-1.4894121,-1.5629889,-1.5593259
29,-0.9903507,-1.809626,-0.7218628
30,-0.21714345,-2.3161287,-0.24050887
31,-0.3309543,-2.2534375,0.037567317
32,-0.41935647,-2.7669897,-0.5288584
33,0.99833184,-5.2897654,0.9316611
34,0.72139895,-4.694201,0.77161294
35,-0.018516362,-3.280048,-0.26090497
36,-0.09833884,-2.6613722,-0.015038334
37,0.3764849,-3.857429,0.3718999
38,-1.5100664,-1.6961597,-1.5558587
39,-0.2335765,-3.1677089,-0.07141009
40,-0.4709658,-2.2789187,-0.9640397
41,0.47764426,-3.3837075,0.58091044
42,0.9971485,-7.3046527,0.96049726
43,0.33826768,-3.676322,0.46882898
44,-1.2301334,-1.753733,-0.6030226
45,1.269447,-7.61929,1.2761562
46,-0.074317336,-3.051721,0.5175745
47,0.14200693,-3.4494634,0.024415843
48,0.95672953,-5.164987,1.0966909
49,0.6414508,-4.774286,0.6975122
50,-0.95104253,-1.9398936,-1.0372213
51,-1.2205735,-1.7404457,-1.7396336
52,1.2375863,-7.00806,1.2041202
53,0.07508874,-3.1235518,-0.008841425
54,-0.599975,-2.0544314,-0.53147644
55,-0.33181286,-2.6900778,0.058281094
56,-0.86075425,-1.8667916,-0.49452192
57,0.11536661,-2.7330322,0.21248995
58,-0.2997296,-2.578714,-0.5106138
59,-0.40715384,-2.9382825,-0.33036187
60,-0.38454068,-2.0114374,-0.26068896
61,-1.324978,-1.6425668,-1.7310386
62,-0.56994,-2.784727,-0.51667684
63,0.31350318,-3.2895718,0.04918444
64,-0.14131117,-2.8114514,0.09982365
65,0.976283,-5.4339952,0.9654056
66,-0.75846183,-2.409822,-0.42993823
67,-0.036592484,-2.3175025,-0.16755192
68,-0.11133477,-3.0027452,-0.57553536
69,0.6687003,-5.6591325,0.7205601
70,-0.27371725,-2.5494843,-0.8356432
71,-0.37765586,-2.1667705,-0.22632873
72,0.33340347,-3.531437,0.20992087
73,0.98927575,-5.8117456,0.96349585
74,-0.7805279,-2.1220737,-0.32288063
75,-0.5876632,-2.294383,-0.8054165
76,-1.1176115,-1.833326,-1.5323088
77,0.8537673,-5.2378855,0.78093445
78,-0.15115577,-3.0686393,-0.21505992
79,0.19550765,-4.378888,-0.068627715
