,latent_mean_0,latent_logvar_0,Gaussian_latent_var_feature_{i}
0,-4.233027,-0.3042177,-4.6559706
1,-1.6601738,-1.6813053,-1.7003793
2,-1.8287688,-1.7424735,-1.6394843
3,-0.5957109,-1.9333738,-0.411658
4,-1.2964433,-1.9184684,-1.9218173
5,-0.41758132,-2.705618,-0.02597484
6,-1.2838703,-1.503636,-0.55322057
7,-1.8019439,-1.7203525,-1.7883565
8,-1.3995792,-1.5281755,-1.2801877
9,-3.554123,-0.39092004,-4.9264255
10,-2.4383445,-0.9101342,-2.5177531
11,-0.7902891,-2.2173495,-0.6217583
12,-3.6173992,-0.74849164,-3.4517524
13,-1.4621941,-1.5623742,-1.0214995
14,-0.6441796,-2.4633517,-0.7070993
15,-1.0666021,-2.2293835,-1.6970887
16,-5.214894,0.36875594,-2.8557172
17,-1.6098261,-1.9513744,-2.2725012
18,-3.3940134,-0.5365499,-2.9533994
19,-2.193108,-1.2790655,-2.4513376
20,-3.671844,-0.46761644,-3.6554682
21,-2.7522116,-0.8769082,-2.6892846
22,-2.2113209,-1.3102864,-1.5438986
23,-4.4450774,-0.35092294,-5.3173194
24,-0.55041444,-2.0384393,-0.18757084
25,-1.3124384,-1.7305726,-0.9806764
26,-6.56,0.60244524,-5.7463775
27,-2.462585,-1.4511684,-2.5456505
28,-4.0592976,-1.4950031,-4.0583405
29,-1.04586,-1.8135589,-1.0534611
30,-2.4824734,-1.3451599,-2.3908207
31,-4.0465655,-0.3790964,-4.3385324
32,-3.720636,-0.6129612,-5.84834
33,-1.1731188,-1.9866351,-0.8650899
34,-1.7585396,-1.7354692,-1.7608817
35,-3.143836,-1.6938044,-2.7579572
36,-4.95532,0.3970567,-4.186877
37,-0.53374684,-2.0145946,-0.3382987
38,-1.4277562,-2.0894547,-1.2532552
39,-3.8012242,-0.33550298,-3.3770316
40,-1.3096696,-2.076964,-0.8604897
41,-4.602395,0.0018869638,-5.4865856
42,-5.060944,0.20946848,-6.3518615
43,-2.1225967,-1.4770421,-1.2091315
44,-3.794939,-0.33162344,-3.7009275
45,-2.384297,-1.1379465,-3.4663796
46,-3.341187,-0.6357492,-3.584819
47,0.54666066,-5.514195,0.552703
48,-1.1150018,-2.1592731,-1.2984225
49,0.31464577,-3.7899446,0.22349244
50,-1.9913963,-1.3848242,-2.334237
51,-2.8084073,-0.91713226,-2.6126852
52,-3.1875362,-0.4971341,-1.8719287
53,-1.9991714,-1.6404103,-2.1705923
54,-2.664844,-1.0491227,-2.4370885
55,-2.3943138,-1.2749065,-2.1703255
56,-2.3693776,-1.1750153,-1.702754
57,-4.1005273,-0.05383575,-4.3343434
58,-2.742465,-1.256821,-2.7115176
59,-3.2836304,-0.9930061,-3.4120915
60,-1.5597963,-1.452557,-1.7578914
61,-4.1237626,-0.5324825,-4.659483
62,-1.4011055,-1.569456,-1.4948606
63,-0.54260445,-2.398727,-0.4775505
64,-0.2872567,-2.8634787,0.31206194
65,-2.235836,-1.3593129,-2.3278933
66,-3.8998637,-0.5652927,-4.4302
67,-3.6157575,-0.66510236,-3.663591
68,-3.48847,-0.40220582,-3.7553153
69,-5.2741823,0.46799624,-5.9766536
70,-2.4815297,-1.1396612,-3.8759766
71,-0.46443462,-4.049479,-0.5295721
72,-1.9246808,-1.7976431,-1.45217
73,-4.7808585,0.288952,-5.866397
74,-2.6399255,-1.0032414,-3.1726904
75,-4.78502,0.2785746,-3.5024548
76,-2.3317814,-1.1280822,-2.8536718
77,-2.2514124,-1.4153231,-2.382541
78,-2.5807319,-1.1066316,-3.2483926
79,-0.5262583,-2.8074408,-0.5035118
80,-3.9247432,-0.5138439,-4.2444887
81,-1.3247565,-1.6893936,-1.227513
82,-0.71392107,-2.962575,-0.7547284
83,-2.6728706,-1.3961376,-2.4562924
84,-3.380148,-0.7655691,-2.2675524
85,-2.2370677,-1.1008762,-2.023053
86,-3.8965764,-0.4892267,-3.8361108
87,-1.7302886,-1.657401,-1.8927268
88,-3.9173641,-0.18557298,-5.0066786
89,-2.498312,-1.1095141,-2.8190653
90,-0.5239203,-3.7110229,-0.49257982
91,-2.1054287,-1.3951472,-2.4248533
92,-2.4685912,-1.5735382,-2.8199503
93,-1.6056564,-2.0090814,-1.69335
94,-3.4832497,-0.57627666,-4.27003
95,-0.62149465,-2.164277,-0.92856455
96,-1.3944317,-1.8245448,-1.3074288
97,-3.3067093,-0.37875545,-3.6242452
98,-1.6823506,-1.3534704,-1.1296606
99,-1.2599139,-2.132978,-1.0469851
100,-2.97304,-0.7617067,-3.095184
101,-2.209362,-1.1400436,-2.4076061
102,-0.9536536,-2.5795822,-0.988053
103,-1.8450204,-1.846742,-1.9200898
104,0.17413926,-3.927081,0.07323041
105,-4.500605,0.28760588,-4.023654
106,-5.1243815,0.090575814,-3.754519
107,-1.6605483,-1.6231278,-0.95095414
108,-0.4746397,-2.1480079,-0.6701723
109,-1.9672438,-1.6823896,-1.8671656
110,-1.1595588,-2.1030302,-1.1116846
111,-3.835699,-0.17096221,-4.202919
112,-2.687893,-0.96136177,-2.2230408
113,-2.5126562,-0.96509016,-1.5418522
114,-1.5281214,-1.7515353,-1.8075789
115,-2.0360675,-1.7634395,-1.6847897
116,-3.319654,-0.39097202,-2.866775
117,-2.1775885,-1.1428791,-2.3316069
118,-3.3401957,-0.5080999,-4.0203714
119,-4.4279637,-0.3892597,-4.827
120,-2.6542358,-1.1362127,-2.2574925
121,-1.3573669,-1.7346586,-1.0035487
122,-2.9049172,-0.8607429,-2.9476857
123,-1.8046318,-1.4294461,-1.6847801
124,-4.5947795,0.21623051,-4.6731167
125,-4.7059226,0.025663972,-4.7295146
126,-3.701408,-0.5694984,-2.5542119
127,-0.6652545,-2.6291356,-0.81901306
128,-4.812366,0.2923237,-3.9002454
129,-0.92708564,-2.6133199,-1.3472713
130,-2.1754837,-0.9681872,-2.017304
131,-1.9664506,-1.236842,-2.067875
132,-3.518446,-0.8999008,-3.7440162
133,-1.2319478,-1.6106766,-1.4209831
134,-3.651269,-0.5907949,-3.8847156
135,-2.3675346,-0.9775876,-2.6265728
136,-0.62980205,-2.1919808,-0.7122806
137,-2.4349523,-1.307609,-2.7588959
138,-2.7546053,-1.1808752,-2.1703455
139,-2.2454162,-1.5895723,-2.234119
140,-3.0152822,-0.83407867,-4.7476387
141,-3.9711447,-0.38614166,-2.0816145
142,-2.604312,-0.7973572,-2.9619286
143,-0.96262336,-2.0894608,-0.4430018
144,-1.7626625,-1.3532747,-2.071055
145,-3.0471063,-1.4816083,-2.7873008
146,-4.0901513,-0.48677003,-4.0745993
147,-2.432952,-1.1523541,-3.3138254
148,-2.396484,-1.0107235,-3.0053124
149,-2.7632442,-1.0509804,-3.337642
150,-0.66034234,-2.8910632,-0.81519234
151,-5.3859563,0.56956637,-4.883483
152,-1.7970297,-1.7178811,-1.9160202
153,-4.112601,-0.16108215,-4.0671425
154,-4.323011,-0.16187894,-3.4124823
155,-3.4582887,-0.40761983,-2.815044
156,-2.2949085,-1.5052217,-1.6308742
157,-0.9653592,-1.7588364,-1.1624721
158,-2.1551876,-1.5805744,-2.129677
159,-2.7730665,-0.9946288,-2.5746512
160,-6.9813175,1.2969071,-6.82892
161,-4.1036234,-0.3103441,-3.3712285
162,-2.9158068,-1.0207099,-3.2069595
163,-0.28342074,-2.5523434,-0.39722967
164,-4.565676,-0.25993288,-4.19038
165,-3.6232939,-0.47656143,-4.658348
166,-5.063459,0.123224854,-5.5414205
167,-1.6121933,-1.4569124,-1.7664928
168,-2.4201837,-1.0803288,-2.8830402
169,-5.6624837,0.5843073,-7.2093906
170,-0.019038707,-2.540882,-0.08465586
171,-3.35574,-0.79192436,-4.3749533
172,-2.1126142,-3.8303037,-2.391661
173,-1.5426279,-2.1097279,-1.9710568
174,-4.1370707,-0.25948942,-4.400518
175,-1.5231811,-1.9117283,-1.8377105
176,-3.0242724,-0.5431689,-1.7474564
177,-5.7712064,0.48014414,-7.040618
178,-3.566615,-0.7914294,-3.3625143
179,-2.2534475,-1.3459643,-3.4989522
180,-0.3930679,-3.2630062,-0.38607344
181,-3.6216412,-0.25413263,-3.8500187
182,-1.4009886,-1.8655189,-1.5530145
183,-2.6969981,-1.3652891,-2.7655232
184,-0.7707482,-1.7874995,-0.7398514
185,-4.978843,0.21337092,-6.374055
186,-4.0025992,-0.3439449,-3.9889185
187,-2.9755774,-1.0432342,-3.517558
188,-0.8313232,-2.3733644,-0.21845895
189,0.33350167,-4.10432,0.22441879
190,-2.8840146,-0.9528421,-3.6737776
191,-2.5479665,-1.0600427,-2.0798645
192,-3.5684686,-0.96707094,-4.1090593
193,-2.6852584,-1.0529698,-1.7248442
194,-1.5844849,-2.6585798,-1.8654717
195,-4.0508246,-0.36666524,-3.4336438
196,-2.6086726,-1.3478521,-2.4671528
197,-1.4147485,-2.0645938,-1.0001757
198,0.04371941,-2.9833407,-0.05429261
199,-0.46853793,-2.7251062,-0.5004447
200,-1.7166826,-1.4046818,-1.5694714
201,-3.5671997,-0.6446003,-3.0522509
202,0.31850058,-5.0033793,0.31006715
203,-3.186574,-0.97541463,-3.2515185
204,-0.3651293,-3.881989,-0.49916703
