,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_mean_5,latent_mean_6,latent_mean_7,latent_mean_8,latent_mean_9,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,latent_logvar_5,latent_logvar_6,latent_logvar_7,latent_logvar_8,latent_logvar_9,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-0.00014517829,0.29868874,0.015086941,0.03543047,-0.016730543,-0.4801424,1.1390738,0.028164448,1.6932138,-0.023947317,0.0048038363,-1.2761273,-0.016137796,-0.0063559487,-0.033668146,-2.2503753,-0.6720067,0.0070999684,-1.0560484,-0.027141144,1.5577563,0.45053953,-1.6385745,0.0048565045,1.2031368,-0.7061073,1.4697986,-0.762801,1.1967232,0.036925033
1,0.0003094119,0.278217,0.03144228,0.041703403,-0.02514438,-1.1438131,-0.8620642,0.029059006,-0.90341854,0.0012043193,-0.0014963336,-0.95970374,-0.021500096,-0.053827904,-0.04846406,-1.8706299,-0.42407113,-0.031753726,-0.5927766,-0.04412942,1.8858091,0.33296242,0.8589994,0.99838865,-0.9894547,-1.7870451,-1.0525228,-1.0761598,-0.31838906,-1.4878613
2,-0.0032126647,-0.6587812,0.00092365034,0.054439362,0.00809368,-0.45192808,2.078734,0.023354169,-1.0477428,-0.01809664,0.009032406,-1.2720399,-0.009242392,0.0032894956,-0.06010212,-2.225616,-1.1269577,-0.0083616525,-0.64853597,-0.04827303,-0.5430027,-0.2998979,-0.6983939,-1.2053146,-1.0912889,-0.4934802,2.3041298,-0.09293394,-0.54439414,1.1962364
3,-7.9542864e-05,0.082150824,-0.008076156,0.048132177,0.010681235,0.23874122,2.3484926,0.01909828,-0.15078703,-0.019005343,0.023813643,-1.5431755,-0.003760485,0.0063599152,-0.05757691,-2.6498785,-1.1609668,0.0150358435,-0.8364193,-0.029827423,0.060989488,0.5359932,0.08343762,-0.643157,-0.5086073,0.29555532,3.6361132,-0.6800308,-1.1869364,0.9264072
4,-0.0024249856,-0.24018946,0.0053361207,0.035261244,-0.011789688,-0.19337946,-0.26216525,0.018160686,-0.68869376,0.0028634798,-0.0034495518,-1.428148,-0.023802921,-0.037795767,-0.04368195,-2.4778905,-0.7953817,-0.018555656,-0.71762973,-0.03946598,1.1524094,-0.098161384,0.69803745,-1.1787926,0.36811477,-0.00560005,-0.8862263,1.0175613,-0.90356827,-0.23875703
5,0.0074866735,-0.7396876,-0.008672666,0.017016448,-0.049660202,0.023303747,-1.4028594,0.016544921,1.7799828,-0.0071748747,-0.012762826,-1.7336652,-0.026910499,-0.019326398,-0.0479735,-2.767817,-0.8548258,-0.013962077,-1.1113267,-0.033159517,1.0939326,-1.860738,0.8173051,0.43566367,0.4637339,0.11517557,-1.6642467,1.1069627,1.7543685,-0.66164136
6,0.0006379727,-0.3339919,0.0012556957,0.02568483,-0.037953105,-0.44551224,-0.7474895,0.021270627,1.1888767,-0.006704452,-0.00080742687,-1.4364836,-0.031058893,-0.021835485,-0.04352496,-2.4026997,-0.6740258,-0.011266712,-0.8963168,-0.029229034,-0.79048496,0.19688225,-0.76859283,0.70152587,0.12363258,-0.23624027,-0.9474402,0.38368252,0.86058533,-1.0757916
7,-0.0050222627,-0.33261782,0.001613453,0.0396919,-0.009481546,-0.32869077,0.4260503,0.02240387,-0.46216056,-0.0018279799,0.0032973662,-1.3527818,-0.023849893,-0.023187844,-0.044211417,-2.3499117,-0.85012066,-0.011938758,-0.7258504,-0.035431776,1.7149128,-0.69115674,-0.21399386,-0.37210995,0.3960842,-0.44367513,0.7563178,-0.39295655,-0.8563999,-0.42009765
8,0.0010895268,1.7384082,0.013501607,0.040564023,-0.027668588,-0.036554098,-0.31743282,0.03171953,0.5708401,0.0036105234,0.01576781,-1.1978233,-0.019751962,-0.045428216,-0.037943244,-2.6080618,-0.54462767,-0.005126942,-1.0812185,-0.024410382,0.6065377,1.8980743,-0.015466671,-0.4923397,-0.05762367,-0.19234769,-0.11037721,0.2652747,1.2451644,-0.4211177
9,-0.0040220083,0.028293349,0.001745048,0.035719797,-0.007827877,0.21240929,1.0652863,0.020845614,0.68474674,-0.007873263,0.018319566,-1.5950322,-0.019764196,-0.010001287,-0.04239507,-2.6888719,-0.92344743,0.0057046707,-0.9397755,-0.027121019,0.8603068,0.22023895,-1.4304372,-1.3400588,1.0517088,-0.17813033,0.7773218,0.37069777,-0.024619102,-0.20221989
