,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_mean_5,latent_mean_6,latent_mean_7,latent_mean_8,latent_mean_9,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,latent_logvar_5,latent_logvar_6,latent_logvar_7,latent_logvar_8,latent_logvar_9,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-0.004722513,-0.19724804,0.0093843695,0.037962116,-0.018897297,-0.7004525,-0.3034963,0.025137603,-0.15166806,-0.0007243338,-0.00067826733,-1.2198188,-0.028630199,-0.03754276,-0.043660916,-2.1313696,-0.62464285,-0.017344533,-0.6172692,-0.03333451,-1.3107357,-0.65541065,0.4084775,-0.629265,0.45677632,-0.40692896,-0.67014205,-0.6227304,0.21503837,0.55238706
1,0.024673587,2.1150446,0.021782149,0.05348094,-0.00094801886,0.1133157,-0.60777825,0.028312804,-2.3304808,-2.5616027e-05,-0.010293972,-1.0308478,0.005228607,-0.069295205,-0.06330257,-2.65963,-0.8999293,-0.040456977,-1.1730113,-0.06974217,-0.1152351,1.730753,-1.4135695,0.83652335,-0.69920576,0.001054287,-1.2400026,1.0633878,-2.195464,-0.11398494
2,-0.0028890357,1.0798783,0.028009769,0.035332613,-0.03532333,-0.823466,-0.10372692,0.034144502,1.2636551,-0.0078223115,0.015555723,-1.0161127,-0.025446596,-0.033053905,-0.03932046,-2.072227,-0.326006,-0.0029438706,-0.997698,-0.018450923,0.8867149,1.3434985,-0.87611175,0.076313704,0.9966766,-1.1410263,0.24475715,-0.62032086,0.6187178,1.9323734
3,-0.004170083,1.1067852,0.009646036,0.04615623,-0.011619868,-0.47340995,0.7290674,0.028603503,-0.29488212,-0.012532751,0.0058101714,-1.0197628,-0.01322284,-0.02992029,-0.04349348,-2.250272,-0.62675726,-0.0038045757,-0.90981615,-0.023967411,0.786412,0.71610636,-1.2369488,-0.2594836,1.1395589,-0.27349263,1.4457264,-0.19651394,-0.75484395,0.21871135
4,0.008200401,0.38415787,-0.015574132,0.05928541,0.016466137,0.6969878,2.5747542,0.01883419,-1.2565161,-0.03418597,0.02003726,-1.5780065,0.008652365,0.013970506,-0.083177224,-2.900062,-1.499481,0.006936261,-1.0554292,-0.042289723,0.0651082,0.0034911335,0.62388843,0.42924094,-0.9088861,0.43919662,2.4230533,-1.3885977,-1.3868686,1.3564214
5,-0.009716541,-1.09344,0.04675897,0.063655496,-0.02001758,-1.7139604,1.1361756,0.023900652,-0.38451475,-0.034595687,0.015465913,-0.61012733,-0.032765105,-0.00079751015,-0.058291003,-1.5972996,-0.55847657,-0.018335408,-0.14443141,-0.055012643,-0.8238057,-1.3055437,1.8713068,0.5139335,-0.49020642,-1.5283964,0.5892228,-0.4742831,-0.1273565,0.10816215
6,0.013375165,0.6434034,0.0031664176,0.043485727,0.006318231,1.0421004,1.996422,0.024433881,1.6283603,-0.006798405,0.023311818,-1.8671575,-0.02136665,-0.0046170093,-0.04631278,-3.0944684,-1.1698756,0.01593958,-1.2374632,-0.038897652,-0.7092122,1.1260151,-1.5923232,-1.6148072,0.0034702073,1.2974153,2.332521,-0.49420682,1.4005612,0.205426
7,0.0007823296,0.78269744,-0.0011616042,0.027953079,-0.041827124,0.31534493,-0.91866344,0.021464558,1.3986267,-0.0029502697,0.016346205,-1.583936,-0.026192555,-0.027808143,-0.045141727,-2.8870192,-0.7906249,-0.000490671,-1.2414942,-0.027820297,0.7200407,1.4237249,-0.122830175,-0.9549319,-0.8602905,0.3347969,-2.5068545,0.5176896,2.0694118,-0.42181998
8,0.0030462833,-0.79305446,-0.013444971,0.04187785,0.0064063203,0.11707914,1.9382768,0.01601158,-0.22932515,-0.010762305,0.018079795,-1.6303775,-0.0155634,0.00870211,-0.06073668,-2.6289713,-1.1694367,-0.00043748133,-0.7011649,-0.034634214,-0.52777606,-1.0218475,-0.48781824,2.1998324,-0.20921464,0.1803973,1.3472344,-0.89488894,0.2127755,-0.117714465
9,0.023272745,0.5521248,0.013505243,0.015293436,-0.051830653,0.0852834,-0.29435772,0.023677731,3.4319043,-0.030227989,0.01043148,-1.600895,-0.016335547,0.0018379623,-0.044367753,-2.6924024,-0.89286405,0.0062498935,-1.8830726,-0.041907683,-0.64720803,0.87878156,-1.9688134,-2.0988579,0.45099145,-0.12925164,0.3150807,1.362377,3.169309,-1.1991341
10,0.0027406735,-0.653291,-0.007257292,0.022942,-0.03628476,0.41877517,-1.7293932,0.014027679,0.14881288,0.008582578,-0.015065644,-1.8209747,-0.029087644,-0.04469017,-0.058322027,-2.9301023,-0.92984885,-0.017194346,-1.0064071,-0.030259091,0.70307004,-0.3612297,0.42127097,-0.96661586,0.64441663,0.26352006,-0.833718,-1.5914575,-0.7185801,0.0015773433
11,0.006996943,0.62239367,-0.002278109,0.030859582,-0.03235438,0.5794704,-1.4718809,0.015766222,0.09296804,0.00217989,0.009855751,-1.6918534,-0.02555023,-0.04115644,-0.059969306,-3.0699794,-0.78874624,-0.013277274,-1.0084934,-0.031045273,1.3522354,0.300107,0.05753804,-0.02525913,1.3340764,0.19504312,-1.2937281,0.091135666,-1.117641,-1.0714427
12,-0.0011314554,-0.33228552,0.002644688,0.03275451,-0.01343625,-0.18079257,0.8495896,0.022678632,1.0022542,-0.010916629,0.007631287,-1.478905,-0.023850394,-0.0070494227,-0.038221374,-2.460656,-0.8386108,-0.00015521422,-0.91815233,-0.030550987,0.05859793,0.5459636,-1.0686803,0.82534957,-0.24455497,-0.41203386,1.2441934,-0.20964094,1.4605942,1.9920608
13,3.5244506e-05,0.6621546,-0.00019013789,0.039856903,-0.008303533,0.70646834,1.1243192,0.024342727,1.2075595,-0.005961053,0.020214792,-1.6876291,-0.023787126,-0.013411414,-0.040125065,-2.9746664,-1.0167322,0.00720039,-1.145678,-0.03260344,0.7889091,0.7771025,-0.09713384,-0.5917803,1.0752038,0.5689228,0.6514566,-0.7552034,1.076621,0.512198
14,-0.002488146,-0.10912932,0.002206495,0.033179738,-0.004311491,0.255503,0.77682996,0.015730012,-0.7693287,-0.0029669614,0.021268306,-1.5721462,-0.018272188,-0.019773899,-0.055073984,-2.7285047,-1.0017098,-0.010461088,-0.82835305,-0.034832716,-0.23347339,-0.64897984,1.5733367,0.20083621,-0.19418082,0.5659933,0.844295,-1.2216256,0.19758242,2.2861662
