,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_mean_5,latent_mean_6,latent_mean_7,latent_mean_8,latent_mean_9,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,latent_logvar_5,latent_logvar_6,latent_logvar_7,latent_logvar_8,latent_logvar_9,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-0.061123934,-0.0044482467,0.016357196,-0.0709398,-0.61552095,0.027226008,-0.7374915,0.024078257,-2.2219174,-0.018978376,-0.023387328,0.0020262904,-0.005534159,0.0033367947,-0.93053913,-0.04950398,-3.0160422,0.04358369,-1.8786156,-0.03622914,-1.8698995,1.1200498,1.2306372,-1.9813361,-0.79777867,0.3362332,-1.2745607,0.016314173,-2.03043,-0.76723266
1,-0.04846873,0.009958278,0.003990679,-0.030538173,-0.5941674,0.028031912,0.27246216,0.011038658,0.9560903,-0.023334712,-0.024817584,0.0132479,0.0019207774,0.005047053,-1.1016217,0.011372583,-2.3959298,-0.00023140386,-1.3890448,-0.018007712,0.6084847,0.46886688,0.12527625,-0.4344877,-0.52033234,1.649682,0.19490306,1.5710537,1.1685594,-1.0778053
2,-0.045508146,0.023834586,0.012213313,-0.0097478535,-0.7274514,0.01775473,0.6932402,0.012290834,0.72681946,-0.02532582,-0.009349882,0.013699735,0.006490498,-0.001034528,-1.4967396,0.002017384,-2.1165586,-0.0006845221,-0.99317896,-0.0040987497,1.1900588,-0.21885143,1.026488,1.1129019,-1.0958455,-1.2380955,0.3730665,-1.4380265,1.5756487,-2.0065885
3,-0.05796286,0.007888574,0.018977834,-0.029455824,-1.3376465,0.029132504,0.3418567,0.010168136,0.5429424,-0.026283901,-0.013079302,0.0042768493,0.01376671,0.0058409814,-1.7221853,0.00284998,-2.3392918,0.0005030818,-1.3144592,-0.020687785,0.115562364,-1.0192941,-0.0046631247,0.20904814,-1.5409633,0.26033124,0.5752402,2.3303342,1.0944717,0.27956972
4,-0.06568948,0.0139963385,0.0062192148,-0.056762926,-1.2710378,0.01959546,0.79931426,0.004573277,0.024676502,-0.00941056,-0.0436358,0.005744705,-0.002923048,0.008991841,-0.45706797,-0.029369324,-1.9733288,-0.0017585643,-1.2377615,-0.022369256,-1.4268963,-0.13443258,0.7742008,-1.1523216,0.12055433,0.5267241,1.5584785,1.8059312,0.07786324,0.39446464
5,-0.07105335,0.005059154,0.0036784688,-0.07046167,-1.6664674,0.028970487,0.2597549,0.0045626387,0.45934844,-0.021208536,-0.05411613,0.005559187,0.004352224,0.009037316,-0.71735907,-0.034288947,-2.3373783,0.0026402064,-1.4457533,-0.04288222,0.095101185,-0.13947234,-0.06926406,-0.29693773,-2.2931418,-0.30048978,-0.25278807,-0.9240067,0.7466544,-0.5885068
6,-0.066115215,0.015096661,0.020216988,-0.02855312,-1.6943724,0.037424438,-0.15861571,0.008351348,0.33809888,-0.027224028,-0.01418916,0.001861259,0.011136595,0.0068636034,-2.172936,0.007417623,-2.7226725,0.008492034,-1.5497015,-0.024975087,-1.2899723,0.17058347,-0.45703357,-0.031050166,-1.444455,1.6258339,-0.62839687,-0.20427713,0.32428697,-1.2942125
7,-0.029062953,0.015632037,0.005297087,-0.03741709,0.85984343,0.0272104,-0.3264032,0.023282848,-0.8903898,-0.011321111,-0.030855443,0.010455217,-0.035571184,-0.012110329,-0.9082507,-0.0077853883,-2.907722,0.035940863,-1.8873172,-0.0063488325,-0.43998408,1.0267031,-0.33592165,-0.021278953,1.1391665,-0.7069049,0.153014,0.8159727,-1.1410197,0.0081580505
8,-0.03247323,0.04443572,0.012523544,-0.024239909,1.0872295,0.034858163,0.5064087,0.021137096,-0.820521,-0.0052471375,-0.011805454,0.021154428,-0.040785387,-0.0017536394,-0.5493525,-0.0087635685,-2.2529287,0.043429874,-1.3014747,0.016850878,-1.3335537,-0.41352862,-1.4214808,-0.6156777,1.8629992,-0.47521865,0.5485068,0.59289193,-1.2021625,-1.073692
9,-0.032537807,0.022981169,0.018138213,-0.028924301,-0.50654304,0.00018839072,1.613557,0.012184115,0.60391796,-0.009586588,-0.015251853,0.0262787,-0.00475802,0.0054034144,-0.47359538,-0.0065212017,-1.4587774,-0.015659593,-0.6995181,0.023736335,0.6583723,0.035251938,-0.23802002,0.08036507,-0.5148866,-0.05339099,1.6608739,-0.1002484,0.5649226,-0.73754835
