,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_mean_5,latent_mean_6,latent_mean_7,latent_mean_8,latent_mean_9,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,latent_logvar_5,latent_logvar_6,latent_logvar_7,latent_logvar_8,latent_logvar_9,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-0.046804108,0.025670737,0.017696278,-0.050481714,-0.8360457,0.032795608,0.78716946,-0.0007138336,-1.0148165,-0.0028936043,-0.021815462,0.020068595,-0.0032178536,0.008088294,-0.7291174,-0.0069266343,-1.9986181,0.030599426,-1.0824248,-0.027465802,0.73389196,-1.7497976,-0.82857436,0.9850903,-1.4660032,1.3390918,0.8853916,0.8700624,-1.1167266,0.06488216
1,-0.02698054,0.021339634,0.005637467,-0.024357349,0.6662033,0.030776687,0.16496411,0.01380565,-0.6650089,-0.006284589,-0.029085694,-0.0006196089,-0.035686295,-0.018942926,-1.3321931,0.0028775886,-2.5948012,0.025396366,-1.7218442,0.0033522574,1.3758187,0.6542149,0.126733,-1.617551,1.4765002,0.6224646,-0.18129903,0.56627923,-0.11995584,-0.22544852
2,-0.030723948,0.029866299,0.0059407577,-0.018226419,0.77277946,0.028992034,0.4705695,0.01846507,0.19739455,-0.012199598,-0.026455771,0.00870692,-0.037840385,-0.01001732,-0.89765775,-0.0049736314,-2.2440915,0.01673816,-1.2913883,0.014865795,0.22462957,0.47351605,0.44637343,0.3978711,1.9263836,1.4205728,-0.123297095,0.8972922,-0.22541925,0.52680016
3,-0.060072266,0.010079045,0.015234096,-0.04182657,-1.1802917,0.020572837,0.26702118,0.012235233,-0.37715292,-0.028789598,-0.019988451,0.014095681,-0.00117215,0.00018852018,-0.8545869,-0.028846469,-2.312726,0.015098975,-1.3147354,-0.012965461,-0.17070039,2.947495,2.103063,-0.2350739,-1.5939201,-1.2499385,0.8697698,-0.08928793,-0.49436548,0.94327855
4,-0.07588821,0.01750566,0.03467364,-0.055850808,-2.4480124,0.03527704,0.24335077,0.0068011708,-0.65452886,-0.03820779,-0.0014517326,0.012295203,0.03073453,0.008116594,-2.24217,-0.032482486,-2.4122548,0.023421,-1.2790306,-0.032124832,-1.2300036,-0.45136046,-0.45950672,0.5174733,-2.3774905,-0.19592507,0.553546,1.0016335,-0.74265003,0.26800734
5,-0.092585124,0.1310404,-0.036177415,-0.01277882,3.84633,0.08225185,-0.9227693,0.07812665,2.244358,-0.018242886,0.02027754,0.017896857,-0.055301726,0.06536081,-0.99522126,-0.03293957,-3.324351,0.044894643,-1.5251305,0.07781614,-1.2254862,1.8799708,0.94338024,0.6650408,3.5028977,1.2103474,-0.7115091,-2.2065594,2.2870958,-0.57141393
6,-0.06611362,0.007896173,0.02607697,-0.029155914,-1.714478,0.03532326,-0.19984686,0.013436184,-0.18430614,-0.028573351,-0.008209024,-0.0028464189,0.005991394,0.0031398963,-1.9513499,-0.007199414,-2.723561,0.015780078,-1.6143743,-0.0123261865,0.2431303,0.16306321,0.5294609,-1.0090206,-1.5152392,-1.1485776,-0.6533985,-0.8976324,-1.8052812,-0.20669222
7,-0.030748095,0.022549363,0.0099167535,-0.0380733,1.028739,0.02884074,-0.23397416,0.025392186,-1.3747022,-0.01031804,-0.022583634,0.011579972,-0.036919594,-0.011825965,-0.9948392,-0.013629196,-2.8451092,0.04291531,-1.863718,-0.0011866968,-0.16269007,-0.018606642,0.40189084,-0.55653244,0.39688635,-1.0977887,-0.45378798,-0.08393507,-1.022651,0.14569978
8,-0.13543312,-0.014022367,-0.057586692,0.015501345,-2.663382,0.13573232,-0.46767032,0.068258025,2.9873927,-0.19052273,-0.02004285,0.02130193,0.07441519,0.03188578,-1.9344342,-0.011384284,-2.9620879,0.06088459,-3.7619457,0.010651153,-0.9780363,-0.016246341,0.1193774,0.8062009,-2.1833372,-0.9483839,-0.44215617,-0.7389695,2.8789756,-1.4172022
9,-0.03713774,0.009663793,-0.012073796,-0.02296345,0.35138467,0.044181004,0.027754813,0.027162202,1.721169,-0.03219603,-0.034858726,-0.0020964975,-0.0071315966,-4.4535846e-06,-1.5688202,0.006849968,-2.743373,0.010591538,-1.7972634,-0.005240923,0.38973963,-0.1183887,-0.33190468,-0.26575023,0.15912135,-0.39518094,0.085197404,1.2330704,1.382882,1.3442272
10,-0.053382076,0.014096694,0.020413063,-0.044483863,-0.49284345,0.021084514,-0.12620565,0.02106216,-1.1406662,-0.026699279,-0.009610981,0.024831498,-0.005767224,0.00229327,-0.8807765,-0.021538248,-2.6686277,0.0345605,-1.6032419,-0.016170483,0.9848086,0.30522346,1.269704,0.32535338,-0.38730362,-0.95570534,-0.10379556,-0.02993474,-1.2623446,-0.29361674
11,-0.02158958,0.032152023,0.011260383,-0.03534691,0.35563242,0.02717384,1.308506,0.003155061,-1.0458074,0.008718824,-0.015663646,0.023416318,-0.022649212,-0.0006965436,-0.18721056,0.0052532987,-1.6731161,0.027151221,-0.9734718,0.012463504,1.3863547,0.80873394,0.09564961,-0.097790465,2.146131,-0.007968154,1.0433918,0.3271344,-1.0834757,0.4405714
12,-0.027179834,0.0120793,0.0022064846,-0.024305467,0.31830624,0.024932165,0.23352264,0.008315256,-0.9210466,-0.007815209,-0.02224399,-0.0026011649,-0.018836996,-0.0208922,-1.5153359,0.008392803,-2.6084259,0.021849575,-1.7351091,-0.0060988804,0.19940872,-0.8311689,0.76268446,0.20195496,-0.4762484,0.14180261,0.23181745,-0.78567713,-0.7448416,-0.23135635
13,-0.07911585,0.012495714,0.0047913343,-0.09363291,-2.265053,0.03224233,-0.24660361,0.006236218,0.5572039,-0.025787959,-0.069607206,0.008824026,0.011103313,0.013595199,-1.1411438,-0.057921447,-2.8079033,0.017867677,-1.5797523,-0.06926301,0.83987236,0.26585802,2.012663,-0.772581,-1.4828755,-0.40084726,-0.2084126,-1.8017743,1.2155991,-0.21926157
14,-0.07989293,0.056462195,-0.034939755,-0.04361477,1.0757725,0.024135895,0.51954985,0.028275276,0.06526673,-0.020145992,-0.020261265,0.045215666,0.022744315,0.008735869,-0.18184268,-0.023332445,-2.3397694,0.020236935,-1.3149414,0.04705752,-0.19542977,1.2687912,-0.19946274,1.5859855,1.5256684,-0.90554875,0.19254562,-0.7365653,-0.7858434,-0.00031051598
15,-0.03280729,0.030329896,0.0020615354,-0.028674252,1.0402954,0.0323926,-0.2933042,0.027512882,-0.27915478,-0.012948398,-0.029191213,0.013285702,-0.04181147,-0.0061957585,-0.77418125,-0.012014968,-2.8442194,0.036752842,-1.6912814,0.006171029,0.28656796,1.4217205,-1.9883182,-1.4166892,1.1746141,-1.0010569,-0.33648646,-1.192382,0.19576806,1.1587721
16,-0.08685989,0.0059353015,0.013105966,-0.10084317,-2.731446,0.03294544,-0.37015724,-0.00088883657,-1.6086538,-0.020617044,-0.06121075,-0.010443477,0.018731972,0.0019196086,-1.8366733,-0.0775834,-2.8161635,0.02827534,-1.6552037,-0.08136889,0.87967855,-0.1635367,-0.50750875,-1.6273332,-2.2967165,1.6597295,-0.08635616,0.062098686,-1.4913286,0.41372034
17,-0.06597249,0.01033961,0.023271851,-0.029436516,-1.8255389,0.030133884,0.34444988,0.0072728205,0.18766874,-0.030555202,-0.0070024207,-0.0005366928,0.02102477,0.0023098066,-2.1911125,-0.003509201,-2.3677025,0.00094114617,-1.364304,-0.019985825,-0.6431875,-0.3879002,-0.89161426,1.4216005,-1.8651257,-1.7208585,0.2391791,-0.14301865,0.88873166,-0.36831743
18,-0.06931914,0.018110903,0.020276401,-0.07216931,-2.0859017,0.036334362,0.61627424,-0.0034450274,-0.5604236,-0.015508308,-0.035416372,0.010160007,0.015946016,0.011984052,-1.2088598,-0.03593279,-2.0909576,0.02323829,-1.0889288,-0.052438926,-0.83288705,0.087006025,-1.0828197,0.105855115,-1.2112122,0.19922194,0.86307734,-1.3007269,-1.1163782,-0.1221695
