,latent_mean_0,latent_mean_1,latent_logvar_0,latent_logvar_1,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-0.17019501,0.18038425,-1.4364202,-2.5651057,-0.05193565,0.018619865
1,-0.05059135,-0.17887662,-1.6119316,-2.8081317,-0.21023615,0.25183254
2,1.858498,0.040571988,-1.7100213,-2.8695002,1.2948152,-0.17192489
3,-0.19299,0.39018407,-1.4815735,-2.4310298,0.015889123,0.049476802
4,-0.42637917,0.110381514,-1.4051995,-2.6016734,-0.8223233,0.029418305
5,-0.4371953,1.2106147,-1.1890395,-1.8190069,0.43598664,1.7014471
6,0.88724804,0.08366752,-1.6787703,-2.640078,0.9156847,0.2903483
7,-0.351044,0.45639107,-1.4628605,-2.385994,0.12216592,0.41608766
8,-0.53601766,1.0266505,-1.1819992,-2.0921824,-0.61032635,1.2888324
9,1.1476146,-0.34212577,-1.6593487,-2.754847,0.55567807,-0.46640542
10,1.1482443,0.69423234,-1.4294245,-2.2270532,1.7761626,0.18843162
11,1.3012925,0.19611543,-1.57116,-2.8310935,1.0448622,-0.18382308
12,-1.0838494,-0.38475388,-1.7405562,-3.1435452,-1.373565,-0.10467714
13,0.006860912,-0.12592167,-1.6739553,-2.7625482,-0.348669,-0.22461599
14,-0.7475361,0.9219953,-1.1937513,-1.9749745,-1.1285751,1.2489974
15,-0.47980297,0.44357476,-1.2743613,-2.5429854,0.15811157,0.04640746
16,-0.8979312,1.1597056,-1.218682,-1.860467,-0.02009195,2.0696645
17,0.5983113,0.27820876,-1.3185643,-2.4081779,1.3333414,0.8805208
18,0.23359644,0.028363258,-1.3545346,-2.576591,0.13548987,0.03499844
19,-0.60417527,0.23166308,-1.588139,-2.652308,0.017022192,0.2926312
20,-1.0406616,-0.4298543,-1.7157433,-3.1480165,-0.8026458,-0.49043107
21,-0.33718833,-0.13513944,-1.4315078,-2.73289,-0.40389806,-0.59121317
22,0.037809253,0.8232837,-1.3022456,-2.1916332,0.51668954,1.656106
23,0.41595793,0.0056254566,-1.6026113,-2.6545227,0.532175,-0.05956737
24,0.8696536,1.6848555,-1.0457964,-1.7484686,1.2253696,1.4811865
25,0.5813714,0.085543334,-1.5984745,-2.5552163,0.6171911,0.2074961
26,0.90186775,1.693566,-0.9927582,-1.6880739,0.66119784,1.6932209
27,2.035262,0.8293079,-1.4294453,-2.1014707,1.4626293,0.8816262
28,-2.2204835,1.2061394,-1.6854968,-1.6804177,-2.6072912,0.9827848
29,-0.22074145,-0.38105404,-1.8791019,-3.0492487,-0.52470696,-0.10038939
30,1.2580113,-0.12198119,-1.785735,-2.6805775,0.9778506,-0.32556468
31,0.39340627,0.2069985,-1.3928808,-2.553214,-0.17427838,0.16163675
32,-0.52701104,-0.15084866,-1.7490821,-2.9186368,0.6925719,-0.13578627
33,0.22939372,0.81894135,-1.4219439,-2.2340934,0.98303705,0.4786016
34,-1.296484,0.5808306,-1.2196424,-2.291113,-0.38811547,0.7451648
