,latent_mean_0,latent_mean_1,latent_logvar_0,latent_logvar_1,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,0.91962516,-0.22485287,-1.5550382,-3.1067529,1.9117014,-0.5027892
1,-1.2925675,0.008149296,-1.4477606,-2.7303443,-1.0640361,-0.35525966
2,-1.0587324,0.9674033,-1.1889284,-1.9615579,-0.757141,1.2341287
3,-0.8836991,0.18161163,-1.6089835,-2.7305007,-1.2114916,0.5027162
4,1.4881738,-0.74466515,-1.853815,-3.3148556,0.76002955,-0.56827635
5,0.06403363,1.4408883,-1.1249669,-1.8317392,-0.3442736,1.6531978
6,-0.31378275,1.1423129,-1.1623856,-2.0070348,0.06632608,-0.11961627
7,-0.3371107,1.1144665,-1.1445055,-2.080055,-0.048648655,0.94503605
8,-1.3135208,-0.19903779,-1.5914015,-2.9871805,-1.922673,-0.03782253
9,0.18371433,-0.08256017,-1.3407351,-2.6600838,-0.06588787,-0.45370162
10,-1.8487322,1.0661944,-1.3687054,-1.7847695,-1.8369149,1.1554233
11,-0.25316525,-0.47171235,-1.8862475,-3.115658,0.3483786,-0.32473046
12,-1.8234111,-0.31670177,-1.8328085,-3.2796397,-1.3277028,-0.17877387
13,1.5609883,0.42266473,-1.5051136,-2.3658829,1.5484066,0.5029994
14,0.32025194,1.8099118,-0.9295137,-1.5402874,-0.59892076,1.6539819
15,0.24642313,-0.3981288,-1.7382764,-2.8914845,0.29443777,-0.25001448
16,-0.74791974,-0.70406425,-1.8365772,-3.2113914,-0.8848541,-0.820217
17,0.8121066,1.6743147,-0.9696004,-1.6584649,1.0510387,2.6052508
18,2.1638432,-0.3770365,-1.9903822,-3.190379,1.6041582,-0.40461016
19,0.13214236,0.8211131,-1.4044273,-2.3225806,-0.18252498,0.32430282
20,1.2139055,-0.6200849,-2.49803,-3.3285203,1.3716488,-0.54270744
21,0.7953814,1.2082661,-1.2163959,-1.9414059,-0.33404386,0.70591795
22,-1.3297484,-0.65289533,-1.8607187,-3.2874656,-1.7088697,-0.7828753
23,0.19177723,-0.87827015,-1.7347666,-3.116094,0.17083356,-1.0527703
24,-1.3985814,-0.72376084,-2.1428962,-3.4363532,-1.7618172,-0.63519263
25,-1.95251,0.1265814,-1.4200943,-2.6827967,-2.143123,0.10325329
26,0.20608962,-0.69905895,-2.0915132,-3.2025452,0.28366295,-0.3484093
27,1.3242925,-0.3601866,-1.6989424,-2.7761993,0.9518751,-0.47770935
28,-1.2622607,-0.505467,-1.7227924,-3.109015,-1.3186817,-0.7694982
29,1.1900458,0.49118015,-1.5262444,-2.3306515,0.9249999,0.24733338
30,-0.34216142,0.537848,-1.3742957,-2.3514066,-1.3494056,0.6791
31,1.8051153,0.24051145,-2.2373266,-2.8921158,2.0978096,0.69232345
32,0.84929264,0.36877927,-1.6209414,-2.497658,0.34622377,0.8717227
33,0.9917687,-0.23888116,-1.8580203,-2.7839243,1.1937175,-0.12937537
34,-0.4285574,0.3339251,-1.368583,-2.44601,-1.1516881,0.06388423
35,3.6962762,-1.3162347,-2.3688216,-4.6961803,3.7182605,-1.2565945
36,-0.07036358,1.3043345,-1.1584063,-1.8561697,0.12449463,1.2100483
37,2.857038,-0.48605514,-1.9639302,-3.5416017,3.13658,-0.34256625
38,0.88012743,-0.07552375,-1.9692838,-2.807492,1.5165441,-0.11637539
39,0.22394395,-0.46405226,-2.0076945,-3.0621104,0.07568067,-0.1613577
40,-0.07015109,0.33800396,-1.5073414,-2.5101144,-0.28193837,-0.060991406
41,-0.8571099,0.90994334,-1.1241705,-2.0131874,-0.9355809,1.0304263
42,-0.24840814,-0.51546174,-1.6169508,-3.0027237,-0.11217101,-0.12238392
43,-0.71030533,0.03372222,-1.4318101,-2.7224092,-0.8469788,0.27160013
44,-0.2904709,0.33188674,-1.3569014,-2.433959,-0.7235823,0.60784614
45,-1.2249172,-0.03123027,-1.5852642,-2.5664039,-1.5424837,0.07505147
46,-2.7008357,-0.60337436,-2.3370538,-3.775766,-3.2461057,-0.18440029
47,-3.8969755,1.2217611,-3.0267186,-1.6912508,-3.8139997,0.44886172
48,0.5052345,0.115342766,-1.5666659,-2.6108387,0.9980229,0.3455739
49,-1.3750693,-0.44535512,-1.7794386,-3.209805,-0.12540269,-0.70040315
50,-2.2407808,1.218064,-1.882343,-1.6531028,-2.1039045,1.2848833
51,0.26016062,-0.30505246,-1.5839043,-3.1418376,0.12739168,-0.3894473
52,0.7715589,0.098676085,-1.6466544,-2.5581474,0.851623,-0.39053747
53,0.95670843,-0.8371358,-1.9787794,-3.8970747,0.84936416,-0.74956644
54,0.53082526,-0.6321515,-2.5162387,-3.3926015,0.45019308,-0.83572537
55,-0.5831503,-0.66316766,-1.6602421,-3.0561345,-0.63278013,-0.49623883
56,0.41733503,-0.21362679,-1.5054758,-2.689065,0.82570714,-0.7910719
57,-0.8432036,0.94295037,-1.252501,-1.9879415,0.08142477,0.9800041
58,-0.8665418,-0.048470855,-1.5043468,-2.8389144,-1.5921515,0.044051014
59,-0.31803167,1.1739596,-1.1795244,-2.0338385,0.24921447,1.1554663
60,1.6918131,-0.2649959,-2.1951234,-2.9186363,1.3047557,-0.45713544
61,-0.906505,0.066845,-1.7032118,-2.8716698,-1.4640398,0.16786322
62,0.8746774,-0.6164859,-2.4100082,-3.2673063,0.7035402,-0.81603557
63,-0.3508171,-0.4480514,-1.5303476,-2.8926454,-1.2323536,-0.48346648
64,1.5071493,-1.1323743,-2.8579354,-3.6728063,1.5843579,-1.2061787
65,1.5591894,0.23324195,-1.6126846,-3.0401423,2.0525026,0.2900737
66,-0.018500328,-0.2623415,-1.5615872,-2.9783812,-0.11378941,-0.40833664
67,-0.5371409,0.108888954,-1.6706581,-2.7386267,-0.29712415,0.19745943
68,-0.89412636,0.13585684,-1.6684792,-2.8028646,-1.3682797,0.15942566
69,0.9507263,0.20953101,-1.4825717,-2.834006,0.9948148,-0.050171852
70,0.9569272,-1.2442601,-3.3467455,-3.971662,1.3032235,-1.3528492
71,-1.970982,-1.0439701,-2.1128519,-3.535535,-1.2306585,-0.99346465
72,1.2030436,0.44768843,-1.4312989,-2.3645842,0.33795744,0.28827247
73,-0.8871038,-0.28027004,-1.6590819,-3.0424168,-0.46745083,-0.6048343
74,0.17491871,1.208865,-1.2583637,-2.0602388,-0.41089272,1.093323
75,0.08746576,0.72813344,-1.2707593,-2.2705505,-0.09224461,0.32127082
76,1.5844797,-0.38464934,-2.1381776,-2.96899,1.4061261,-0.20293102
77,1.167528,0.5611837,-1.534966,-2.6630445,1.440862,0.47205123
78,-1.1411712,1.459467,-1.5095519,-1.6920378,-1.3085258,1.548424
79,0.6206931,0.18042916,-1.334755,-2.6451921,0.46123362,0.4989019
80,0.3061825,-1.1837145,-3.1368542,-3.9230351,0.013680279,-0.9083736
81,-0.070064425,-0.04648654,-1.8092104,-2.7889981,0.39299095,0.18641195
82,-1.1419516,0.96060956,-1.0071465,-1.9678799,-0.76973665,0.8498789
83,-0.83377326,1.6620632,-1.3120143,-1.536762,-0.8470299,1.0371321
84,-0.97357845,-0.4761037,-1.7702854,-3.1849298,-1.3043592,-0.24059404
85,-0.027443111,-0.74589074,-2.147223,-3.2783513,-0.008471105,-0.82796925
86,-1.2647134,-0.47459966,-1.8598742,-3.2727687,-1.4047784,-0.16240874
87,-0.5420002,0.19893125,-1.3023577,-2.5276525,-1.3935392,-0.23334366
88,-0.73007727,-0.49801797,-1.9351414,-3.2281651,-0.52262086,-0.36870572
89,-1.1458209,0.4631327,-1.6495686,-2.1921835,-0.80499256,0.3372831
90,0.68452334,-0.3683049,-1.4872074,-2.76824,1.7001067,-0.32103834
91,1.3661517,-0.24787623,-1.8054514,-2.7892091,0.5393915,0.10894954
92,-1.4903777,-0.56835496,-1.7967088,-3.2173824,-1.3361818,-0.7424806
93,0.38129872,-0.6072601,-2.507969,-3.3706546,0.4419861,-0.7329133
94,0.18618292,0.4681311,-1.4761713,-2.3571668,-0.4400648,0.27432454
95,0.4534943,0.12475124,-1.3406562,-2.4795694,0.25140464,-0.5063735
96,-3.4286113,-0.12736866,-2.8772254,-3.2342825,-3.1979113,-0.23253703
97,-0.33269337,0.13467804,-1.3811096,-2.589328,-0.6177131,0.4670427
98,1.2345014,-0.17594808,-1.4656835,-2.9751968,1.6760335,-0.28896728
99,0.14464939,-0.21600589,-1.8847775,-2.879474,-0.037179917,-0.015610337
100,-0.054177165,0.81433105,-1.1859779,-2.3236322,-0.5755755,0.6572273
101,-0.31902424,0.40029666,-1.4784362,-2.4312716,0.435142,0.61609524
102,-0.3833661,-1.7039505,-2.23242,-3.5880222,-0.18084435,-1.9881625
103,-1.0834732,0.35139337,-1.2222703,-2.4115026,0.22447729,0.15159768
104,-0.8247472,1.1400379,-1.2385592,-1.8808224,-0.6385005,1.2568239
105,-1.0385526,0.40805003,-1.6910372,-2.154448,-0.7353516,1.0215427
106,-1.0340705,-0.031617925,-1.4883127,-2.8523507,-1.1328198,-0.24691886
107,-0.283633,0.6851146,-1.1409442,-2.1943936,-0.40310845,1.1245835
108,1.0956179,1.3914005,-1.0812099,-1.7972465,0.7402115,1.273372
109,0.64158154,0.20895976,-1.4515039,-2.8323627,0.8074522,0.2006267
110,-1.0851078,0.31186512,-1.1971521,-2.430265,-1.8375154,0.14052065
111,0.5159482,1.0988636,-1.2100378,-1.9949911,-0.57136035,1.0108713
112,0.078801095,-0.9890199,-1.8348858,-3.1884813,-0.45706475,-0.8646651
113,-0.4222409,-0.022442937,-1.4578807,-2.7659965,-0.7844899,-0.14551224
114,-1.4489021,0.19941181,-1.2960331,-2.5513997,-1.7038485,0.35650447
115,0.557613,-0.5532397,-2.2022855,-3.1563215,0.4056785,-0.31169844
116,-1.0149719,-0.049151093,-1.4058164,-2.7939887,-1.5161331,0.3405254
117,0.054517746,1.435959,-1.1372727,-1.8799368,0.3815088,1.1573442
118,-0.26397997,-0.49571463,-2.0413349,-3.19841,-0.7870383,-0.4768772
119,-0.19759682,0.6220981,-1.3107369,-2.3627207,-0.18460397,1.2728201
120,2.612164,-0.58128333,-1.8714935,-3.8105168,2.6794088,-0.98817647
121,-2.176095,1.6527035,-1.8514085,-1.3181554,-1.7324574,2.0514402
122,-0.45476595,1.1098155,-1.1220136,-1.89987,-0.07620844,1.3872116
123,2.285308,-0.4748326,-3.03995,-3.5541208,2.0934687,-0.69418514
124,0.8762778,-0.7994878,-2.3027458,-3.2926357,1.2309834,-0.7236534
125,-0.25612354,-0.30973038,-2.0187771,-3.084076,-0.16894084,-0.54798186
126,0.7357236,-1.1889608,-2.1820524,-3.880412,0.75604546,-1.0886236
127,0.34346431,0.22189388,-1.6560767,-2.5472274,-0.026043177,0.2821864
128,0.92755926,-0.40263054,-1.7913065,-2.859458,0.7570014,-0.4543046
129,0.07909763,0.9876822,-1.2258372,-1.9961336,-0.52440983,0.86928606
130,1.1893617,0.16227877,-1.6805291,-2.6299682,1.6145138,0.23934785
131,1.0129956,0.15755597,-1.6230499,-2.9666338,1.4929426,-0.13272408
132,0.051804006,0.46584406,-1.328747,-2.3859556,-0.5467745,0.873623
133,-0.57589865,-0.6354718,-1.7387726,-3.1550977,-0.39843678,-0.56851494
134,-4.813515,1.9501861,-3.2313104,-0.89206314,-4.811448,1.9156537
135,0.2763579,0.45182922,-1.3556043,-2.5024283,0.20880541,0.71784043
136,0.5102874,0.10699502,-1.4164324,-2.5183556,-0.07261139,0.263474
137,-1.3212081,0.2505577,-1.2930422,-2.4958644,-1.5830275,0.59344435
138,1.0452877,0.9618826,-1.3281195,-2.0959687,1.520075,1.0796925
