,latent_mean_0,latent_mean_1,latent_logvar_0,latent_logvar_1,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,2.0806484,0.306322,-1.5873531,-2.6376665,2.0808587,-0.13406444
1,-6.510982,3.00794,-3.171225,-0.07089543,-6.6646376,2.9901738
2,2.5392432,4.6481123,-1.1926112,0.34677696,2.8057945,5.2093353
3,2.083479,0.56324065,-1.6782224,-2.4326954,2.872794,0.55074775
4,-0.16683054,0.42017874,-1.3403763,-2.408424,-1.3520904,0.7858711
5,-2.1300602,6.2140284,-0.8363669,2.2603786,-3.238852,12.15863
6,2.3326635,1.1772119,-1.4059079,-2.2007205,2.2435987,1.3694174
7,2.946289,2.2700992,-0.74780834,-1.2820048,4.3254037,2.6213071
8,-1.0036883,5.5120516,-2.755968,1.3710105,-0.99030405,4.0248723
9,3.548162,3.790414,-0.44528002,-0.5626478,3.474811,3.8275409
10,1.2923083,3.4070885,-0.56380665,-0.84605384,2.2035666,3.7706764
11,0.7285036,0.494159,-1.4339421,-2.8261592,1.0318923,0.36836743
12,-0.0023456812,2.068093,-0.84726804,-1.3932849,-1.0959631,2.5703769
13,-1.4403679,0.8943398,-1.4116173,-2.270616,-0.48287338,1.205719
14,-1.9783895,3.678037,-1.1173656,0.061066866,-2.0084586,3.8569343
15,-4.6306434,3.3535292,-1.6664476,-0.032405615,-4.7401233,4.595622
16,1.3079356,1.0874752,-1.3416902,-2.164926,1.962281,1.5892413
17,-0.9248438,3.2189524,-1.7163014,0.0070972443,-0.5873079,2.6186116
18,-0.035844445,2.9140866,-1.0468501,-0.46224022,-0.8726518,2.1851802
19,4.1099024,2.7341115,-0.7637602,-1.1381575,4.069476,2.7159812
20,-1.8383824,7.7471714,-1.7052063,2.8758953,-2.2377706,6.07789
21,-3.2059388,5.4489517,-2.3998637,1.6206863,-3.5146496,4.7187448
22,-5.482763,10.017064,-3.4421787,5.021619,-5.3301454,-1.4767389
23,-0.23487654,2.7361557,-0.5619211,-0.77655673,-0.72435987,1.9587328
24,-0.849135,5.955929,-1.0115695,1.6330311,-1.2325664,9.746581
25,0.8968539,1.8058923,-1.2057209,-1.7605902,1.5100796,2.0274389
26,-3.1190882,5.4043484,-2.6347837,1.5658939,-3.242928,8.633274
27,1.4102002,0.6291528,-1.5145011,-2.6620674,0.9753916,1.3044477
28,2.1114254,1.156658,-1.5337046,-2.0363905,2.5037668,0.889198
29,-0.23309535,1.2735102,-1.1196282,-2.174838,-0.08492142,1.4264724
30,2.7285786,4.9934025,-0.63329136,0.90976477,2.078319,5.7661204
31,1.4137372,6.5104375,-0.98205566,2.239127,0.8836713,6.9303546
32,-2.6650038,3.4207952,-3.2825818,-0.10430741,-2.6098213,1.1427281
33,1.0918983,1.8957752,-0.9727144,-1.6983752,0.5733657,1.8121717
34,1.1033142,4.002436,-1.1927576,0.07655883,0.7515613,3.0550206
35,-3.3503857,5.976521,-1.8086048,2.097617,-3.8707626,3.4634788
36,-1.1316053,0.2986944,-1.7810962,-2.8303206,-1.4472735,-0.20393112
37,-7.06206,6.298069,-3.1743488,2.0519516,-7.109771,7.6521354
38,0.87083066,1.6067392,-1.2598091,-2.1699605,1.0154707,1.7912208
39,-0.42867684,0.47169974,-1.423533,-2.366877,-0.9089006,0.2431524
40,0.24485946,6.380749,-1.1459835,1.9863546,1.5027415,5.397169
41,-5.601282,2.4267862,-2.1472874,-0.670455,-5.711086,1.4279526
42,-2.0964851,0.8896843,-1.1938196,-1.9550383,-2.3187995,1.0841696
43,-5.091036,1.876047,-2.3437505,-1.2948983,-5.5849485,1.2560525
44,-1.8967321,3.3259242,-1.9879044,-0.37348676,-1.6161205,2.8455012
45,-2.4503717,3.8042123,-1.9213183,0.56694174,-2.3595622,3.36627
46,1.6411468,4.608636,-0.83539045,0.31604958,2.8179383,5.6811547
47,-1.6901021,2.3486056,-2.0721905,-1.1010746,-1.5293071,1.6811688
48,-4.384585,4.167187,-1.7180856,0.7632127,-4.769585,4.4105644
49,-9.419444,7.837201,-4.7050166,3.816736,-9.316307,19.933826
50,-1.1906519,1.3086588,-1.1082573,-1.8616171,-1.3311694,1.2900484
51,-4.127851,4.0677137,-2.0997393,0.6986151,-3.5482488,1.1221948
52,3.6499324,4.606989,-0.43332642,0.39537907,3.488225,5.902165
53,-3.5497756,2.9017365,-2.1533468,-0.23837161,-3.6276035,3.4586818
54,-3.0254111,1.09433,-1.2708515,-2.0242982,-3.3658066,1.1558036
55,0.14055604,1.1680263,-1.3637464,-1.9515167,0.96246094,1.0782428
56,1.1006728,3.150153,-1.1307899,-0.8294642,1.3321924,3.612068
57,2.3284402,5.408736,-1.3041027,0.91821074,3.056164,6.124174
58,3.427002,2.381718,-1.253605,-1.3388987,4.275619,2.2206423
59,1.8601781,1.6682508,-1.004495,-1.8029459,2.0201986,1.8627503
60,0.7699462,1.7747496,-1.2758461,-1.6738532,1.0007511,1.9975924
61,-2.6290598,3.8426816,-2.5410604,0.39677334,-2.6795146,2.6346307
62,1.2820764,-0.5017074,-1.6631696,-2.9533267,0.6798382,-0.86868304
63,2.078948,1.1820059,-1.5227425,-2.1277254,2.3780622,1.9633975
64,-3.8437338,6.4943066,-2.936236,2.9236171,-3.5731473,9.546992
65,-0.30699575,2.3883278,-0.8890622,-1.114439,0.35885596,2.7138796
66,-3.595909,4.023143,-2.3518233,0.41851282,-3.31681,6.4384365
67,-0.0613662,2.4172456,-1.3599715,-0.8280829,0.16123626,2.1042843
68,0.58749855,3.5834043,-0.7639826,-0.5668924,1.746305,4.658963
69,-2.0350533,4.5512547,-1.7475796,0.7744343,-1.7669401,2.118958
70,2.1469107,0.64712346,-1.5832372,-2.3424397,1.6669356,0.3074726
71,1.2802025,2.1479309,-0.97787195,-1.1371344,0.5604089,2.6233501
72,0.12005752,-0.12906995,-1.8572109,-2.8204482,-0.047377124,-0.15156665
73,-3.0910492,4.3233743,-2.1608758,0.80551076,-3.0253956,3.4807022
74,-4.5191097,6.455447,-2.0655537,2.5407665,-4.7615185,6.5981565
75,-1.120038,0.24758574,-1.6976876,-2.8216958,-1.1726508,0.043815494
76,-1.7445146,2.175673,-1.5137793,-1.1005162,-1.1817102,2.7034616
77,-5.1289525,4.8913527,-2.666487,1.1846817,-5.1697493,8.157569
78,0.39961427,3.75403,-0.81888926,-0.1386857,-0.76878077,2.8649495
79,-0.4299879,0.90190995,-1.1207988,-2.271504,-0.4745896,1.2390081
80,1.9413737,2.2717154,-1.0081078,-1.3366024,0.99887407,2.3505518
81,-1.5775752,1.3781146,-1.2667902,-1.6478857,-1.1896043,1.9373219
82,-2.8339763,3.1677964,-2.2006783,-0.26053882,-3.443973,2.5863702
83,1.636146,3.0584319,-0.73004794,-0.7258214,2.0559351,3.8549402
84,-2.7954106,4.029826,-0.7751421,0.5173197,-2.2527637,5.6196213
85,2.3844233,3.0415595,-0.8402793,-1.0480946,3.1295104,2.4798148
86,1.8466865,1.3305992,-1.2429554,-1.8719589,3.0146508,1.7361056
87,1.1645592,1.2232722,-1.2510717,-2.1698475,0.67227197,1.265365
88,-0.54040754,6.062111,-1.1252077,1.8355896,0.21940416,8.5801525
89,-3.706717,1.8524061,-1.5512084,-1.1530991,-3.5556476,0.8123071
90,0.23024929,2.8412921,-0.6692997,-0.9229609,-0.40758687,2.2768736
91,-0.62089014,0.8815925,-1.3364718,-2.2035728,-0.9074926,0.92261386
92,-3.7084727,4.897857,-3.5717096,1.3027217,-3.8131733,3.8072653
93,3.511355,3.2820847,-0.62510246,-0.9734129,3.1896687,3.0094092
94,-0.65567833,2.6514585,-0.56518,-0.87428117,-1.6628411,2.1829762
95,-0.41474554,3.8507388,-2.0336425,0.27874088,-0.31289607,6.1783805
96,-1.8701963,3.224436,-0.496849,-0.36960816,-1.0981147,2.6591542
97,-3.7953262,2.3504221,-1.9865806,-0.602396,-3.9664571,2.9037254
98,3.8018584,2.396869,-0.9445605,-1.5211408,4.6804543,2.4789264
99,-4.7074757,5.7081738,-2.4746852,2.0532691,-4.901616,2.5047035
100,0.20405126,2.640548,-0.62619305,-0.8812288,0.2777208,3.184926
101,0.013070583,0.44114998,-1.1977923,-2.48851,-1.1441674,0.17987126
102,-4.87523,3.431311,-2.5011692,-0.14494753,-4.9174285,4.0691466
103,-1.5612057,5.5163527,-2.3065553,1.8209913,-1.606047,9.712368
104,0.90463686,0.8508117,-1.5485632,-2.4656587,0.83879995,0.9299768
105,-2.0401258,3.9224384,-1.3181022,-0.014151573,-1.0537598,4.179972
