,latent_mean_0,latent_mean_1,latent_mean_2,latent_logvar_0,latent_logvar_1,latent_logvar_2,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-0.23706816,-0.02103734,1.0369058,-2.3687341,-0.5225178,-1.3820124,-0.2918333,-0.30392107,1.2012103
1,-0.31255573,-1.2078502,-2.0613847,-2.4778645,-0.9157723,-1.2328608,-0.3407274,-1.5113931,-2.6765928
2,-1.4090028,-0.42391285,-0.49484977,-1.696243,-0.36562884,-1.0233152,-1.7184631,-0.415113,-0.7236498
3,-0.8137075,0.20889884,-1.201464,-2.203303,-0.977501,-1.1837295,-0.11909932,0.032687455,-0.9050838
4,-0.8932641,0.2553376,-1.6869861,-2.1829038,-0.52188116,-1.1259463,-0.9395787,0.543479,-2.6442907
5,-0.43391263,0.1623134,0.9299917,-2.2913702,-1.3777043,-1.1259841,-1.1729772,0.7760025,0.27836502
6,-0.12413894,-0.33454725,-0.025455952,-2.5348387,-0.9185214,-1.4258313,0.02742751,1.2764585,0.79220784
7,0.028253064,0.6366795,-1.2814186,-2.7761846,-1.1048838,-1.6747425,0.29939342,0.119229674,-1.176321
8,-0.46160853,-0.935356,-1.0260041,-2.340499,-1.2726519,-1.2404948,-0.612343,-1.3564804,-1.0622944
9,0.11835368,-0.05063829,-0.6781966,-2.8165755,-1.5439804,-1.6205807,0.09311414,0.17042625,-1.3114331
10,0.34656936,-0.025877208,0.5953869,-2.948355,-1.4366827,-1.5784671,0.016999692,-0.42664766,0.74426776
11,0.22907658,0.6556762,1.4959713,-2.7365642,-0.6836134,-1.5437179,0.015168056,1.076279,0.73354346
12,-0.25089234,-0.91246146,-0.014448464,-2.4197478,-1.012003,-1.3357425,-0.9551423,-1.8168789,-0.033156596
13,0.6385819,-1.0628984,0.1249204,-2.9025881,-2.07897,-1.6684796,0.718082,-1.4505235,-0.3327098
14,-1.0041561,0.5155786,-0.9138002,-2.0323856,-0.7604777,-1.1033587,-1.1094575,-0.5203358,-0.6528311
15,0.29820883,-1.512986,0.9812896,-2.7979531,-1.4460583,-1.5768465,0.50272965,-1.5217808,2.0737832
16,0.47756445,-1.0732181,-1.7099805,-2.92761,-0.62967026,-1.7485396,0.5131806,-1.5202316,-1.953885
17,-0.8315706,-0.1781303,-1.2824323,-2.1522217,-0.49266356,-1.1699915,-0.70164067,-0.8466208,-1.9795299
18,-0.4432429,0.18911242,-0.88074183,-2.3474026,-0.38143396,-1.3921789,-0.4541621,0.10755231,-0.67729884
19,-0.20430999,1.2010953,-0.8460901,-2.571607,-0.75341195,-1.5713646,-0.1849529,1.0058585,-0.03938663
20,-0.26433843,-1.5598049,0.9163226,-2.4207072,-1.3624138,-1.3757911,-0.31814602,-1.763592,1.0989063
21,-0.3153031,-0.4965095,-0.058600962,-2.339487,-0.4156586,-1.3876553,-0.20783389,-2.0587606,-0.51428294
22,-0.5356906,-1.5723562,-1.3462774,-2.2366605,-1.2140602,-1.1771524,-1.445937,-1.6944162,-1.7457619
23,0.56981874,-0.09409234,0.13351533,-3.0881977,-1.3566647,-1.7494785,0.5461756,-0.45807004,-0.28715467
