,latent_mean_0,latent_mean_1,latent_mean_2,latent_logvar_0,latent_logvar_1,latent_logvar_2,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-1.5166782,-0.16125655,-0.94969654,-1.8712074,-2.7116866,-0.5459424,-2.0176308,0.17998594,-2.3364804
1,-0.39027327,-0.8535449,0.9302726,-2.3672352,-3.4741678,-1.9940803,-0.059228957,-1.1405375,1.197871
2,-1.2191036,-0.53595126,-1.1458087,-1.7306371,-3.1357803,-2.4842937,-1.0429521,-0.4863814,-1.0229441
3,-0.05456934,-0.110785,-2.2332544,-1.5801225,-2.721803,-1.4469731,0.25072232,-0.44658592,-2.6590946
4,1.1575171,-0.5972529,-0.7767268,-1.774406,-3.1419067,-1.8573527,1.265676,-0.51242495,-0.32561857
5,0.6657496,1.3200853,-0.47130856,-0.23261225,-1.8737714,-1.1233323,2.2153869,1.3171448,-0.16873235
6,0.30968598,0.40969643,0.6610755,-1.3586761,-2.4431899,-1.4194562,0.7393383,0.64793855,0.8378624
7,-0.08799196,0.86568946,-1.2917743,-0.86073685,-2.2435858,-1.6875366,0.12689468,0.88607895,-1.5288965
8,0.11441546,1.4248449,-0.72780323,-0.8214489,-1.6567676,-0.48926687,-0.78026456,1.2660973,-1.391383
9,-0.64315253,0.4489944,-0.9164989,-1.1172714,-2.64397,-2.1243827,-0.2506132,0.59094524,-0.18191206
10,0.13256446,0.5813608,0.93740404,-1.3062094,-2.2769856,-0.63133574,0.008006901,0.30570522,-0.5617386
11,-1.0645857,-1.0277904,-1.3411734,-2.0874104,-3.4076157,-2.5280106,-0.71816707,-0.85867465,-1.1090573
12,0.07684935,-1.4741632,0.32011312,-2.1171207,-3.3903708,-0.50443995,0.14638114,-1.4097954,1.1672001
13,0.09015893,0.08849416,0.7633014,-1.5214642,-2.80036,-0.7762858,0.25407448,0.20109612,0.5329944
14,-0.42291123,0.538603,-1.3594105,-1.0542347,-2.4272218,-1.8494613,-0.0058100224,0.7316847,-2.0310228
15,-0.37114915,-0.36577073,0.18472314,-1.8886259,-3.028922,-2.0872288,0.0066655874,-0.51227546,0.6176426
16,-1.3951255,0.7576023,0.24930984,-1.264806,-2.2327855,-1.3966932,-0.8636379,0.31500137,0.13956968
17,-1.5183234,-0.56784385,0.715708,-2.4492564,-3.5439665,-2.7751236,-1.4213616,-0.83959424,0.37127465
18,-0.28665778,0.017525248,0.4028563,-1.6281446,-2.7189395,-1.3068128,-0.062656,-0.10655577,-0.19395113
19,0.7613225,-0.40603915,0.58979404,-1.79707,-2.9952397,-1.0902271,1.1059332,-0.6486727,1.0303082
20,1.049033,1.0002342,0.6261736,-1.1212982,-2.0998402,-0.9053742,0.66434777,0.8924419,-0.13464957
21,0.56673187,-0.08020962,0.8250642,-1.6961843,-2.846772,-1.5717317,1.0327337,-0.29998636,0.9632105
22,0.6977624,0.4559966,-0.22507691,-1.2432004,-2.3187656,-0.42908376,0.43010324,0.8478704,-0.4021607
23,1.351786,0.32173255,-0.85092044,-0.9121842,-2.4934483,-1.755414,1.9684117,-0.06380248,-0.74817574
24,1.2612672,0.32680795,-1.1661818,-1.6465583,-2.773986,-1.9634924,1.4185224,0.533947,-0.79191107
25,1.200967,0.7947051,1.6686078,-0.97267807,-2.4544997,-1.4357798,1.8611948,1.3691014,1.7781811
26,0.9354271,0.3238653,-0.804472,-0.8582847,-2.5545266,-1.9055984,0.8203851,0.4762324,-0.05663979
27,-0.85816836,0.47436315,0.28958285,-1.4986478,-2.308169,-0.15766543,-0.29258037,0.35104996,-0.055103898
