,latent_mean_0,latent_mean_1,latent_mean_2,latent_logvar_0,latent_logvar_1,latent_logvar_2,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-2.2679284,1.7132548,-1.3360169,-0.38450193,-1.3829556,-0.5441199,-2.8544645,2.4949641,-0.7684084
1,-1.0668496,1.8986424,0.27149427,-0.5250357,-1.6052024,-0.7206357,-1.3988056,1.928983,-0.7267918
2,2.665687,1.2891848,-0.79700947,-2.300299,-2.3182101,-1.6227618,3.0337667,1.1484482,-0.31759137
3,-0.086311825,2.233301,0.7029481,0.11491215,-1.3535663,-0.17251235,-0.3845895,1.6584263,-0.010917962
4,-2.2655864,-0.38251433,-0.6495971,-1.5263125,-2.7222266,-1.5302243,-2.038509,-0.729441,-1.2317964
5,1.0603825,1.1603224,-0.74300367,-0.12400842,-2.144298,-1.6571952,2.1593003,0.515261,-0.19500113
6,2.530055,1.1577977,0.4033507,-1.2829138,-2.4114394,-1.5464053,2.5588071,1.0894468,0.23389015
7,-1.9285253,0.84287345,-0.64178425,-1.2212948,-2.4273653,-2.1500714,-1.978229,1.1811363,-0.5439804
8,-0.72247034,2.3335037,0.2385,-0.34961045,-1.4315228,-0.2628731,-0.88776577,1.7347502,-0.2559412
9,-3.723869,-1.1930268,0.75016725,-2.5393152,-4.279496,-3.7106335,-3.810319,-1.1467949,0.56985736
10,-2.079746,0.5210226,-1.4041235,-0.9880807,-2.9196565,-3.1718996,-2.3209279,0.63942605,-1.5649965
11,1.1195401,1.5146617,1.1132326,-0.7959104,-1.9450521,-0.61485624,2.1043854,1.5028994,2.2818122
12,1.0388224,1.6855409,0.9554374,-0.54590553,-1.810865,-0.74596953,0.4125229,1.5509776,1.0582554
13,-0.33874613,2.086289,0.18231106,-0.5061571,-1.4544616,0.21486789,-0.10872422,2.512666,-0.59613067
14,-3.0633862,0.61498773,-1.994764,-0.4338286,-2.6720254,-2.5846825,-4.5847006,0.7617153,-1.506504
15,3.528076,1.4706874,-0.6010642,-3.4811578,-2.956696,-2.5724425,3.6388888,1.438929,-0.4296281
16,2.2734952,1.3946179,-1.0087049,-1.5708125,-2.1696155,-1.2052135,2.0393276,1.1113213,-1.2030655
17,1.4563614,0.5072986,-1.2079577,-1.1479156,-2.786299,-2.5144935,2.2961931,0.76661634,-1.5849178
18,1.6510301,0.14316675,0.69774294,-1.7818456,-2.864476,-1.6937205,1.6544379,0.44402397,0.23323327
19,-0.18221277,1.1353133,-1.1163901,-0.76896274,-2.0255404,-1.4001992,-0.67829645,1.1372262,-1.3702402
20,2.6277952,1.2185961,-1.0139251,-2.5313015,-2.4286766,-1.8324792,2.5599391,1.4439254,-0.8001094
21,3.4400477,1.1784123,-1.1176714,-3.863155,-3.0694437,-2.7721941,3.392413,1.3790224,-1.1387012
22,-2.2013993,1.7478267,-1.2444135,-0.36266136,-1.3624742,-0.46105844,-3.0210512,1.5445721,-1.5707371
23,-0.16418082,2.4470265,0.13296688,0.024022222,-1.3311062,-0.10336512,-0.9817582,2.3093677,0.8897198
24,2.3140104,1.4660488,-0.7327415,-1.4029529,-2.0623662,-1.0173786,1.922166,1.1976596,-0.27617678
25,0.623758,0.3970363,-2.3411913,-1.5024476,-2.4388716,-1.3680413,0.4603781,0.4256829,-2.4849813
26,-0.75880045,2.0072203,-1.6222123,-0.43341672,-1.3658094,-0.16744858,-0.35748705,0.7629192,-0.6387766
27,-0.6780059,0.55470145,-0.25671002,-1.0089182,-2.6864502,-2.3474483,-1.283793,0.7179315,0.17611969
28,1.7010309,2.0414817,0.5051255,-0.32567298,-1.6887254,-0.81071216,1.2955866,2.1491055,1.1951144
29,-0.6438126,0.58721143,0.6539329,-1.3577576,-2.4340677,-1.6961141,0.0061886907,1.1394501,0.20088777
30,1.5323913,2.1124694,-0.07807809,-0.5664275,-1.6146286,-0.35844153,2.09447,2.2023747,-0.70345116
31,1.5572323,1.0228599,-2.107739,-3.222501,-2.9900994,-2.3563113,1.4520614,1.1029123,-2.1200702
32,0.10145276,0.12324957,0.07016897,-1.4968446,-2.6907594,-1.7968092,-0.06540597,0.15700576,0.21784393
33,2.6454618,0.62436366,0.97628415,-2.3570228,-3.0157611,-2.645452,2.5921345,0.6301795,1.1276364
34,1.6035048,0.3402088,1.6525143,-1.2356856,-2.7823668,-1.9177008,2.2583356,0.36684024,2.0987515
35,-3.2187276,1.0392615,-1.6890448,-0.47996795,-2.0707254,-1.4617393,-3.8615706,1.0842803,-1.3678706
