,latent_mean_0,latent_mean_1,latent_mean_2,latent_logvar_0,latent_logvar_1,latent_logvar_2,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,1.2398157,0.29845744,-2.140183,-0.5910425,-0.56632936,-1.3902712,0.19475567,0.71097183,-2.6696203
1,-1.124355,1.8073554,-2.7538424,0.39712477,-0.13487816,-1.1472065,-2.3121736,2.9001613,-2.441395
2,1.7906525,0.021814466,-1.033851,-1.1341505,-1.4624577,-2.1048896,2.6070554,0.70480883,-0.71658134
3,0.28309232,0.37085485,-2.4709709,-0.13842487,-0.2823702,-1.206411,-0.16662058,0.08615899,-2.3385653
4,1.2893095,-1.0036681,-1.6039573,-0.90545905,0.5086957,-1.6038594,0.8674158,-0.9150917,-1.6703936
5,1.466665,3.315545,-2.1035643,-0.4067874,-0.32194906,-1.4038167,1.4392772,3.825244,-2.4953005
6,1.4920385,1.9474621,-1.6316553,-0.80758584,-0.35178626,-1.5415398,0.0153820515,2.1959379,-2.5100718
7,0.80679494,3.6075833,-2.8252645,-1.2430539,0.38219523,-1.3526223,-0.06898075,3.1990688,-3.3593268
8,-0.74020696,4.024213,-2.0727046,0.014140248,-0.9614941,-1.6374712,-0.19147354,3.469385,-2.1089845
9,-2.1938024,3.3571684,-1.683868,-1.3624222,-1.4689513,-2.22127,-3.0901008,2.619182,-1.865537
10,-2.1929476,-0.6901021,-2.8439445,-0.9250842,-0.620232,-1.3338931,-1.9956592,-0.5133717,-3.4141216
11,-1.0417432,1.9290016,-0.7841741,-1.1608324,-1.3771237,-2.2007606,-0.3530668,2.4583106,-1.0938323
12,2.0087304,0.3342592,-1.5962263,-0.8914099,-0.42345774,-1.6093414,1.7942641,1.3994243,-1.1890149
13,-0.43626723,4.2781005,-2.9530394,-1.6244912,-0.20428312,-1.8894833,-0.011112481,4.6752844,-3.018342
14,1.7864861,0.31525332,-1.695572,-0.87539613,-1.0439477,-1.786239,1.5539258,-0.5582765,-2.122664
15,0.72623473,-0.5877824,-0.6307188,-1.6024512,-3.2952957,-2.6141562,0.91889864,-0.58440876,-0.6989846
16,0.96774155,1.2200572,-0.8444414,-1.5290028,-1.9410775,-2.260439,1.061398,1.562412,-0.8590146
17,0.11762124,-0.60670763,-2.2988691,-0.12443566,-0.9024049,-1.4040772,-0.53388774,-0.62568,-2.2757192
18,1.0292981,4.313809,-2.7800083,-1.5263288,-0.15494055,-1.5914164,0.34947926,4.7340646,-2.154738
19,-0.82374513,4.635201,-1.7877661,-2.2540793,-2.7708483,-2.9020884,-0.61512876,4.4315233,-1.7030531
20,0.04761809,1.7767158,-2.112593,-0.42836046,-0.29798543,-1.2997179,0.63161534,2.3324559,-2.353306
21,-1.7496736,1.3330622,-2.0481167,-1.656115,-0.83512807,-1.4613931,-2.4864724,0.5504053,-1.5744175
22,-2.3335443,-0.6753191,-2.7148583,-1.570657,-1.1488824,-1.508013,-2.557958,0.34432578,-1.9250696
23,2.0781574,1.9185491,-0.83827305,-1.2325764,-0.97806334,-2.0268896,2.9067092,2.7978137,-1.2101701
24,-0.74738157,0.35613036,-2.3282764,-0.29202962,-0.89276946,-1.4358928,-1.4894421,0.7298588,-2.000019
25,-0.4440362,-1.4531852,-1.2966543,-1.7269995,0.11782277,-2.0652394,-0.18091017,-3.0907488,-1.3000172
26,0.21637923,-0.068042636,-1.6722721,-0.9464073,-1.805282,-1.9671319,-0.5427472,0.35805714,-2.03375
27,1.2783058,-0.08114654,-1.3832282,-0.9769758,-1.4560922,-1.9879959,0.5670517,0.42690897,-1.5981369
28,1.5470891,0.32084364,-1.4009508,-0.891767,-0.423272,-1.6994894,1.0983697,-0.17203572,-1.0481831
29,-2.4847696,0.8228118,-3.2622745,-3.3350422,-0.874918,-2.5550544,-2.4336803,0.9802237,-3.3542912
30,-1.4900428,1.968502,-1.7266515,-1.5978317,-1.3296249,-1.5934167,-1.3730608,2.310193,-1.6110544
31,0.31756502,2.769118,-0.5704092,-1.5088165,-1.1674815,-2.2468176,0.7014982,3.0915856,-0.59106934
32,2.4362745,2.992983,-1.3651268,-0.93801546,-0.7698705,-1.7978506,2.17313,4.06954,-1.4829949
33,2.1441395,4.2335186,-1.6150483,-0.63520956,-0.65161484,-1.6976919,2.4261477,4.4435506,-1.7706211
34,1.2227168,-0.25104344,-1.6838657,-0.76721525,-1.107366,-1.7444382,0.45298898,-0.4957499,-1.3660591
35,0.55488545,-1.6573112,-0.9317287,-1.0450678,-2.5396729,-2.2050917,0.79132795,-1.3109641,-0.9252841
36,-0.4134705,-1.6583133,-1.7360886,-0.7047643,-1.6818115,-1.6182723,-0.7490958,-1.7176806,-1.6219995
37,-1.6206949,-0.26818842,-2.9816651,-2.6709998,0.47332156,-2.2070332,-1.3458421,-0.7921168,-3.5647292
38,1.5989697,0.82950574,-1.6312927,-0.9511056,-0.48354423,-1.618274,1.244898,1.4703248,-2.2585437
39,2.480821,1.9080632,-0.6486094,-1.3814471,-1.3295019,-2.2463484,1.4821889,2.0564518,-0.19069478
40,-1.5718586,-1.6681793,-1.805648,-1.9606771,-1.4873794,-2.0467048,-2.2339742,-1.366081,-1.7306575
41,-0.40296692,0.22694641,-0.22190294,-1.426408,-1.4761333,-2.5112042,0.13691229,0.27095714,-0.04894851
42,-2.139397,0.21248323,-2.151075,-2.685112,-1.7508395,-2.4346673,-1.9762421,0.39434034,-2.0234497
43,-0.7104527,-0.83517027,0.08205506,-1.3963349,-2.335401,-2.8447247,-0.5733063,-0.56796324,0.22301641
44,0.070169926,0.38090926,-2.4146967,-0.2883737,-0.27440417,-1.1932153,-1.0004647,1.2606937,-2.5532105
45,1.7449636,0.75147754,-1.8682238,-0.78452015,-0.34971678,-1.4728668,0.70478654,0.11181623,-2.3269231
46,-1.3007289,0.4311598,-2.2726846,-0.42596132,-0.6484134,-1.4569309,-1.9902067,0.42913598,-1.7197235
47,1.366004,-2.9543946,-2.3425467,-3.7241507,-0.9788624,-2.3407512,1.2581042,-2.8520308,-2.4708745
48,1.2211866,3.7491086,-1.9988252,-0.26584792,-0.9813242,-1.5842528,0.4592188,2.2664232,-1.6371722
49,1.6743906,0.53653175,-1.6165565,-0.92812693,-1.2178087,-1.8147991,1.5927911,0.5570826,-2.345609
50,-0.91168785,-1.1877468,-1.5209683,-1.0331731,-2.026289,-1.8781646,-1.3408986,-0.80449325,-1.5724332
51,0.28502518,0.74501103,-1.2583712,-1.4494576,-0.96451926,-2.156534,0.19120389,1.0602415,-1.6383098
52,-2.2765415,-3.1843674,-0.3989922,-10.362354,-7.841776,-6.6462307,-2.2870297,-3.1772454,-0.3240736
53,-2.0397904,1.1301501,-1.3705926,-8.524228,-5.4326496,-4.9690742,-2.0244865,1.1771375,-1.3351041
54,4.3807726,3.4797027,-1.2804308,-2.0956702,-4.2021174,-2.147811,4.02288,3.3072743,-0.6416955
55,-1.516988,3.882118,-1.4624265,-1.6109681,-1.5806426,-2.419794,-0.29820478,4.866129,-1.6240444
56,-0.17684567,-1.2286811,-1.4642322,-2.979025,-1.2156898,-2.1937835,-0.13045599,-0.96515995,-1.334576
57,1.1050978,3.9650228,-1.8582417,-0.2660488,-1.2926743,-1.7231089,1.3367684,3.458296,-1.6625035
58,1.1335735,2.6161804,-1.3882751,-0.7416687,-0.18254995,-1.7666831,0.05194354,4.591496,-0.7337793
59,2.52941,3.8089497,-1.3176737,-0.8912928,-1.0362015,-1.875084,2.598692,4.159261,-1.7539291
60,3.1929612,-3.3176064,0.090316266,-2.1532905,-1.535545,-2.5277443,2.9506004,-2.3239923,0.115843184
61,1.9761534,3.0209281,-1.7724715,-0.6511948,-0.37685275,-1.5310397,1.2912922,4.5164084,-2.2844899
62,-0.24964184,0.45327216,-1.898115,-0.44825822,-0.7965454,-1.5592484,-0.7565461,-0.5652577,-2.0760303
63,-0.33767867,1.3332338,-2.7705884,-0.09499204,0.50525594,-0.9699851,-0.4334947,1.8386476,-2.3340082
64,-2.3331795,-1.0209115,-1.7797536,-5.9226494,-4.0592613,-3.2889035,-2.3790913,-1.2522864,-2.1339967
65,-2.3705397,-0.43050754,-3.1622393,-3.1829011,-1.4219265,-2.3890436,-3.0296926,-0.4059122,-3.386886
66,1.5445917,-2.329215,-1.4018255,-1.0597491,-0.18764782,-1.6983974,1.6722488,-1.2848449,-1.042654
67,-0.7962577,3.4404392,-2.992673,-3.0312235,0.5820515,-2.231733,-0.74367654,3.5184062,-2.496062
68,0.4099527,0.35912836,-2.5869472,-0.22804439,-0.09158456,-1.0771941,-0.20339346,-0.3492841,-2.20303
69,-0.68432325,-2.2489536,-0.9220532,-2.8404527,-1.5742029,-2.92936,-0.7854485,-2.424922,-0.68766487
70,2.4538572,3.3373015,-1.236358,-0.94310117,-0.94978726,-1.9004837,2.4114928,3.9517102,-0.90777946
71,-0.8487647,-0.18220964,-2.0511465,-0.3510958,-1.2408383,-1.6407428,-0.14932019,-0.8404199,-1.5020561
72,-1.5242174,-0.72528297,-1.2502383,-1.8015738,-1.2694861,-2.2682095,-1.850071,0.2794655,-0.87885785
73,-0.13991392,2.9786384,-0.31748608,-1.5105468,-1.7167699,-2.6001189,-0.2088333,3.4468136,-0.28514063
74,1.5344193,5.340618,-1.994542,-0.28479528,-1.4409571,-1.793838,1.9516511,5.0074334,-2.106919
75,0.14241403,0.6498881,-0.46945205,-1.4752772,-1.670885,-2.3985958,0.60604364,-1.0207696,-0.47251928
76,2.66327,-2.973063,-0.48930582,-1.4241211,-1.3234601,-2.3977764,2.5063627,-2.9985182,-0.37469018
77,-2.3297608,3.9945729,-2.7346144,-3.5546787,-1.0085485,-3.2909617,-2.68773,4.054097,-2.6696787
78,-0.76256,2.4113736,-3.01448,0.2898128,0.46433806,-0.9784833,-1.0227166,3.7949686,-3.4125915
79,1.1765792,1.7456574,-1.2868692,-1.0080227,-0.548666,-1.7151151,0.7832615,0.99833786,-1.3086905
80,1.2768755,5.49553,-2.9314747,-1.8575015,-0.51663643,-1.7214618,1.9774351,6.6363053,-3.1079311
81,-0.656635,0.86304516,-1.2301453,-0.9969589,-1.7510042,-1.9686911,-0.29920614,0.7166469,-1.8377582
