,latent_mean_0,latent_mean_1,latent_mean_2,latent_logvar_0,latent_logvar_1,latent_logvar_2,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,0.18676418,-1.5528371,-0.01696993,-3.0103912,-2.0011537,-0.02824947,0.11659796,-1.7426152,0.3842725
1,-0.5789582,-0.19695765,0.015599522,-2.3039415,-1.2681909,-0.033003718,-0.39099526,0.15999627,0.37685734
2,0.62944275,-1.3532438,-0.03958901,-3.190986,-2.1980124,-0.005111366,0.7362188,-1.6717978,0.17605057
3,0.19955754,-1.1784005,-0.024726484,-2.9707727,-1.8484137,-0.026362458,0.13417771,-0.74236274,-1.3166499
4,0.77958584,-1.2868366,-0.046154566,-3.311625,-2.1650674,-0.005455719,0.91559315,-0.77383846,-1.0568888
5,0.16520889,0.70536494,0.0024129688,-2.8012013,-1.5177224,0.004180363,-0.19835986,0.83194995,0.23048283
6,-1.5037445,0.9317483,0.045807526,-1.6599903,-0.7713771,-0.03241632,-1.1853896,1.0471139,0.96191764
7,-0.9415189,0.7007594,0.03175225,-1.9622186,-1.018118,-0.030200498,-1.5550916,1.4859488,-1.0240493
8,-0.91094613,0.12003493,0.03239942,-2.0741131,-1.0828462,-0.03696611,-1.6624451,0.035960183,-1.3971647
9,-0.039895892,0.2876808,-0.0005808184,-2.6439593,-1.4728147,-0.009046802,0.04964988,0.33311468,-0.8899837
10,-0.75204754,-1.000375,0.03129855,-2.2732317,-1.1932356,-0.057243526,-0.6968409,0.051731944,-0.42435497
11,0.8911448,-0.58551556,-0.032804206,-3.31324,-1.9753094,-0.0046945806,0.74895555,-0.10113153,-0.64639544
12,0.11380088,1.5100278,0.02416015,-2.7905295,-2.1119661,0.024830544,-0.02492021,1.6318806,-1.5311534
13,0.018711478,1.2488792,0.014511392,-2.6993542,-1.4571062,0.012446769,-0.21064177,1.8949791,-0.3224485
14,0.34098038,0.8506502,0.00248679,-2.9332666,-1.5970603,0.0062843454,0.07048184,1.1059227,0.47209498
15,1.1347704,0.8820267,-0.0018618745,-3.4188504,-1.9097143,-0.011638682,1.3802522,0.49190488,-1.5991029
16,-0.82888865,-0.25069314,0.029448003,-2.177833,-1.1528656,-0.039902877,-0.6900474,-0.025864348,1.1886318
17,0.5989999,1.8054533,0.025863804,-3.4712725,-3.263782,-0.029586216,0.8281385,1.875838,-0.6472906
18,-0.6264603,0.8504473,0.017274689,-2.1161187,-1.1543843,-0.021516763,-0.14368415,0.51092714,0.053483605
19,-0.3989126,-1.0332644,0.009137159,-2.5380943,-1.4263978,-0.03946186,-0.1547152,-0.48613942,1.5413698
20,0.33656922,0.46764112,-0.0029742736,-2.970612,-1.6638589,-0.00032462506,0.36674827,0.66675156,0.41610864
21,-0.2598905,0.10455483,-6.732531e-05,-2.457752,-1.3828067,-0.01810001,-0.4342295,-0.66039485,-1.1388191
22,0.9705919,-1.2083528,-0.04490199,-3.3730435,-2.0997674,-0.009945372,1.1779734,-0.55134803,-2.0052876
23,-2.1855645,-0.47417933,0.13538286,-1.3211929,-0.39006245,-0.115881875,-2.380802,1.1027358,-1.2273853
24,0.31964967,-0.59403926,-0.020235062,-3.013055,-1.8402791,-0.018510183,0.058670193,-0.37456983,0.49129575
25,-0.485983,0.5689983,0.0105381105,-2.2425175,-1.2340674,-0.019976646,-0.26199764,0.6662234,-0.33117712
26,0.11400373,-0.7568566,-0.016040616,-2.884892,-1.7958202,-0.033460427,0.20908554,-1.4760966,1.0615951
27,-1.4878672,-0.033725083,0.057767306,-1.7418494,-0.8503735,-0.06311974,-1.385692,0.37871903,0.7408946
28,0.6451841,1.7631993,0.023846503,-3.5038252,-3.1747801,-0.030381871,0.56998396,1.861275,-0.5372428
29,-0.9163748,0.14351243,0.03260134,-2.0673456,-1.0782346,-0.036794387,-0.80602396,0.99458814,-1.835932
30,0.25195417,1.7149625,0.032388072,-2.9136453,-2.8092864,0.036702443,0.03678158,1.8921338,-1.1415731
31,-0.16302532,0.05735427,-0.002112268,-2.547751,-1.4415202,-0.016467877,-0.6047518,0.47895768,-0.85484266
32,0.3265047,0.30955446,-0.0046604937,-2.9891267,-1.7068143,-0.0038450002,0.120664716,0.59941995,-0.4101713
33,-0.3159802,-0.5988887,0.0029224956,-2.5120363,-1.4296248,-0.03191441,-0.8301341,-0.5303901,2.455078
34,0.8447548,0.83105844,-0.0044967653,-3.268875,-1.788935,0.0018215873,1.1334721,0.76206654,3.4663491
35,-0.7354958,1.1276456,0.02371392,-2.0338423,-1.1086636,-0.021773946,-1.070497,0.3460194,-0.1394819
36,-1.0264362,-0.3846715,0.042876236,-2.026845,-1.0103611,-0.054168247,-0.6636789,-0.1856163,-0.9732697
37,0.6845644,0.7026153,-0.0052021826,-3.1855044,-1.7504025,0.0035073883,0.5028186,0.45575505,1.2149348
38,0.14430591,1.3037965,0.0144636715,-2.794871,-1.5876763,0.01400728,0.24905139,1.387428,0.12038662
39,1.4662466,2.8060973,0.032599933,-5.9787173,-2.607997,-0.12506647,1.5003871,2.6973913,-1.1990486
40,0.19365802,-0.1863299,-0.009532905,-2.907277,-1.7255731,-0.018145652,0.30170825,-1.1209407,0.50262094
41,-0.28964496,-1.0195227,0.0038296827,-2.6220706,-1.5129595,-0.038877323,-0.2960024,-1.0005233,0.20050667
42,0.81816566,0.590518,-0.009526127,-3.2353022,-1.7579906,0.0010223794,0.84402215,0.710155,0.6918129
43,-0.8416617,0.7967128,0.02593799,-1.9998779,-1.0573362,-0.02653543,-0.9332614,0.54284835,1.2022184
44,-0.7250066,0.9998101,0.021618515,-2.0480957,-1.1263179,-0.023113718,-1.3614254,0.8187125,0.51406
45,1.182347,1.0518653,0.0027794396,-3.541058,-2.0784569,-0.011185745,1.1914518,0.5478306,-0.23274875
46,-0.2867487,-0.11001992,-0.0006623594,-2.4522681,-1.3999254,-0.023960395,-0.58157265,0.32832533,0.23167275
47,0.026547462,0.37214318,-0.00027283467,-2.6994092,-1.4981577,-0.00605551,-0.18334074,-0.22554776,-0.25158137
48,0.19178365,-0.36539465,-0.011841425,-2.921391,-1.7623706,-0.022725224,0.34676957,-0.32907012,-0.92221177
49,0.22431757,-1.6338301,-0.016898643,-3.0353708,-2.0785384,-0.025858147,0.23155934,-1.8325562,-1.0058529
50,-0.82268727,-0.015406787,0.028136749,-2.1436305,-1.1365416,-0.036574252,-0.5358877,0.247002,-1.3624954
51,-0.37329352,1.4344362,0.022687208,-2.354533,-1.2468339,0.0007277597,-0.6116545,1.3242579,1.9040481
52,0.20578519,1.767998,0.034751017,-2.8743386,-2.893087,0.03986676,0.36056036,1.7318716,-0.27455947
53,-1.1359113,-0.540479,0.05096167,-1.9465814,-0.9295014,-0.06427862,-1.176884,-0.69514513,0.45752975
54,-1.0013821,0.33587667,0.036460657,-1.9902045,-1.0211672,-0.036371373,-1.7778361,0.57308555,-0.866916
55,0.26950395,0.44634396,-0.0022009658,-2.9229891,-1.640646,-0.0010874378,0.3887928,0.8012178,-0.2066196
56,-0.6863067,0.51394635,0.018611243,-2.1295412,-1.1556854,-0.02641918,-0.49647927,0.07423341,-0.5921664
57,0.333396,-0.41477865,-0.016898133,-3.025085,-1.8273335,-0.016296234,0.0787482,-0.11026788,0.64547145
58,0.44412333,-0.40122348,-0.021323778,-3.0868304,-1.8511184,-0.0074564335,0.53176785,-0.6350348,0.45983523
59,-0.67723095,0.20210749,0.019358147,-2.1856973,-1.1869504,-0.030230442,-0.4632424,1.152204,-0.8037827
60,1.0886247,0.74082136,-0.0061463304,-3.3431087,-1.8006108,-0.0101586245,0.97965986,0.5658543,-1.0234221
61,0.047456577,-0.3052448,-0.009339306,-2.7793257,-1.6555967,-0.02302468,0.22178854,-0.46463463,-0.43178484
62,-0.6854929,-0.17499483,0.02130792,-2.2433107,-1.2156063,-0.035306428,-1.1694623,0.6716477,-1.0144327
63,-0.8748827,-0.39395863,0.03345922,-2.1473644,-1.1170928,-0.04625398,-1.1100147,0.31625932,-0.34005094
64,0.5809375,0.7586594,-0.0026716972,-3.1095457,-1.7043238,0.00450125,0.40665114,1.0722129,2.1889722
65,-0.28564537,-0.7035652,0.0020085438,-2.558329,-1.4696431,-0.033570055,-0.5303036,-0.8495663,-0.10369935
66,-0.88381195,0.6041229,0.028997298,-2.0090008,-1.0539243,-0.030048745,-1.2221198,0.5173033,0.014955306
67,-0.0775291,-0.41412836,-0.009267847,-2.6705828,-1.5973089,-0.02737951,0.096028894,-0.16612197,0.6577284
68,0.07317999,-0.8490769,-0.0144375665,-2.8744788,-1.7819967,-0.03484492,-0.21453094,-0.51920164,0.20865352
69,-1.0607611,-0.9106346,0.050145455,-2.0257208,-0.9785157,-0.07181515,-0.8509956,-0.77948785,-0.5363172
70,0.67083275,-2.3637307,-0.015314802,-4.559149,-3.9694214,-0.07294655,0.62299156,-2.3527784,0.09203047
71,-0.8641038,-0.43726045,0.03312611,-2.1577184,-1.1236966,-0.046843875,-1.4771564,-0.6414368,0.53451926
72,0.62431717,-0.41112524,-0.029225413,-3.186527,-1.8926864,0.006728227,0.49958727,-1.001262,-1.3133335
73,-0.4018321,0.7305782,0.011291538,-2.3004236,-1.2364924,-0.012783686,-0.38191676,1.5935518,0.857326
74,0.760155,-1.4965212,-0.043833785,-3.3245754,-2.3421378,-0.0052697523,0.5717804,-1.2978195,0.43021685
75,-0.071026206,-0.7959439,-0.007800565,-2.7485557,-1.6572547,-0.03442215,0.22858894,-0.78541005,-0.23877522
76,0.6205748,-1.2729886,-0.039759528,-3.1766357,-2.1341596,-0.004561922,0.046144962,-1.5977523,-0.20925923
77,0.13778868,1.1352295,0.010689818,-2.7861297,-1.5093191,0.010629203,-0.0032780468,2.1003277,-0.52651143
78,-1.116081,-1.4897788,0.07231656,-2.0111735,-0.92485136,-0.10005188,-1.1245334,-0.8529814,-0.52873516
79,-0.1065228,0.65365434,0.004976608,-2.5483656,-1.3517172,-0.0005803318,0.4347934,0.6275007,0.61948586
80,-0.37021196,0.887839,0.01379184,-2.339638,-1.2624998,-0.009026464,-0.63144267,0.5396197,-0.23930685
81,0.0798071,-0.9734991,-0.014254375,-2.9043453,-1.8036954,-0.03658547,0.0521776,-0.4596796,-1.3044926
82,0.94622815,0.73872405,-0.0064239344,-3.2888193,-1.7753906,-0.0037524332,0.6859275,0.8230282,0.46616676
83,-0.8798839,-0.97257453,0.03923975,-2.1713967,-1.1044008,-0.06363326,-1.0910149,-1.015083,-0.52430594
84,0.07485291,2.2108674,0.04304664,-3.1676927,-3.6585069,-0.027880983,0.34048018,2.4386067,-0.20825176
