,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,0.40647894,-0.74645644,-1.2230039,0.2566923,-2.3124585,-0.74573284,-0.9152874,-1.3017887,0.47331855,-0.65666306,-1.0437424,-0.0069152117
1,0.9027826,0.7754849,-1.2053609,-0.58081836,-2.0070586,-0.87617576,-0.58722746,-0.958533,1.2170677,1.2113998,-1.0049434,-1.2446429
2,0.84030193,0.12576102,0.48196095,1.6770304,-2.187171,-0.31823325,-0.81017774,-1.207071,0.47501522,-0.8615177,0.2296609,1.397083
3,0.4417364,0.997366,0.02173227,0.5061937,-2.3855515,-0.8281011,-0.77559894,-1.3804247,0.2566023,1.1092964,0.28841874,0.54751664
4,-0.3089377,2.4790723,-0.26709956,0.5726044,-2.9640298,-1.135463,-0.9889265,-1.7339319,-0.23720244,3.0369847,-0.45404983,0.6407476
5,0.27070957,1.2229105,-1.6761074,0.11381015,-2.481985,-0.89060533,-0.9980653,-1.3337363,0.531986,0.94616586,-2.752117,0.99324334
6,-0.39392677,-0.20272593,-0.047463357,0.005774051,-2.9156384,-0.8184987,-0.97223616,-1.648312,-0.35708612,-0.49091578,-0.48876077,0.6293572
7,-0.046306908,0.46666092,0.2978105,0.33444318,-2.6888728,-0.9287971,-0.9202497,-1.5816699,0.027013965,0.3800665,0.71748674,0.6236494
8,-0.10107201,0.28433555,0.5814788,-0.94258577,-2.719115,-0.9927251,-0.6817843,-1.3771718,0.35364988,0.47527975,1.539787,-0.12375814
9,-0.13425982,-0.96499306,0.8645112,0.17102557,-2.8034947,-0.76403344,-0.9301213,-1.5705553,-0.5579087,-1.5986022,0.53391767,0.16960232
10,2.0761101,-0.34610575,0.42512375,0.3783726,-1.3293426,-0.16035289,-0.19846934,-0.5748005,1.4189143,-0.90303797,0.22589576,0.7564353
11,1.086818,1.3447692,-0.97718436,-0.5326498,-1.928936,-0.85435444,-0.4809457,-0.9058506,1.1330795,0.6319621,-1.286825,-0.32914412
12,-0.46872073,-0.16885288,1.1463094,-0.14572126,-3.0273852,-0.86237967,-0.88042676,-1.6663506,-0.24855427,0.1326093,1.0594268,0.9330012
13,-0.2227279,-0.73999375,-1.5579889,-0.44790673,-2.795429,-0.7927785,-1.1136268,-1.4669782,-0.00039201975,-0.57877797,-1.9748294,-0.5085518
14,-0.14308864,1.6315781,0.5668228,0.3742882,-2.8387523,-1.0516002,-0.8947569,-1.6303291,0.09467386,1.5717661,0.029618084,0.2944732
15,-0.6724223,-1.8450938,0.15675765,0.15660124,-3.134968,-0.70355886,-1.052502,-1.7501116,-0.4757207,-1.3399507,-0.6073477,-0.06535664
16,0.33278602,-0.8060003,-0.21599907,-0.005548939,-2.3758702,-0.7522733,-0.8028396,-1.314339,0.54348934,-0.33023915,-0.382491,1.2252243
17,0.14425284,0.28829926,-0.23233122,0.9949693,-2.572826,-0.74207234,-0.9838468,-1.5867088,0.198394,0.5174358,-0.5959101,0.90131783
18,0.06677061,0.54132915,-0.986662,0.3020537,-2.5690413,-0.8595936,-0.935495,-1.4897082,0.19570196,0.60170186,-0.65382445,0.034182817
19,-0.24822205,-2.244854,-0.55025977,-0.1371762,-2.886259,-0.7020706,-1.0850978,-1.5304728,-0.45241618,-1.206994,-0.02764231,-0.1888952
20,-0.6142231,0.64187795,-0.20223898,-0.14425032,-3.0600176,-0.99955815,-0.98221064,-1.7293892,-0.83404607,0.6283065,0.23292285,-1.0363938
21,1.0768006,0.8474454,-0.0016283393,-1.1597648,-1.9023079,-0.92869353,-0.29706904,-0.8361631,1.4251015,0.45571038,0.4760791,-0.7287812
22,0.73698395,-0.40784758,-0.31412297,1.4741644,-2.183363,-0.3611341,-0.8692522,-1.2494018,0.3629377,-1.4740522,-1.0734773,2.129374
23,-0.117593974,0.6020726,-1.1796308,1.0824383,-2.7264485,-0.79028344,-1.0710466,-1.7103015,0.2884974,0.44596148,-1.4595846,0.28220862
24,0.35457623,0.8553658,-0.44672424,0.2626079,-2.3929932,-0.8828242,-0.782108,-1.3656644,0.015117109,1.1545153,-1.5867577,0.2357467
25,0.41823882,-0.5076738,-1.2003508,-0.91763586,-2.2890553,-0.8996631,-0.7428092,-1.0697521,0.09787807,-1.3084489,-1.1261287,-1.4993167
26,0.15676534,-0.56083244,-0.7839454,-1.2419237,-2.4905891,-0.9099057,-0.7218457,-1.1430554,0.69930947,-0.3372013,-0.6592118,-0.9086185
27,-0.357602,-0.79892546,-0.70811015,0.13558532,-2.8686254,-0.73917294,-1.0281998,-1.6539186,-0.35251704,-0.24609804,-0.6447003,-0.18215196
28,0.69996995,-0.43254763,-1.3358207,0.25203383,-2.114428,-0.6360322,-0.81725097,-1.1488678,0.15995967,-0.19287986,-0.53518283,-0.25941753
29,-0.5497442,-0.38951057,-0.6033719,0.18768542,-2.989873,-0.7761663,-1.0390913,-1.7319486,-0.7132653,-0.6526914,-1.5262687,-0.1862501
30,-0.32095456,-1.0181499,0.2863713,-1.6109936,-2.8600543,-0.7549169,-0.7095109,-1.2868387,-0.33385417,-1.450435,1.304822,-0.789959
31,0.605571,-0.43702298,-0.15858859,0.7575908,-2.1995425,-0.5744022,-0.80957377,-1.3341527,0.4993775,-0.72251785,-0.26205572,-0.09342861
32,0.5113265,-0.14231797,-0.24740428,0.83719355,-2.282699,-0.60351837,-0.8524938,-1.3938692,0.16133508,0.50153553,-0.43247452,1.7006707
33,-0.11307222,-0.7671303,-2.1889238,-0.17998071,-2.7376542,-0.8404844,-1.2534609,-1.4890199,0.22381544,-0.751506,-1.7611173,-0.21007438
34,1.388052,0.028219864,-1.1813126,0.85486704,-1.7434502,-0.3140852,-0.62990105,-0.892935,1.76337,1.3201047,-1.4457467,2.0325186
35,0.52064556,-1.2087053,0.43282598,0.45835155,-2.276816,-0.61017704,-0.8008756,-1.3316337,0.7384954,-0.8640905,-0.08713728,-0.46355808
36,0.38098514,0.4093082,1.125577,-0.1810823,-2.3947997,-0.9302496,-0.61936945,-1.3065264,0.31729296,0.5210001,0.46084744,-0.44115227
37,1.6728997,-0.11434804,0.09261924,0.38596833,-1.5505071,-0.30345067,-0.35578486,-0.7736705,1.6026514,1.0195187,-0.723818,0.056227624
