,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,0.89016,0.27965665,0.031182,-0.5403135,-1.829057,-1.2677367,-0.033306375,-3.0003872,0.81741863,-0.085134834,-0.2856018,-0.44806373
1,0.33291483,1.3918582,0.01811608,0.16275454,-1.497052,-0.8875742,-0.0075455178,-2.403537,0.13139006,1.3034467,0.076013535,0.22382985
2,-0.8918457,-0.11447239,0.049099527,-0.9290539,-1.7709529,-1.5246675,-0.050645947,-3.3600457,-1.988753,0.41458625,0.44217828,-1.2093686
3,-0.18587136,-0.51133573,0.012203894,0.8967501,-1.1117558,-0.8794131,0.011371229,-2.038543,-0.2853834,-1.4697418,1.7813998,1.3270509
4,0.15543845,0.384845,0.038122453,-0.76047015,-1.8488837,-1.0343677,-0.04148259,-3.1545753,0.15021539,0.19028449,-0.7239168,-0.38862547
5,0.61947286,0.88146913,0.019092984,1.3526793,-0.9496033,-0.57132125,0.048105367,-1.7014792,0.70341337,-0.40280652,0.06101306,1.6621339
6,0.025197923,1.3254592,0.015764412,1.0949911,-0.9963603,-0.7296059,0.012562383,-1.7497215,0.45885217,-0.34436977,0.3478226,0.31939352
7,1.9735337,0.8369291,0.028026583,0.4769485,-1.4869144,-0.696218,0.027412122,-2.303006,1.958863,1.4580063,-0.7575529,0.32847208
8,0.87951934,0.31273028,0.018649092,0.65098333,-1.3060167,-1.127524,0.008215301,-2.1757817,0.09576595,-0.43346146,-1.0978695,0.65693873
9,-0.26403952,-0.09027392,0.03777282,-0.2736075,-1.5869086,-1.3324397,-0.03064576,-2.8861156,-0.62641484,-0.46762258,0.66715354,-0.17922345
10,0.7220835,2.1964564,0.030119969,-0.2904724,-2.1528125,-1.6283015,-0.023661705,-2.990219,0.4483509,2.471475,-0.5793903,-0.19122747
11,-0.18872201,0.4154818,0.030572152,-0.042597055,-1.5072402,-1.2531985,-0.020729193,-2.67913,-0.7028238,-0.88149357,-0.6562372,0.05963154
12,1.0688086,0.47590512,0.021542404,0.12503415,-1.5716678,-0.8338373,-0.0075966623,-2.4676735,0.6933459,-0.12619054,-0.25728753,0.15350781
13,-0.5053767,-0.6539985,0.0028168093,0.92728245,-1.1070148,-0.5030968,0.022801865,-1.9780877,-0.69661295,0.46292531,-0.2567005,0.83759993
14,0.018806994,-0.14057004,0.016418234,0.29335028,-1.4129502,-0.6709314,0.004115617,-2.389474,0.38134903,0.78581643,-0.5597453,0.2901957
15,0.680078,-0.5415013,0.00860847,0.9834107,-1.1890247,-0.71164984,0.038971886,-2.0171294,0.7773567,0.8031032,-0.71025,1.1670492
16,-0.9302788,-0.29834646,0.01723242,0.38113868,-1.2712529,-0.62352264,0.0058754124,-2.3398855,-1.2944515,-0.37069976,0.505831,0.55524004
17,-0.1875807,-0.6416153,0.0018408317,1.1221906,-1.0478088,-0.5728328,0.027286917,-1.8628929,-0.012497708,-1.0651307,0.26180217,1.1627033
18,-0.9334308,0.33368853,0.020327173,0.94990134,-0.95709956,-0.9039606,-0.006388599,-1.9242834,-1.6328889,0.36432356,0.047193334,0.37159538
19,-0.82166684,0.79430294,0.031805262,-0.2577001,-1.5748029,-1.7625988,-0.0332167,-2.9239125,-0.51214033,0.92436063,0.12309888,-0.18140325
20,-0.50383186,0.56227744,0.010949524,1.433199,-0.9153063,-0.88627124,-0.0004502572,-1.6078067,-0.44406068,1.0362068,2.7018118,1.4012783
21,0.59059703,-0.25432926,0.0103896335,0.93609965,-1.1765264,-0.9764776,0.017174313,-2.0064068,0.6464897,-0.4200377,1.2434573,0.6786058
22,0.94737446,-0.21617556,0.03053447,-0.44457558,-1.856916,-1.0382158,-0.026243394,-2.9363973,0.51342726,-0.53741443,1.3085097,-0.6669002
23,0.08245337,0.45896828,0.027649084,0.12371045,-1.4461296,-0.91937786,-0.011428772,-2.4864578,0.57884973,0.14638126,0.3296904,-0.08577946
24,0.057640254,1.517051,0.0135185495,0.61926043,-1.2571716,-0.93367755,0.0021162163,-2.0896192,0.76772463,1.801541,-1.065996,1.0643125
25,0.15597358,1.9291552,0.034701675,0.4099089,-1.7395437,-1.1178904,0.014824152,-2.504867,0.45001256,1.923207,0.5149157,0.615174
26,0.026281714,1.5007603,0.013309035,1.0877362,-1.0121481,-0.77079594,0.010693725,-1.747975,0.29007345,2.0956554,-1.1606891,0.7086989
27,1.1517074,-0.74596226,0.011017857,0.6568929,-1.3902003,-0.7635247,0.027943686,-2.2486997,0.7938725,-0.78001547,2.722122,0.40128917
28,-0.19068062,-0.1502943,0.04464884,-0.8309661,-1.8015044,-1.1376566,-0.04436548,-3.247803,-0.3087188,0.050588876,1.7212144,-0.9312066
29,-0.5433216,-0.2470032,0.03999804,-0.25340146,-1.5434217,-1.4696777,-0.031645916,-2.9142027,-0.83549356,-1.0697775,-0.35293806,-0.37317395
30,1.0735441,-0.027449667,0.026618537,0.105399966,-1.573919,-1.2175542,-0.012726972,-2.5898325,1.0324951,1.0975523,-1.2809987,0.17047858
31,-0.6070199,1.1929171,0.021054536,0.47137022,-1.2425766,-1.1883558,-0.01336951,-2.263904,-0.46116385,0.3942976,-0.28826806,0.055960357
32,1.4515929,-0.38611567,0.028225528,-0.14967588,-1.7302932,-0.9811357,-0.016599359,-2.7214406,1.441587,-0.45314866,1.2623069,-0.52969944
33,0.6566998,0.1909343,0.033975802,-0.5442953,-1.810633,-1.1097603,-0.035078682,-2.9900951,0.5416015,0.9370938,-1.0709598,-0.6140135
34,-0.9851533,0.54511094,0.019846585,1.0662146,-0.89117956,-0.8982328,-0.007761238,-1.8232877,0.041502476,0.97959334,0.021175541,1.6311616
35,-0.71051013,0.33708954,0.03396689,-0.026901305,-1.4216776,-1.0924612,-0.02020867,-2.639312,-0.43143108,0.911837,-1.1953136,0.09669157
36,0.73989034,0.10005385,0.012406965,0.4160794,-1.4385436,-0.6906099,0.008973019,-2.2867994,1.0391349,-0.046445727,-0.42602414,0.6752761
37,-0.747558,0.6985923,0.018453293,1.0155423,-0.9455018,-0.8590995,-0.004213663,-1.8413925,-0.08782309,0.6509662,-0.344989,1.3048841
38,-0.5999956,1.0787044,0.029573796,-0.31667197,-1.6244965,-1.4671896,-0.032239474,-2.8828592,-0.7423633,1.4447432,0.79688984,-0.29577583
39,-0.3629217,0.8300042,0.030318903,-0.20643991,-1.5634146,-1.0076367,-0.024346208,-2.7205021,-0.117301956,0.89059603,-0.17602102,-0.32107306
40,0.16600019,-0.41883874,0.022407888,-0.10032472,-1.5996742,-0.6393933,-0.009622546,-2.6762006,-0.38890654,-1.2798542,-0.07528342,-0.14955921
41,0.94400346,-0.96688235,0.026354022,0.19520617,-1.5174048,-1.1774627,-0.0061602835,-2.5872445,1.2733405,-1.4110142,0.67756426,-0.12378433
42,0.1442259,0.35756102,0.025514819,0.28642797,-1.3991203,-1.3514283,-0.008570293,-2.476725,-0.1305919,-0.86454296,-0.3410136,0.28662145
