,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,0.24768388,-2.374783,-0.0014078198,0.4276693,-1.4815266,-0.40334496,0.027499871,-2.4544554,0.7428408,-1.7425957,-0.22183944,0.21704988
1,-2.443161,-0.7007078,-0.0036177672,1.8676251,-0.46039498,-0.26240385,0.00891063,-1.2758491,-2.105618,-0.9189997,0.730871,2.4426842
2,-2.5715327,3.1062398,0.03109588,1.5620648,-1.3492734,-2.021935,-0.03574624,-1.9285661,-2.501585,3.6664085,1.0396717,1.7984686
3,-3.3568711,1.4007505,0.016582847,2.4626613,-0.88274646,-1.0011407,-0.06499227,-1.063323,-3.905967,0.9012269,1.6261116,2.0702815
4,-2.2713742,1.1612378,0.0331339,0.68781066,-1.0429727,-0.7401873,-0.022593195,-2.085048,-0.54078794,1.4473972,1.5860403,0.9595724
5,-1.811869,1.1124252,0.022702752,1.1829616,-0.9618918,-1.1553468,-0.0322565,-1.8190744,-2.2003076,0.6059624,2.2010336,1.2703716
6,0.15354353,-2.937379,0.007556445,0.24074024,-1.5322794,-0.685807,0.016342219,-2.670091,0.15994897,-2.5388465,-0.8422283,0.53389114
7,1.0670981,0.04315287,0.025517602,2.5533772,-0.43774605,-0.04682803,0.12784642,-1.12357,-1.2317221,-1.4489162,-0.5131982,2.105948
8,-3.1586642,-0.11988902,-0.0073977783,3.2173696,-0.6999229,-0.57152975,-0.022288179,-0.6815891,-1.880452,-0.514463,-0.17675492,4.2139373
9,-2.4753704,3.1410165,0.08187216,2.8548126,-1.103057,-2.5742364,0.016845865,-1.6625497,-2.6341426,3.3454616,-1.4459155,2.2202682
10,-0.96449745,0.23606676,0.011404214,2.8656778,-0.27779615,-0.10641587,0.071922265,-0.81417966,-1.3303752,0.38146842,0.4546837,2.8033621
11,1.454726,0.80883896,0.015474015,0.32618105,-1.5443888,-1.043242,-0.000933351,-2.3542438,1.2229978,0.11871058,-0.16506548,0.43857828
12,-0.05994767,2.5661674,0.07623617,1.4320076,-1.7419996,-2.099771,0.049666934,-2.4619527,-0.24526085,2.778129,1.8246038,1.1787516
13,2.7833557,0.32351264,0.038589455,2.1378365,-0.7904207,-0.06971395,0.16248213,-1.4962153,4.3331313,2.3510573,-0.9720764,1.9713149
14,-2.2387595,-0.3785019,-0.00054522324,3.2979445,-0.20736468,-0.061575532,0.047052942,-0.5579033,-1.3532336,-2.918656,-0.2052823,3.977919
15,-0.019052267,1.4568298,0.020897942,1.859783,-0.6178952,-0.4354458,0.04852272,-1.3119617,0.6609671,2.810997,-0.27285603,2.351351
16,-1.8270832,3.1839933,0.030745214,1.3248568,-1.4607987,-1.9751475,-0.022021437,-2.0709317,-2.1464787,3.3558855,-0.044695146,1.4069731
17,1.5121223,0.50552523,0.031365037,2.420761,-0.7732589,-0.40916812,0.107287474,-1.2827973,1.4748262,0.9661932,-0.3808042,3.9323182
18,-2.9825282,0.759405,0.004606792,2.7089963,-0.89151704,-0.8550981,-0.045027785,-0.9625387,-2.471991,0.14649236,-0.22474408,2.8694286
19,-2.5936341,1.9541945,0.02996435,0.08589709,-1.5956564,-1.9903848,-0.0744716,-2.7443895,-2.7571118,2.1890986,0.422579,-0.39519867
20,-3.0102649,0.6616693,0.0019834228,2.5649633,-0.5905745,-0.6173769,-0.032343134,-0.8925834,-3.0028365,1.0357889,-1.376031,3.0076623
21,-2.6646886,1.2082291,0.009170443,2.0338068,-0.36277115,-0.51659834,-0.02408128,-1.0225382,-2.9775665,0.8463593,2.0331874,0.6929772
22,0.22498447,1.3375884,0.021270705,1.9157604,-1.3020405,-1.07824,0.0053207166,-1.5375032,0.19976924,1.3159547,0.048387304,2.2776382
23,-0.68266594,-0.018934846,0.023247723,-0.010267377,-1.4491699,-0.45956838,-0.0048745703,-2.5756516,-0.7986953,0.45629117,0.68333477,-0.1265879
24,0.07144523,2.6775184,0.06269679,1.4442987,-1.6039667,-1.763814,0.0473449,-2.2702608,-0.4437778,2.097746,-0.7685696,1.5793089
25,-0.9459702,1.0822763,0.01231586,2.1566215,-0.9536785,-0.8171302,-0.0012378935,-1.2643168,-1.3377514,1.5242373,-0.7105286,2.5569525
26,-0.16568309,-0.9416895,0.006368002,2.287776,-0.5122379,0.055955052,0.09869303,-1.247936,-0.52615213,-2.1672177,-1.2483394,2.181378
27,2.251927,0.07632691,0.03238696,2.163815,-0.7433972,-0.037353337,0.1517275,-1.4553397,2.8454638,0.60563946,-0.2971764,2.7536616
28,-0.1296084,0.80875677,0.01855442,2.4412975,-0.91375506,-0.68292606,0.039154455,-1.213095,-0.1340654,-0.5972504,0.27466738,3.5559282
29,0.15979713,2.3619041,0.03331522,1.6670455,-0.9086275,-0.82241905,0.045452774,-1.5765624,-0.33063823,2.832267,1.4720689,1.8936284
30,-2.63105,3.2989879,0.06880542,2.5033302,-1.1563011,-2.490323,0.0020370837,-1.7421945,-2.8892086,3.2755947,1.2959017,2.3048966
31,-0.7568022,-3.092009,-0.020214416,0.8135692,-1.2735561,0.16033423,0.05829429,-2.1895068,-1.8825476,-3.9649026,0.6249849,1.1097522
32,0.8208282,-1.4247862,0.0043726508,0.8583964,-1.2842275,-0.93992233,0.029777914,-2.161418,1.6188731,-1.4369768,0.40864828,0.8403794
33,-1.4028305,1.6260977,0.013005463,1.6649941,-1.2022202,-1.1464822,-0.034351148,-1.573055,-2.261628,1.2421758,1.132349,0.7005951
34,-2.0430717,-0.8671738,-0.0031151986,2.9725647,-0.07941282,0.005689144,0.05683995,-0.6907277,-1.3553611,-0.51586604,1.8748976,3.0213478
35,1.5931079,-0.9682572,0.015280797,1.6744624,-0.9923462,0.07665682,0.13399951,-1.7734942,1.8671107,1.3077178,-0.13083024,1.4364064
36,1.8816855,0.035737157,0.023772717,0.0032951832,-1.7045305,-0.9831449,-0.011508213,-2.5903292,1.7518998,-1.6261348,-0.13178337,0.16811058
37,0.9646412,-1.5738882,0.0049243094,0.99492776,-1.2538865,-0.53131086,0.058659464,-2.1152687,0.8111347,-1.207591,-1.44657,1.5255146
38,-0.4939927,-2.6996202,0.020324577,0.343414,-1.3563294,-1.1451418,0.007901242,-2.6513467,-0.035380095,-2.5324724,-0.6397636,0.68320394
39,0.7319592,0.21396717,0.025231555,2.7582135,-0.3864404,-0.06930959,0.1197315,-0.990227,1.1211846,-0.14852318,-1.2218951,2.955283
40,0.8064462,1.1207702,0.025833454,2.0961885,-1.0932517,-0.8249823,0.046575222,-1.4515958,1.1500038,1.3026623,-1.2688459,1.8265042
41,-1.8569785,2.3722923,0.044375353,1.0874678,-1.7280767,-2.0952592,-0.019333554,-2.4070945,-1.9130193,2.6749594,0.67465335,0.9707426
42,0.8610384,1.1781567,0.02653678,2.0680394,-1.0963125,-0.83128357,0.047158793,-1.4647313,0.09855074,1.5781014,1.0072912,2.4039795
43,-0.3706982,-1.8641039,-0.0057222527,1.6606632,-0.85130334,0.17351496,0.08961899,-1.6547353,0.6554707,-1.8619816,-0.90591127,1.5012413
44,-0.29847008,-0.5824883,0.009888481,2.6025586,-0.32422817,0.0084370375,0.09792792,-1.0278606,-1.1951655,0.5563235,-0.8204455,1.6829742
45,0.07969105,-1.7146722,0.03038712,0.23216844,-1.4087019,-1.3585879,-0.006312767,-2.6610832,0.43389803,-1.4347808,0.12589605,0.23082605
46,2.7986937,0.39239067,0.03955538,2.1906543,-0.7605763,-0.06897408,0.16394736,-1.4593643,2.1957998,1.5577657,-1.0223051,1.3225374
47,2.1765938,-0.9702771,0.020898532,1.5068005,-1.1174524,0.021157265,0.12989515,-1.9134685,2.4250934,-3.0214682,-1.2734188,1.8481431
48,1.4467978,0.34523246,0.031476,2.621552,-0.43496978,-0.07722533,0.13632977,-1.0955474,3.1532907,0.53078824,-1.4011313,3.8234162
49,-2.8880515,0.14353627,0.005004227,2.306346,-0.5574889,-0.65659034,-0.025527077,-1.0765305,-3.1768126,-0.96805125,0.30710283,1.46356
50,-2.32331,0.9987429,0.003943231,2.115984,-0.43187416,-0.4872681,-0.014300263,-1.0141037,-1.4966261,0.99713,0.99350893,1.0659748
51,-0.11057532,-1.4762849,-0.00067852717,1.4224871,-0.9385463,-0.5174588,0.045280553,-1.76521,-1.2387466,-1.0790697,1.4813203,1.8309269
52,-1.6743327,2.9600377,0.03974078,1.4182571,-1.4802724,-1.947332,-0.010991501,-2.0971017,-1.6843402,2.649023,-1.8381904,1.3431582
53,0.7713445,0.27586415,0.015780428,1.2476319,-1.0409806,-0.5709735,0.052898943,-1.8209882,0.8001488,-0.29930738,-0.5704505,1.1304321
54,-0.4686501,1.9318864,0.024854695,0.17482126,-1.7467406,-1.1708753,-0.008802926,-2.5620975,0.24379748,1.8682662,0.37709588,-0.15892816
55,-0.27059025,0.39568818,0.011931336,2.0589495,-1.6043798,-1.3668418,-0.024737464,-1.6034024,-0.11190814,-0.08276656,0.7012138,2.063893
56,0.3545744,3.1613107,0.05345636,1.449221,-1.5694647,-1.835846,0.046961293,-2.200445,0.93327653,3.176372,-2.2517524,0.85864735
57,1.4568789,1.539906,0.015717193,1.0916029,-1.4986221,-1.1974157,0.023381649,-2.0050683,1.2819662,1.6592319,0.0615233,1.5792617
58,-1.52642,0.19574866,0.04828888,-0.73011565,-1.642833,-1.4808826,-0.045922145,-3.2728505,-1.9814663,0.7257196,1.529818,-0.52405566
59,-2.1295047,1.0755682,0.015454898,2.7459974,-1.8303723,-1.6530665,-0.08306081,-1.3227582,-2.42628,0.823601,0.5696874,2.1454275
