,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,0.0008173995,0.60340595,1.4604692,0.78143805,-1.684942,-0.09544168,-0.7623775,-1.6954505,-0.24257487,-0.60438406,-0.42146358,1.3085877,1.6787807,1.8710663,-2.3719141
1,0.014269611,-0.5025066,0.64431906,-0.19454351,0.35659564,-0.06257408,-0.57242155,-2.0859213,-0.6494171,-1.3178701,-0.8217754,-1.8379052,1.2974043,-0.8557857,0.19415437
2,-0.083345406,0.0868227,2.2685266,1.7364767,4.105857,-0.08739687,0.43221948,-1.3986189,-1.0070053,-0.3804865,-1.7055252,1.266254,1.7831206,1.558028,4.65806
3,-0.31156588,1.8949862,5.9274306,1.8855339,3.3091044,-0.10757031,0.5316473,1.0417695,-0.11145294,0.64502037,0.037841797,0.8519876,6.193468,0.8336086,3.0262814
4,-0.011298203,-0.24226174,2.6432204,-1.036209,-1.5321596,-0.11290633,-0.34665695,-0.9149327,0.20422047,-0.23265564,-0.8346914,-0.8351803,2.523716,-3.3513103,-3.0684228
5,-0.10030276,0.0934013,3.6599646,-0.34948757,-6.34443,-0.16227373,-1.2350817,-0.5668452,0.7658153,0.9793061,-0.7106428,0.6713346,3.6802995,-1.7041446,-7.1528277
6,0.009530043,-1.2652695,0.97273064,-2.1485684,-0.24081427,-0.050854765,-0.5458974,-1.9206482,-0.3095148,-1.1822327,0.0025238404,-0.4715051,0.6285498,-1.5677919,-0.2013728
7,0.0013586245,1.8569936,1.9067466,-1.9121761,-3.1885574,-0.060098127,-1.3252327,-1.6749227,0.48159355,-0.26613283,0.0016680799,1.6001287,2.2701292,-1.5664141,-3.3089507
8,-0.0046656784,1.2069974,1.0316012,2.6317313,-3.0757284,-0.11862711,-1.4056681,-2.0800147,-0.7347719,-0.4828086,0.33078888,0.54720145,1.3057146,1.7971325,-3.1613646
9,-0.3281779,-2.637934,5.2093573,-3.293345,4.5947638,-0.12192435,1.5725757,0.5340233,0.1887595,1.0995413,-0.11576605,-1.9660922,6.581171,-3.7917268,3.6891837
10,-0.083157666,-0.48867443,3.817027,2.3272223,-0.4044642,-0.16532414,0.019999057,-0.5008161,-0.09978163,0.6005744,-0.60338837,0.08880827,4.226832,2.5481362,0.86669487
11,0.007151557,1.490448,1.736268,0.19112605,4.0174603,-0.056951165,0.2820138,-1.7626196,-0.90750337,-0.9652621,1.1513393,2.605938,1.2137854,0.50996906,3.0740952
12,-0.4502283,-3.4027832,7.5800653,-7.3957334,1.3375378,-0.15797289,1.5399742,1.9945469,1.8032045,2.2549262,-0.22641915,-0.22404146,4.0235577,-7.936248,2.8566704
13,-0.046211366,-0.13862911,1.5244985,-0.018492162,-4.126474,-0.09510325,-1.2064003,-1.7432518,0.037767053,-0.18564415,0.18837273,-1.1911132,1.5274539,-0.5705807,-4.0113835
14,-0.24835934,-4.0068693,3.5736823,-3.5625536,1.610995,-0.13858981,0.6182711,-0.22600198,0.17836577,0.23469126,-0.75418967,-1.1703374,1.3354387,-4.443471,1.865201
15,-0.05358761,-2.0057747,2.7482035,-0.40330222,-0.9668439,-0.1462476,-0.19988549,-0.8129356,-0.03605175,-0.15991473,0.37491938,-1.4504473,2.852918,0.38326088,0.5743684
16,-0.04930249,-0.37431088,3.5500054,1.4837363,-1.489749,-0.15891556,-0.21777447,-0.5874629,0.1287052,0.3906809,1.005992,1.0251223,3.1350167,1.5153584,-0.75494146
17,0.0052378383,3.1893911,1.9154577,3.6594427,-0.87294906,-0.11666472,-1.6753408,-1.7540938,-0.57026744,-0.6569104,-0.028168673,4.055777,2.6317127,4.07225,-0.29511863
18,-0.025744626,-1.7136257,0.4938066,-1.0422138,2.2583857,-0.06443295,-0.068219155,-2.2972498,-1.1777089,-1.4911526,0.29117265,-1.8908424,0.9061074,-2.551266,1.6788597
19,-0.1136971,2.9864292,3.8063097,2.424791,1.3923438,-0.10291815,-0.3959485,-0.48513627,-0.12852824,-0.29123032,-0.64646006,2.4165564,4.0006266,2.4665337,2.040849
20,-0.15166035,1.2820044,5.0496945,1.0867825,-4.191873,-0.16382053,-0.8415369,0.33078623,0.94244474,1.0267757,-0.23129305,0.88215417,6.434391,1.3452727,-3.7130501
21,-0.08935725,-1.4419385,3.9621859,1.0162927,-1.8771057,-0.1791901,-0.150237,-0.26957726,0.22408158,0.6288873,1.5442328,-1.3037033,3.240447,0.81176364,-2.2961006
22,-0.23061088,0.18910442,5.865778,-2.1183136,-0.01653105,-0.1145748,0.40593132,1.141418,0.88563854,0.8651937,-0.084908664,0.036722243,9.66552,-1.0269017,0.0707929
23,-0.30972996,-3.1438923,5.5405493,-2.767107,0.56511354,-0.17393488,0.8169271,0.7199497,0.74640495,1.4057835,-0.040918976,-3.988704,6.2218266,-3.019273,-1.8382378
24,-0.053865626,-2.673262,0.20009631,-1.0784192,-0.4394459,-0.071721554,-0.63687336,-2.5488784,-0.6542587,-1.315453,-0.8217221,-2.8552794,-0.16382003,-2.552958,-0.6446773
25,-0.017842345,2.2221673,1.9733381,0.60975134,5.373706,-0.046070375,0.46438435,-1.7479663,-1.0927441,-0.8799266,-0.5550014,2.2471967,2.2475293,1.256012,4.579779
26,-0.5055977,1.7305841,8.637785,2.3054929,0.21640599,-0.15053625,0.24973646,2.8865576,0.8331191,1.7442399,0.34508616,2.1452503,12.957069,2.1859412,-0.13042077
27,-0.12785232,-3.606533,2.233786,-1.9377882,-0.26137328,-0.13431853,-0.104139164,-1.1589642,-0.052177787,-0.44606113,-0.25841805,-4.049724,1.6233668,-3.1543999,1.3142579
28,-0.30444393,2.5260563,6.186529,1.7104573,0.07088989,-0.115138516,-0.2819741,1.2914853,0.58688074,0.58984745,0.64467645,3.4135413,8.1441555,1.7426459,2.6956527
29,0.051373586,2.5815587,1.3461139,1.4651408,-0.7438336,-0.09977562,-1.0870849,-1.9931424,-0.4310048,-0.86840874,-0.77474344,2.4131002,1.4932278,1.7611988,-0.7089857
30,-0.00059101917,-1.5300683,0.29206324,-0.91875243,0.5028981,-0.052654758,-0.5852735,-2.4459414,-0.7726819,-1.5575259,-1.1904962,-1.3938067,0.44159377,-0.78528064,0.41728073
31,0.018702498,-0.38675687,1.8708143,-1.7995462,-0.1743542,-0.07842235,-0.28735203,-1.3224545,-0.021721601,-0.7846368,-1.2536975,0.52595353,0.8358624,-1.5377587,-0.08454777
32,-0.11833887,-3.0281115,2.1907501,-4.490038,1.6993587,-0.0964792,0.34702268,-1.0945783,-0.22157091,-0.7273874,0.30563903,-2.2059584,2.551266,-4.9070225,1.6765952
33,-0.094198674,-0.5740278,4.8789644,-0.45009246,-1.8211076,-0.16600254,0.08656654,0.23462057,0.69663876,1.0088063,0.43579403,-0.52590835,4.960128,-0.5146454,-0.044944882
34,0.028192693,2.4110215,1.7001088,-0.058054537,-1.142781,-0.08292563,-0.98964036,-1.6754124,-0.06297988,-0.8510488,0.4292301,1.7279313,1.7340314,0.42244053,-1.1316197
35,-0.116895154,0.6690384,5.1891475,2.8554592,-5.3190174,-0.22501764,-0.7730861,0.1169405,0.74691576,1.7370926,-0.3906049,1.0684518,5.83021,3.2844918,-4.730064
36,-0.113200426,-2.0824647,3.4439726,0.6849073,-0.6317447,-0.16692974,0.003798455,-0.5109558,-0.062128246,0.33388352,-1.388238,-0.08806205,3.7233846,0.11059511,-0.20199311
37,-0.5425224,-2.3355753,8.124706,-1.1908573,4.0426235,-0.1776912,1.9233088,2.1076818,0.6840951,2.676126,-0.8891822,-0.10255551,7.345467,-4.5765977,5.6942315
38,0.005340323,1.5719799,0.13398051,-2.712043,-1.2033637,-0.01834802,-1.3402519,-2.6176233,-0.2884255,-1.4904301,-1.5995972,2.1639833,0.34993106,-2.5607126,-1.5963175
39,-0.0031392965,0.1908541,1.3163197,0.8152244,-1.5840192,-0.09265651,-0.7493437,-1.7166431,-0.32473102,-0.67348653,0.24972521,0.47541398,1.9242587,0.74247336,-2.5394945
40,-0.038307883,-0.2560884,3.4858284,-1.1106126,-2.379203,-0.13691698,-0.3006629,-0.45994496,0.5154092,0.272323,-0.6627077,0.26272264,4.470088,-1.1834377,-1.4244845
41,-0.2293388,-1.7195828,5.364268,-0.65861905,0.6359101,-0.16919984,0.7266495,0.5018177,0.4528063,1.3441805,0.065610856,-1.9607346,6.0412316,0.53072417,-2.3687644
42,-0.395259,-2.9321623,6.770396,-1.1213129,1.1568323,-0.20167115,1.1660234,1.2585316,0.74581856,2.23138,0.06641203,-3.8228717,5.746833,-2.326322,0.31494898
43,-0.0510601,0.12106234,0.18616128,0.5557349,3.9598517,-0.03770142,-0.17541376,-2.6687708,-1.3194265,-1.5839876,1.7373961,0.63304996,0.023066714,0.7417117,3.6215765
44,-0.13172045,-1.5459423,3.8232346,-3.0001948,1.8126755,-0.10804241,0.6588179,-0.18384719,0.22608727,0.23730922,-0.07470463,-0.64909846,4.5817876,-3.078605,1.7703586
45,-0.03929802,-0.53302526,3.2948794,0.65888524,-1.4853525,-0.14784181,-0.23912685,-0.6567421,0.14230275,0.20102847,-0.064398855,-1.2870078,4.1399302,0.812683,0.93719506
46,-0.12255298,-0.19934723,4.9891253,2.3910418,-1.1389291,-0.18625411,0.14250737,0.101592064,0.2894799,1.2770125,-0.20620158,-0.9456115,5.565095,1.0292019,-3.90883
47,-0.2290468,-3.008177,5.765576,-2.3500936,-4.6652546,-0.23379844,-0.2274966,0.8279557,1.4673553,1.6620408,0.4885006,-3.7710195,3.7804356,-4.214264,-6.85974
48,0.0110521,0.11164279,0.3727131,-1.6540663,-0.10042614,-0.03180609,-0.7756016,-2.3314767,-0.5262486,-1.5080456,0.89601123,0.3707649,-0.21853799,-0.5396532,0.28378195
49,-0.29834008,-1.5406919,6.4801245,0.21519987,0.87483764,-0.19137345,1.0071045,1.0202131,0.58738595,2.0547805,0.8232318,-4.4260926,6.1328773,1.0637951,0.120551765
