,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_mean_5,latent_mean_6,latent_mean_7,latent_mean_8,latent_mean_9,latent_mean_10,latent_mean_11,latent_mean_12,latent_mean_13,latent_mean_14,latent_mean_15,latent_mean_16,latent_mean_17,latent_mean_18,latent_mean_19,latent_mean_20,latent_mean_21,latent_mean_22,latent_mean_23,latent_mean_24,latent_mean_25,latent_mean_26,latent_mean_27,latent_mean_28,latent_mean_29,latent_mean_30,latent_mean_31,latent_mean_32,latent_mean_33,latent_mean_34,latent_mean_35,latent_mean_36,latent_mean_37,latent_mean_38,latent_mean_39,latent_mean_40,latent_mean_41,latent_mean_42,latent_mean_43,latent_mean_44,latent_mean_45,latent_mean_46,latent_mean_47,latent_mean_48,latent_mean_49,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,latent_logvar_5,latent_logvar_6,latent_logvar_7,latent_logvar_8,latent_logvar_9,latent_logvar_10,latent_logvar_11,latent_logvar_12,latent_logvar_13,latent_logvar_14,latent_logvar_15,latent_logvar_16,latent_logvar_17,latent_logvar_18,latent_logvar_19,latent_logvar_20,latent_logvar_21,latent_logvar_22,latent_logvar_23,latent_logvar_24,latent_logvar_25,latent_logvar_26,latent_logvar_27,latent_logvar_28,latent_logvar_29,latent_logvar_30,latent_logvar_31,latent_logvar_32,latent_logvar_33,latent_logvar_34,latent_logvar_35,latent_logvar_36,latent_logvar_37,latent_logvar_38,latent_logvar_39,latent_logvar_40,latent_logvar_41,latent_logvar_42,latent_logvar_43,latent_logvar_44,latent_logvar_45,latent_logvar_46,latent_logvar_47,latent_logvar_48,latent_logvar_49,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,1.0235612,0.0014877925,0.0105281845,0.024596494,-0.02808885,0.0031630318,0.013089953,0.027510023,0.0018189168,0.004502907,-0.028520314,0.013821686,-0.018431064,-0.015655205,-0.014163611,0.013135485,-0.026827589,-0.014268383,0.019614324,-0.018492078,0.002130174,0.006625625,0.02051938,0.0006147409,-0.0017611617,-0.0009443043,-0.036353815,-0.004789332,0.011211632,-0.001932075,-0.003640607,-0.003514559,0.017978787,-0.0053499634,0.0069873696,0.00034485152,0.023134487,-0.0005138116,-0.008957543,0.03161446,-0.02621813,-0.9344084,0.50053966,0.011700952,0.027567884,-0.020173088,0.019703247,0.024929559,-0.00587165,0.010655045,-3.2039366,-0.0004747766,-0.0050174515,-0.03505028,0.012898267,0.026087862,0.0034068222,0.0041626617,-0.021640629,-0.019813262,0.01914963,-0.0043012844,-0.02337517,0.0029972824,0.040200908,-0.020989079,0.03755819,-0.030285742,-0.021171082,-0.011017738,0.0061436966,-0.0070130443,0.017521631,0.014735527,0.017604973,-0.014496279,0.006275099,-0.0012458591,0.04442837,-0.0068273223,0.013999241,0.027347518,0.026230805,-0.0028747562,-0.02234003,-0.01951611,-0.0023426916,0.0059215655,0.0059404476,0.023200322,-0.018145105,-1.6247238,-1.861191,0.024151396,-0.021387216,0.0408504,0.0017776715,0.018241532,0.0063736765,-0.024638625,0.8214544,2.319345,0.07310562,-1.5681437,-0.023448253,0.95764005,0.45791593,1.7544831,0.041517835,0.7255228,1.103564,-1.0297589,0.71973103,0.23996575,-0.8991248,0.8106287,-1.8817958,1.7187473,-0.78285396,-0.17959921,-0.30032092,-0.15219614,-0.2722268,-0.17326547,-0.062847555,-0.5710775,-1.5918964,0.15090483,-2.3489625,0.6779787,-0.32757515,0.11616971,1.0728476,-1.7848625,0.76675904,0.2642495,-0.7099799,0.16350353,0.7179777,-1.0289524,0.6440356,-0.5081955,0.24240732,-0.82796395,0.8436942,-1.873296,0.102679394,1.5655425,0.6781002,1.5169679
1,-0.20167057,0.0021261266,0.005906774,0.027947921,-0.022942044,0.01044885,0.029669087,0.008432118,-0.0034331912,-0.0086528845,-0.02530409,0.012296429,-0.016425984,-0.038726762,-0.017141117,0.01093285,-0.032750092,0.001199021,0.009075381,-0.014111792,0.0037156027,-0.0012460962,0.028361464,-0.00028508436,0.012039997,-0.0053516217,-0.020992795,-0.02229975,-0.011094192,-0.011332244,-0.0011628061,-0.01741955,0.015184804,-0.005663813,0.008607277,0.00098715,0.01220637,0.0012395028,-0.006772409,0.030788824,-0.019447695,-0.19046587,-0.043500915,0.00611951,0.0053266822,0.0015223711,0.008898597,0.014366978,-0.011492267,0.01431971,-2.462395,-0.017707566,-0.007371644,-0.025823196,0.015331325,0.019471288,-0.01455435,-0.012976661,-0.034842685,-0.032988787,0.014250262,-0.004834135,-0.004893466,-0.0007722331,0.01860504,-0.017409747,0.025329612,3.811007e-05,-0.030918475,-0.020807136,0.0061936583,-0.02187914,0.0045012063,-0.0074143247,0.035970453,0.0036606127,-0.0022125365,-0.008637732,0.035880186,-0.005443042,-0.013387911,0.03326024,0.026739908,0.019040382,-0.007463541,-0.0063714683,0.0034935907,0.012666648,0.009217039,0.018707769,-0.014134597,-0.90205,-1.3688078,0.010070355,-0.001992925,0.037501037,-0.017121805,0.014443435,-0.0017303191,-0.027906109,-0.20686348,0.32819116,0.63614833,2.224611,0.18131799,-1.4815236,0.16971046,0.2120325,-0.66082335,0.6799847,0.009088188,-0.5536371,0.9905826,0.112393215,0.14512491,0.8032051,1.0684341,1.16254,-0.84736484,0.93096477,-1.2201974,-0.8674495,-0.0019454751,-0.30817607,-0.6230339,1.5759594,-0.17677633,-0.9877007,-0.49103948,-0.73071456,0.6988699,0.29579172,-1.217869,2.5631096,0.8367553,-0.14870313,-1.1346686,0.51320034,-0.3207388,0.51927304,-0.07668498,-0.489289,0.75071496,1.0723656,-0.4247058,0.20269394,-1.2217991,-0.32762364,0.15264362,0.15950635
2,0.049594987,0.0050696824,-0.030263774,0.046254795,-0.018364849,0.0057019223,0.05330369,0.003541233,-0.014820821,-0.045603126,-0.03728966,0.028496137,-0.0032625236,-0.040633827,0.007353711,-0.0018626787,-0.040957622,0.0077296686,-0.006979771,-0.052599423,-0.022853961,0.024205714,0.038511194,-0.01204341,0.028150719,-0.010875824,-0.03619711,-0.01611365,-0.022293236,-0.046418652,-0.004550677,0.006660383,0.024555583,-0.03187736,-0.026070299,-0.004879857,0.025582463,0.030233998,-0.030368505,0.035255153,-0.0077469535,2.0781178,-0.24281836,0.047346763,0.034171242,-0.0051239086,-0.008975764,0.026301965,0.03465085,0.04000987,-2.6906943,0.021255538,0.013349235,-0.036372602,0.027948616,0.036360037,-0.01713858,0.003913103,-0.0028138384,-0.0058186837,0.012755437,-0.01131304,-0.040435385,0.035237536,0.008026663,-0.017442795,0.039283473,0.010596984,-0.013539354,-0.007108639,0.017335573,-0.017314227,0.014416582,0.012870314,0.023944821,-0.0010768743,0.017294772,-0.015789641,0.038737386,-0.008574299,-0.0067191906,0.025796913,0.0055164797,0.0148717705,0.040966183,-0.015154159,0.0032460762,0.024982015,0.014106316,0.023713868,-0.04955001,-0.602584,-1.4585129,-0.013010666,-0.016408138,0.05104159,0.024509339,0.019069342,-0.027927969,-0.036603346,0.12920952,0.19643292,-1.337784,0.45991555,0.01816625,-1.1867306,-0.5402144,-0.51856405,1.1648122,-1.2939045,1.2919782,-0.61732143,1.229392,-0.5904887,1.0375568,0.28857294,1.8793372,-0.07381705,0.98615414,-0.504821,-0.29891452,0.45848894,-0.05862453,-0.4769526,-2.4278302,1.5639182,-1.1606888,-0.34874406,0.65180767,-2.3818448,-0.82515883,-0.38893,-1.5274538,-0.08507119,-0.22469206,-0.8784453,0.74742055,-0.53757006,-0.9198466,1.0298387,-0.055585828,0.9713192,-0.24813157,0.60845536,0.5620377,-0.15063272,0.16372617,0.05246961,-1.4524623,-0.65760994
3,-1.0807762,0.0024143776,0.01724799,0.036039125,-0.009977812,-0.0070698247,0.03009054,0.01651696,-0.016598519,-0.024747858,-0.025733214,-2.2621825e-05,-0.025493111,-0.038168743,-0.023653308,-0.0024727564,-0.044432182,-0.010698935,0.000505019,-0.028314998,0.012881847,-0.0019410917,0.008473946,-0.013148257,0.019119123,-0.018665664,-0.013354508,-0.047885727,-0.019670442,-0.03872457,0.0034522125,-0.016367452,0.013168713,-0.005627667,0.016279018,-0.0042881123,0.013726391,0.017860487,-0.012583589,0.04597319,-0.020857368,0.33166432,0.96257174,0.022331133,0.0015714413,0.0063237934,0.014770521,0.00912113,-0.023890704,0.040136978,-1.9884226,-0.019532192,0.008285826,-0.0397527,0.029092787,0.012408767,0.010297105,-0.035188194,-0.019313814,-0.043614425,0.01893781,-0.0069304025,-0.026272658,0.013077195,0.023316309,-0.03867133,0.016782537,0.0031764791,-0.029536352,-0.027432611,0.013684364,-0.026477689,0.005919759,-0.009743528,0.032417912,0.027792115,-0.0017436314,-0.009003974,0.0472036,-0.021852195,-0.0012295581,0.018929679,0.01597088,0.025941756,-0.013302113,-0.034351125,-0.0033202684,0.009468458,0.007053449,0.024690567,-0.043461084,-0.92986536,-0.9493384,0.004580222,0.0019072352,0.045292944,-0.026517281,0.03578952,0.0068697343,-0.04545313,-0.8798373,1.1114397,-0.5542918,0.06972875,2.276584,1.0119028,0.83754134,-1.5261637,0.08236787,0.7148998,-1.0134146,0.24848333,0.017066818,-1.7359321,0.053204402,-1.0985739,1.6512012,-0.064627595,-0.7014643,-1.8847262,0.98918897,-1.7816556,1.8412229,-0.5821947,-0.5870405,0.17065161,-0.5268047,-0.55119777,0.51639533,-0.65308416,-0.26608306,0.33393615,1.4901046,0.3151109,0.21640764,-0.56410617,0.2690764,0.7466432,0.023897028,1.2526706,-1.5135523,0.58179975,-0.039720774,0.18264432,0.40901685,0.2428819,-0.052646928,-1.0287004,2.3644254,0.2718026
4,-0.64246315,-0.0055405656,0.014976078,0.049661607,-0.022937236,0.018668283,0.025158413,0.021682708,-0.0028847484,-0.026561793,-0.039292455,0.00998247,-0.03550099,-0.029975425,-0.029513985,0.022657981,-0.04024579,0.008702125,0.001859922,-0.008678135,-0.0062012244,0.0066008423,0.043264575,-0.03248795,-0.01078989,-0.0040754313,-0.010252719,-0.029988028,-0.008107601,0.020201273,-2.8987415e-05,-0.026461285,0.023913119,0.004531578,0.02026122,0.013951473,-0.00032415357,-0.0030094474,-0.011938252,0.05153671,-0.017312372,-0.6847093,-1.5479131,0.01579704,-0.010736087,0.019440118,0.0070095533,0.008960951,0.0015906785,0.025568932,-1.9945581,-0.022445165,-0.01532227,-0.021233562,0.0028439292,0.016265942,-0.019146454,-0.02411869,-0.03633803,-0.056358613,0.004855561,0.00012567407,-0.0047929306,-0.00073991413,0.001240015,-0.0072858324,0.039068393,-0.008122176,-0.044702884,-0.04215598,0.026200794,-0.036789577,0.0066230614,-0.014987627,0.03705947,0.014418718,-0.02116416,-0.023985602,-0.006740099,-0.013679256,0.004465703,0.018926397,0.027951911,0.008852519,-0.013526252,0.00139625,-0.007071237,0.005382442,0.027901325,0.023452535,0.0008291118,-1.5399702,-1.374275,0.022024011,-0.014782438,0.03230583,-0.012794851,0.020737987,0.005763202,-0.010551831,-1.3032658,-1.8190372,-0.45036715,-0.021924965,-0.97005117,0.3060081,-0.3006195,1.2302445,0.2257081,-0.78275585,0.34628034,0.49879575,-0.9722034,-0.31610736,2.1304674,0.14356476,-0.8208479,0.47984928,-0.849258,-1.2972776,-0.58502096,-0.5248176,-0.03809841,0.39201102,-0.66643465,-0.006502618,0.9382207,-1.0404376,-1.6193576,-0.2606603,0.012864221,-1.0394018,-2.1721616,-0.9810365,-2.450086,-0.081145935,-1.4940336,1.3903621,-2.1708443,0.19015373,-0.47384042,-1.1496979,-1.2886848,-1.9360986,0.91011906,-0.6125354,-0.7076135,-1.0027909,0.086740516,-0.7662816
5,-1.383676,0.0022214986,0.018378787,0.03417348,-0.0022393893,-0.017408695,0.024348395,0.01811358,-0.026924305,-0.022565233,-0.023703089,0.0020290837,-0.026109219,-0.031871717,-0.021771748,-0.0057428405,-0.03985345,-0.02614471,0.0007684976,-0.025740707,0.012613243,0.010398854,-0.0017246399,-0.014205207,0.012952214,-0.02533507,-0.0056099296,-0.06260197,-0.01861725,-0.03599672,0.007795823,-0.024697248,0.024057137,-0.0051796236,0.013994291,0.0033818034,0.012775653,0.008917569,-0.017010503,0.052775152,-0.02341957,-0.47842258,1.1304669,0.023457402,-0.008399701,0.00207853,0.0215985,0.0054537975,-0.03292279,0.03547528,-1.7533139,-0.028733132,0.006907638,-0.03298533,0.025274774,-0.00026714802,0.014376046,-0.032364678,-0.009304853,-0.05220315,0.027957024,-0.0073495004,-0.025381193,0.012980518,0.025185117,-0.04912714,0.020399798,0.013188378,-0.035074048,-0.0267317,0.01763218,-0.032337263,0.018016689,-0.012155574,0.025227638,0.026154522,-0.0038892934,-0.011511238,0.05304918,-0.027346293,0.0047972305,0.0074943993,0.019346995,0.02497688,-0.023633774,-0.03816352,0.00044828653,0.01470112,0.0085209245,0.022581685,-0.06054601,-0.5162982,-0.7840088,0.00032910937,0.00048363628,0.052826725,-0.025037332,0.03387486,0.017998476,-0.053591646,-0.94335485,0.8496794,1.1391437,-1.3993001,-0.5790257,-0.77798724,-1.3350033,0.9738644,-0.5104553,-0.05866818,-0.48470178,0.049743287,0.73635185,1.2463447,-2.019359,-0.056323286,1.6246455,-0.8377984,-1.7881968,-0.13108125,0.31478918,-0.03893618,2.3000762,-0.09081097,-1.49043,-0.46148786,0.7061721,0.6053895,-1.479138,1.3608533,0.9030755,0.03227794,-1.7854402,-0.25690055,0.96807,1.4504776,0.7584736,0.08187281,-1.5301721,-0.34122992,0.96539533,-1.3066376,1.4577832,-0.96002334,0.8257628,0.21430443,0.2959389,-0.5587824,-0.7223333,1.9852943
6,-0.55037063,0.0032346086,0.004830495,0.033893287,-0.02531139,0.008640273,0.03172303,-0.0013346141,-0.0064012194,-0.011064465,-0.023274671,0.0059824204,-0.017655486,-0.04436657,-0.022747278,0.0079492815,-0.034968283,9.98762e-05,0.0029463423,-0.013483876,-0.006000519,0.005389394,0.031214613,-0.006524139,0.012854377,-0.008480295,-0.012588913,-0.022950925,-0.014555321,-0.009113124,-0.0026668657,-0.011635616,0.014194243,-0.011601195,0.012170082,0.006537645,0.0065287193,-0.003772187,0.00015801704,0.028275467,-0.01770315,-0.2536592,-0.7268397,0.011092762,-0.0029918668,0.00684089,0.008521444,0.015637659,-0.010755999,0.02156725,-2.1617985,-0.018409433,-0.012862179,-0.010494712,0.017846588,0.016865065,-0.0232667,-0.018285528,-0.028957017,-0.03994154,0.013622837,-0.011959838,0.0015774621,0.0006740689,0.017300002,-0.023973826,0.028748095,0.006422364,-0.026696565,-0.030768085,0.010907524,-0.02192766,0.00854216,-0.016745504,0.031020477,0.0048059737,-0.006490658,-0.010515023,0.031878747,-0.0001362001,-0.011007974,0.028490623,0.018476607,0.025569446,-0.0058759227,-0.012567033,0.008317507,0.016945992,0.01506546,0.017619848,-0.011612115,-0.65675986,-1.2051259,0.0066512628,-0.0021491772,0.03658805,-0.01220281,0.016773477,-0.009813791,-0.022738623,-0.0847258,-0.8362014,-0.78643924,0.376834,-1.1203787,-0.060251072,-0.82937086,-0.84674615,0.36014396,1.2114112,0.34297097,0.2630307,0.84969383,0.20764771,-0.99075544,1.3121947,1.0840797,0.5720058,0.37636676,-1.1086273,-1.3743448,0.7633749,1.6989963,0.8025576,1.4013495,-0.20115127,-0.80432415,0.5301945,-0.91787356,0.025650041,1.359634,1.0710794,0.7052608,1.8987824,-0.68078536,-1.0019058,1.0319934,0.39676547,0.24511854,1.7165933,-1.6117867,-0.51741505,-0.3734659,-0.9225581,0.48584697,-0.64348334,-0.8901189,-1.2830126,0.47424188,1.0130825
7,-0.7231599,0.0046509784,0.004137325,0.033140887,-0.024807956,0.005191489,0.033138424,0.00031242706,-0.008002493,-0.010193789,-0.02517274,0.0027267765,-0.022442363,-0.041478,-0.022693813,0.009144241,-0.036826722,0.0028739865,0.005699982,-0.014541823,0.0007204274,0.0013732277,0.028378919,-0.0069729956,0.012669528,-0.008701308,-0.014959587,-0.02769941,-0.017005883,-0.014003998,0.0011290964,-0.016094506,0.0155284945,-0.004933067,0.015871366,0.0027990977,0.008068356,0.0016035233,-0.00034301542,0.03553054,-0.02280263,-0.4091816,-0.20827934,0.0100591555,-0.0038898014,0.008285185,0.010172907,0.015197477,-0.016362341,0.02375073,-2.0698833,-0.022412661,-0.009115696,-0.016252097,0.018751092,0.013086258,-0.016062578,-0.02081712,-0.035981163,-0.04526762,0.01624434,-0.0094877975,-0.003619615,-0.0028725397,0.018809509,-0.024981301,0.024370499,0.003971098,-0.027305009,-0.02744015,0.011241634,-0.025476154,0.004914501,-0.015716579,0.028452428,0.009674191,-0.003072489,-0.014895504,0.03326635,-0.01037849,-0.008429975,0.034302205,0.025740726,0.024869911,-0.011561842,-0.016063912,0.001261373,0.014218764,0.011287388,0.014365997,-0.020125736,-0.9874825,-1.1025867,0.011968064,0.00018758886,0.03784739,-0.021550225,0.02111803,-0.000107072294,-0.029699842,-0.26747924,-0.2460174,1.1213095,0.010846285,-0.060911294,0.5152763,0.11337163,0.38319147,-0.7681848,-0.22977571,-0.49225718,1.3554175,0.49857935,-0.09019758,2.4193318,-0.70138013,0.23450965,-1.1650398,0.39172906,0.35359135,-0.016341794,0.85558647,1.676291,-0.3330504,-1.0309906,-0.26123935,-0.41174236,0.67502373,1.3330942,0.34044665,-0.8195536,-1.2232664,-0.7092796,-0.08482201,0.15219773,0.49147257,-1.060383,-1.1187669,0.46226814,1.0794592,1.4488243,-1.316958,0.32398078,0.6408447,-0.49206984,-0.6814087,0.79049164,0.6622436,-1.8952118,1.905181
8,-1.0686886,-0.005738749,0.014159931,0.04280914,-0.026910739,0.008721182,0.023391154,-0.00035912264,-0.006458516,-0.022976287,-0.031698465,0.0023476258,-0.02666182,-0.0371695,-0.035768006,0.023197707,-0.036132496,-0.00194383,-0.011034796,-0.0124097215,-0.020485165,0.017998658,0.033794045,-0.021705456,0.0037800507,-0.013071482,0.0014915783,-0.027446471,-0.024149885,0.0050959294,-0.007353626,-0.032192223,0.013344978,0.0013213968,0.017963449,0.017835824,-0.0016763343,-0.004817155,-0.00318117,0.043672252,-0.019212477,-0.3414738,-1.8130274,0.012192657,-0.007833783,0.018283155,0.0035781285,0.012783749,-0.010374004,0.030931478,-1.7997079,-0.029918913,-0.014399271,-0.010795819,0.005566281,0.013009685,-0.03215129,-0.03843326,-0.043218154,-0.05231387,0.0075424444,-0.0036478667,0.000584716,-0.004471288,0.016421633,-0.008074046,0.038398042,-0.0004905071,-0.034095414,-0.042208645,0.030421427,-0.049082953,0.012272153,-0.017363336,0.030376725,0.0026836423,-0.013654288,-0.019980488,0.0095759,0.0034731752,-0.0068687648,0.026686922,0.023196619,0.016155139,0.00015813485,-0.000814097,-0.0014377185,0.009394532,0.031363644,0.013383761,-0.0012808787,-1.2335411,-1.0822791,0.008844225,-0.0046041855,0.047715694,-0.008898932,0.022147406,-0.0054996912,-0.016329262,-0.9860885,0.15436499,0.29141593,-0.97381175,0.45177442,0.23831917,-0.9768908,0.3711097,-0.17846085,2.0708306,0.65900767,0.32515654,0.52402073,0.8847713,-0.26832438,1.1240622,0.5317251,-0.02340393,0.7187084,-0.74663347,0.34006628,0.14236897,-0.771736,0.14774677,0.02726833,-1.0661556,-0.8341917,-1.9063233,1.3837698,-1.3222888,-0.567142,0.22749436,0.8844287,0.5276387,-1.4508241,-0.7300911,-0.0037229254,0.86421883,0.5439391,2.2308428,0.80529493,-1.0552335,-2.1967123,0.33253834,-1.4521321,-2.2444797,-0.12669586,0.94351035,-0.12760933,-0.3471414
9,-0.13570616,0.0035009296,0.011956574,0.029288147,-0.031696893,0.010841501,0.028618023,0.002288661,-0.000732135,-0.009258648,-0.027006231,0.009675353,-0.023605028,-0.04204413,-0.0241187,0.010918312,-0.032879043,-0.0025005424,0.00636838,-0.016145188,-0.0026804004,0.0048746583,0.020181272,-0.0021424415,0.0068512536,-0.00225819,-0.0143949855,-0.015994504,-0.014660287,-0.0031291535,-0.008175574,-0.018279886,0.0067646224,-0.010123182,0.011467978,0.008122996,0.014243108,0.00055540446,-0.01174422,0.023271635,-0.0151022095,-0.0012053847,-0.7413764,0.006018227,0.0010285643,0.002532978,0.007880108,0.008398682,-0.009637304,0.01187427,-2.514898,-0.01967621,-0.009445682,-0.01761383,0.0153332325,0.017048825,-0.027839618,-0.013986975,-0.03505144,-0.03309229,0.008861571,-0.0082629025,-0.0025178688,0.000150359,0.011585349,-0.02184357,0.02770272,0.0024887652,-0.031467225,-0.031109449,0.010380189,-0.024863657,0.004429091,-0.007890714,0.03665416,0.0018193023,-0.007958619,-0.012684196,0.037880063,0.0029369649,-0.018516842,0.0358131,0.025709685,0.028190188,-0.01072213,0.00219486,0.0076370775,0.0104432665,0.010962531,0.020809159,0.0017970297,-1.3419541,-1.3276386,0.007416293,-0.0067002266,0.037088964,-0.011099298,0.019785212,-0.0074808546,-0.020833636,-0.04699046,0.071480215,-1.2188361,-0.79603535,-0.006758442,0.24717624,2.8134253,-1.6475395,0.48146835,-0.9459022,-0.22648117,-0.31488946,0.11193218,0.27411953,0.18391317,-0.123556145,0.34723452,-0.9699136,-0.55616546,-0.5716183,0.6342823,-0.91973364,-0.33051407,-0.10324968,0.6109731,0.8926827,-0.6870521,-1.4747422,0.23551713,1.351646,-0.27985755,-0.42955485,0.95330155,-0.8116591,0.119705565,0.4436875,-0.22092001,-0.93508667,-0.73488826,0.8816686,0.7068647,-0.5987675,-1.1841443,0.13349304,0.33060622,0.43559346,2.02768,0.36310264,0.9223581,0.2262469
