,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_mean_5,latent_mean_6,latent_mean_7,latent_mean_8,latent_mean_9,latent_mean_10,latent_mean_11,latent_mean_12,latent_mean_13,latent_mean_14,latent_mean_15,latent_mean_16,latent_mean_17,latent_mean_18,latent_mean_19,latent_mean_20,latent_mean_21,latent_mean_22,latent_mean_23,latent_mean_24,latent_mean_25,latent_mean_26,latent_mean_27,latent_mean_28,latent_mean_29,latent_mean_30,latent_mean_31,latent_mean_32,latent_mean_33,latent_mean_34,latent_mean_35,latent_mean_36,latent_mean_37,latent_mean_38,latent_mean_39,latent_mean_40,latent_mean_41,latent_mean_42,latent_mean_43,latent_mean_44,latent_mean_45,latent_mean_46,latent_mean_47,latent_mean_48,latent_mean_49,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,latent_logvar_5,latent_logvar_6,latent_logvar_7,latent_logvar_8,latent_logvar_9,latent_logvar_10,latent_logvar_11,latent_logvar_12,latent_logvar_13,latent_logvar_14,latent_logvar_15,latent_logvar_16,latent_logvar_17,latent_logvar_18,latent_logvar_19,latent_logvar_20,latent_logvar_21,latent_logvar_22,latent_logvar_23,latent_logvar_24,latent_logvar_25,latent_logvar_26,latent_logvar_27,latent_logvar_28,latent_logvar_29,latent_logvar_30,latent_logvar_31,latent_logvar_32,latent_logvar_33,latent_logvar_34,latent_logvar_35,latent_logvar_36,latent_logvar_37,latent_logvar_38,latent_logvar_39,latent_logvar_40,latent_logvar_41,latent_logvar_42,latent_logvar_43,latent_logvar_44,latent_logvar_45,latent_logvar_46,latent_logvar_47,latent_logvar_48,latent_logvar_49,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-0.07900536,-0.0020104619,0.01381374,0.027765907,-0.029357951,0.016623057,0.028958,0.011124145,0.0025506988,-0.014990589,-0.029265257,0.01756341,-0.01287034,-0.038460404,-0.021763738,0.013960909,-0.037120443,0.0035201274,0.0080964,-0.019775653,0.0060293153,-0.017870074,0.017376544,-0.0067144902,0.019675868,-0.004282944,-0.030808354,-0.012944681,-0.011745656,-0.021037301,-0.0059447065,-0.01685363,0.0013715522,-0.0074064033,0.012073584,0.0057438547,0.027165407,0.020704232,-0.017273558,0.033962417,-0.017015643,0.5180354,0.34020683,0.0034405512,0.01928168,-0.0005737925,0.0019698082,0.012334692,-0.0066290633,0.017112814,-2.6848226,-0.009190232,-0.008880068,-0.035681725,0.023710763,0.030775417,-0.01173587,-0.019467369,-0.03343773,-0.033354267,0.004873625,0.0021053771,-0.018932808,0.0036306353,0.018097563,-0.016264582,0.024860963,-0.011913354,-0.0377186,-0.020675072,0.010558542,-0.029593004,-0.0044205682,-0.0021803356,0.041933738,0.0095979115,0.0018187761,-0.0008900007,0.03277062,-0.0057538245,-0.014680498,0.031234505,0.023453202,0.013915811,0.007932246,-0.004153062,-0.00552918,0.014446687,0.004689377,0.023421204,-0.010272917,-1.7975266,-1.4643306,-0.00081625255,-0.00061015645,0.045097545,-0.015577653,0.01988735,-0.009128734,-0.02368766,-0.14258915,0.32449955,0.13536452,0.35397118,0.11053738,-0.71141386,1.4447274,0.59962004,-1.7398825,-0.100081585,-0.2839207,2.56523,-2.336603,-1.9727621,0.56731707,0.4789868,0.424414,1.3463165,-0.5900953,-0.3905237,0.41304055,0.65143555,-0.14106794,-0.4901652,-0.7527986,0.5167608,1.5359313,1.4864098,-1.2395552,-0.2486888,1.0115546,0.19995058,0.25438818,0.7874987,-1.2867645,-0.53663796,-2.5652544,1.1540952,-0.48738033,0.4697333,0.015957143,0.29615453,0.10346,1.4747441,-1.0192474,-1.1647962,0.44685087,-2.2158425,0.455357,-0.48836598
1,0.83449644,0.006856606,0.0138182305,0.0372146,-0.044277616,0.010540139,0.01694023,0.006902355,-0.005715714,-0.017775193,-0.036101498,0.011856427,-0.02936493,-0.03958106,-0.0259347,0.009145547,-0.03517957,-0.010257294,0.013284885,-0.017911082,-0.011295268,0.0210966,0.002338238,0.005608735,-0.00467756,0.0024891582,-0.010732656,-0.0037202854,-0.018865258,0.022452531,-0.014772704,-0.021681009,0.014676845,-0.016911542,0.011540534,0.012682011,0.018484872,-0.008199349,-0.025650743,0.016120069,-0.013161891,-0.19629562,-1.3725632,0.008718684,-0.008498721,-0.0021035396,0.008865252,0.007746878,-7.3104165e-05,0.0024730735,-3.1434157,-0.011433926,-0.007556301,-0.008913949,0.012649301,0.009354435,-0.02993195,-0.0028321967,-0.021068623,-0.02243894,0.011973355,-0.017538834,-0.0062443386,0.0040174415,0.009792431,-0.025893126,0.041733984,0.0074088005,-0.03374611,-0.036096726,0.009242496,-0.03692142,0.016446922,0.0023519264,0.03419131,-0.007894237,-0.005243594,-0.02550694,0.03796662,0.018211555,-0.026354104,0.034342483,0.03325515,0.023865255,-0.029741023,0.010304724,0.016809862,0.009147609,0.0068078297,0.034175124,0.02151501,-1.4578938,-1.7507646,0.020652287,-0.021497482,0.020859528,-0.0059100175,0.014175481,0.010028335,-0.014509321,0.7159897,0.87306684,1.492131,0.004998561,-0.90726274,1.5530866,0.36681917,1.8390148,0.91956276,-1.5003318,-1.4923279,0.27516535,-0.37699938,0.56574315,-1.023165,-2.0774682,1.8884043,-0.26397684,1.2667892,1.6426245,0.96736795,0.6207571,0.32823998,0.51654977,-0.85079026,-1.0479176,-0.13397026,0.29799333,0.19297858,0.14372535,1.0860088,-0.07088053,-0.7380428,0.103209324,0.21993907,0.011272772,0.5168861,-0.2853343,-0.68832237,-1.0110948,0.80885434,0.38828468,-1.1958199,0.15684201,0.7574316,0.24444488,1.728303,0.435628,0.982674,0.8236262
2,0.69149315,0.00077528984,0.01410151,0.031690292,-0.039415196,0.006597029,0.018602451,-0.0127950655,-0.016177163,-0.018828968,-0.032403983,0.005958638,-0.042551357,-0.051555365,-0.021009572,0.00685737,-0.034868464,-0.014996603,0.0022625774,-0.0042152256,-0.022785397,0.029730212,9.489432e-05,0.0026168283,0.0051407083,-0.012244771,-0.0052740583,-0.006235853,-0.026222778,0.022862313,-0.015101802,-0.016970344,-0.00309827,-0.014427705,0.013082625,0.013640678,0.013746581,-0.018525396,-0.01320448,0.0065264627,-0.019275807,-0.5746326,-1.860634,0.0100020785,-0.017120343,-0.000109707005,0.012639688,0.015068586,0.0014167696,-0.0019402765,-2.961353,-0.027607856,0.0024258564,0.00071834587,0.020593116,-0.0028959988,-0.042025533,0.0027420998,-0.019404434,-0.03390806,0.016811414,-0.03752663,0.009352918,0.0005532983,-0.0034003295,-0.039632104,0.043283165,0.023045827,-0.0282568,-0.049051598,0.0068786023,-0.03974516,0.018883511,-0.013532484,0.037190385,-0.013406166,-0.009785315,-0.029845057,0.04067241,0.018646527,-0.025429826,0.03523396,0.023392275,0.013985312,-0.026105605,0.0030475007,0.021576207,0.010281764,0.005432079,0.032296993,0.023993818,-1.2915719,-1.8020092,0.019915706,-0.036786042,0.022332702,-0.012054389,0.017206091,0.004900284,-0.0045434926,0.8190631,0.9096462,0.38721064,-0.8685658,-1.9414294,0.9682941,-0.25860274,-0.4225337,0.8766354,-0.12602536,0.21568972,1.6706239,-1.303841,1.5661364,-0.93985325,0.05817274,-0.44887954,-0.2308729,0.5565541,-0.5915773,-1.2607511,0.05087038,-1.005431,0.45377663,1.4366362,-1.4344237,-0.25304782,-0.367319,-0.37668517,-1.1608486,-1.1471622,-0.034280553,0.24334179,-0.47635856,-0.39488274,-0.28157732,-0.04023644,0.4031971,-0.33394513,-0.0699397,1.11403,-0.55533606,-1.1686102,-0.23390923,-0.82730854,1.2365389,-0.39852414,0.6302529,0.89405435,-1.2569174
3,0.40367967,-0.03251294,0.0015828754,-0.012595101,-0.0039674267,-0.019630894,-0.018931303,-0.02544618,-0.019939262,-0.01746632,-0.02117255,0.008591021,-0.042470504,-0.027103264,0.016321149,0.014806591,-0.016766204,-0.015942972,-0.00023218058,0.018426511,-0.006647952,0.010164711,0.013802221,-0.04428331,0.029814266,-0.052630696,-0.048745926,-0.007040743,-0.002799733,-0.022040166,0.0013658302,0.04022363,-0.028113525,0.033010945,0.002008997,-0.029509896,0.020864429,-0.031849172,0.023991065,0.016170263,-0.067454204,-3.251009,0.8068539,0.008469747,0.02563749,-0.01717312,0.025674962,0.076430604,0.012917507,0.0022898386,-2.5754697,-0.023911616,0.054870486,-0.024775093,0.037342682,-0.0008126376,0.004974183,0.026884373,-0.015297519,-0.048502043,0.059676398,-0.05996661,-0.006007824,-0.006717204,0.029043838,-0.057598673,0.053420685,0.0039337417,-0.01185776,-0.045599304,-0.0073605254,-0.040343825,0.033393674,-0.02990411,-0.020390239,-0.021261936,0.0039050654,-0.010960011,0.021342538,-0.046024565,0.026162904,-0.006129671,0.008268828,-0.08427365,0.0050562546,-0.08758455,0.004825745,0.011626916,-0.017282322,0.017171595,-0.05203014,-1.7857144,-1.916735,0.028582184,-0.048676178,0.026525147,0.0013475439,0.03324826,0.00659635,0.0019456204,0.45032132,-0.50118023,1.4470763,0.11937527,-0.102526225,1.9406402,0.49509278,-0.41056898,-0.017265435,2.00968,1.0792749,-0.421406,-2.156361,0.0641747,0.9764858,-0.9261893,0.69654524,-0.068782024,0.596675,-1.5991871,0.124398105,-0.662414,-0.04870686,0.08324185,-0.060944006,-1.9679178,0.61566865,0.1407108,0.31308317,0.8659926,0.17812505,-0.72267973,-0.3263975,-0.6448831,-0.0012281162,0.91233206,1.1830823,-0.860139,0.33225006,1.215145,0.14091124,-3.013731,1.1187041,0.1625256,-0.14087482,-0.9377313,0.15545565,-1.1219069,0.10614599,0.7699718
4,-0.9482631,0.0030102548,0.008508281,0.03357679,-0.0073041776,-0.009818308,0.026350755,0.01930102,-0.01487176,-0.016548341,-0.023921048,0.0017065108,-0.027860668,-0.03209226,-0.017437603,-2.4272129e-05,-0.039328974,-0.012407063,0.008754961,-0.023129001,0.014002489,0.0044410056,0.012603814,-0.011794596,0.014090814,-0.01644237,-0.014894923,-0.049622446,-0.013905074,-0.02529896,0.009260489,-0.013340926,0.029154722,-0.0005778307,0.011348505,-0.0020528943,0.010865165,0.005008974,-0.0059249937,0.048234604,-0.030040609,-0.7479832,1.0175635,0.019260736,-0.005213773,0.0011687349,0.020659689,0.0110999,-0.027434329,0.031483885,-1.9755416,-0.021582047,0.004607677,-0.029933577,0.025284808,0.0035871025,0.010405781,-0.025023868,-0.022810973,-0.044334684,0.02456433,-0.007860223,-0.01802225,0.006807331,0.02645483,-0.039771937,0.02126727,0.0028534385,-0.029171418,-0.01952932,0.01240556,-0.025327351,0.010418925,-0.007379835,0.020688,0.020695046,0.002618691,-0.012502713,0.047111988,-0.030936474,0.0041150395,0.016057383,0.02376418,0.02035774,-0.024514094,-0.033483822,-0.002566347,0.013361657,0.009114464,0.02245466,-0.05002384,-0.6404551,-0.9931865,0.012305444,-0.0014786101,0.038272705,-0.024936104,0.030758215,0.015070978,-0.047204655,-1.0208744,-0.13182043,-0.6003718,-0.1372554,0.24438979,-0.2611973,-0.9203491,1.4748975,-0.6781174,0.7248114,0.61234367,-0.3588516,0.15634087,-0.6607667,0.94232255,0.65476805,-0.4569392,0.9908415,0.46610853,0.08061565,0.53068584,-0.771851,-0.9354911,-0.74822307,0.18985939,-0.5779451,-0.7571332,0.056730144,1.0018002,0.06721739,1.925477,-1.2156037,-1.2396622,0.85972244,-0.3075706,0.2195607,0.8625474,1.481104,-0.51069975,2.2303612,1.528463,-0.51960063,1.4201223,1.6043718,-0.30640006,0.25588492,-0.11711827,-1.0365617,-1.8111739,-1.4828662
5,0.7063918,0.0008535811,0.016764011,0.029437345,-0.029054668,0.010343712,0.023575928,0.02301353,-9.607617e-05,0.00036574854,-0.035502575,0.0115782395,-0.023446567,-0.023413109,-0.015325908,0.016681569,-0.03347364,-0.010745142,0.016980276,-0.015926447,0.004940815,-0.0017671037,0.018749598,0.011591353,0.0038876901,-0.0018100282,-0.033569142,-0.011317588,0.00093796477,-0.009967463,-0.004428226,-0.026960786,0.004753674,-0.0039863153,0.009158,0.0043144897,0.025239367,0.015713956,-0.018332215,0.036034703,-0.02155774,0.21507311,0.8036407,0.0071868394,0.023383489,-0.013707794,0.012457503,0.011612705,-0.015643466,0.010975031,-3.106499,-0.01148574,-0.0015796521,-0.049789596,0.019849064,0.03251233,0.0006889594,-0.010687284,-0.031200567,-0.032415196,0.008609222,0.004474221,-0.018340755,-0.0015247185,0.027691588,-0.009209083,0.028568864,-0.029867206,-0.028238412,-0.014623849,0.002502934,-0.027232846,0.002174099,0.004964887,0.046233542,-0.0007342063,0.00507747,-0.010455737,0.043650318,-6.829365e-05,-0.0043511307,0.052230332,0.033947065,0.0066264905,-0.015257299,-0.0040792516,-0.011708406,0.0069746473,-0.002381208,0.01572391,-0.0064504165,-2.2603278,-1.7649261,0.022933535,-0.016179405,0.055011578,-0.021871941,0.02271169,0.013287134,-0.03278795,1.2260787,1.6194282,0.030307774,-0.48752674,-0.012145989,-0.8985256,1.916193,-0.26079208,0.22515903,-0.60247225,0.48657295,0.90537155,-0.5786675,0.36570138,-0.17995958,2.6977725,0.8184869,-0.82692105,1.0725172,-0.8072872,0.30237556,1.0570264,0.38246742,0.10185505,2.2835133,2.4783554,-0.67577744,-0.16756892,1.08088,0.84121823,0.37473658,-1.0552971,1.246177,0.11543995,-1.4937831,-0.5841675,-0.8318696,0.36160266,-0.46803662,0.74557537,1.3817555,-0.07687652,0.83571357,-0.23702313,-0.20064335,-1.6658868,-0.117557645,1.4706458,-0.77691674,-0.3522346
6,0.7408798,5.1402953e-05,-0.041664813,0.029130917,-0.0158566,-0.009205855,0.0160883,-0.0033958247,-0.021627855,-0.03260896,-0.039677262,0.0181967,-0.015716817,-0.020490825,0.017193727,0.0008078851,-0.028913364,-0.001929986,0.009014633,-0.027853841,-0.02568738,0.038291577,0.03996264,-0.01818746,0.01736155,-0.021684758,-0.050279416,-0.004962804,-0.0042002886,-0.029126596,0.008645497,0.018536307,0.032325864,-0.009187511,-0.03033342,-0.016372608,0.02597486,-0.00062907394,-0.015221698,0.0277868,-0.029941939,-0.35483766,0.3431628,0.03645179,0.03208084,-0.015415944,0.0045907395,0.058641333,0.029431902,0.02282625,-2.9383786,0.009366281,0.031202966,-0.03847771,0.021178866,0.020115325,-0.007251127,0.030361725,-0.008739915,-0.009391626,0.03750714,-0.02636992,-0.032012958,0.018559437,0.014371516,-0.028241841,0.05022683,0.004737856,-0.009429109,0.00033597462,0.0046407627,-0.028658474,0.032198414,0.0025068556,-0.014939267,-0.020650756,0.020710614,-0.023284558,0.03857678,-0.023027694,0.0103709595,0.02218774,0.020489573,-0.030140946,0.0043911915,-0.043905262,0.0053401017,0.023020886,-0.004178994,0.005633116,-0.060903855,-0.8887325,-1.7581178,0.0224211,-0.035186205,0.044013064,0.026507745,0.015204094,-0.0014376631,-0.039376102,0.62251097,-0.20466822,-0.90276617,0.20750843,-2.4605975,-1.4483124,1.4210666,0.82059574,-0.869008,-0.42759982,-0.36093375,2.7020211,-1.0763006,1.0466704,-0.12606391,1.0291858,1.0674058,-1.3410605,-0.2070997,0.8230442,-0.27778962,0.410701,-0.11602129,-0.6676017,-0.27024502,-0.2791072,-1.5253949,-0.14345773,0.43063676,-0.21773295,-0.1711837,-0.41038594,0.3361576,-0.045323037,0.49699607,0.15841123,-0.058922917,0.77931005,0.728511,0.26390004,1.5840533,0.23307467,0.27490634,0.61749315,-1.0382731,-0.9024398,-0.79057187,0.09920795,0.4483517,1.9801317
7,0.5763441,0.0015029161,-0.004615646,0.030311247,-0.016845925,0.0027053705,0.02128264,0.022555314,-0.0072842753,-0.012941618,-0.029292228,0.022058511,-0.008553263,-0.02605807,-0.0044849655,0.0098664835,-0.032849252,-0.003637834,0.014859142,-0.023687162,0.0040021837,0.0063786446,0.026635878,-0.0006592879,0.011383003,-0.004593839,-0.031737365,-0.0106927175,-0.0027079189,-0.010418003,-0.0008206675,-0.004383618,0.029877689,-0.008380565,0.0025626225,-0.0033847997,0.019291673,0.00027632155,-0.009875057,0.0340323,-0.024816709,-0.2906313,0.5549884,0.014314664,0.022413239,-0.011590359,0.014234562,0.023324043,-1.5916536e-05,0.016514655,-2.9240236,0.0040216837,-0.003059655,-0.031571455,0.014947246,0.019529946,0.005721506,0.0022687532,-0.017300423,-0.02036595,0.030621257,-0.0048561604,-0.016494423,0.009744836,0.038800288,-0.018740669,0.03179266,-0.012114734,-0.024477478,-0.009616469,0.0067187985,-0.016170096,0.015423533,0.003832289,0.024491355,-0.0023707645,0.011305856,-0.0030620946,0.032511063,-0.00732042,-0.0075024804,0.023363309,0.027729934,0.003570931,-0.008470724,-0.013868771,0.0005558212,0.0097981915,0.007098272,0.025733382,-0.027072962,-0.41925323,-1.7453111,0.020063749,-0.013139775,0.030095153,-0.0041829767,0.015639307,0.008858436,-0.02614168,0.39506406,-0.06736476,0.34613666,-0.09114402,-0.11739849,1.0317835,0.52343035,0.88144433,0.28917342,-0.49193987,-0.29431424,-0.3258387,-1.1961875,-0.3532983,0.57739246,0.7804096,0.42650875,0.5666231,-0.4001213,0.20902443,-0.87839854,0.10978407,-0.49067998,0.16348884,-0.06615085,-0.9394974,1.3846413,-0.8819544,0.26812407,0.5748598,-0.4724447,0.29863793,-0.5464418,0.008227314,-0.19538896,0.12920523,-0.44624493,-0.9762199,0.7903707,0.12518418,-0.23409617,0.6433358,0.58426124,0.24097304,-1.6178248,2.1817236,-2.2428784,0.3180319,-1.1017045,0.948303
8,0.22069412,-0.0039669606,-0.004133478,0.05131276,-0.03868948,0.026840383,0.06895824,0.005137384,0.0028465241,-0.04216547,-0.032210015,0.05634369,-0.00070855115,-0.05374381,0.004261148,0.020718107,-0.04422357,0.014264852,-0.008472519,-0.06614345,-0.017542962,-0.017738488,0.008648094,-0.024144057,0.04660511,-0.007632439,-0.046139523,-0.008845194,-0.03480518,-0.042006288,-0.023411086,0.018333398,-0.0048482493,-0.03626934,-0.007146256,0.025699673,0.04332509,0.05971723,-0.03668267,0.05076433,-0.0139978705,1.9750291,-0.5208138,0.041901585,0.039127752,-0.014177617,-0.020295303,0.006549678,0.051822025,0.039816584,-2.8602467,0.043888118,-0.01723966,-0.0059054773,0.050341927,0.04496191,-0.01750717,-0.008868929,0.0018775463,-0.02962292,-0.008635251,-0.002606452,-0.052149806,0.03931605,0.012291597,-0.020537946,0.054827623,-0.0074608456,-0.019926969,-0.029479377,0.038888033,-0.021861617,0.0019715736,0.03536224,0.04360856,0.0028139176,0.031692,-0.0059043095,0.026799532,-0.014230092,0.0051407926,0.0118865715,-0.010910016,0.019455828,0.0868813,0.008244003,-0.00772564,0.0431739,0.030168073,0.064492226,-0.03995427,-2.1599746,-1.6172147,-0.052052893,-0.012071034,0.050517604,0.028902514,0.029418437,-0.045994814,0.0012171585,-0.3448758,-0.8422921,-1.0512217,-0.8470023,-0.091693126,-1.0464708,0.3154769,-1.0588024,-0.24415193,-0.34088147,-0.03261754,1.2833438,-1.0167158,1.2243729,0.027042069,0.36338937,0.37239116,-0.5358789,-0.4933917,1.4861484,0.77404225,-0.12689885,0.85055685,-0.32725638,-1.0348799,0.17360827,-1.0901678,-0.4816231,0.38093784,-1.2382213,-0.06767903,1.7420429,0.13906765,1.18437,0.27263197,-0.33813757,0.64335316,-1.5026675,-0.11676039,-0.019077547,0.016732857,2.0324175,-0.9787659,0.36435893,-1.162452,1.4028481,0.23553886,-0.7371978,-0.20278133,0.09702749
9,-0.307761,-0.0066958386,0.019606011,0.03477089,-0.011464289,0.005554563,0.04651825,0.034609426,-0.007134351,-0.029769933,-0.031680886,0.01938797,-0.013407434,-0.043481745,-0.012850115,0.006073416,-0.046660576,-0.00013858755,0.00081786886,-0.044036318,0.015248963,-0.012406233,0.011887848,-0.011609242,0.02867717,-0.01204355,-0.025728682,-0.033423733,-0.019151548,-0.039913617,-0.010599315,-0.004863577,0.010234425,-0.009972828,0.010060394,-0.008862775,0.019097866,0.030116111,-0.014443116,0.049543045,-0.023094013,1.1223556,1.16273,0.029173767,0.02798687,-0.0011370485,0.0073390706,0.0064220317,-0.0005711472,0.037926875,-2.5725145,0.0032115683,0.008459482,-0.04931317,0.034396566,0.03520954,0.0110856,-0.029718518,-0.013913449,-0.022260234,0.011222834,-0.0024197348,-0.031356394,0.021545619,0.037002176,-0.020125227,0.023921592,-0.0089894915,-0.02637182,-0.023131322,0.006939254,-0.01682867,0.0014609932,0.010323945,0.049528904,0.022223402,0.008813031,5.2962452e-05,0.0383081,-0.02295071,-0.0046000085,0.01668733,0.015038199,0.014916623,0.020745445,-0.023016915,-0.010987551,0.0075424463,0.014606183,0.04324031,-0.038582414,-1.0322529,-1.484631,-0.0032938006,-0.006165018,0.036171794,-0.015851025,0.030157862,-0.0010332568,-0.025115862,-0.17580736,-0.28018725,-3.06503,-0.69488287,0.298407,1.4850204,0.46607238,-0.423033,-0.05036318,-0.8372212,1.4967558,2.5590959,-1.2910317,-0.1596713,0.21405457,0.1094979,1.0292965,-0.2441523,-0.5504385,-0.07636702,-1.2088128,0.045268413,-1.4620147,1.0509303,-0.39424822,1.198473,0.27461398,-1.3311926,-0.97039175,-0.45994514,1.8369753,1.1182123,-2.625091,-0.47089815,-1.4547533,-0.50924706,-1.1863226,-2.7550619,-2.2417402,0.5488897,0.7718774,1.0712101,1.1538179,0.70945895,0.15832064,0.19259644,-0.10689489,-0.3590954,1.2560866,-1.1722554
