,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_mean_5,latent_mean_6,latent_mean_7,latent_mean_8,latent_mean_9,latent_mean_10,latent_mean_11,latent_mean_12,latent_mean_13,latent_mean_14,latent_mean_15,latent_mean_16,latent_mean_17,latent_mean_18,latent_mean_19,latent_mean_20,latent_mean_21,latent_mean_22,latent_mean_23,latent_mean_24,latent_mean_25,latent_mean_26,latent_mean_27,latent_mean_28,latent_mean_29,latent_mean_30,latent_mean_31,latent_mean_32,latent_mean_33,latent_mean_34,latent_mean_35,latent_mean_36,latent_mean_37,latent_mean_38,latent_mean_39,latent_mean_40,latent_mean_41,latent_mean_42,latent_mean_43,latent_mean_44,latent_mean_45,latent_mean_46,latent_mean_47,latent_mean_48,latent_mean_49,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,latent_logvar_5,latent_logvar_6,latent_logvar_7,latent_logvar_8,latent_logvar_9,latent_logvar_10,latent_logvar_11,latent_logvar_12,latent_logvar_13,latent_logvar_14,latent_logvar_15,latent_logvar_16,latent_logvar_17,latent_logvar_18,latent_logvar_19,latent_logvar_20,latent_logvar_21,latent_logvar_22,latent_logvar_23,latent_logvar_24,latent_logvar_25,latent_logvar_26,latent_logvar_27,latent_logvar_28,latent_logvar_29,latent_logvar_30,latent_logvar_31,latent_logvar_32,latent_logvar_33,latent_logvar_34,latent_logvar_35,latent_logvar_36,latent_logvar_37,latent_logvar_38,latent_logvar_39,latent_logvar_40,latent_logvar_41,latent_logvar_42,latent_logvar_43,latent_logvar_44,latent_logvar_45,latent_logvar_46,latent_logvar_47,latent_logvar_48,latent_logvar_49,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,0.08386354,-0.069705546,0.0187616,-0.038079247,0.03566841,-0.02660751,-0.045876008,-0.056387153,-0.02934421,0.042734295,-0.085238196,0.09311814,-0.04736787,0.01203109,0.04769976,0.11645178,-0.039935984,0.09196985,-0.014735082,-0.0075226,-0.053874765,0.09957748,-0.046498086,0.018760337,-0.05247795,0.079639554,-0.09422195,0.043879855,0.040463842,-0.065001436,0.0073041073,-0.042406105,0.032737695,-0.0010355131,0.0018196567,-0.11149249,0.095675156,0.034045465,0.020874439,-0.013291217,0.094121225,0.03435894,0.0119680315,0.016986938,2.7560568,-0.014194919,-0.0015442306,0.97054183,2.6672804,0.09279374,0.029615227,-0.07031821,-0.02589889,0.014868533,-0.043367587,-0.094643466,0.03755888,-0.01134552,0.018020853,-0.026173124,-0.07701004,0.032068484,0.04078661,-0.041356564,-0.012701318,0.06933671,-0.032418698,0.023196798,-0.030814864,0.04363001,-0.102641076,0.0328426,0.029266516,-0.04762604,0.051166702,0.043718565,0.09339842,0.09795332,0.0032585831,0.048690192,-0.14914547,-0.035397828,-0.005275103,-0.011389265,-0.025495358,0.015952393,-0.0722106,0.0077799177,-0.014364976,0.012022885,-0.11015527,0.046485454,0.054136574,-0.008148942,-1.6098882,0.025243722,0.06777123,-0.6049551,-0.9387443,-0.13989791,0.12554061,0.8009215,-0.32616627,0.76470953,0.16868341,-0.28798965,-0.14017509,0.8012935,-0.9490805,0.07701349,-0.79170567,-0.9141676,-0.026698021,-1.0776074,0.07761659,0.19710018,0.88834286,-0.62277025,-0.101986565,2.1028564,0.4062702,0.9304551,-0.75423753,-0.24252956,-0.30770487,-0.933455,-0.018198758,-0.60821164,0.13056155,1.3360664,1.0730532,1.596311,0.36216763,1.4931881,-0.39802286,-0.27767393,0.84021235,1.1288233,-0.32858196,-1.1417798,-0.08576798,-0.3072979,-1.616842,-0.026973473,2.7084708,-1.2575433,-1.2743944,0.70439196,3.1011791,0.6980245
1,0.022653062,-0.007354039,0.036163412,0.0012393873,0.035558775,0.010644382,0.00077386573,-0.00043260562,0.0042554107,0.0203521,-0.02077826,0.022430548,-0.056718804,0.0033609467,0.032841258,0.039221406,-0.033588376,-0.0065798713,0.019057235,0.018849187,-0.004370231,0.017103402,-0.022749398,0.021942388,-0.019786116,0.005907412,-0.044153877,0.016056089,0.01385406,-0.0032442864,-0.0005912953,0.03590102,-0.034003455,-0.006369315,-0.012801923,0.00778713,0.0073676524,0.03267991,-0.004748428,0.01589014,0.017865654,-0.006405324,-0.0065659154,-0.005015197,0.90382403,-0.00787723,0.026267294,-0.58266824,-1.1395141,-0.027825247,0.019678662,-0.009378435,0.0066758483,-0.0012713037,-0.020579023,-0.0046606073,-0.011984917,0.0064239157,0.012606428,0.031594735,-0.0033366885,0.023351457,-0.0140169505,0.0049906885,-0.00011810684,0.010027382,-0.029070104,-0.03387802,-0.014789535,0.046025254,0.009442126,0.024308957,-0.012636055,-0.043142304,-0.02088862,0.020153232,0.011162898,0.02696717,-0.011831795,-0.016748777,0.005055701,0.0005910769,-0.03520314,0.029809756,-0.0036243265,0.014046093,-0.02189194,0.000724487,-0.010585045,-0.03338203,-0.0014568366,-0.030879002,0.04254196,-0.006149495,-2.049967,-0.007821923,0.0017368868,-1.379861,-1.1201932,0.008343636,-0.2405742,-1.1837735,0.50328803,0.30126175,2.2107244,-1.4287219,0.06790505,0.9254974,0.39756992,2.1167753,-1.3146361,1.3129442,-0.97787404,1.117233,-0.49010432,-2.2066655,-2.193363,-1.0074124,-0.5285517,1.8101617,-0.7964585,0.8330463,-1.0514575,-0.82343626,0.65754634,-2.0336933,-1.0490602,-0.38553995,0.2712408,-1.3965386,0.413626,0.15959707,-0.3010425,-0.7427791,1.2266718,0.12701128,-1.4340999,0.16023248,-0.63720775,-2.96979,-0.007956669,-1.3059355,1.7755259,0.844856,1.0999123,0.96293527,-0.7110456,-0.8233547,-1.3834531,0.68473554
2,0.010028121,-0.03458803,0.036806688,-0.0019380886,0.02501224,-0.013690553,0.0065201763,-0.0028447579,0.005889512,0.021159425,-0.027106995,0.009790584,-0.0602594,0.0034240019,0.019839391,0.04326137,-0.035981636,0.0071956567,-0.012507858,0.0032728799,0.02321807,0.01525557,-0.019998299,0.02592751,-0.029481065,0.030717796,-0.0489609,0.0069629783,0.012655068,-0.015528999,0.026032781,0.029262412,-0.03653332,-0.011426681,-0.0054302327,0.0029491,0.007838301,0.029566793,-0.004536028,-0.00434928,0.035672642,-0.0039691986,0.0018653907,-0.025916722,1.3246064,-0.008267322,0.030575328,0.40783197,-1.4189801,-0.028450565,0.051924773,-0.009857476,-0.026542783,0.01203562,-0.03599888,-0.012198442,0.015720963,-0.0069335653,0.007926708,0.031099081,-0.016432604,0.036300834,-0.003718384,-0.00054191053,6.3907355e-06,-0.0011244528,-0.021387357,-0.001760412,0.007949668,0.04822199,-0.013475744,0.021662233,-0.005667002,-0.053013235,-0.054399382,0.053576168,0.004448969,0.019903,-0.004583245,-0.012555201,-0.011786072,-0.010271423,-0.015936023,0.016169054,0.0005840454,0.02330594,-0.022925436,0.0104442965,-0.018543739,-0.03110459,-0.014456678,-0.0032239023,0.039537895,-0.018888216,-1.8749666,-0.037425466,0.0059735887,-1.3655587,-0.89834684,0.0010233298,2.545322,-0.81425965,2.0498188,-1.2092336,0.4010064,0.021550875,-1.5461727,0.57361305,1.126363,-2.221249,1.647504,-0.11512669,0.74630827,1.5250201,0.46170145,1.5000792,-1.0434444,-1.6649417,-0.6932613,0.38544643,0.88151616,-0.3384848,-0.57547283,0.58338207,-1.6316841,0.40297362,-1.5725837,-0.661907,0.9716847,0.6095836,0.43103236,-0.48165315,-0.39414158,-0.19197413,-1.1274587,-1.4372776,0.9774411,0.921887,0.16492647,0.47647533,-0.17299351,-1.9907167,-1.3180807,-0.41976386,1.2266583,-0.7897819,0.8561325,0.24007559,-1.9094932,-1.3366663
3,0.043341883,-0.06941259,0.05358074,-0.030936785,0.039793335,-0.018801916,-0.037234694,0.0022397512,-0.01892022,0.017998284,-0.05820572,0.052384876,-0.06366791,0.0035376325,0.04080429,0.051666103,-0.061561957,0.05476907,-0.010429995,-0.004869243,1.4483929e-05,0.026381217,-0.059889734,0.026426263,-0.029316172,0.042172708,-0.0708654,-0.01493326,0.027841339,-0.01859603,0.014938718,-0.015540235,-0.012916768,0.0047271065,0.010109003,-0.02958757,0.06288775,0.038651958,0.013649849,0.0011188798,0.035175525,0.022846587,-0.008704999,0.01200578,2.553509,-0.015275301,0.015978111,-0.8109475,0.63796777,0.011661785,0.02996224,-0.015313769,-0.031462576,0.03981406,-0.0075999126,-0.030717343,0.014919892,0.015477154,0.0071050273,0.006532395,-0.025810855,0.018459652,-0.015289856,-0.015586898,0.0024884883,0.012856176,-0.061832964,-0.016352167,-0.040889766,0.041487843,-0.04618205,-0.015436828,0.017521236,-0.036933277,-0.03955709,0.04986622,0.050315246,0.059292182,-0.012146414,0.01862831,-0.046112407,-0.03469965,0.0096816905,0.02010435,-0.013694793,0.013306931,-0.011345262,0.009993288,-0.005158514,-0.022865431,-0.035645917,-0.015018767,0.035502803,-0.027519885,-1.2207162,-0.026695423,0.03695722,-0.77848554,-0.46079397,-0.046785906,-1.0572981,-0.3923992,-0.6559368,0.8111894,-1.7045754,-1.4599026,0.2092847,0.5876115,0.6566518,0.32568568,-0.7939633,-1.075328,-0.3936742,0.3821723,-0.4464763,-0.5366114,-1.624617,0.11271286,-1.030632,0.23919673,0.16076225,-0.8314722,1.3409424,1.1362909,-1.4242692,-0.19610748,0.33221745,-0.10816978,-0.120052315,-2.0350285,0.5726781,1.4387231,0.21679866,-0.24508028,-0.754857,-1.2252356,-0.48937204,-0.96709216,-0.40274242,-0.9859412,-0.32825685,-0.43048677,0.27067688,-0.61123085,1.9741628,0.7577516,1.3634688,-1.3273948,0.10427761,-0.076649286
4,0.056536507,-0.027214792,0.029926611,-0.04695219,0.021765914,0.019934434,-0.009689199,-0.031194603,-0.05656448,0.01770138,-0.043659586,0.06647266,-0.009875314,0.016186427,0.049810033,0.05342309,-0.026792515,0.057204325,0.012638214,-0.00727755,-0.031584766,0.074603274,-0.051346958,0.020697106,-0.03159182,0.06866768,-0.05134037,-0.007356338,0.013033407,-0.016022772,0.021920709,-0.04454183,0.013339123,0.0010390634,0.022656284,-0.03991632,0.015322299,0.036250435,-0.0034264144,-0.021869585,0.02837079,0.050733954,-0.016206238,0.014250916,1.3698298,-0.008864044,-0.03548601,0.116506934,2.8982043,0.056790657,0.016313383,-0.034527753,0.00032729562,0.032355305,0.009890736,-0.06514731,-0.010392037,0.036053468,0.018612206,-0.039344728,-0.052988313,0.031091109,0.014191005,-0.029224103,-0.0058903527,0.01445123,-0.04652015,-0.038773395,-0.015659483,0.0036401767,-0.04945711,-0.0063067116,0.034350745,-0.050171524,0.002325099,0.04694209,0.037431728,0.075333245,0.0042125853,0.015781442,-0.066594765,-0.015572673,0.01613402,-0.03538819,-0.007922567,0.026835652,-0.06803647,-0.045247808,0.026804598,-0.031272404,-0.0687663,0.019272044,0.03819497,-0.02376924,-2.151514,-0.010094559,0.043007504,-2.433608,-1.1898484,-0.068327144,0.85564053,-0.57550746,2.226077,-0.16250934,-0.29299226,0.6480059,0.01970037,-0.19346483,-0.41519347,-0.9290386,0.8987814,0.65635043,0.7883987,-1.3055795,0.09921068,-1.4308414,-0.25140318,1.1275681,0.46707428,-1.0418301,-0.7980558,0.05589646,-0.44355464,1.9697664,-1.0685247,0.04406218,-0.34570983,0.35751352,-0.5470271,-0.7799027,-0.8600182,0.079869434,-0.7625058,0.74222714,0.72121876,-0.3853656,-1.066288,-0.846398,-1.5012699,-0.26399237,0.86250556,0.11624304,-1.1371833,0.35936907,0.82699317,0.24674773,0.120622694,-0.23475885,2.5523353,-0.59252274
5,0.056022048,-0.07078692,0.03832557,-0.010988024,0.040963396,-0.0137436455,-0.027797185,-0.010567864,-0.013942316,0.034464005,-0.030955777,0.05612504,-0.059387676,-0.0029720315,0.055599526,0.06529349,-0.031087885,0.05485568,0.013955579,0.0005689431,-0.011178657,0.048673883,-0.028324801,0.009626227,-0.011797161,0.048708767,-0.06210725,0.024107631,0.038043052,-0.025201317,0.013705252,-0.011282872,-0.0070512462,0.00036277372,-0.0026395752,-0.036498994,0.046612836,0.02144026,0.010283487,-0.013692409,0.03238575,0.0108476095,-0.0023435205,0.0005069166,2.273805,-0.008293609,0.002850146,0.9319633,1.8427724,0.02831321,0.009739028,-0.050864257,-0.014917919,0.035074517,0.007665595,-0.053827327,0.034096897,0.029289536,0.01180747,-0.016013233,-0.016022168,-0.014159787,-0.028213408,-0.012897378,0.016551584,0.037251204,-0.058487132,-0.010214687,-0.011215419,0.025433933,-0.047992438,0.0033762902,0.03941658,-0.02224999,0.018376961,0.028448727,0.049666725,0.0143844765,-0.008518033,0.05363346,-0.053398307,-0.01676685,0.028551899,-0.013748897,-0.0032307534,0.018596305,-0.03209861,0.037936993,0.01693787,0.0014478005,-0.027800629,0.0032092389,0.0049998276,-0.006727808,-1.2018154,-0.0039100777,0.08296749,0.037347674,-0.4086023,-0.07401388,-0.25266355,-1.5122486,-1.6282967,0.75836986,-0.91555816,-1.2216411,-0.8263478,-0.21787854,1.8077856,-1.0776634,-0.49861878,1.92287,-1.7438225,-0.9721387,1.5801799,1.5626304,0.74618053,-0.6219648,-0.002245509,-2.6408234,-1.284626,-1.5029658,0.6330911,-1.5157535,-0.477475,-1.1179427,0.006002441,1.9703918,0.4470607,-0.7763972,-1.1351674,-0.23279932,0.59361833,-0.775211,-2.2510116,1.7730473,-1.0439332,1.3089345,-0.96694964,0.73216593,0.11021258,0.61610955,0.41786945,-0.10236322,2.0657346,-1.5054047,0.1122069,-0.37692285,1.8312497,0.9097272
6,0.065636516,-0.07263816,0.031373195,-0.073012695,0.047220074,-0.036048748,-0.01710575,-0.037159618,-0.011306919,0.063212305,-0.08021373,0.06360157,-0.03463682,-0.028099094,0.052943207,0.10919706,-0.07622921,0.009913281,-0.027445292,-0.06558709,-0.022931919,0.04016213,-0.057614073,0.0053370576,-0.16575925,-0.01848732,-0.02661361,0.10388317,0.045951094,-0.04969169,-0.020966662,-0.033163227,0.02498907,-0.037299175,-0.037075914,-0.10371329,0.05465638,0.06762562,-0.014879627,-0.037385587,0.12102635,0.06874677,0.05482897,0.024399908,2.4804542,-0.057291444,0.0047083898,-3.5617568,1.2572763,0.0659302,0.03590273,-0.10178126,-0.069127224,0.060930926,-0.025895523,-0.12611741,0.09237586,0.021485023,-0.0059107253,0.001122619,-0.114643455,-0.026183374,0.069923304,-0.067881316,-0.0075392397,0.101249695,0.02572367,0.019436833,0.04167838,-0.024681808,-0.045261994,0.027359735,-0.005380973,0.0010509063,0.05353937,-0.037964918,0.055651695,0.039311625,0.0030156588,0.0015051141,-0.13296245,0.005012759,0.08602033,-0.0008828826,-0.07869539,0.042152677,-0.061593294,0.047352523,-0.07122697,0.022888122,-0.026004031,-0.033924915,0.060561724,0.12000344,-1.4364052,0.07551754,0.16704716,-0.71009153,-1.1167626,-0.09434903,0.5005307,1.1456766,1.6507306,-0.2723932,0.11967061,-0.32683855,-0.061901867,0.67669415,-1.1564686,-0.63465655,-2.157233,0.48426527,-0.70583636,-0.32496923,-0.43320075,-1.840966,-1.2164143,-0.2840112,-1.1989355,1.4421766,1.6075817,-0.758306,-0.90559524,1.1574233,0.24119024,0.37174428,-0.66359156,0.9347322,0.3272177,0.1301698,0.19519942,0.1896747,0.035594344,-0.018507943,-0.5869895,1.2346271,1.0892192,0.14469631,-2.583429,1.8102696,-0.13133024,0.65410626,1.0319736,-1.5489496,2.0089846,0.09528315,0.51434594,-3.9663107,0.35908335,0.8095686
7,0.13522409,-0.0300813,-0.024699552,-0.082851365,0.02022098,-0.019261327,-0.07159464,-0.14514232,-0.04739125,0.05348663,-0.16870625,0.15021086,-0.013695475,0.03076632,0.03280618,0.19304939,-0.041332908,0.15530163,-0.0440434,-0.019504331,-0.13414448,0.18413237,-0.073814645,0.026946966,-0.11670349,0.12896702,-0.12919076,0.0794881,0.048220012,-0.11736936,-0.024245024,-0.097560614,0.09357227,-0.014019771,0.017551433,-0.22043513,0.15411296,0.04922069,0.04828963,0.0034385882,0.18477271,0.06737594,0.022245737,0.036911406,2.7310886,-0.03324402,-0.010183466,0.9962733,4.287815,0.20687275,0.061738513,-0.099391356,-0.017578484,-0.045511335,-0.10705789,-0.17078172,0.032681234,-0.08837788,0.025675869,-0.045405596,-0.16931263,0.10828911,0.15912606,-0.08315487,-0.059299484,0.13080837,0.022952534,0.046625346,-0.07812284,0.06458978,-0.16946013,0.07833289,0.00042809988,-0.089699015,0.11091749,0.05432362,0.17464496,0.22746158,0.009843952,0.024668138,-0.281417,-0.06371694,-0.090439096,-0.013409134,-0.043034505,0.0022060042,-0.14757366,-0.05297124,-0.04939555,0.024574524,-0.24424806,0.12086768,0.13196345,-0.0017725956,-2.805278,0.08076731,0.029046703,-1.4776702,-2.3821049,-0.24045485,1.18423,0.6192348,-0.7914979,-2.4463546,0.23672839,-0.8703931,-0.77550596,2.7818933,-0.7850583,0.53952855,1.2687573,0.62264246,0.52590257,-0.5573027,1.647885,0.7725179,-0.15009846,-0.3827405,2.4439592,1.0049604,-0.026791535,0.0076128095,-0.3492633,0.7025539,-1.5665342,1.293434,-1.7505472,0.34028122,-1.5356584,1.543333,-0.12294587,0.7038573,-0.898064,0.0032969154,-0.30117923,-1.0640264,0.042225137,-0.0723712,-0.870625,0.7819641,-1.0915585,0.7022693,-1.1416686,-0.007947013,2.692359,0.18076989,-0.88030976,0.8143877,4.1525497,-0.7591612
8,0.121485524,-0.03254619,-0.010459356,-0.0451449,0.026987536,-0.02135972,-0.034389157,-0.13146876,-0.026267063,0.049982525,-0.142486,0.11544338,-0.033431947,0.042749856,0.044709057,0.20284617,-0.04751776,0.1138654,-0.049792252,-0.014603019,-0.11791839,0.17161828,-0.030383797,0.026190631,-0.12266977,0.11794441,-0.121590704,0.11527474,0.049191725,-0.116062135,0.009198908,-0.05248736,0.067693934,-0.012035638,-0.011916664,-0.19909927,0.10152068,0.05837506,0.0073525123,-0.022609077,0.17802753,0.035223167,0.04234177,0.007473997,2.1674528,-0.01783507,0.012774508,2.2102678,2.4717515,0.14634895,0.056327537,-0.08590506,-0.009871979,-0.055753134,-0.11562841,-0.15543921,0.021469511,-0.05556486,0.028440576,-0.03984814,-0.14049292,0.08505833,0.13830315,-0.070549585,-0.054118477,0.11178273,0.005664409,0.052130256,-0.036339168,0.059875175,-0.14763607,0.113774955,0.008366184,-0.08432018,0.12328686,0.065256074,0.13518268,0.19063881,0.022754826,0.004945053,-0.26651677,-0.03179007,-0.089573644,-0.02131165,-0.04938957,0.018910198,-0.16090451,-0.03175106,-0.068786144,0.023198577,-0.20834604,0.113040894,0.1300352,0.02300133,-2.7942073,0.06158452,0.042659998,-1.8167822,-2.0634665,-0.21003494,-0.1267902,0.13624822,0.89584035,0.6355234,1.2899725,-1.169599,0.2741526,-0.99271935,-1.5459626,2.1851063,0.5612093,-0.024037704,0.3398436,1.2818252,-1.3527317,-0.33537126,-0.35127765,1.5871764,-1.3650216,0.5335713,-0.32149887,1.0007322,-1.7211609,2.1000884,0.6081064,-0.11470748,1.5339252,0.44286388,0.9618128,1.0658419,-1.6326222,-0.5352569,0.07901415,-0.17488618,-0.5059097,0.44334438,0.4795898,-0.2392028,0.5351706,-0.11730533,-0.07099822,-0.16615978,0.028888484,1.3919802,2.5477233,3.1961167,-0.45229238,3.1626244,2.5800927,-0.65944767
9,0.018954957,-0.0033671106,0.008759155,-0.0056939195,0.0096933115,0.017803038,0.022096155,-0.008092381,-0.0045695845,0.023919743,0.004543938,0.024670051,-0.014381669,-0.0058771726,0.023806805,0.023148835,-0.0043208236,-0.0010963902,0.011736558,0.0126243625,0.016296074,0.02929597,-0.024427772,0.023345657,-0.011055461,0.028788337,-0.011093063,0.013400635,0.0064168503,0.004760489,0.016553828,0.024398316,-0.02610825,-0.007725763,6.4450316e-05,0.0058427206,-0.012614018,0.012600938,0.0012314579,0.0077380287,0.026304647,0.0070664035,-0.015899485,-0.0077107167,-0.523036,-0.012082356,0.0031605097,0.19322181,0.47039753,-0.005567667,0.028899234,-0.04711914,-0.0070775375,0.024864621,0.00049846806,-0.011605632,-0.0023794482,0.016417002,0.013088512,0.011128001,-0.0229949,0.011290731,-0.0016044537,0.0021284455,0.01001159,-0.00016740151,-0.0052029565,-0.037217595,0.012355136,0.018363198,0.017489778,0.008702123,0.02131377,-0.038383417,-0.027767513,0.013066267,-0.023353131,-0.0026201354,-0.01811048,0.012760349,0.009092823,-0.0061718114,0.019139126,-0.021663649,0.014816718,0.0034325975,-0.026200615,0.0019185729,0.03495458,-0.038031902,-0.018985562,-0.011120638,0.022651054,-0.013702493,-3.0265465,-0.0075436905,0.027628206,-1.9547637,-1.8040259,0.0017191488,-0.0073955357,-1.3129771,-0.50132465,-1.4502622,0.77508533,-0.12270964,1.5322034,0.69687647,-0.26716533,-1.404519,0.8351098,-0.6055445,-0.3647307,0.4397898,0.6849116,-0.25987178,-0.07241494,1.5239513,-1.1800976,-1.1339384,0.103796475,-0.1947835,0.33982494,0.7949576,-2.1050854,0.46841425,-0.121854655,0.9277967,-1.2113978,-0.83209205,-0.23613723,-0.61558557,-0.21040037,-0.22616142,-0.33823714,-1.6554613,0.5460081,0.5549534,0.073750705,0.4077412,1.4820614,-0.72082996,0.64507085,2.8761168,-0.18990543,0.7544656,1.2278773,1.0464244,0.8644237,0.37016174
