,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-0.71611387,-0.07549977,0.00907065,-1.383133,2.9698095,-2.096543,0.03277015,-0.19503027,-0.7356411,-1.5987887,-0.6595005,-0.89299417,1.1994871,-0.16787875,2.850082
1,1.8993133,-0.00716308,-0.014355337,0.8538457,0.48887527,-0.94813204,0.005044598,-0.038736142,-1.5114512,-2.2513816,0.7758875,0.6158731,-1.3059615,1.3784682,0.6301167
2,-2.7773333,-0.02958427,-0.09177126,1.8093073,2.594826,-2.9223344,0.0667748,-0.21616445,-1.3414255,-2.045815,-2.7687714,-1.1415689,-1.5547396,1.2509921,2.8911905
3,-2.045516,0.052649625,-0.06356195,0.4492331,0.5435212,-2.658165,0.09318417,-0.097641364,-1.750128,-2.460604,-2.152758,-2.3576465,1.0756266,0.87399167,0.18543342
4,-0.54434615,0.04197694,-0.09290295,2.1712866,0.5663306,-1.6593963,0.09946889,-0.058166564,-1.0054934,-2.2295845,-0.44519097,0.78475153,1.4277902,3.0668042,0.96354187
5,0.3914652,-0.03889633,-0.0686086,0.0960421,1.7878413,-0.72797155,0.06457978,-0.07746575,-0.38174844,-1.5198313,-0.92703664,-0.4984939,-0.061611883,-1.3628628,0.99983805
6,-1.3693367,-0.005580475,0.016619783,0.8015659,-0.4571737,-0.427449,-0.029651534,-0.0074140076,-2.7934115,-3.3021305,-1.5213858,-0.44582975,0.45686868,1.0415018,-0.38139445
7,0.5216265,-0.08174978,0.010095989,-0.97974986,2.3211899,-0.21319258,0.027456162,-0.0876568,-0.23414993,-1.2336099,1.651243,-0.4540453,-1.3319949,-0.8058288,1.8999318
8,-0.5033332,0.07218369,-0.21356545,4.396966,1.909648,-3.3328876,0.13080218,-0.11362318,-0.77276254,-2.4831483,-0.6567786,0.58365333,-0.0380933,4.066321,1.8052979
9,-0.68577147,0.0050093536,-0.052097782,2.09591,1.3759031,-0.9256742,0.067105,-0.07719297,-0.7675586,-1.6925042,-1.1219317,-0.59796804,1.7720704,2.1326232,1.680052
10,-0.46836674,-0.075169764,0.023975136,-1.129288,2.6564457,-0.7690444,0.032149635,-0.13882601,-0.4692595,-1.2687613,-0.02196756,0.63447523,-0.26802135,-0.53364193,2.8612795
11,-0.26154256,-0.05149362,-0.0549745,0.14514843,2.2781181,-0.41492736,0.068036586,-0.0907218,-0.15697217,-1.2515366,0.58264965,0.4665527,-0.13425131,0.5053766,2.2306492
12,1.5268335,-0.08921292,0.08113793,-1.6505005,2.6296754,-2.617431,-0.021527871,-0.15838626,-0.54552984,-1.7444863,1.517547,-0.28701407,0.6925305,-0.8162526,3.5470374
13,-0.79616594,-0.044341587,-0.11937361,0.26497954,2.5544891,-1.2315911,0.11202035,-0.122038074,0.06891489,-1.4250457,-1.5724785,-1.4657547,-0.37115362,0.94731504,2.5635376
14,2.4476893,0.034729213,-0.038710393,1.5653443,0.83963907,-2.401214,-0.0059670284,-0.048650756,-1.954161,-2.5475202,2.309929,-1.6803985,-0.23932171,0.87802964,1.0138997
15,-2.8371158,-0.010835189,-0.09024295,0.7407815,2.1972437,-2.869554,0.08643012,-0.21716054,-1.4245424,-1.9522673,-2.6410406,-1.1152478,0.93514526,0.5013868,1.992999
16,-0.85502017,-0.06593344,0.025725475,-1.1830428,2.5651891,-0.8799537,0.039598837,-0.13704035,-0.55215406,-1.2812144,-1.3010764,-0.54033524,-0.071493044,-1.2183368,2.128087
17,3.2116113,-0.06860946,0.00068760244,1.1573412,1.7270489,-1.1336497,-0.044058375,-0.0767751,-0.9406551,-1.6308767,3.5446804,-1.2710109,-1.2287276,1.4316396,2.7724056
18,-1.0109142,-0.058469657,0.023004897,-0.8487962,2.4745142,-0.78727996,0.043645628,-0.12744354,-0.5562413,-1.2552464,-0.38961053,-1.3057108,-1.6526848,-0.51804364,2.2772577
19,0.30767784,-0.039801426,-0.053978994,-0.101324305,1.7535739,-0.6567707,0.055938773,-0.07330532,-0.520489,-1.5234292,0.5349773,0.5065642,0.23438342,0.2238548,2.0322232
20,0.052028805,0.012860363,-0.014600268,-0.22782826,0.2844209,-1.3888116,0.03376948,-0.0255854,-1.473279,-2.445906,-0.10936275,0.8886533,0.23917328,-0.42877528,-0.09590593
21,3.1138778,-0.054855466,-0.00089097396,2.5169318,1.8466964,-1.7125838,-0.04636062,-0.08736765,-0.965328,-1.8882542,3.1959014,0.34857863,-1.7287314,2.00587,1.7779166
22,-1.1781442,0.01809712,-0.0135365445,-0.6316266,0.2711382,-1.1124634,0.038853936,-0.020575402,-1.5337176,-2.4761255,-1.8382363,1.5345973,-0.30930373,-1.001467,0.23545215
23,1.0552149,-0.07555936,-0.061807536,-0.028031647,2.1961038,-0.55077374,0.035687678,-0.08998444,-0.3653767,-1.3827363,1.4165463,-0.16131225,0.2208086,-0.5377894,2.0938814
24,2.0504298,-0.088365555,-0.039153688,-0.40177274,1.904691,-0.26234365,0.008455725,-0.07632725,-0.42971563,-1.3764288,2.6772542,-0.309008,-0.2484948,0.19103819,1.8664418
25,-2.1054866,0.06672749,-0.12898065,1.7750688,0.73373735,-2.9246428,0.13879153,-0.10999998,-1.2613584,-2.2766411,-2.2843962,-0.20859015,-0.2327978,1.847761,0.9965786
26,-1.9447846,0.023260662,-0.03150192,-1.9924057,1.0073348,-2.0303116,0.101448275,-0.08224885,-1.2887775,-2.3355372,-1.8191278,-0.82461286,-1.4763641,-2.6145306,0.88588035
27,-1.9271083,-0.06945766,-0.036478017,-1.0465882,3.1365805,-1.5082668,0.065739185,-0.20092776,-0.7217661,-1.4217474,-2.3268368,-2.720676,0.57362276,-1.5530074,3.5986013
28,0.36992258,-0.008313309,0.007958105,-1.6048554,0.80230784,-1.1884352,0.032662667,-0.030568963,-1.0844873,-2.137158,0.9505457,0.50040627,-1.3401346,-1.6112535,0.8595035
29,0.904724,-0.053971738,-0.047346625,-0.27613077,1.7725093,-0.6004827,0.04240577,-0.07423707,-0.5108831,-1.5107671,1.9286132,1.6734102,-0.9797707,1.2896347,2.4504654
30,-0.54262877,-0.0736904,0.026050055,-1.1661673,2.6381583,-0.7575668,0.032261774,-0.1383323,-0.49276972,-1.2682692,0.41218662,1.1498023,0.65750617,-1.4027444,3.1316128
31,2.4970675,-0.067636944,0.12751351,0.1559875,1.6886913,-0.411875,-0.076500095,-0.063423656,-0.7782879,-1.4119412,4.0612774,-0.96630156,1.5495071,1.6095161,1.3433656
32,-1.656792,-0.05016944,-0.007697197,1.3213689,2.5719604,-0.88813096,0.031361096,-0.13619359,-0.80628085,-1.4425524,-1.071794,-1.8573651,-0.17930844,1.2858397,3.2683446
33,-1.069297,0.010548038,-0.10070908,3.0600545,1.4022733,-1.4872134,0.10284234,-0.09529479,-0.5193565,-1.8419036,-0.7116319,0.56832373,0.9871932,2.8395991,1.1788312
34,1.995617,-0.026088921,-0.017891467,0.9526273,0.87210345,-0.7724179,-0.0035854653,-0.051628016,-1.3735493,-2.0132976,1.8286659,-0.97044057,-0.6041983,0.87466615,0.9760457
35,2.3521578,-0.06856566,0.12762648,-1.457703,1.5271897,-0.81447667,-0.051330067,-0.05482924,-0.5899745,-1.5982025,2.8240108,0.27136594,-0.7502097,-1.6982138,1.9444201
36,-3.8957536,-0.014731179,0.082040876,0.57399017,1.2872117,-1.7113601,-0.03204556,-0.11495573,-2.4589636,-2.1513424,-4.1988783,-0.87028664,-0.6701232,1.0202686,1.4066727
37,-0.015927479,-0.0735021,-0.072962575,-0.9351983,2.4617877,-0.76680017,0.06981514,-0.10876222,-0.16552234,-1.393403,0.454251,-1.3678737,-0.4576871,-0.9293227,2.7919862
38,0.83306724,-0.050995864,-0.052061483,1.9705513,2.024601,-0.5028502,0.011097623,-0.09422415,-0.8002076,-1.4838709,0.2820388,0.969739,-1.5910094,2.399188,1.5288692
39,-1.2769867,0.015095431,-0.010397496,-0.408356,0.29386574,-0.8570138,0.033229984,-0.022538247,-1.5440614,-2.3503776,-0.050539494,-0.13615753,1.4654692,-0.438574,0.0725019
40,1.628493,-0.074872956,-0.07341834,0.95161855,2.099124,-0.52015877,0.02235285,-0.0933252,-0.39607477,-1.3158517,-0.09160435,-0.47497255,-2.238801,0.54558617,1.4046576
41,-1.791602,0.04420668,-0.08080601,-0.17910971,1.1190264,-2.170546,0.1256845,-0.09524531,-0.9919332,-2.1870327,-1.5980089,-1.2908227,0.98290133,-0.36535168,0.6797068
42,-1.0126803,0.012375369,-0.0034950403,-1.1324105,0.22793102,-1.2921188,0.032390818,-0.017559728,-1.5788146,-2.5999458,-0.8476273,-0.7436137,0.30504033,-1.3905184,0.36358637
43,-2.8183622,-0.022432884,-0.1276647,-1.4763157,2.8079653,-3.0079846,0.14096704,-0.23024493,-0.7811036,-1.7803408,-2.797948,0.030869333,-0.1663106,-0.641831,2.9323967
44,1.1532795,0.04802534,-0.004159495,-0.25981596,0.82589006,-3.2291026,0.00065817125,-0.032388546,-2.3477376,-3.0778055,1.151108,-1.0449106,2.9101489,-0.44259346,0.6229548
45,-0.30543047,-0.06970312,0.042600423,-1.9488113,2.734684,-2.6901593,0.013384832,-0.19333981,-0.93939865,-1.8172458,-0.40978834,-0.75533754,-0.29707482,-1.889235,2.1517804
46,-0.45544934,-0.0037117528,-0.13186997,3.2698042,1.9044254,-1.4452757,0.086684875,-0.108256355,-0.4492662,-1.6990163,0.40903306,-0.9569266,0.53289735,3.1797354,2.1249099
47,1.4455123,-0.08242955,0.086025365,-0.81957746,2.334139,-1.08383,-0.0228299,-0.10049294,-0.35445738,-1.4031751,1.4759338,0.40461996,-0.074838944,0.2339499,2.5970552
48,2.0663755,0.026952432,-0.05320651,0.5112284,1.9267201,-2.7884803,0.022935564,-0.07031907,-1.4990884,-2.3448272,2.1148024,-0.9336528,-1.6826274,-0.2753139,2.0183294
49,-0.9864018,0.027517496,-0.039917786,0.46971977,0.504855,-1.4145381,0.07106478,-0.038185023,-1.311619,-2.3154163,-1.3884151,-0.7861486,0.95536304,0.6529455,0.16491997
50,1.077256,-0.0376559,-0.0046916697,-1.5597929,1.1014836,-0.9030649,0.030985346,-0.04323312,-0.81385446,-1.9709632,1.4932138,0.05341928,-1.5358291,-2.4658813,1.24263
51,1.1656338,-0.058969747,0.064946696,-1.5038288,1.6995053,-0.7001432,-0.0018303636,-0.061971106,-0.54734993,-1.4871572,0.973654,-0.54420674,0.8056254,-2.3711464,1.3491657
52,-1.4867811,-0.038898926,0.016441412,3.3670485,2.0686622,-0.95227325,-0.0049402546,-0.098736994,-1.1515479,-1.7458116,-1.8896483,-1.3822163,-0.8228271,2.6357875,1.3907644
