,latent_mean_0,latent_logvar_0,Gaussian_latent_var_feature_{i}
0,0.005163,-0.01223957,0.06709642
1,0.005163,-0.01223957,0.88600487
2,0.005163,-0.01223957,-0.09880002
3,0.005163,-0.01223957,-0.8444508
4,0.005163,-0.01223957,1.3075933
5,0.005163,-0.01223957,1.3708382
6,0.005163,-0.01223957,-1.1720968
7,0.005163,-0.01223957,-0.58311355
8,0.005163,-0.01223957,-0.80675936
9,0.005163,-0.01223957,2.772643
10,0.005163,-0.01223957,-1.4132162
11,0.005163,-0.01223957,1.1695126
12,0.005163,-0.01223957,-0.8366944
13,0.005163,-0.01223957,-0.09143355
14,0.005163,-0.01223957,0.8453512
15,0.005163,-0.01223957,-0.08782354
16,0.005163,-0.01223957,0.7328929
17,0.005163,-0.01223957,-1.0532919
18,0.005163,-0.01223957,-0.7783078
19,0.005163,-0.01223957,0.37069336
20,0.005163,-0.01223957,-0.7583031
21,0.005163,-0.01223957,1.4977068
22,0.005163,-0.01223957,0.14722906
23,0.005163,-0.01223957,-0.92245567
24,0.005163,-0.01223957,0.54111785
25,0.005163,-0.01223957,0.7747143
26,0.005163,-0.01223957,-2.3715646
27,0.005163,-0.01223957,1.2682972
28,0.005163,-0.01223957,1.7346852
29,0.005163,-0.01223957,1.7387731
30,0.005163,-0.01223957,1.4082426
31,0.005163,-0.01223957,1.0122592
32,0.005163,-0.01223957,0.8163828
33,0.005163,-0.01223957,-1.0484095
34,0.005163,-0.01223957,-0.2843599
35,0.005163,-0.01223957,-1.7303805
36,0.005163,-0.01223957,-0.5086497
37,0.005163,-0.01223957,1.2941542
38,0.005163,-0.01223957,0.5336433
39,0.005163,-0.01223957,1.0703818
40,0.005163,-0.01223957,-0.1053298
41,0.005163,-0.01223957,0.14892271
42,0.005163,-0.01223957,-0.4486389
43,0.005163,-0.01223957,0.26620916
44,0.005163,-0.01223957,-2.4806185
45,0.005163,-0.01223957,-0.34679878
46,0.005163,-0.01223957,0.49795046
47,0.005163,-0.01223957,-2.1831455
48,0.005163,-0.01223957,-0.38287812
49,0.005163,-0.01223957,0.55270547
50,0.005163,-0.01223957,-1.3937548
51,0.005163,-0.01223957,-1.1436251
52,0.005163,-0.01223957,-1.362711
53,0.005163,-0.01223957,-0.87446797
54,0.005163,-0.01223957,0.85970575
55,0.005163,-0.01223957,0.13186686
56,0.005163,-0.01223957,-0.26705047
57,0.005163,-0.01223957,-0.6751604
58,0.005163,-0.01223957,0.34687483
59,0.005163,-0.01223957,1.8779806
60,0.005163,-0.01223957,-0.31384176
61,0.005163,-0.01223957,-0.52824235
62,0.005163,-0.01223957,0.031016465
63,0.005163,-0.01223957,0.26901302
64,0.005163,-0.01223957,0.34570956
65,0.005163,-0.01223957,-0.51916975
66,0.005163,-0.01223957,-0.97057325
67,0.005163,-0.01223957,0.24341366
68,0.005163,-0.01223957,0.59553254
69,0.005163,-0.01223957,-0.53801095
70,0.005163,-0.01223957,-2.3876507
71,0.005163,-0.01223957,-0.32136655
