,latent_mean_0,latent_mean_1,latent_logvar_0,latent_logvar_1,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,1.3800068,1.3543811,-1.9189204,-0.9965858,1.0450318,1.682755
1,1.569367,0.8207805,-1.7538173,-0.34636712,1.4463623,1.7492019
2,0.8139516,0.9048594,-2.1399043,-1.8581495,0.7394146,0.62014866
3,-0.8607334,1.1543292,-3.3230057,-2.338231,-0.6426331,1.1593386
4,0.0563623,-1.7627274,-3.6155014,-3.3337803,-0.14055318,-1.8523922
5,1.0944806,0.27944428,-1.9620903,-1.4049023,1.3578784,-0.24167365
6,-0.49040362,0.007667899,-3.0605557,-2.6505198,-1.0340941,0.06991102
7,0.9070464,1.676209,-2.1864781,-1.6102982,1.136897,1.0746827
8,-0.1810995,0.05202067,-2.8006558,-2.075201,-0.23475851,-0.22541207
9,0.02103427,-2.2635565,-3.3295808,-1.7948323,-0.069274835,-2.024285
10,0.39915094,1.3004978,-2.4464521,-1.686589,-0.2035397,0.73557085
11,0.13206527,-1.0932552,-3.1806562,-1.1875714,0.09181762,-0.6082105
12,0.8041111,0.12038678,-2.1111689,-1.0492221,0.7360993,-0.32657558
13,0.3285052,0.28897566,-2.3598037,-1.1894189,0.06377265,-0.21311003
14,0.33768246,-0.12867463,-2.5286636,-2.4787922,0.4147695,-0.21633348
15,0.16492888,-2.1524658,-2.5703008,-0.9877702,0.265263,-2.0552406
16,-0.46116433,0.04060757,-2.8839338,-1.7225897,-0.5616304,-0.0460663
17,-1.0328102,-0.47662985,-3.464467,-3.0118442,-0.7935246,-0.7840018
18,0.08736828,0.3007099,-2.68015,-1.176023,-0.075021714,-0.55473334
19,0.83053327,0.23077112,-1.980983,-1.7057754,0.92799264,-0.7056596
20,-0.7244767,0.11011112,-3.3065162,-3.436923,-0.70028335,0.11120261
21,-0.64374506,2.3539286,-4.75821,-5.6672573,-0.6166788,2.3432012
22,-0.29122278,0.54420996,-3.0449286,-2.9683344,-0.2197397,0.89183015
23,0.43716893,-1.0286056,-2.5319996,-2.3980393,0.817507,-0.7362417
24,0.5467659,0.7045337,-2.2930908,-1.7254326,0.665161,0.840934
25,-1.3965971,3.9109159,-7.2965007,-10.902114,-1.397189,3.9088752
26,0.39238808,-0.41861093,-2.4083605,-1.9849617,0.22551546,-0.10795352
27,-0.5642986,2.2881308,-4.131148,-4.6030245,-0.6715066,2.441951
28,0.7228048,-0.90069425,-2.3274288,-2.2727757,0.80505496,-0.7868968
29,-0.0014726818,1.3935075,-2.7809584,-2.1740427,-0.1131696,1.5337763
30,0.895149,-0.6745695,-2.014132,-1.1763079,0.6482804,-0.23819283
31,1.230212,-1.2085599,-1.9676603,-0.57470965,1.9783318,0.060673952
32,-0.52729774,0.5440378,-3.1210153,-2.4487822,-0.7011307,0.6320875
33,-0.50332725,-0.329713,-5.2289805,-5.8821845,-0.4081633,-0.34983447
34,-0.23696253,-0.2688917,-2.9840403,-2.6079865,-0.08858313,-0.8050459
35,-0.3424265,-2.307158,-3.82832,-3.8013616,-0.3236769,-2.5622988
36,-0.30503115,1.6139466,-3.4039426,-3.721263,-0.2624637,1.7070998
37,0.42860332,-0.81927335,-2.4301846,-1.1788659,0.52638716,-0.34361044
38,1.1506335,0.6015761,-2.0762749,-0.7640469,0.9264116,0.9404329
39,0.020300537,0.67210996,-2.7547426,-2.4232001,0.03606566,-0.106981754
40,1.3401663,0.16381514,-1.7489886,-1.1687398,1.9896698,-0.39166015
41,-0.7309042,1.3479648,-3.6121814,-3.13202,-0.6525391,1.1873356
42,-0.7498069,0.27486145,-3.208879,-2.7563992,-0.9911806,0.63554263
43,-0.20731232,-0.18984866,-2.8866715,-2.067498,0.029789463,-0.3986528
44,-0.5799242,0.5868559,-3.0706658,-2.212954,-0.69604987,0.33496094
45,0.85040855,1.9573693,-2.267941,-1.4108953,1.0408664,1.9206364
46,0.16876277,-1.9529375,-2.7905426,-0.787662,0.007708788,-2.2588272
47,-0.9100032,1.0979518,-5.6557283,-6.519361,-0.94355404,1.1261435
48,0.28636697,2.037586,-3.0150473,-2.1882958,-0.112841874,1.6255696
49,1.3998673,1.2361021,-1.9010555,-0.65171117,1.8860455,1.0067161
50,-0.009380728,-1.3799635,-2.7409093,-1.8148594,0.2299165,-1.6284178
51,0.58268774,-0.53368616,-2.2550972,-1.7375466,0.31138936,-0.09325278
52,-1.2321018,0.36595988,-5.0118957,-5.375509,-1.1396755,0.3635379
53,0.98677087,-1.0130924,-2.2151802,-0.81921333,0.6356315,0.33335292
54,-0.16889754,-1.7519108,-2.6523707,-1.7661021,-0.0862613,-2.0551236
55,0.47015426,0.45396405,-2.4075856,-2.1621785,0.67516345,0.4271931
56,-0.26384625,0.3860569,-2.8643498,-2.1005764,-0.20961162,0.21854578
57,-0.33687195,-1.8306113,-2.7121882,-1.6526167,-0.1689481,-1.6550386
58,0.009007424,-1.0400499,-2.716879,-2.2496505,-0.1120488,-0.44985974
59,0.59887767,1.812716,-2.417108,-1.7894336,0.6252172,1.8929124
60,0.7834908,-1.6322802,-2.296219,-0.81232977,0.9580209,-2.4350333
61,0.021659166,1.7404714,-3.094993,-2.734552,0.112473294,1.370055
62,-0.06318781,0.6390351,-2.873072,-2.727818,0.19769526,1.0573903
63,0.5498221,-1.6921941,-2.4553416,-1.4478264,0.45706135,-2.4718149
64,0.9890058,0.2771861,-2.0046399,-2.17519,1.1787242,0.29520103
65,-1.3030279,-0.5848249,-3.446692,-2.3235645,-1.3206658,-0.8867593
66,-0.76282036,0.69163716,-3.5127985,-3.80645,-0.6421634,0.6634546
67,-0.2574937,0.26105917,-2.954193,-2.5708227,-0.17577633,0.2897126
68,-0.011120707,-1.6001245,-3.0672061,-1.074497,0.24772266,-2.534174
69,-0.67562973,0.08167648,-3.1065164,-2.5425906,-0.51547086,0.08145892
70,-0.13044432,1.5692812,-3.7760048,-3.3001938,-0.24127018,1.4409637
71,1.2447248,-1.8877205,-2.0354645,-0.8138218,1.3937912,-1.7384489
72,-0.7220794,-1.6390771,-3.121305,-2.110094,-0.76752543,-2.1023583
73,-1.0453963,2.2209544,-4.8301706,-4.900323,-0.99142134,2.2882066
74,-0.6003101,2.1401992,-4.474581,-5.2390656,-0.56872785,2.1449664
75,0.5050119,0.3214569,-2.3527758,-1.9320335,0.6678359,0.058698922
76,0.64099336,0.8838302,-2.2327297,-2.0287652,0.4061856,0.637807
77,-0.3135341,0.58270526,-3.0567408,-2.832474,-0.38661793,0.8106164
78,0.79388905,-0.70070946,-2.3831673,-0.9659072,0.8858929,-0.8915473
79,0.39386556,1.7602735,-2.7389147,-0.7813052,0.59206176,1.5503938
80,1.1565995,-0.8382714,-2.016416,-1.4696885,1.9013878,-1.2698231
81,-1.5771354,-2.0840187,-3.7680426,-3.1058068,-1.8871534,-2.0326903
82,-0.8859576,-1.162166,-4.2281847,-4.4764123,-1.0677643,-1.1160904
83,0.13655534,-1.259396,-3.827304,-3.637401,0.1016165,-1.3050722
84,-0.43652895,0.23640108,-3.0007234,-2.446112,-0.9568212,0.20358363
85,1.4011946,-0.60467756,-1.6852884,-1.0933795,1.379241,-0.80418736
86,-0.6991619,0.26886022,-3.0718448,-1.6864057,-0.5977972,0.4109522
87,-0.08540782,0.6428783,-2.7948544,-1.9873744,-0.041158326,0.94737685
88,-0.026462704,-1.0243386,-2.6732976,-1.9465457,0.0033752117,-0.7214907
89,-1.4449552,3.612496,-7.3185062,-9.268466,-1.5127054,3.6320028
90,-0.70151854,-1.6911179,-2.9469821,-1.740786,-0.4194682,-2.0525203
91,0.61573493,0.19502014,-2.215163,-2.100194,0.69250697,-0.23250714
92,2.274036,-0.24063766,-1.3285427,-0.25673723,1.7228067,-0.77350396
93,-0.32561788,-1.7301644,-2.9483428,-1.5530995,-0.2444126,-1.184906
94,-0.22613916,0.8066678,-2.9382873,-2.30658,-0.26069412,0.6970681
95,-0.68221664,0.45592928,-3.1561139,-2.1338656,-0.6710937,0.54125816
96,-0.49562535,1.5035509,-3.3150797,-2.9253795,-0.51887584,1.2874528
97,-0.30045637,1.4583464,-3.2119045,-3.2404451,-0.41089433,1.7877495
98,0.17254165,-0.42805457,-2.5186458,-0.66313744,0.69051695,-0.12798333
99,-0.08041498,0.5937495,-3.0402355,-3.4449825,-0.5687008,0.49195948
100,0.41802147,-1.313774,-2.4882677,-2.258347,0.6829069,-1.2106907
101,-0.41806814,-1.0494658,-2.9718633,-2.5557055,-0.22135264,-1.0199853
102,-0.5421853,-0.9329728,-3.5224667,-3.638116,-0.61456895,-1.0472256
103,0.017495126,-0.71070135,-2.846912,-2.434268,-0.06702686,-0.7113507
104,0.22260442,-0.15489078,-2.5805197,-1.9573736,-0.30376855,-0.0070599914
105,0.3608171,1.6300533,-2.57598,-1.6098392,0.50645024,2.081455
106,-0.89939153,2.404973,-5.39524,-6.1737337,-0.9311532,2.347448
107,-0.4568704,-1.2485625,-3.1485968,-2.7570643,-0.2063691,-1.7167807
108,0.99160266,-1.4784814,-2.1197672,-0.94719756,0.66906834,-1.8331394
109,-0.12909791,0.5541492,-2.7701836,-1.1461518,-0.19050278,0.5054333
110,-1.6747667,-3.9192648,-5.887044,-9.404422,-1.6517507,-3.922651
111,-0.36899945,-0.5201391,-2.9798036,-2.7884507,-0.5927273,-0.36144662
112,-0.43147048,-0.5181446,-3.0822802,-2.9678068,-0.49859548,-0.61996484
113,-0.090892166,-0.9437796,-2.7399137,-2.2644904,-0.014794104,-0.33978283
114,0.77983725,-0.9645773,-2.2773156,-2.412479,0.1125111,-0.8892559
115,0.73369443,-2.0189638,-2.4941013,-1.293713,0.67944944,-1.1384313
116,-0.627568,2.2476788,-4.073827,-4.675462,-0.7698369,2.2050917
117,-0.39751956,-1.8854791,-2.7526436,-1.5811224,-0.23037423,-1.9977496
118,1.2954307,0.3649438,-1.9601405,-0.68350035,1.5900115,0.4821198
119,0.6664432,0.6274461,-2.3600447,-0.6723928,0.38130897,0.17004767
120,0.39892265,2.298921,-2.6577528,-1.3525095,0.09546384,2.4271321
121,1.669308,0.0032434464,-1.6223624,-0.32170445,2.9491925,0.11284028
122,0.6126592,-0.90736616,-2.23249,-1.7325711,1.0630873,-1.0074563
123,-0.8674042,0.41419184,-3.2725291,-2.3716574,-1.021112,0.5042798
124,0.47011092,0.5483773,-2.4036202,-2.2316642,0.59213686,0.64082783
125,-1.2470969,-0.44666398,-3.514061,-2.268746,-1.2890418,-0.4137936
126,0.50650406,0.39567405,-2.2896993,-1.8041408,0.23989034,-0.024374485
127,1.5067028,-0.9320985,-1.7204593,-0.6214158,1.9872705,0.37500632
128,-0.67330754,-0.08210027,-3.2535453,-3.2678099,-0.7527979,-0.18995062
129,-0.84542835,-0.42345583,-3.1022878,-2.3373203,-0.93011993,0.12483132
130,-0.6168132,-1.7051753,-5.3271074,-6.0145516,-0.58843714,-1.7601786
131,-1.5650228,-0.10678959,-3.8092387,-3.0171237,-1.38325,-0.13423255
132,-0.46097907,0.17157423,-2.9252958,-1.7744793,-0.75909495,0.14728332
133,-0.30546322,-1.8116232,-2.8777597,-2.2156792,-0.3173337,-1.7150986
134,-0.2698792,0.5457253,-2.8485975,-1.7048616,-0.22689196,0.2853783
135,-0.34671113,-1.0479907,-3.0226815,-2.3713317,-0.4014715,-0.8838514
136,-0.9134302,-1.6468838,-3.9502168,-3.0937953,-0.93798524,-1.5738256
137,0.3443562,-1.0408074,-2.6581762,-1.0119904,0.2147175,-0.8862835
138,-0.6820934,-0.859959,-3.0377376,-2.3934903,-0.7362263,-0.81274945
139,0.26348254,-0.17081285,-2.4853284,-1.762699,0.41515213,0.058029577
140,0.8166361,0.83566666,-2.3611968,-0.67667496,1.0273786,0.27887303
141,-0.6664138,1.396997,-4.166789,-4.2769628,-0.6343047,1.5601332
142,0.8230134,-0.073440194,-2.0024161,-1.7744997,-0.18102193,0.42636997
143,1.4535731,-0.098223686,-1.637739,-1.2348769,2.0751705,-0.9137055
144,0.72572947,-0.500548,-2.2422128,-1.2821486,0.8551778,-0.7327201
145,-0.8839642,1.0091034,-3.8575206,-3.3396478,-0.56287295,0.7439333
146,0.7782426,1.1591502,-2.1611974,-1.8435206,0.9111275,1.0183598
147,-0.22431383,1.0709642,-3.0041125,-2.0858822,-0.023264438,1.1252822
148,0.060961097,0.33709788,-2.6225946,-1.6338481,-0.07713853,0.148281
149,-0.39743695,0.5845449,-3.0918856,-2.8145332,-0.62845325,0.097359836
150,0.900122,0.089653134,-1.9313362,-1.341078,0.7083915,-0.3002266
151,-0.0808104,-1.5981413,-2.5797248,-1.5584738,-0.08141957,-1.7103912
152,-0.43004534,-2.3937821,-2.9051821,-2.3925447,-0.15936592,-2.3669732
153,-0.09875259,0.42549193,-2.8653991,-2.4761188,-0.16082159,0.027759224
154,1.5815985,0.5914524,-1.6828843,-0.4402678,1.0696757,0.19721839
155,-0.025187701,1.2032366,-2.7169237,-1.9268391,0.16975063,1.396484
156,-0.24518129,1.3729135,-3.1725926,-2.4446962,-0.329143,1.0447829
157,-0.013515025,-1.7501119,-2.7612686,-1.5028301,-0.05303197,-1.7292489
158,0.029329866,-1.0156447,-4.193341,-3.564981,0.01073732,-0.879098
159,0.7898557,-1.1565021,-2.040469,-1.6554768,1.5519319,-1.0233487
160,-0.69541526,-1.0043293,-3.3109183,-2.770545,-1.0599458,-0.46523547
161,0.8177382,-1.4954199,-2.285682,-1.7142484,0.32843173,-1.9245516
162,-0.83088696,0.096670866,-3.2359545,-2.6607604,-0.88271767,-0.04454741
163,-0.38376358,2.4636436,-3.8402147,-4.075675,-0.36067268,2.5780246
164,-0.74239147,1.2756946,-3.8153763,-2.8942747,-0.86916375,1.4811387
165,1.6271216,0.1951685,-1.5983069,-1.9076918,1.8635596,0.21012591
166,0.6150497,0.64757496,-2.232768,-1.8655822,0.6857179,0.90095794
167,1.2565278,-1.7897385,-1.9695334,-0.52239746,1.1906301,-1.3482299
168,-0.6448939,2.08353,-4.169341,-4.1986814,-0.81650776,2.235276
169,1.3483708,0.19424808,-1.9188219,-0.52505344,1.7710242,0.99590594
170,1.5727798,1.0647612,-1.751246,-0.40336227,0.9428653,0.99752647
171,0.13883677,1.1538284,-3.096901,-2.3995547,0.06672977,0.9510111
172,0.032298565,-0.7617425,-2.8579822,-2.5293941,-0.20231463,-0.47587016
173,0.3875682,0.6028343,-2.4052134,-0.9105334,0.3529068,1.071102
174,0.32733378,-1.9984077,-2.728875,-0.9674182,0.59445477,-1.4638938
175,0.9870869,-1.0827519,-2.1372998,-1.1245981,1.1881211,-1.2743803
176,-0.9167433,-0.45276284,-3.4833279,-2.8418531,-0.61684525,-0.41380858
177,-0.24718389,-0.29288578,-2.9897346,-3.1143308,-0.15886277,-0.7026894
178,0.21080229,0.40980017,-2.6371088,-0.37280947,0.54073894,0.4414138
179,0.53352153,0.019150734,-2.2622507,-1.8793198,0.3381571,0.15599568
180,0.19689772,0.50355196,-2.3501687,-0.9795604,0.26531377,0.33591515
181,1.2618405,-0.31334937,-1.877873,-0.64196855,1.7813668,0.79568255
182,-0.7868054,-0.7568371,-3.1822033,-2.3197865,-0.91537684,-0.905099
183,0.7831538,1.0294513,-2.3932796,-0.59040993,0.58406585,1.4365063
184,1.4742814,-0.14949274,-1.5736048,-1.4024198,1.7442089,-0.13345744
