,latent_mean_0,latent_mean_1,latent_logvar_0,latent_logvar_1,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,1.8076308,1.496696,-1.6574848,-0.8475579,1.5432985,0.7387728
1,3.2272406,0.7558794,-1.3450732,-2.731865,3.7008584,0.57537764
2,0.94212484,0.0627681,-1.7686138,-1.7405547,1.0137475,-0.5113325
3,0.73719513,0.18040383,-2.2158718,-4.3505154,0.8485383,-0.017458543
4,1.8775369,0.5877084,-1.6259494,-2.2218204,1.8744463,0.49570784
5,1.4194157,0.38476968,-1.9896935,-3.6780763,1.2887638,0.3967073
6,0.22364146,-2.6386113,-2.9245822,-1.1323158,0.5801555,-3.9301777
7,0.4811876,-0.59185123,-2.4364648,-2.0781884,0.4885718,0.46918797
8,0.24875906,-0.044917226,-2.4926188,-2.0653834,-0.17824882,-0.10438091
9,0.11053249,2.353706,-3.4912338,-2.6670327,0.42216256,2.5124314
10,0.8878387,-1.8396839,-2.0569396,-1.5027474,1.195483,-1.9631044
11,4.4051437,0.7477031,-0.18401313,-0.8960235,3.3843956,1.2682782
12,0.30727896,-0.663744,-2.725132,-3.2018757,0.84817326,-0.5972473
13,1.9194539,0.44520319,-1.7345508,-2.5021849,1.8578943,0.45387793
14,1.1903633,-2.3692799,-2.7244024,-2.0418615,1.3427845,-2.3019836
15,3.0222888,1.4420234,-1.325728,-0.6724336,3.30222,0.26032388
16,3.3189378,0.052289963,-0.7565962,-0.44925022,4.062905,-0.43809956
17,4.226114,0.3171177,-0.9883367,0.47716773,3.8388767,1.0274717
18,2.330544,0.6382742,-1.5044794,-1.7212831,2.2215497,0.45157257
19,1.8429991,0.24608529,-1.9120129,-4.3555098,1.7985638,0.33926392
20,2.2602549,0.90420663,-1.5319948,-1.5390863,2.334759,0.48259583
21,2.904431,-0.47713327,-0.890012,-1.9515461,3.994622,-0.41781372
22,2.403323,1.9490643,-1.5477719,-0.4668752,2.451713,3.1135993
23,0.15825579,-1.4730932,-2.50801,-1.8131337,-0.41397062,-1.6775081
24,5.5936522,1.2635314,-0.3613205,0.94833744,5.6203485,2.3626184
25,0.98097503,0.36192316,-2.0359418,-2.2017505,1.4173677,0.5515576
26,2.43707,-0.2079655,-1.3978112,-1.249264,3.0590835,0.34948856
27,3.6741529,1.120493,-1.1932414,0.19490564,4.0240145,1.9861791
28,2.3307695,-0.009152174,-1.2787192,-1.0836093,2.0242481,0.20039465
29,3.4751916,0.5240685,-0.9262897,0.09883666,2.6569998,1.404586
30,0.7616905,-0.10367823,-2.1298459,-2.5407047,0.6392584,-0.5977609
31,3.4566333,0.2735831,-0.6108557,-0.6818408,3.1399298,0.20239753
32,2.7033074,0.33746755,-1.4554722,0.17298496,2.2634163,1.6267754
33,3.129576,0.19458699,-1.1150154,0.43648517,3.3155189,0.62467015
34,4.6622057,1.9264356,-0.63774633,1.2289828,4.5740285,-0.28955853
35,3.9697134,0.21652144,-0.53539467,-0.17909259,4.1237125,-0.31025863
36,0.44054532,-0.5353838,-2.6575358,-5.5219083,0.33347726,-0.55671674
37,2.8726015,-0.0776571,-1.1498843,0.038883924,2.8255348,1.5343333
38,3.3394952,-0.4057454,-0.52442694,-0.9728595,2.0586843,-0.7885585
39,4.1912885,-0.051170826,-0.77146554,-0.20767945,4.235002,0.40746102
40,3.075201,0.3504119,-1.4455152,-2.2808816,3.69829,-0.06889194
41,3.4584215,1.749887,-1.2690005,-0.6884027,3.8630052,2.7191172
42,1.3404715,0.18158829,-2.9697394,-3.1998081,1.4528838,0.04686305
43,0.35634896,0.2035948,-2.4751787,-0.89439416,0.29154372,0.60103965
44,2.8637128,0.16176277,-1.0790238,-0.18894279,3.7760723,-0.36816025
45,5.053319,-1.4595548,-0.2994132,1.195551,5.585527,-1.7474248
46,4.1475096,0.7688674,-0.8104553,-0.38926196,3.7222672,-0.31843865
47,0.4209911,1.8796129,-2.786088,-2.619989,0.6047232,2.087326
48,3.040101,0.06336689,-0.9753244,-1.1487093,3.45617,-0.5294186
49,5.002564,0.6931473,-0.29679728,1.2258557,4.668335,2.023879
50,3.5937214,1.5394378,-1.0370417,0.94960773,3.1699672,-0.8722687
51,0.31665024,2.8159862,-4.1178327,-4.9610853,0.46391094,2.8286223
52,2.2934685,-1.1830844,-2.0704076,-4.985761,2.7485287,-1.2464567
53,3.9618173,-0.045574784,-0.80174685,0.5880666,3.9991472,1.6385976
54,3.6532977,-0.45987558,-1.1586555,-2.7739067,3.1214461,-0.7705316
55,0.55729425,-0.99641955,-2.5648704,-2.077638,1.1032925,-0.6040252
56,3.757211,0.5422275,-0.9465456,0.90552413,3.630836,1.0753939
57,5.1252418,1.2250232,-0.6177573,0.55523574,5.870241,2.9336274
58,0.004358202,-0.61805713,-2.6359057,-2.0577152,0.021404466,-0.6368076
59,0.9345971,-2.9923549,-2.42663,-0.7622701,1.2238872,-2.6703086
60,1.1056771,-0.3545792,-1.9729345,-2.424981,0.44053233,0.045363337
61,1.7883091,-0.32238948,-1.7808635,-1.0288565,1.4609311,0.063458025
62,2.6653004,-0.40486956,-1.4184368,0.3339666,2.3549225,-0.6226655
63,1.2224396,0.40431917,-1.9186379,-0.6883165,2.1056147,0.46549803
64,2.1335876,1.1717257,-1.5208963,-0.642322,1.6613711,0.49975276
65,0.1726515,0.7992618,-2.707862,-2.9703417,-0.08926922,0.9386778
66,4.575369,-1.767183,-0.8205093,1.1817576,4.221693,-1.2309034
67,0.460359,-0.42198467,-2.5690088,-0.9993032,0.2868771,-0.7408991
68,-0.11136696,-1.7153708,-2.6742218,-1.2406734,0.0607007,-2.6260352
69,0.83720326,0.26527417,-2.0809252,-1.0608034,0.36704716,0.17635305
70,3.0832539,1.9828174,-1.3385642,-0.24851668,3.8330376,1.318285
71,0.4297878,0.9644103,-2.2900324,-3.412036,0.5734663,1.1127805
72,0.9448291,-1.0306431,-1.8145738,-1.9196842,0.14535958,-1.1197939
73,1.0887101,-0.9400681,-1.6631963,-1.842855,1.0071996,-1.0545894
74,2.8596566,0.36605376,-1.1332234,0.10618174,1.9356756,0.97202015
75,3.240437,0.23402417,-0.6227236,-0.88198113,3.3383205,1.2860785
76,1.7337239,-0.111653805,-1.3435422,-1.6907225,2.589834,-0.12131528
77,2.6751702,-0.61488736,-1.2761804,0.101913214,3.3413033,-0.73008
78,5.097873,0.26242512,-0.12258434,0.81982756,7.0050254,0.41209593
79,3.1864443,0.11958277,-1.2635972,0.64530575,2.621293,0.061565027
80,3.42884,-1.0020357,-0.47027087,-1.0970765,3.5602844,-0.74916524
81,3.7193382,1.8077351,-0.9424112,1.3543977,3.3017724,0.757653
82,3.2563114,0.6124124,-1.16793,-2.3477366,2.9176612,0.67693764
83,4.7742953,0.8367678,-0.6224259,-0.99136204,4.7036624,0.26055515
84,3.0308635,-0.30091715,-1.3548844,-2.8092754,2.8498209,-0.37471518
85,2.1973627,-1.3044857,-1.5344653,-0.32526845,2.4239135,-0.23024476
86,0.9672575,0.5709219,-2.0552862,-2.492249,1.0361178,0.59731466
87,5.3971524,-0.60149276,0.10325575,0.8443953,4.677048,0.18316865
88,3.1318877,-0.04656589,-0.9938543,-0.10684574,3.6530406,1.7192975
89,1.3443105,0.64770675,-1.9395272,-2.4667141,0.9142393,1.473544
90,1.3208686,1.6584496,-2.1262717,-0.9907004,0.95423543,1.3047394
91,2.1786094,0.45785475,-1.6703945,-2.9378023,2.6113052,0.6621072
92,3.2756596,0.53934777,-1.4769316,-2.8366494,3.2446864,0.7543565
93,1.9538777,1.3216676,-1.716953,-1.9726136,1.6371292,1.0569232
94,2.430493,-0.16524589,-1.1333914,-1.4234091,2.2004542,-0.3557703
95,3.965714,-0.28174675,-0.8315078,0.99966013,4.3916116,0.7985196
96,3.3982193,-0.6120304,-0.8409065,-0.06520355,2.891907,-1.4853067
97,1.3389986,-0.6490772,-1.6644294,-1.3034283,1.376838,-0.6404235
98,1.8696606,0.32176948,-1.5590961,-1.8224335,1.43654,0.5111427
99,0.73216975,-2.3731484,-2.66403,-1.253943,0.962377,-2.9690917
100,3.350792,1.9735332,-1.0011486,0.70019233,3.9835205,1.2263584
101,4.518352,1.7724366,-0.90812063,1.0279387,5.252214,1.8350711
102,4.56087,-0.7089851,-0.14637518,0.34201634,5.6043487,0.834761
103,1.4490541,-1.2205051,-2.0604799,-1.4337152,1.6282545,-1.674134
104,0.9244046,0.19137877,-1.9540179,-1.5199361,0.6312922,0.52242243
105,2.7644255,0.8978429,-1.4549937,-1.8366607,3.3112323,1.3213434
