,latent_mean_0,latent_mean_1,latent_mean_2,latent_logvar_0,latent_logvar_1,latent_logvar_2,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,1.0667638,-0.48798168,-1.0556301,-3.289139,-2.107006,-2.2414484,1.151473,-0.75468004,-1.1168437
1,-0.2297463,-1.2785964,-1.7706591,-2.509181,-0.95379007,-1.298042,0.15854298,-1.9998345,-1.3402225
2,-2.0210178,-0.15834585,0.35483405,-1.2577431,-0.42550415,-0.9498763,-1.619612,-0.7579001,0.8085196
3,-1.8031907,-0.0125391185,-0.42764094,-1.5120811,-0.12510455,-0.8676945,-1.6402714,-0.10400899,0.24459174
4,-0.52394295,-1.1342432,-1.0565279,-2.2677207,-0.75202084,-1.2745683,-0.732242,-0.9301753,-0.04165554
5,0.6177058,4.635213,2.841238,-3.3513906,-2.4421434,-1.8279557,1.075959,4.214084,3.535524
6,0.24756743,-2.6944008,-0.78327626,-2.5449302,-1.7740374,-1.6434941,0.23996389,-2.3273466,-0.22913128
7,-0.19849275,-0.95743656,0.36039722,-2.4371834,-0.91928977,-1.3679004,-0.20083892,-0.06392825,0.68429255
8,0.6473836,0.019026607,0.18059963,-3.1718798,-1.9861252,-1.898016,0.52346456,0.32450598,0.2924842
9,-1.1031917,-1.1925435,0.3261627,-1.783351,-1.1231539,-1.319783,-1.1530812,-0.618056,0.5168271
10,0.13064425,-0.24210574,-1.4447771,-2.8124044,-1.3246541,-1.6823062,0.27622402,0.25235552,-1.3277059
11,-0.013709411,-1.2847265,-0.7782201,-2.453217,-1.9446461,-1.4252245,-0.049220942,-1.6812738,0.10844356
12,-0.5360628,-0.45381463,1.0388707,-2.2775364,-1.6100488,-1.2189165,-0.7087206,-1.0222993,0.4410181
13,-0.54206645,-0.29541266,-0.036406815,-2.2598448,-1.2061092,-1.2698438,-0.40787032,0.7973105,-0.056818277
14,-0.19365458,-2.521328,-0.5578638,-2.3749056,-1.2347245,-1.4625913,-0.2134338,-2.0583694,-0.19775227
15,-1.4358286,-1.0940297,-0.4690249,-1.6799107,-0.22829759,-1.0119452,-1.0208688,-2.4046383,-0.4367779
16,0.38552868,1.3058996,1.0085622,-2.9084196,-0.66823936,-1.5796708,0.5367059,2.6794848,0.91969246
