,latent_mean_0,latent_mean_1,latent_mean_2,latent_logvar_0,latent_logvar_1,latent_logvar_2,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-7.1778207,-1.3723047,0.45213783,1.4556906,-0.12073028,-1.3099118,-6.8191085,-2.2886653,1.2563673
1,-2.5269983,-1.1090498,1.6329794,-1.0490744,0.23332703,-1.4337337,-2.2990246,-0.41912568,0.981422
2,-3.906295,-0.8139446,0.106785774,-0.53170776,-1.1473787,-1.5715982,-5.261964,-1.4204528,-0.33821523
3,-2.6239789,-3.6795537,-0.81138164,-0.7068231,-3.3102307,-1.1925306,-2.9661746,-3.955324,-0.34701934
4,-0.689925,-3.3899689,-1.0303926,-2.0123782,-2.079987,-1.2175586,-0.45006472,-3.4252722,-0.37844753
5,-4.3194585,-3.1176147,0.38218993,0.15850854,-2.5646133,-1.7891841,-3.8153517,-3.190285,0.6502546
6,-1.778061,-0.037843883,3.3590813,-1.4494627,-0.79482186,-1.3763598,-1.8713684,-0.009921994,3.0463064
7,-3.0682929,0.030602992,-1.3313881,-0.9961717,0.41083598,-0.4746126,-3.4882498,0.31910503,-0.23036492
8,-5.836833,-1.3805232,3.7814364,0.9501574,-1.2072955,-1.8281999,-6.546049,-0.5605858,3.9650102
9,-2.6965775,-1.4151204,-2.4273791,-1.1407497,-0.7019611,-0.2781124,-2.774115,-1.3796774,-1.6159277
10,-0.43256396,-0.6963378,-2.7311864,-2.5272741,-1.468025,-1.1819161,-0.33829623,-0.77778095,-3.0055237
11,-6.3369155,1.9577079,-0.6405074,0.59048724,0.39589393,0.35848093,-4.844492,2.9553287,-0.5978665
12,-2.074366,1.7586522,-0.3027413,-1.4624732,-1.2942706,-0.46300137,-0.94086754,1.3624314,-0.58975244
13,-4.6149817,-0.71492004,1.8823723,0.09696269,-1.3228655,-1.4591918,-3.448063,-1.359675,1.3945379
14,-0.22070824,2.638746,0.27404627,-2.699737,-2.027961,-1.4669995,-0.39564985,2.6047955,0.57172644
