,latent_mean_0,latent_mean_1,latent_mean_2,latent_logvar_0,latent_logvar_1,latent_logvar_2,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,0.42161366,0.1756497,-0.5784112,-1.4207624,-2.4857283,-0.608854,-0.16647914,0.19100288,0.7369542
1,-2.2146184,0.329119,-0.17521459,-1.256179,-2.3253355,-0.93097967,-2.140337,0.6937796,0.32916057
2,-1.4188012,0.4817454,0.5346532,-1.4314817,-2.3794532,-1.1800153,-1.2838668,0.5330115,0.94552505
3,1.269913,0.64635724,-0.6108189,-0.57174194,-2.3399026,-1.525115,2.4911687,0.5626692,-0.012165248
4,-1.0615311,1.5260295,-0.44716397,-0.6777561,-1.6191316,-0.51123756,-0.82806647,1.0293896,-0.18689063
5,-0.61141056,0.010513283,1.0232219,-1.8508345,-2.8953729,-1.9910266,-0.37465656,0.1005678,0.5376585
6,0.25525236,-0.32037187,-0.7486669,-1.6681978,-2.8018417,-1.2803655,0.5690681,-0.10985577,-0.86601037
7,-0.91328853,0.52294874,1.0506724,-1.56105,-2.3764496,-1.1215553,-0.25399816,0.3345229,1.2517769
8,0.5847083,0.8370197,1.9170624,-0.9430689,-2.201349,-0.32871252,1.5841005,0.49015018,1.9668536
9,0.25640035,1.0419459,-1.2008973,-0.79573464,-2.1439157,-1.4773446,1.5958648,1.2177254,-0.786935
10,-0.41365844,1.0600399,-0.83346105,-0.84157777,-1.9765458,-1.2467644,-1.6265311,0.93784285,-1.0118438
11,-1.1063477,0.14006782,-1.2355891,-1.6886497,-2.518524,-0.72546774,-0.92641836,-0.056047276,-0.5235227
12,-0.31079704,-0.14406455,0.3949988,-1.7307355,-2.8491786,-1.4682587,-0.41091597,-0.0700751,1.0256443
13,-0.46146238,0.29130322,-0.98079854,-1.2263764,-2.780239,-2.2909124,-0.670434,0.51944953,-1.6963363
14,0.26562518,0.79542583,-0.7154666,-0.99904263,-2.1435058,-1.1860106,0.20098223,1.1588246,0.72115195
15,-0.033064254,0.4002783,-0.27319473,-1.3618248,-2.4261796,0.39795023,-0.09022723,0.18420856,-1.4551849
16,-1.7636906,-0.009575717,0.8473964,-1.6933545,-2.7121491,-1.5899339,-1.9329114,0.19053322,0.226569
17,1.0884835,-0.3135186,-1.5230422,-1.9465694,-2.966967,-1.8413677,1.6598558,0.25290492,-2.0521257
18,-0.6802121,0.20724934,1.0633321,-1.6998992,-2.6125119,-1.3829494,-1.2006944,0.09277228,1.5570008
