,latent_mean_0,latent_mean_1,latent_mean_2,latent_logvar_0,latent_logvar_1,latent_logvar_2,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,2.387586,-0.34197637,1.6966712,-0.7414892,-1.2086122,-1.9640932,1.4172217,0.016043216,1.6055413
1,-2.279487,-1.1031238,1.2077774,-1.8712447,-2.905977,-2.4103506,-2.3282316,-1.1510255,0.98888046
2,-1.1376894,-0.941665,1.7435448,-2.0259833,-1.3896124,-2.139848,-0.89288354,-2.094583,2.1427722
3,-1.927378,-0.98974377,1.8406298,-0.9026156,-2.2996907,-1.7943375,-1.5753179,-1.1001366,1.4509652
4,-1.4145453,-0.75477177,1.0602179,-1.555322,-1.7699606,-2.2139986,-1.5858312,-1.3647839,1.5342228
5,0.8193936,-2.7015233,0.89679813,-2.6718526,-1.2304409,-2.6631052,0.69992125,-2.817926,1.055217
6,-2.1416185,1.5270739,2.6704698,-0.24996674,-0.6697703,-1.1952641,-4.727644,0.9637824,3.537114
7,0.08471615,-2.3151495,1.3425646,-1.7288125,-3.0215461,-2.867468,0.25569054,-2.2768726,1.3589605
8,0.41669816,2.2860978,0.054249823,-0.702685,-2.3652143,-2.711598,-0.71868247,2.21729,0.60316163
9,-1.265724,-1.0640969,1.6919813,-1.517185,-1.7426691,-1.841532,-0.44222218,-1.93141,2.2139945
10,-1.3221529,2.135941,0.52776146,-2.1373265,-0.9584598,-2.585657,-0.90780455,2.8187883,0.23023316
11,3.9367938,-0.13290654,0.45623595,-2.340302,-1.7346075,-3.4318614,3.8930554,0.469014,0.22143993
12,3.101575,1.5651109,0.68924105,-1.9937316,-2.118377,-3.3412697,3.009903,1.5615704,0.76789904
13,-2.47375,-0.06250785,1.3814026,-1.5787579,-1.1534014,-2.2785833,-3.3273575,0.38816106,1.7952489
14,0.20098162,3.4603434,0.9463471,-2.9566092,-1.3809283,-2.9512084,-0.17607188,3.5618856,0.68838114
15,-0.8761572,1.8900291,0.42980158,-2.2225935,-1.1978598,-2.6256082,-0.88537073,2.3281658,0.13446862
16,-0.0026033446,0.90276,2.6350322,-0.18842405,0.055897355,-0.9582243,1.0281893,0.6950715,3.2789376
17,-1.0308769,-1.0146946,2.0009155,-0.5015038,-1.6290731,-1.7378318,0.17034101,-0.67497593,2.220574
18,0.9602936,-1.6488951,0.73793024,-2.6608467,-1.729105,-2.7595663,0.9637083,-2.2679515,0.53334296
19,-0.7325307,5.0337896,1.2205877,-2.7454963,-0.3619334,-2.434082,-0.71639514,4.5780897,1.2271827
20,0.23197663,-1.7550098,0.92863226,-0.77624846,-1.8729444,-2.397429,0.954785,-1.6623173,0.76131475
21,-1.7835249,-0.24689679,0.7848523,-1.1426281,-1.1308215,-2.0574486,-1.4954786,-1.3065866,1.0192994
22,-1.089288,-0.63163567,0.48359796,-1.101383,-1.3902814,-2.193769,-1.445961,-0.7677729,0.21908548
23,0.16230053,0.13634898,2.7635405,0.41516596,-0.111869216,-1.1337088,2.1147752,1.7958922,2.9451199
24,-1.2542148,-2.4865978,0.94212747,-2.0798988,-3.9598103,-2.9992232,-2.1148684,-2.451432,0.99274755
25,0.71413875,3.7428648,2.2145371,-0.5532043,-1.3086665,-2.0388772,-0.9039651,3.994925,2.2051048
26,-0.2672575,5.032559,2.0866766,-1.6093234,-1.0500956,-2.104457,-0.71307015,5.876699,1.8006022
27,0.45762002,2.3958101,2.1898646,-0.31621385,-0.33005446,-1.4529686,2.0936677,1.9787763,2.861301
28,-0.3548314,2.141846,1.035115,-2.4851098,-0.65128726,-2.6376805,-0.29126376,0.9732542,1.3839556
29,1.2156129,0.9354163,2.4521663,-0.072350055,-1.0155156,-1.6880467,1.6357781,0.28999168,3.2616735
30,-1.4361827,-0.3307034,2.2246804,-0.9925281,-1.3874485,-1.5214486,-1.0587331,-0.3766111,2.058137
31,0.10342724,0.39356247,-0.15299213,-1.9616096,-1.8641868,-2.7522328,0.034077823,1.1809384,-0.56339717
32,-2.2909987,-1.3344159,1.9195514,-2.3967977,-3.2761428,-2.3044276,-2.572655,-1.4953687,1.556494
33,-1.526379,-0.25434363,0.14545265,-2.476488,-1.6361823,-3.2455008,-1.7109772,-0.26198223,-0.1177949
34,3.836899,-0.4357067,0.50561625,-2.2278957,-1.4328666,-3.2449565,3.5921636,-1.5303929,0.6774695
35,1.4061503,0.50977546,2.2860887,-0.25267613,-1.0070935,-1.7664769,1.1077635,0.15842989,2.7228513
36,2.1953835,3.2265403,1.3796768,-1.6199828,-2.498591,-2.9634254,3.2413778,2.832931,1.0732127
37,1.297361,2.6009455,1.3684666,-1.1825912,-1.7344177,-2.2093694,1.532222,2.8058074,0.95247674
38,3.1031156,-0.63441455,1.023748,-1.4801434,-1.2871377,-2.2562473,2.9885411,-0.3993827,0.91600776
39,0.13015288,-0.22316925,2.4273753,-0.25625497,-0.058829427,-1.213991,0.19574896,1.0092077,2.1904097
40,-1.8518374,2.8036118,2.406077,-1.5206987,-0.5530245,-1.737807,-1.8868299,1.9102918,2.8069239
41,1.6750678,1.5238091,0.83603287,-0.88984406,-1.7045879,-2.370403,2.4047766,0.95679224,1.3320081
42,-2.999632,-0.42233005,2.3022327,-1.1174796,-1.9360011,-1.3098131,-3.4026046,-1.0269095,3.121047
43,-0.4217816,-1.6814129,1.1333702,-1.5125121,-2.414081,-2.3652027,-0.9623084,-1.3581212,0.77585375
44,-0.83983046,-1.0850149,0.41638392,0.51439744,-2.0350935,-2.3697965,-0.8398741,-1.3171299,1.0564505
45,-1.6144979,0.65740204,1.8570076,-0.5553933,-0.5956772,-1.6173232,-1.067242,0.0892874,1.9379894
46,-0.44507736,-0.24671225,1.1863669,-1.5393041,0.05349821,-2.1557667,-0.8687027,-1.5358067,1.0841037
47,3.8409958,-1.8776295,0.54374444,-2.632256,-0.7593352,-3.014512,3.9985788,-2.1902988,0.61226916
48,-1.668988,-1.5769795,1.210165,-2.0836778,-2.536592,-2.6784322,-1.9880787,-1.700257,1.0968101
49,-1.5112393,-2.0194998,0.95696104,-1.6760426,-2.7981076,-2.6109853,-1.3562897,-2.1129892,1.040427
50,-0.5967371,-2.8796065,1.0404674,-1.2689505,-0.9152929,-2.3033667,-0.97737503,-2.7833047,1.3061869
51,2.056033,-2.058142,0.7731289,-1.9249362,-0.89138657,-2.353544,2.2928972,-2.4384384,0.6080612
52,1.0780563,-0.9701828,2.063053,0.113084555,-0.29976928,-1.4419286,0.5671733,-0.108489275,2.0875213
53,-0.10702359,-0.65760523,-0.18324155,1.0780164,-1.6324956,-3.035413,-1.0787418,-0.6816333,0.1433799
54,0.3497756,3.1326838,1.0292133,-2.547793,-1.4570758,-2.5545707,0.50000715,3.447939,1.1807405
55,2.9766946,-0.5142004,-0.12798363,-1.2471677,-1.6162326,-2.9795654,2.6523142,-0.682535,0.018054143
56,-0.38897353,-1.4421829,1.7279339,-0.8820491,-1.9446363,-2.1891012,0.7278809,-1.7439225,2.0589447
57,2.5561519,1.6903745,0.116370484,-2.247878,-2.149536,-3.2021172,2.705129,1.7936481,0.16122106
58,-0.3807541,1.3159376,0.9656676,-0.22881901,-1.0083985,-1.7565653,-0.6403443,1.1433256,1.4124422
59,-0.47885865,-0.28816423,1.4193234,-1.240916,0.5823365,-1.7011805,-0.36334705,-2.0745919,1.0847492
60,-1.7931994,-1.0288296,0.630427,-1.5484178,-2.5029888,-2.3754947,-2.1849134,-1.2459922,0.74942684
61,-0.08707815,0.5323926,1.8815694,-0.7578033,-0.10884875,-1.3810861,0.23882332,0.18177718,0.8638108
62,0.96484536,-2.04009,1.0851663,-2.105991,-0.90607214,-2.3699718,0.9869373,-2.07503,1.0298026
63,-0.9258767,2.785081,-0.17651832,-2.172934,-1.4741712,-2.6721492,-0.41575116,2.2291398,0.06773579
64,-1.3898253,-1.2350324,1.8310716,-2.016105,-2.4526367,-2.0080328,-1.8417726,-0.6809201,2.3017337
65,0.8270485,-1.3503077,1.2172061,-1.9244335,-0.92603564,-2.2436745,0.9999277,-1.5121518,0.39890325
66,-0.4790085,-0.9164371,2.1058688,-0.4742236,-0.9546458,-1.587146,-1.224968,-0.7726543,2.4643097
67,-1.8914466,-0.74622273,0.7035796,-1.0409433,-1.9387007,-2.1143868,-1.6525402,-0.43669975,0.54759675
68,1.1902016,-1.3066679,0.40246746,-1.5712324,-1.1992555,-2.4018784,0.38944906,-2.1738331,0.18012187
69,-2.4945087,-0.018294584,2.3902676,-0.91455173,-1.5277469,-1.4493961,-3.228397,0.52725315,1.8289354
70,3.4278398,-0.048582416,1.1987681,-1.6241118,-1.442714,-2.736242,3.0586057,-0.79139674,0.50137365
71,-1.415765,-0.9948708,2.2708356,0.4995398,-1.6361468,-1.6701486,-3.0140114,-1.7862976,1.6014422
72,0.7205841,-1.7364578,0.5276603,-1.9482175,-1.6016695,-2.550828,0.93154985,-2.067899,0.6464847
73,-2.149188,-0.91642994,2.1071784,-0.2445978,-2.1633623,-1.7217741,-1.2434354,-1.0507622,2.3747144
74,4.914784,-0.11503945,0.50164765,-2.6922073,-1.3371587,-3.549788,5.171443,-0.56123775,0.54422826
75,0.6723908,-2.353994,1.1964562,-2.411717,-0.9152275,-2.3672385,-0.09875107,-2.040934,0.92139304
76,1.3189907,0.013946611,2.381119,0.01569581,-0.6615998,-1.5540131,1.6115197,-0.817831,2.0794945
77,-0.018341832,-1.1665177,1.6060462,-0.38791734,-1.4539034,-1.8861172,-0.007165405,-0.7399967,1.7660533
