,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-0.019692715,-1.329763,-0.45899028,1.5082161,0.41530496,-0.05623436,-0.622651,-2.8615355,-1.0545058,-1.6852661,1.1138513,-1.6219616,-0.65107024,1.1204268,0.12780243
1,0.009398377,0.088159665,0.6796298,1.5773057,0.6975963,-0.08917546,-0.47543424,-2.1453166,-0.8481647,-1.1815315,0.36580342,-0.5998854,0.31720272,1.9522201,0.53987837
2,0.008647034,0.88076425,0.2959448,1.9738542,-0.42962492,-0.072799504,-0.89974964,-2.3515515,-0.9728664,-1.2755604,2.1133323,0.19558746,0.4377001,1.6750636,-0.46898758
3,0.018434426,-0.8872889,0.8087046,-0.32645795,0.6624699,-0.07480011,-0.42750785,-2.0018055,-0.65118724,-1.2788242,-0.031764865,-1.1454314,0.64349496,-0.7636199,1.9257679
4,0.005478127,-0.18074739,0.09725094,1.8775315,1.1117494,-0.071467176,-0.5504383,-2.5548294,-0.99007326,-1.4783489,0.64091915,-0.06649081,0.3768115,1.1737447,0.4625578
5,0.00024784543,-0.1415844,-0.38253158,-0.53486025,0.067833126,-0.027650142,-0.83821905,-2.9067235,-0.8533012,-1.7541804,0.40114725,-1.1985865,-0.54391634,-0.19986746,-0.19448987
6,-0.0082400255,-1.0497165,0.31926584,0.29867557,0.05272892,-0.056924358,-0.6885581,-2.3265224,-0.8204031,-1.3857898,0.11624728,-1.4845016,0.757439,-0.21214625,-0.5412717
7,-0.013714779,-1.3786368,0.28937554,-0.8061769,-0.96555537,-0.05590844,-0.8109586,-2.3920255,-0.6097746,-1.2421367,2.0994923,-1.4919897,0.07886624,-0.42318407,-1.0317093
8,-0.015165818,0.2251894,0.004279256,1.3716414,-1.40323,-0.056784615,-1.0330245,-2.518519,-0.93184984,-1.2008917,-0.3118603,1.5401915,0.29304922,0.6926479,-1.3308196
9,0.0001578778,1.227048,-0.25782388,2.372032,-0.67815644,-0.0672586,-1.1051759,-2.6978438,-1.3045218,-1.4931692,-1.3749765,1.8920503,-0.18556109,1.8907908,-1.213983
10,0.041498892,0.65137607,0.832649,-1.2135165,0.86678326,-0.05366353,-0.39283377,-2.0837293,-0.58008367,-1.41247,0.08602623,1.4915911,0.77822244,-0.3232876,-0.19236147
11,0.008145874,0.4301514,0.83154,0.35453612,-0.67820054,-0.06610149,-0.7719016,-1.9615355,-0.46969667,-1.0538212,0.4615883,0.5508424,1.3062973,-0.8613648,-0.6821849
12,0.031360053,1.3557206,0.86445534,-0.12429151,-0.23333836,-0.059284218,-0.8240042,-2.0197368,-0.40400213,-1.2058744,-0.59045774,1.5801339,0.3304063,-0.5183083,-1.4420161
13,-0.009048121,0.55041194,0.039137006,-0.571228,-1.734235,-0.03883236,-1.1968453,-2.5596051,-0.53244877,-1.2478274,0.6401672,-0.33744794,0.09395571,-0.84655637,-2.6272957
14,0.010703376,1.0460715,-0.2978409,-0.64236546,-0.4482792,-0.032434992,-1.0760767,-2.8318853,-0.76387167,-1.6935316,1.3869522,0.8044954,-0.43007052,-0.32948264,0.38790888
15,-0.010320881,-0.7898271,0.61618257,-0.9589038,-1.1630764,-0.052556068,-0.82192004,-2.135818,-0.40216205,-1.0895784,0.80008596,-0.80058503,0.998242,-0.060296774,-1.0511601
16,0.016979748,-0.00048229098,0.39449656,-0.28982595,0.62196594,-0.051246688,-0.5956259,-2.3138247,-0.74607193,-1.4920487,1.0536124,-0.8258513,0.29072115,1.6792054,0.7499634
17,-0.002657393,-0.76620245,0.8950943,-0.6344888,-0.9091472,-0.06444978,-0.7090615,-1.9156549,-0.39375415,-1.0175338,-0.48239517,0.60370743,1.0038626,-0.1220237,-1.892686
18,0.0067220367,-0.5611918,0.9393308,-0.52730775,-0.46519244,-0.064041905,-0.6448412,-1.8625975,-0.4368445,-1.0902859,-0.8534334,0.31380248,0.046912253,-1.3672054,-0.28742462
19,-0.016653983,-0.7884214,-0.091412246,1.0468745,-0.34938824,-0.05059261,-0.7618084,-2.6177487,-0.9770254,-1.4192257,1.0924988,-0.98670566,-0.39750588,0.24403101,-0.41694146
20,-0.017540064,-0.8538929,0.4853958,1.4366249,-0.61671716,-0.07914364,-0.73377955,-2.1743495,-0.8689957,-1.1284839,0.24448514,0.02284795,0.4209603,1.6314094,-0.45234704
21,-0.016201187,-1.3158728,-0.13567007,-0.96574724,-1.7548485,-0.0586271,-0.91789675,-2.6915078,-0.6838327,-1.2696769,0.121892154,-0.25575864,-0.2711435,-1.5952194,-0.7840917
22,-0.010320689,-0.69681656,0.39822328,-0.48587427,-1.0909252,-0.05101788,-0.8540796,-2.2752166,-0.55053234,-1.1719825,-0.4455689,0.13989449,0.26686627,-0.8809102,-0.82639515
23,0.0304367,0.9942564,0.11146277,-0.7741332,0.47973448,-0.03744657,-0.8846892,-2.5690894,-0.75784737,-1.7157038,0.6971949,0.8566563,0.83266807,-0.55693585,0.50061256
24,0.010991791,0.33712566,0.27909887,-0.19327602,-0.21751267,-0.040709466,-0.8746438,-2.326179,-0.6413489,-1.4103754,0.23354374,-0.49829537,-0.120381206,0.16832489,-1.1075448
25,0.027963141,0.6850672,0.25684118,0.735268,1.2128289,-0.06295929,-0.51944435,-2.4793882,-0.9295157,-1.560679,0.896888,2.2320561,-0.023041368,0.02662319,1.9205909
26,-0.0004470162,0.5471413,-0.6561647,-0.5414442,-0.55301446,-0.030302312,-1.0103911,-3.082436,-0.8561165,-1.7747763,-0.77964514,0.6827645,-0.75072837,-0.65844977,-0.03226924
27,-0.009896807,-0.12866253,-0.4100094,0.9989116,0.056859553,-0.03597773,-0.71640867,-2.8255224,-0.9572176,-1.6687826,-0.040819965,-1.3980467,-0.31661594,1.1168139,-0.80633724
28,0.054944456,2.7011197,-0.03199035,0.2331844,-0.19285887,-0.053762823,-1.3585765,-2.7047603,-0.8566847,-1.7215486,-0.15281563,2.8149638,-0.6475263,0.32118693,-0.5285498
29,0.02165212,0.868328,0.18782765,0.4870106,0.0797967,-0.04592368,-0.8825418,-2.4442654,-0.773457,-1.4999793,-0.14216486,1.6239607,0.56994677,0.20700091,-0.5540036
30,-0.015207166,-1.3690757,0.61001706,1.3620355,0.053595573,-0.09754479,-0.58067095,-2.1139474,-0.8963392,-1.1584357,1.2715211,-2.428907,0.81733847,0.53819585,-1.233725
31,0.021664193,0.81311345,-0.18544668,1.2120335,1.108074,-0.053064585,-0.63934815,-2.7618337,-1.0368782,-1.7745081,0.090450004,1.9848745,-0.5992944,2.0029628,0.7845503
32,0.00048652105,-0.086592525,-0.79907423,-0.39576718,0.9756936,-0.014563063,-0.75399745,-3.1225545,-1.087818,-2.020846,-0.18542114,-0.7859746,-0.56220937,-0.908617,1.0211155
33,0.028544115,1.8366455,-0.19055432,1.0267761,-0.07316011,-0.052424848,-1.062283,-2.7335877,-0.9748854,-1.7095586,-0.21204232,1.1844668,0.12554568,0.7531862,-0.5554613
34,-0.0046390872,-0.23914155,0.13294744,0.56866825,-0.37333375,-0.045629926,-0.8062602,-2.420691,-0.8311091,-1.3762474,-0.35468894,0.21791741,-0.043043748,1.2332022,-0.8425509
35,0.020070603,-0.45931378,0.787619,0.38024938,1.0062845,-0.08354677,-0.3423627,-2.0563803,-0.7220556,-1.2591602,-0.14817603,-1.9114404,0.92222226,0.3658931,1.4173325
36,0.01139356,0.563354,-0.10200107,-0.7237288,-0.26715147,-0.033742145,-0.9761541,-2.7002678,-0.72026694,-1.6332098,-0.4001735,0.34125435,0.07609746,-1.4268117,-0.7111696
37,0.0242162,1.4545683,0.1434887,1.5585957,-0.090548515,-0.06115056,-0.9540515,-2.4888453,-0.9569657,-1.4740832,-0.7138114,2.9929175,0.758997,0.81915057,-0.35859537
38,0.013852032,-0.6847092,1.3495739,0.61854076,-0.15075886,-0.105218984,-0.37035558,-1.6189713,-0.4991078,-0.869518,1.3006095,-2.207944,0.94309783,-0.064309776,-0.17842178
39,-0.0046929196,0.42138243,-0.68990296,-0.11127773,-0.55653256,-0.03394316,-0.91502655,-3.0939846,-0.90745527,-1.7497777,0.21951085,0.06467384,-0.2908981,-0.2348809,-0.13088238
40,0.030925466,1.0388927,0.39602745,-0.57415307,0.38091943,-0.046702743,-0.77405286,-2.3705812,-0.66817415,-1.5589454,1.5753309,0.6272951,0.7711577,-0.20666572,1.2745231
41,0.016265905,0.17573309,-0.10745478,-1.6432741,0.3959254,-0.023554202,-0.89530694,-2.7088752,-0.7151881,-1.7884092,0.9751978,0.3143965,0.08518995,-0.7028073,0.22451648
42,0.016724607,0.58861804,0.7746663,1.1666303,-0.392071,-0.078716196,-0.7286661,-2.0125995,-0.6388103,-1.1006489,0.73720616,1.5740755,1.4152472,-0.491125,-0.28349784
43,0.03167914,0.78085136,0.5619358,-0.6359186,0.5275808,-0.050006367,-0.6217401,-2.2356057,-0.633879,-1.4685357,-1.721135,1.7558885,0.81188935,-0.5539312,0.3421521
44,0.018651841,1.1463336,1.1047246,0.8497969,-0.9706158,-0.08445766,-0.836342,-1.9140939,-0.41623017,-0.916229,-0.6737516,0.57211876,0.5557823,1.1875209,-0.26306295
45,0.04428544,1.4396718,0.5534059,0.22657676,0.5134361,-0.061106376,-0.74192905,-2.258811,-0.6940332,-1.4555252,0.30869862,2.7735925,0.61856294,0.39839035,0.100892335
46,0.00020579249,0.29660034,-0.19265616,0.4942604,-0.18904501,-0.03773091,-0.8759012,-2.6911707,-0.86086035,-1.5729369,0.5533929,0.28632325,-0.60518104,0.8273856,0.43587786
47,-0.005648434,0.03900215,0.62270224,0.17255124,-1.2376647,-0.058571078,-0.92821443,-2.0804362,-0.50672305,-1.0373218,0.74271274,-0.431611,0.50907385,-0.075500935,-1.6258715
48,0.019404901,0.37632513,0.58675694,0.82136536,0.47916257,-0.07159086,-0.54997706,-2.1490932,-0.73558307,-1.2870691,0.6021071,0.2770434,0.82600915,0.5785793,-0.024543643
49,0.026760077,0.10742676,1.2010759,0.53720117,0.30602568,-0.08972539,-0.3480256,-1.751052,-0.49840558,-0.99123186,-0.14138651,-0.877205,1.3113532,1.5972943,-0.32726663
