,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_mean_5,latent_mean_6,latent_mean_7,latent_mean_8,latent_mean_9,latent_mean_10,latent_mean_11,latent_mean_12,latent_mean_13,latent_mean_14,latent_mean_15,latent_mean_16,latent_mean_17,latent_mean_18,latent_mean_19,latent_mean_20,latent_mean_21,latent_mean_22,latent_mean_23,latent_mean_24,latent_mean_25,latent_mean_26,latent_mean_27,latent_mean_28,latent_mean_29,latent_mean_30,latent_mean_31,latent_mean_32,latent_mean_33,latent_mean_34,latent_mean_35,latent_mean_36,latent_mean_37,latent_mean_38,latent_mean_39,latent_mean_40,latent_mean_41,latent_mean_42,latent_mean_43,latent_mean_44,latent_mean_45,latent_mean_46,latent_mean_47,latent_mean_48,latent_mean_49,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,latent_logvar_5,latent_logvar_6,latent_logvar_7,latent_logvar_8,latent_logvar_9,latent_logvar_10,latent_logvar_11,latent_logvar_12,latent_logvar_13,latent_logvar_14,latent_logvar_15,latent_logvar_16,latent_logvar_17,latent_logvar_18,latent_logvar_19,latent_logvar_20,latent_logvar_21,latent_logvar_22,latent_logvar_23,latent_logvar_24,latent_logvar_25,latent_logvar_26,latent_logvar_27,latent_logvar_28,latent_logvar_29,latent_logvar_30,latent_logvar_31,latent_logvar_32,latent_logvar_33,latent_logvar_34,latent_logvar_35,latent_logvar_36,latent_logvar_37,latent_logvar_38,latent_logvar_39,latent_logvar_40,latent_logvar_41,latent_logvar_42,latent_logvar_43,latent_logvar_44,latent_logvar_45,latent_logvar_46,latent_logvar_47,latent_logvar_48,latent_logvar_49,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,0.018827634,-0.0017329953,0.027292378,0.00075783394,0.026723318,0.01747478,0.008569939,-0.005210162,0.0016252846,0.023405325,-0.010882388,0.018156206,-0.043683708,0.00028865598,0.029498797,0.032687284,-0.019751875,-0.0029582027,0.023038464,0.017096233,0.0025146941,0.018980522,-0.017422147,0.0151837785,-0.014718489,0.0128104985,-0.031681046,0.013959685,0.014798265,-0.0014019678,-0.00081981206,0.033437878,-0.03287187,-0.009418912,-0.0067457734,0.01283603,-0.0043352246,0.021499194,-0.0037031742,0.012976877,0.016408807,-0.0025148313,-0.011153417,-0.013728545,0.5604425,-0.008344202,0.01790423,-0.03651169,-0.7405355,-0.020919053,0.022821445,-0.018562809,0.0042436006,-0.003183107,-0.012349559,-0.011021968,-0.0036565615,0.004069239,0.010654135,0.024114244,-0.008656096,0.024037082,-0.009085331,0.008268302,0.0014483104,0.010124308,-0.013794521,-0.03192807,-0.0010815053,0.034331035,0.0155623695,0.021161877,-0.0090140235,-0.042212285,-0.024944194,0.018746657,0.0052217487,0.008434057,-0.010113544,-0.009978339,0.013625747,0.0012497944,-0.027550263,0.012142008,0.0066176914,0.013829432,-0.026067501,-0.00058387406,0.0013753362,-0.03360073,-0.005150042,-0.017672837,0.03050768,-0.007236571,-2.26435,-0.009480888,0.0068153357,-1.3561068,-1.3199356,0.007835802,0.7695907,0.06619746,-0.36316007,0.27193153,-1.2045097,0.94231385,-1.4425825,0.8033274,-0.25327706,-1.1374451,-0.010240543,-1.8553202,0.68867075,1.497909,-1.1245785,0.3471621,0.8403232,-0.41213584,-0.8974062,0.38470367,1.1429713,0.9952564,2.050098,-0.375787,1.3759599,0.44693878,1.7139663,0.006548561,-0.51126695,-0.3114017,-1.1317431,1.2370814,1.3096945,0.9883776,-0.29128414,-0.8210452,-0.06475383,-0.20004407,0.17176694,-0.021036271,0.32944095,0.9646879,1.447391,-0.37093267,0.053002357,0.3189177,0.1472809,-0.028600756,-0.3228995,-0.5482601
1,0.023168005,-0.0069987434,0.011470181,-0.004871265,0.011655897,0.01806771,0.017590858,-0.008505,-0.0022139642,0.02045717,0.006951819,0.017900473,-0.019682169,-0.004221419,0.02445777,0.019665254,-0.006569135,0.008217151,0.011575103,0.009639127,0.010478271,0.026357733,-0.02524387,0.014388366,-0.010838016,0.028197927,-0.007995341,0.0151130315,0.0053310925,0.007099728,0.012271002,0.02614341,-0.021375794,-0.0064336015,-0.0025030198,0.0027320506,-0.012589226,0.011077443,0.0069530034,0.00879401,0.02067356,0.0029878076,-0.013148528,-0.003587491,-0.2984712,-0.012295201,0.0008736281,0.15076047,0.88900244,-0.007081642,0.022732524,-0.045870505,-0.0056323875,0.027360342,0.007079587,-0.017509544,-0.00011595059,0.021436602,0.0068188985,0.004121572,-0.016909603,0.010592317,-0.006327913,0.0016768016,0.0073230276,0.002257919,-0.0078472365,-0.029493392,0.0048074247,0.017164838,0.01641154,0.012807564,0.021234324,-0.03505082,-0.020865142,0.01646846,-0.013834981,-0.003508776,-0.019388847,0.012017023,0.0068801558,-0.008266122,0.01598687,-0.016310608,0.014270484,-0.0034883423,-0.018234262,0.0065626097,0.035315745,-0.03487815,-0.01481458,-0.008371131,0.015262548,-0.012884013,-2.8854723,-0.0020877756,0.035841193,-1.7826015,-1.6706672,0.0027278187,0.44339794,-1.3814385,0.057923183,-1.7030824,0.3382984,0.46719673,0.5970384,0.62856835,0.7015846,-1.8617668,1.320218,0.92775494,-0.6082622,-0.18533303,1.6576228,-0.78364533,0.56075627,0.22931883,0.2852616,-1.4844215,1.3507925,0.838699,0.23636532,0.08846837,0.24445532,-1.0764462,-0.6652884,0.008871514,0.25466383,1.5781262,-0.5259103,-2.132157,2.2150838,1.1921952,0.14942798,0.13022904,-0.3880405,1.2577746,0.4775443,0.61917347,0.6117094,-0.018993443,-0.13314249,1.8024219,-0.09934537,-0.853732,-0.28683078,0.770912,0.9255722,-0.13351682
2,0.034891754,-0.010189673,0.012975177,0.0014535664,0.015891546,0.021687746,0.004681388,-0.012674984,0.014051821,0.025228355,0.0059579387,0.014719535,-0.032576278,-0.0050754566,0.033591077,0.033776272,-0.007883736,0.024916587,0.015736664,0.006990496,0.002102202,0.02710737,-0.016549533,0.0036696265,-0.01363572,0.030151905,-0.005741053,0.03328847,0.019356903,-0.001049195,0.0021268195,0.028362347,-0.02384401,-0.0110996645,-0.008152587,-0.0026706718,-0.010706332,0.0064102164,0.014624741,0.012401627,0.02524504,-0.0117969755,-0.009041713,-0.009218632,0.0072573274,-0.0132727735,0.013364716,0.6907193,1.0010092,-0.0050400123,0.021857314,-0.047999363,0.00044992287,0.01168781,0.015410098,-0.033195462,0.010460469,0.016705181,-0.0005317461,-0.0010401905,-0.005876567,-2.0535663e-05,-0.009198224,0.0059483033,0.00938887,0.016038166,-0.015442748,-0.02591767,-0.0042586974,0.01880367,0.015787408,0.024321677,0.02089141,-0.023797914,-0.0059389696,0.013464803,0.010517351,-0.014647827,-0.024013706,0.014488952,-0.00024082512,-0.0064527174,0.0026256004,-0.0150839295,0.017893832,-0.006250676,-0.023594627,0.023153739,0.03142594,-0.020108158,-0.009577354,-0.002888612,0.0019520484,0.0035028323,-2.6012952,0.00659498,0.05189715,-0.72658324,-1.4871926,-0.009731598,1.5504775,-0.70296395,0.5397022,-0.02710982,0.24997796,-1.2704753,-0.21601541,-0.99163926,-1.3502439,-1.6676754,1.5611336,-0.10502601,1.2238712,1.47352,-0.027945265,0.98828804,1.1194625,-0.8635461,0.6587032,0.106466115,-1.2720243,-0.53289837,1.2256671,0.39539674,0.16955654,-1.4528223,-1.5663363,0.4806104,0.38964844,0.022380197,-0.5239077,0.46575043,0.7469497,1.7096661,-0.23508523,0.1633691,-1.5215818,-1.4843495,0.32641575,-0.34921703,-0.38194907,0.023341311,-1.2769094,-1.6735512,0.25148237,-0.68362653,0.5132346,1.4852283,1.0410277,-0.5283077
3,0.028286818,0.0028201286,0.023274926,-0.010168043,0.02439892,0.038018458,-0.0025010556,0.00814406,0.0015533087,0.024044584,-0.0030032874,0.03251466,-0.025562081,0.0072912583,0.04076576,0.028301232,-0.022285398,0.003278446,0.02672803,0.019248532,-0.0026620878,0.018806674,-0.035214953,0.014739736,-0.019352704,0.0049905227,-0.010063648,0.010841057,0.014227051,0.0025613671,-0.0086585,0.03751295,-0.025822215,0.0009527785,-0.0084034875,0.0039540054,0.0029896926,0.0154192485,0.00025375676,0.025651526,0.023049708,0.0054307356,-0.017380767,0.015151779,0.042973578,-0.005671173,0.016139613,-0.9271113,0.060299024,-0.016993074,0.0091226455,-0.031607684,-0.00019306922,0.011509727,-0.00018004607,-0.005481152,-0.0223497,0.022403847,0.004581074,0.014094191,-0.013380685,0.016894545,0.0036059832,0.014616364,-0.00161358,-0.00184628,-0.021903835,-0.04074195,-0.013831127,0.023923801,0.035822973,0.018962575,0.007805447,-0.022038748,-0.025315646,0.0009078793,-0.005601717,0.01482119,-0.01559673,0.0012246221,0.011827769,0.0021778932,-0.0050873714,0.0058040745,-0.0030886251,-0.005651839,-0.018230664,-0.011853424,0.012250193,-0.037783314,-0.008599871,-0.04228541,0.019924302,0.0010826881,-2.547845,0.013302997,0.025094302,-1.6043743,-1.5507264,0.011595545,-0.06658907,0.50971746,-0.5814668,-1.0783528,1.6795084,1.8529301,-0.86710954,0.17811438,-0.42846733,-0.04465573,0.8704217,-2.8775659,1.2651955,-0.6845631,0.7894626,-0.4749567,0.5688586,1.0150574,-1.2799762,-2.1873412,0.4330493,-1.4687449,0.83833146,-1.0778546,-0.7864795,0.24840868,0.13628459,-0.23037446,-0.7426619,1.4409834,-0.39818743,0.8190035,0.054407895,-1.4256368,-0.39120147,-0.22079419,-0.28024673,1.5958186,0.37460098,-1.1032528,-1.9731071,-0.6338024,-1.0412657,-0.7547569,-0.09187734,1.0644132,1.6351266,-1.177279,-0.3360585,0.46642476
4,0.023511821,0.0032686219,0.026908696,-0.0069189575,0.02777712,0.031551015,0.0027631628,0.003283755,0.0004487005,0.022348084,-0.007278625,0.029215895,-0.032980077,0.007907444,0.03628495,0.029878678,-0.022029236,-0.0025579706,0.02505123,0.016577667,-0.0019662385,0.02195156,-0.029677872,0.018053764,-0.020133626,0.008530897,-0.022540253,0.008667345,0.009485341,0.0029028077,-0.0031016776,0.03548888,-0.028294444,-0.0047738953,-0.0077493866,0.008782898,-0.0024723327,0.021547746,-0.0026427503,0.01630987,0.01863895,0.0036506897,-0.013586826,0.0057053817,0.38689536,-0.005435968,0.0147782825,-0.68609464,-0.28163576,-0.019006059,0.01497157,-0.022025753,0.0027693645,0.008889146,-0.011994768,-0.007467188,-0.019820932,0.016199913,0.00857436,0.017241284,-0.008253079,0.025664845,0.0012676669,0.010013001,-0.00067254785,-0.0012179594,-0.024452927,-0.03747168,-0.008660398,0.030488051,0.025515422,0.021547873,-0.0003148329,-0.033733644,-0.02554262,0.012366925,-0.006666323,0.02026951,-0.011950134,-0.0070841946,0.010949715,0.0055645863,-0.016501134,0.010138747,-0.0014935639,0.0026629511,-0.02325597,-0.013827818,0.004073145,-0.037982464,-0.0062161097,-0.036567777,0.026833143,-0.003723437,-2.3505042,0.0026507317,0.01515718,-1.7902379,-1.4063445,0.01279143,-0.62740797,0.035565916,0.11727397,0.4692541,-0.5282466,-1.2204002,-0.2911406,0.76778716,-0.633415,-0.16900414,1.4495918,-0.034638375,-0.18849415,0.09010206,-0.43403545,0.22508122,-0.32473445,-1.5567815,-1.8301791,-0.188489,0.17340033,-0.47838742,1.4691113,0.27264902,-0.7047208,1.4854512,1.1039022,-0.13727053,-2.7507443,0.41473174,-1.7293259,0.059638508,0.119763985,-1.1296779,0.4297196,-1.0610698,-0.089966916,-0.50681573,-0.9108502,-0.41515914,-0.4269479,0.35664696,1.4424707,0.70640934,0.3382881,0.6965657,-0.4858071,-0.19766834,-0.9920689,-0.5137018
5,0.0335149,-0.0024884907,0.013771749,-0.0027193134,0.014010749,0.02782556,-0.0016098577,-0.0064019687,0.016507355,0.026427919,-0.00045701535,0.019992607,-0.02910795,-0.009591803,0.03655788,0.033718295,-0.013268417,0.022388838,0.018217986,0.013428622,0.004253586,0.021238407,-0.022729546,0.010328215,-0.010465409,0.02141409,0.0014355038,0.030036561,0.026718948,-0.0017935615,-0.005906387,0.027119832,-0.029956967,-0.0073929625,-0.0042668264,0.0039661075,-0.004584659,0.006418137,0.013207905,0.027547382,0.029455718,-0.008303797,-0.016683482,-0.0030678073,-0.33878845,-0.016163936,0.02504399,0.20080692,0.49383587,-0.008405027,0.022383634,-0.043033637,0.0022053155,0.0016776724,0.024961982,-0.022953937,0.00091146724,0.013210356,0.0008630634,0.007700816,-0.010390039,-0.0043742433,-0.0075200964,0.011716047,0.009471786,0.01743082,-0.017095324,-0.04353602,-0.015982611,0.02036888,0.028517582,0.014708456,0.018039323,-0.016439263,-0.021413704,-0.0006683185,0.016652934,-0.011123656,-0.031898808,0.011400271,0.009472073,-0.009177858,-0.0009587224,-0.010446565,0.01744583,-0.006399989,-0.024057042,0.02084722,0.03228726,-0.024275374,-0.008270578,-0.01613953,0.007301715,0.008819031,-2.8241646,0.009155351,0.041391097,-0.49280736,-1.6655422,-0.0046094405,-0.39227664,-0.20682997,1.3513583,-1.9678423,-0.41851974,0.7149848,0.7499609,0.50776345,1.1329497,1.011351,1.2258346,0.014456661,0.6288281,-1.9048878,0.95497525,0.5602903,1.9715153,-0.62517357,0.46220765,0.49821645,-0.063868284,-1.3117223,1.1187788,1.3264334,0.25430554,0.7189457,1.2911253,-1.1367414,-1.2092359,-1.9592872,-0.29448408,-1.6937512,1.4290053,-0.37048572,1.2543904,1.3244168,2.9015617,-0.061358288,0.18958753,1.2492607,0.4362724,-2.1894085,0.27587894,0.8305278,-0.27619267,-0.65122175,0.46237466,0.13170815,0.07998076,-0.5042961
6,0.030338388,-0.014257487,0.016756762,-0.0016659597,0.018569749,0.018344231,0.015120999,-0.011303165,-0.0034980366,0.024791867,0.0056448975,0.021850748,-0.026619034,0.005426067,0.036673583,0.036664493,-0.00769136,0.011558615,0.014501071,0.0077013513,-0.0012698323,0.03991221,-0.015049271,0.0107863955,-0.016780086,0.03297413,-0.016007202,0.028811872,0.00739358,-0.0042473217,0.018147686,0.026393674,-0.016506774,-0.0059092715,-0.010755495,-0.0073617576,-0.015929487,0.0146722775,-0.003083848,-0.0061971806,0.024808934,0.001132735,-0.0031065806,-0.0038366064,0.20335284,-0.0035198154,-0.00090239476,0.72281814,1.0567791,-0.0041013192,0.016489951,-0.04623173,-0.0021546725,0.02452964,-0.0008742856,-0.03048256,-0.00021466892,0.02991173,0.008352428,-0.0076270737,-0.01469287,0.010353073,-0.0032354593,-0.0008120118,0.004821633,0.005906039,-0.022093637,-0.01792908,0.014139919,0.01691569,0.00402781,0.030109828,0.026301783,-0.032942023,-0.00012716651,0.022995796,-0.008204715,0.002318833,-0.00859465,0.014234664,-0.015137173,0.0039743,0.0145031735,-0.021408804,0.0046542753,0.0067944615,-0.035719402,0.00475129,0.023425778,-0.025339017,-0.015485347,-0.0036043862,0.012326685,-0.0024934462,-2.5119166,0.0032079676,0.050619654,-1.7338146,-1.3361026,-0.011024358,-0.6880575,0.53269535,-1.0890642,-0.20819007,1.7880956,-0.21253854,-0.05739852,0.96836895,-0.17830907,1.6242465,1.0319872,-0.93394315,-0.48291308,1.6243774,-0.40965033,-0.7688309,0.91863513,0.38920724,-0.7767256,0.48309988,0.32781166,1.4740056,-1.0275191,-1.8038429,-0.6028175,0.34450686,1.008188,-1.0471559,0.42580992,0.8985602,0.28945908,0.34899184,0.72390664,0.020705748,0.869572,-0.80834484,-0.7065777,-0.14586256,1.8798686,-0.54201305,-0.35045433,-0.39130408,0.07172307,-1.231796,0.4674437,1.7736354,-0.3006745,0.5592224,0.28636587,0.40278077
7,0.031253386,-0.0075901872,0.013959041,-0.0060271146,0.014603769,0.024528308,0.014356037,-0.0057482,-0.0003146294,0.017283276,0.006567005,0.02121148,-0.019515462,-0.0007605273,0.02941768,0.021092355,-0.013103952,0.012674007,0.011538382,0.0077482043,0.006097718,0.024138117,-0.030547105,0.011919734,-0.016912378,0.027092712,-0.0059873047,0.016097877,0.0077751074,0.011186245,0.009893252,0.02733837,-0.020028213,-0.003100029,-0.0043449784,-0.0025437986,-0.010677814,0.0131362695,0.008618129,0.0117615685,0.020482384,0.0012077889,-0.014530019,0.002082063,-0.37634736,-0.013325984,0.0019083228,-0.1740965,1.1409457,-0.008218709,0.016751224,-0.04703287,-0.0032701562,0.029679295,0.011997743,-0.019200787,-0.0070260614,0.030410275,0.0037763906,0.0005302457,-0.0134172235,0.004531284,-0.006806003,0.0019057076,0.0064618196,-0.0005626064,-0.014841082,-0.03568819,-0.0051199975,0.013265862,0.021061484,0.012191784,0.025457345,-0.029730026,-0.013937466,0.015191975,-0.013559708,-5.1070005e-05,-0.021881634,0.011133496,0.0060127173,-0.009864923,0.016815573,-0.015690465,0.011442933,-0.012136711,-0.014021687,0.005683513,0.037072953,-0.03670637,-0.016517447,-0.015492459,0.01454251,-0.009613818,-2.9125397,0.001617861,0.043189682,-1.8236933,-1.7195662,0.0012548836,-0.26689932,1.4056326,0.2239357,-1.1477238,-0.8306367,-0.8646812,-2.2232084,-1.1895585,-0.14770886,0.08787837,0.8435727,-0.009237705,0.40966615,-1.7587337,-1.1743588,1.5777068,-0.21598493,-0.5897923,-0.58565086,-0.7774209,-0.26799792,-1.0724714,0.33585745,1.433468,-1.0314875,-0.66423935,-0.28515714,0.090328276,0.73232126,-1.3155898,2.7772481,1.1844922,0.44093487,-0.39866707,0.4566435,-0.13711733,-0.45746246,1.5450985,0.6705813,-2.1122,0.1396194,1.3798146,-1.7709043,0.24300355,-0.08339313,0.13811563,1.6894605,-0.62394845,0.5790349,-0.56821424
8,0.0332695,-0.01155221,0.021298507,-0.007601103,0.019075654,0.026055712,0.005106766,-0.0014303534,-0.0027004904,0.017412256,0.0047626,0.01859735,-0.02713375,0.0030876007,0.0351188,0.021635095,-0.018395886,0.018224701,0.018047381,0.0095856,-0.0002943757,0.018721132,-0.031175142,0.00474256,-0.016830385,0.021485992,-0.008821759,0.013840699,0.011578659,0.007358281,0.0028240732,0.02883282,-0.019304281,-0.00050596136,-0.0063325632,-0.002428417,-0.0056606485,0.01329286,0.0076555507,0.01426316,0.014720474,0.00068290764,-0.01407183,0.0047433814,0.05758877,-0.009796293,0.0023254342,-0.29845148,1.0682423,-0.0114642605,0.010587544,-0.040050037,-0.0017123446,0.024938937,0.015482548,-0.019789092,-0.0059231566,0.031739056,-0.00028550252,0.00010364503,-0.011327744,0.0064147934,-0.011291942,0.00570777,0.0019654767,0.0004931316,-0.018142415,-0.031140804,-0.00962076,0.013702961,0.021110788,0.014725014,0.019659003,-0.026189346,-0.013132788,0.01598728,-0.00040986016,0.0010156715,-0.01624747,0.008042551,0.0057312436,-0.00858455,0.009510092,-0.0062852404,0.0064587323,-0.008020941,-0.011546284,0.0025444888,0.029551463,-0.034156747,-0.011451113,-0.017036553,0.010495137,-0.00792052,-2.5723693,0.004012636,0.0424011,-1.5086434,-1.4654462,0.001955337,1.5421987,0.7972971,0.42233464,1.2546527,-1.108292,0.19255315,-0.28489712,-2.0200622,-0.31481087,-0.3442606,-1.0119488,-0.5380324,-0.43432662,-1.1811832,-0.776592,0.7779949,-0.8183787,-0.4313311,-1.6170654,-1.676961,-0.9962734,0.13485412,-0.20912291,-0.15570739,1.3567019,-0.82981867,0.09243639,0.093510464,1.079796,-1.613164,-0.05238828,0.8513294,-0.4315902,-0.04674592,-0.6455386,-0.8528985,0.30526042,1.4370191,-1.6094457,1.3705539,0.07776032,-0.41027284,-0.10036771,1.8336674,-0.08595532,0.6037202,-0.99338174,0.21491122,1.1126531,1.8828632
9,0.0276726,-0.013878631,0.0338317,0.0076095164,0.028927326,0.0070513617,-0.0006120452,-0.010123273,0.022384757,0.023504145,-0.026258413,0.010554619,-0.063990876,-0.0034794863,0.03365348,0.05446083,-0.03501299,0.01374734,0.0065881433,0.010745784,0.0035941484,0.016378218,-0.009609362,0.015393809,-0.024336252,0.020781105,-0.0349031,0.033422068,0.032029506,-0.013423053,0.0018605213,0.03214832,-0.04084532,-0.011981839,-0.010719647,0.0051805754,0.00072476536,0.025809694,-0.00090352655,0.015505813,0.032920215,-0.018996643,-0.0036664763,-0.02610017,0.771873,-0.01405761,0.044926614,0.5044293,-1.3290135,-0.027460016,0.035758913,-0.011912987,0.0025172788,-0.0215476,-0.007458849,-0.023245081,0.006083569,-0.0040259734,0.005589374,0.026949696,-0.0032823868,0.011893131,-0.012037363,0.00715289,0.0030866065,0.02303126,-0.027004382,-0.030430766,-0.015217921,0.042841673,0.006461868,0.027983796,-0.008846787,-0.03565208,-0.025760792,0.026502151,0.033101536,0.0077967215,-0.020230863,-0.016636753,-0.0013581607,-0.0059427693,-0.04260606,0.016711889,0.008704281,0.014663676,-0.03321576,0.024145436,-0.0100164935,-0.022614101,-0.006295081,-0.008691618,0.03356433,0.007756433,-2.1537411,-0.0160485,0.014562257,-0.36115295,-1.1704446,-0.006253088,1.0586523,-0.44736567,-0.03609194,-0.3345194,0.71720433,-1.9285505,0.85298485,0.06375693,-1.4040543,0.3240862,1.913128,0.48305348,-0.029790346,0.17787933,-0.6401172,0.5805114,0.40707687,0.6224941,-1.1292118,1.0426561,0.6545876,-0.5486254,0.8538013,-0.0360443,0.7054893,0.14805965,-0.6902958,1.3175815,0.22048749,0.22157156,-0.17071618,0.5507712,-1.9342675,0.58659065,-1.3508793,0.18402885,-1.361308,-0.9073611,0.70242167,-0.6829007,0.60881805,-0.97592294,-0.3385348,-2.1923063,0.29177058,-1.4682826,0.07135699,0.24398735,-1.4581437,0.52277136
