,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,2.7376106,0.8853423,-0.30199978,0.016106026,-1.0993385,-1.3618753,-0.2402014,0.2096868,0.007643313,-0.29099882,2.1678505,0.7524261,0.47416088,-1.1300877,-0.9359779
1,1.0341756,2.1777906,1.8243867,-0.042250983,0.60636556,-2.8861196,-1.4036379,-0.2345046,0.019443978,-1.101567,1.2897282,2.1385972,1.5238189,-0.6970846,0.96463686
2,1.7963171,-0.8022198,0.21878216,0.054446384,1.2916653,-1.6492937,-0.7685522,-0.29628748,-0.0024048104,-0.13823424,1.9810498,-0.28279507,0.143166,-0.6175675,2.8459244
3,-0.015768789,1.7773775,-2.2674809,0.022657353,-0.6448069,-2.877939,-1.613482,-0.7755957,-0.02982109,-1.328449,0.19814199,1.0602062,-1.0056643,-0.4853277,-1.454886
4,1.5487742,-0.6800423,-1.4260961,0.046731655,1.035795,-1.7149236,-0.74525374,-0.35016966,-0.011097836,-0.28859383,1.4135239,-0.95154333,-2.0341964,-1.831384,3.4679554
5,2.442099,2.0782578,-0.3839591,-0.00054547936,0.49149367,-1.4423819,-0.56051284,0.27433217,0.0029011508,-0.35247624,2.7201314,2.936511,-0.046611696,0.09266706,0.9989023
6,2.298502,0.3348655,0.6462549,0.02702003,0.53309166,-1.2863864,-0.59454226,0.12930413,0.0037856568,-0.13467672,2.2929554,0.09029974,-1.7721261,0.5469316,-1.6323391
7,2.2044554,1.483042,-1.4781197,0.028735444,-0.46530968,-1.3430223,-0.40226966,-0.08775415,-0.013664751,-0.18653017,2.2270257,1.3592285,-1.8953288,0.68003,-0.80168295
8,1.3460068,4.699956,0.2970805,-0.07578807,0.5083565,-2.7335987,-1.1772392,0.3124261,0.009614502,-1.0354671,0.9701688,4.761492,-0.090915024,0.9278596,0.026902825
9,1.0596647,1.1114364,-0.2796315,0.01878085,-0.7215759,-1.9059122,-0.9854196,-0.2847922,-0.009528347,-0.79277873,0.71376324,0.20574254,-0.35357347,0.26471817,-0.3519947
10,1.5248687,1.2120048,-2.0075974,0.06488237,-1.2045648,-1.6777562,-0.6419507,-0.30542994,-0.039849862,-0.3603834,0.8959182,0.9322758,-3.004073,0.38025138,-0.57441705
11,1.390299,0.7144598,-0.03806936,0.036154106,2.1757483,-2.1500576,-1.2658849,-0.15641254,-0.013031832,-0.7005709,0.9389435,1.7788199,0.5521767,0.02062541,2.2413433
12,1.5250564,1.3218588,1.3933051,-0.031128114,0.45361322,-2.1314595,-0.96539533,-0.036653057,0.021276046,-0.58911115,1.7512704,1.3378288,0.64665383,0.93051416,0.4782015
13,2.8119953,0.91839343,-0.27654475,0.024580766,-0.48665783,-1.202666,-0.24169822,0.1243626,0.004751795,-0.1467664,2.6295512,1.2613525,0.48498034,-0.4845038,0.07260594
