,latent_mean_0,latent_mean_1,latent_mean_2,latent_mean_3,latent_mean_4,latent_logvar_0,latent_logvar_1,latent_logvar_2,latent_logvar_3,latent_logvar_4,Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i},Gaussian_latent_var_feature_{i}
0,-0.38218766,0.010645826,-0.024569577,-0.93434143,-1.0136883,-1.6064644,0.031206092,0.012151056,-1.8574893,-3.235515,0.3311057,-0.4326741,1.610575,-1.2242635,-1.3360473
1,-1.3398792,0.02216973,-0.020840118,-0.92818934,0.47144455,-1.6735568,0.066065244,-0.040036067,-1.4670901,-2.4799654,-1.4105229,1.3989247,0.82665664,-0.24526525,0.34142047
2,-1.0360851,0.0038288904,0.031709317,0.6923183,0.17530453,-0.19223094,0.008152004,-0.022792326,-1.7706156,-2.3466246,-1.4573802,-0.845946,-0.17905302,0.50841224,0.33629334
3,0.92082214,0.00066583924,-0.015612286,0.8965621,0.12168077,-0.7549356,0.018564785,-0.029819524,-1.7304109,-2.4597986,0.9529927,1.0806139,1.9774722,0.26492572,0.6152993
4,-1.2167367,0.01338552,-0.005800815,-0.4141751,0.30988592,-0.66138875,0.028700298,-0.021814262,-1.5097942,-2.2859664,0.8594142,-1.2461798,0.047340587,-0.37800294,0.22608426
5,-3.4829805,0.026139041,0.032765225,1.1223812,0.30213392,-1.8621165,0.037056938,-0.058748364,-2.074901,-2.5427523,-3.568749,1.0712547,-1.2857183,0.894054,-0.19482934
6,0.1714215,0.008603983,-0.010742545,-0.6280172,-0.2736954,-1.4840013,0.025683025,-0.010789763,-1.632451,-2.8948095,0.24345729,0.2668569,0.06342352,-0.03905493,-0.6333624
7,-0.14095677,0.0071932552,-0.00994367,-0.14798945,0.0053660274,-0.946008,0.025752546,-0.020913841,-1.6055477,-2.5843189,0.4090553,0.17116109,-0.7354027,-0.34954005,0.19039305
8,0.22437197,0.015334324,-0.03278985,1.0471804,0.2706372,-1.1705945,0.045938976,-0.036383204,-1.4546273,-2.3503613,-0.16989404,-0.15887715,-0.17476007,1.1796149,0.1258476
9,-0.37196606,0.0071962546,-0.003292554,-0.8339403,0.3677398,-1.0562136,0.024306314,-0.022736901,-1.4778242,-2.382026,0.3766358,1.1781168,0.18106256,-0.55972445,0.7832518
10,-1.3690517,0.01875419,0.0057317633,0.28199136,0.7649025,-0.57706094,0.052728526,-0.038702317,-1.1489698,-1.8603312,-0.7304195,-1.4720277,0.71094745,0.5323536,0.9919323
11,-1.3016461,0.02021466,-0.0037160409,0.42898017,0.67594403,-0.7765491,0.058429934,-0.039205447,-1.2151455,-1.9805126,-1.6536064,0.40942612,-0.4657547,0.29927802,0.33102724
12,-0.76068646,0.010382274,0.00060496933,-1.3864022,0.05888343,-1.4967211,0.027771948,-0.011565773,-1.6137588,-2.7633476,-1.5612314,-1.1642121,-0.030998021,-1.3733853,0.07184105
13,0.09119723,-0.0021271564,-0.0030259592,-1.8867751,-0.34548527,-1.7624015,0.035064295,0.00084805116,-1.4639268,-3.055485,-0.50967914,1.1627712,-0.18107584,-1.5510738,-0.19275482
14,1.358637,-0.0071808007,0.023011513,-0.65688705,-0.11748463,-1.064163,-0.003442821,-0.013491107,-1.4876183,-2.7963254,0.9511744,-1.502658,0.54914725,-0.6213939,0.0017096326
